Date,Open_MAR,High_MAR,Low_MAR,Close_MAR,Volume_MAR,AdjClose_MAR
2013-06-14,41.080002,41.540001,40.59,40.77,1352700,39.149588
2013-06-17,41.02,41.119999,40.529999,40.66,2472600,39.04396
2013-06-18,40.66,41.099998,40.57,40.82,2055200,39.1976
2013-06-19,40.779999,41.07,40.41,40.419998,2794200,38.813497
2013-06-20,39.98,40.0,38.98,39.049999,2795600,37.497949
2013-06-21,39.349998,39.540001,38.169998,38.93,4642400,37.382719
2013-06-24,38.5,39.139999,38.23,38.709999,2635400,37.171462
2013-06-25,39.279999,39.419998,38.889999,39.349998,2193900,37.786024
2013-06-26,39.700001,39.84,39.419998,39.450001,2481300,37.882052
2013-06-27,39.73,40.41,39.630001,40.25,2152600,38.650255
2013-06-28,40.139999,40.709999,39.959999,40.369999,2708600,38.765485
2013-07-01,40.669998,40.860001,40.290001,40.32,1602300,38.717473
2013-07-02,40.380001,40.669998,40.139999,40.23,1953100,38.63105
2013-07-03,40.009998,40.450001,39.82,40.299999,831700,38.698267
2013-07-05,40.720001,41.43,40.580002,41.400002,1527300,39.75455
2013-07-08,41.610001,42.110001,41.59,41.720001,1807100,40.061831
2013-07-09,41.959999,42.040001,41.450001,41.740002,2054300,40.081036
2013-07-10,41.75,41.970001,41.470001,41.93,1299500,40.263484
2013-07-11,42.52,42.689999,42.119999,42.18,1952300,40.503547
2013-07-12,42.200001,42.32,41.700001,41.73,2183300,40.071432
2013-07-15,41.740002,41.959999,41.560001,41.580002,1977400,39.927396
2013-07-16,41.66,41.799999,41.380001,41.490002,1655800,39.840973
2013-07-17,41.650002,41.700001,41.040001,41.34,1792500,39.696933
2013-07-18,41.549999,42.259998,41.360001,42.009998,1540400,40.340302
2013-07-19,41.950001,42.0,41.080002,41.619999,1702700,39.965803
2013-07-22,41.529999,41.689999,41.32,41.470001,1163600,39.821767
2013-07-23,41.549999,41.639999,40.889999,40.950001,1402500,39.322434
2013-07-24,41.049999,41.07,40.16,40.369999,3310100,38.765485
2013-07-25,40.369999,41.049999,40.299999,40.860001,2768400,39.236011
2013-07-26,40.66,41.310001,40.509998,41.259998,1236100,39.620111
2013-07-29,41.080002,41.5,40.869999,40.959999,1633200,39.332035
2013-07-30,41.209999,41.5,41.110001,41.389999,1422000,39.744945
2013-07-31,41.48,42.009998,41.25,41.57,2936700,39.917791
2013-08-01,40.939999,41.98,40.900002,41.580002,6797100,39.927396
2013-08-02,41.549999,43.0,41.41,42.419998,5179400,40.734006
2013-08-05,42.240002,42.5,41.950001,42.169998,2662700,40.493943
2013-08-06,42.16,42.380001,41.630001,41.68,1773900,40.02342
2013-08-07,41.619999,41.630001,40.970001,40.970001,2323200,39.34164
2013-08-08,41.189999,41.66,40.900002,41.490002,1383200,39.840973
2013-08-09,41.400002,41.48,40.91,40.939999,1511500,39.31283
2013-08-12,40.610001,41.0,40.509998,40.73,1681500,39.111177
2013-08-13,40.759998,40.810001,40.189999,40.57,1370400,38.957536
2013-08-14,40.450001,41.689999,40.34,41.080002,3434000,39.447268
2013-08-15,40.98,41.509998,40.759998,40.889999,2947400,39.264818
2013-08-16,40.82,40.84,40.360001,40.400002,2164900,38.794295
2013-08-19,40.400002,40.549999,40.200001,40.25,2239400,38.650255
2013-08-20,40.16,40.369999,39.970001,40.049999,2089000,38.621326
2013-08-21,39.970001,40.290001,39.580002,39.889999,2182700,38.467033
2013-08-22,39.959999,41.610001,39.799999,41.32,2515600,39.846022
2013-08-23,41.439999,41.580002,40.91,41.16,2936100,39.69173
2013-08-26,41.16,41.610001,40.950001,41.23,1551600,39.759233
2013-08-27,40.759998,40.830002,40.330002,40.419998,2372500,38.978126
2013-08-28,40.349998,40.369999,39.849998,40.150002,2514900,38.717761
2013-08-29,40.0,40.709999,39.950001,40.25,1638200,38.814192
2013-08-30,40.240002,40.450001,39.880001,39.990002,1671500,38.563468
2013-09-03,40.369999,40.740002,40.240002,40.299999,1860900,38.862408
2013-09-04,40.220001,41.16,40.169998,40.93,1735500,39.469935
2013-09-05,40.900002,41.220001,40.610001,40.77,1908300,39.315643
2013-09-06,40.790001,40.93,40.279999,40.619999,1944600,39.170992
2013-09-09,40.740002,41.25,40.740002,41.060001,1592500,39.595299
2013-09-10,41.240002,41.689999,41.240002,41.610001,1460700,40.125678
2013-09-11,42.09,43.290001,42.0,42.959999,3687500,41.427519
2013-09-12,42.990002,43.110001,42.32,42.59,1930100,41.070719
2013-09-13,42.560001,42.939999,42.470001,42.860001,1497400,41.331088
2013-09-16,43.310001,43.52,43.02,43.119999,1412600,41.581812
2013-09-17,43.110001,43.5,43.080002,43.349998,1696400,41.803607
2013-09-18,43.27,43.939999,42.880001,43.82,1922300,42.256842
2013-09-19,43.810001,43.990002,43.529999,43.580002,1811600,42.025405
2013-09-20,43.48,43.509998,43.029999,43.169998,3263900,41.630027
2013-09-23,43.169998,43.279999,42.709999,43.0,1807700,41.466093
2013-09-24,43.0,43.41,42.849998,43.060001,2737300,41.523954
2013-09-25,43.049999,43.150002,42.599998,42.810001,1785600,41.282872
2013-09-26,42.779999,43.110001,42.400002,42.91,2099000,41.379304
2013-09-27,42.619999,42.77,42.0,42.349998,2404500,40.839279
2013-09-30,41.959999,42.16,41.669998,42.060001,2357300,40.559627
2013-10-01,42.02,42.549999,41.990002,42.540001,1974300,41.022503
2013-10-02,42.299999,42.490002,41.82,42.470001,1881900,40.955001
2013-10-03,42.310001,42.419998,41.75,42.279999,2337800,40.771776
2013-10-04,42.27,42.669998,42.07,42.599998,1382300,41.080361
2013-10-07,42.200001,42.330002,41.950001,41.959999,1353100,40.463192
2013-10-08,42.0,42.07,41.419998,41.529999,2391400,40.04853
2013-10-09,41.650002,41.779999,41.259998,41.279999,2861600,39.807448
2013-10-10,41.759998,42.119999,41.389999,41.98,2666500,40.482479
2013-10-11,42.02,42.540001,41.860001,42.299999,2032000,40.791063
2013-10-14,42.0,42.110001,41.759998,42.040001,1964500,40.54034
2013-10-15,41.970001,42.540001,41.77,42.290001,3091900,40.781422
2013-10-16,42.59,43.029999,42.549999,42.970001,2916800,41.437165
2013-10-17,42.889999,43.34,42.619999,43.310001,1637500,41.765036
2013-10-18,43.5,43.91,43.279999,43.5,2801500,41.948257
2013-10-21,42.299999,43.990002,42.299999,43.98,1417200,42.411134
2013-10-22,44.110001,44.23,43.439999,43.889999,2266500,42.324344
2013-10-23,43.380001,43.830002,43.34,43.59,1855700,42.035047
2013-10-24,44.049999,44.68,43.919998,44.610001,2425800,43.018662
2013-10-25,44.75,44.75,44.25,44.490002,1388900,42.902943
2013-10-28,44.049999,44.369999,43.77,44.099998,2474400,42.526852
2013-10-29,44.369999,44.630001,44.060001,44.610001,2246900,43.018662
2013-10-30,44.59,44.720001,44.009998,44.200001,1826800,42.623287
2013-10-31,44.650002,45.91,44.09,45.080002,4457600,43.471897
2013-11-01,45.220001,45.77,45.130001,45.709999,2621600,44.079421
2013-11-04,45.59,46.02,45.360001,45.990002,2560600,44.349435
2013-11-05,45.57,45.970001,45.439999,45.849998,2084100,44.214426
2013-11-06,45.950001,46.52,45.93,46.34,2871400,44.686948
2013-11-07,46.419998,46.419998,45.389999,45.43,2366200,43.80941
2013-11-08,45.41,46.119999,45.369999,46.119999,2028800,44.474795
