Date,Open_GS,High_GS,Low_GS,Close_GS,Volume_GS,AdjClose_GS
2013-06-14,165.740005,166.110001,162.910004,162.919998,2970600,156.353301
2013-06-17,164.080002,165.669998,162.899994,164.110001,2628300,157.495339
2013-06-18,164.149994,164.869995,163.050003,164.149994,2060700,157.53372
2013-06-19,164.160004,164.929993,161.509995,161.559998,3557100,155.048117
2013-06-20,159.149994,159.990005,154.839996,155.410004,6488600,149.146006
2013-06-21,157.0,157.259995,152.300003,154.25,5390200,148.032758
2013-06-24,151.990005,152.600006,148.710007,150.779999,4013200,144.702619
2013-06-25,152.449997,154.309998,151.550003,153.059998,3274600,146.89072
2013-06-26,154.479996,154.559998,150.75,151.660004,3580400,145.547155
2013-06-27,153.029999,154.990005,152.610001,153.509995,2654900,147.322579
2013-06-28,152.690002,152.770004,151.0,151.25,3011300,145.153677
2013-07-01,152.779999,154.100006,151.699997,151.75,2496100,145.633524
2013-07-02,151.160004,153.190002,149.899994,150.919998,3091600,144.836976
2013-07-03,149.619995,151.419998,149.279999,150.429993,1267700,144.366721
2013-07-05,152.300003,153.289993,151.5,153.240005,2243700,147.063472
2013-07-08,154.580002,154.800003,152.880005,153.809998,2699100,147.61049
2013-07-09,154.990005,157.440002,153.169998,156.940002,3127100,150.614336
2013-07-10,156.570007,157.619995,154.669998,155.830002,2430100,149.549076
2013-07-11,158.5,159.740005,156.110001,157.710007,2965700,151.353305
2013-07-12,158.619995,160.279999,158.550003,160.110001,2844600,153.656564
2013-07-15,162.800003,163.389999,161.160004,163.0,4129900,156.430078
2013-07-16,163.919998,164.300003,159.429993,160.240005,5972700,153.781329
2013-07-17,159.839996,161.990005,159.5,161.5,3715000,154.990537
2013-07-18,161.580002,164.580002,161.5,164.059998,3462700,157.447351
2013-07-19,163.75,164.850006,162.580002,164.360001,3329700,157.735262
2013-07-22,163.949997,166.330002,163.880005,166.25,2741100,159.549083
2013-07-23,166.5,167.410004,165.479996,166.259995,2545400,159.558674
2013-07-24,166.75,166.889999,164.440002,165.039993,2548100,158.387847
2013-07-25,164.279999,166.0,163.690002,165.910004,2236200,159.22279
2013-07-26,165.050003,165.649994,164.270004,165.259995,2372200,158.598981
2013-07-29,164.630005,164.830002,162.020004,163.169998,2823600,156.593224
2013-07-30,163.490005,164.009995,162.330002,162.429993,2553300,155.883046
2013-07-31,162.529999,165.970001,162.429993,164.029999,3700300,157.418561
2013-08-01,165.740005,167.899994,164.880005,167.490005,3251900,160.739108
2013-08-02,166.830002,167.899994,166.460007,167.619995,1866700,160.863858
2013-08-05,167.279999,169.690002,166.440002,168.320007,2618400,161.535656
2013-08-06,168.070007,168.279999,164.470001,164.779999,3598500,158.138332
2013-08-07,164.0,164.229996,162.050003,163.449997,2131000,156.861937
2013-08-08,164.75,166.429993,162.830002,162.839996,2818400,156.276523
2013-08-09,162.399994,164.100006,162.020004,162.130005,2012000,155.595149
2013-08-12,161.729996,162.380005,160.550003,161.690002,1982000,155.172882
2013-08-13,161.990005,164.550003,160.949997,163.710007,2309600,157.111467
2013-08-14,163.850006,164.800003,162.929993,163.339996,1667400,156.75637
2013-08-15,161.910004,161.970001,160.070007,160.75,2206900,154.270767
2013-08-16,160.279999,162.289993,160.029999,160.660004,2024300,154.184398
2013-08-19,160.169998,160.789993,158.529999,158.630005,2228400,152.236221
2013-08-20,158.720001,160.029999,157.779999,159.559998,2288700,153.128729
2013-08-21,158.779999,159.229996,156.509995,157.110001,3053800,150.777482
2013-08-22,157.809998,159.660004,157.199997,159.410004,2302700,152.984781
2013-08-23,159.589996,159.789993,158.0,158.649994,1495800,152.255404
2013-08-26,158.410004,160.699997,157.75,157.899994,1885200,151.535634
2013-08-27,155.720001,156.529999,152.929993,153.229996,3672000,147.053866
2013-08-28,153.0,154.149994,151.449997,152.970001,2343200,147.284946
2013-08-29,152.369995,154.679993,152.089996,153.630005,2133000,147.920421
2013-08-30,153.770004,153.979996,151.330002,152.130005,2234000,146.476168
2013-09-03,154.479996,156.039993,153.520004,154.759995,2464800,149.008415
2013-09-04,154.759995,157.25,154.350006,155.740005,2194200,149.952005
2013-09-05,155.990005,158.050003,155.570007,156.169998,2443900,150.366017
2013-09-06,156.979996,157.710007,153.419998,156.660004,2464000,150.837811
2013-09-09,157.410004,159.699997,157.160004,159.490005,2150400,153.562638
2013-09-10,162.979996,165.529999,162.559998,165.139999,5265900,159.002652
2013-09-11,164.929993,165.789993,163.779999,165.059998,2233100,158.925624
2013-09-12,164.839996,165.309998,163.070007,163.350006,2690000,157.279183
2013-09-13,164.380005,164.720001,162.960007,164.0,2231500,157.90502
2013-09-16,166.309998,168.570007,165.190002,167.029999,3553100,160.822411
2013-09-17,167.190002,167.580002,165.660004,167.419998,2653700,161.197916
2013-09-18,166.5,169.089996,165.639999,168.059998,3422400,161.81413
2013-09-19,169.690002,170.0,166.880005,167.779999,3534700,161.544537
2013-09-20,168.0,169.75,164.029999,169.75,20410100,163.441325
2013-09-23,168.179993,168.460007,164.720001,165.25,4816200,159.108565
2013-09-24,165.520004,166.399994,162.970001,162.970001,3422600,156.913301
2013-09-25,163.259995,163.690002,161.160004,162.309998,3614600,156.277826
2013-09-26,162.899994,163.929993,161.039993,162.289993,2711400,156.258565
2013-09-27,160.690002,160.949997,159.429993,159.850006,3679100,153.909259
2013-09-30,157.720001,159.139999,156.570007,158.210007,2803600,152.330209
2013-10-01,158.860001,160.309998,157.559998,159.0,2465300,153.090843
2013-10-02,157.690002,159.580002,157.520004,158.669998,2431000,152.773106
2013-10-03,158.630005,159.160004,155.460007,156.850006,2949500,151.020753
2013-10-04,157.080002,157.25,156.089996,156.550003,2984500,150.731899
2013-10-07,155.169998,156.199997,154.220001,154.25,2618000,148.517374
2013-10-08,154.619995,155.850006,153.0,153.050003,2917200,147.361975
2013-10-09,153.559998,155.320007,152.830002,154.440002,3227500,148.700316
2013-10-10,156.830002,158.240005,156.0,158.009995,3639000,152.137631
2013-10-11,158.490005,160.490005,157.520004,160.0,3124900,154.053679
2013-10-14,158.220001,159.919998,157.5,159.460007,2428100,153.533754
2013-10-15,159.809998,160.039993,157.509995,157.630005,3038000,151.771763
2013-10-16,158.580002,162.5,157.5,162.25,3649300,156.220058
2013-10-17,156.479996,159.199997,155.990005,158.320007,7522100,152.436122
2013-10-18,158.839996,159.699997,156.679993,158.690002,4982100,152.792366
2013-10-21,158.669998,160.649994,158.25,159.770004,2695400,153.83223
2013-10-22,160.639999,160.710007,158.229996,159.25,3239400,153.331552
2013-10-23,158.020004,158.080002,156.559998,157.740005,2735800,151.877676
2013-10-24,159.449997,160.350006,158.830002,159.960007,2591000,154.015172
2013-10-25,160.0,162.240005,159.910004,162.089996,3721000,156.066001
2013-10-28,162.0,162.190002,160.25,161.449997,3341500,155.449787
2013-10-29,162.070007,163.110001,161.009995,162.110001,3702100,156.085262
2013-10-30,162.559998,162.970001,161.149994,162.050003,2344200,156.027494
2013-10-31,162.089996,163.350006,160.860001,160.860001,2785000,154.881718
2013-11-01,161.029999,162.600006,160.720001,162.050003,2738400,156.027494
2013-11-04,162.419998,163.240005,161.589996,163.160004,1711000,157.096242
2013-11-05,161.669998,162.630005,160.779999,161.949997,2529400,155.931205
2013-11-06,162.529999,164.300003,162.330002,163.520004,3593700,157.442864
2013-11-07,164.039993,164.210007,159.610001,159.639999,3490300,153.707057
2013-11-08,160.389999,163.690002,159.880005,163.169998,3856000,157.105865
2013-11-11,162.5,164.75,162.160004,163.839996,2289000,157.750963
2013-11-12,163.100006,164.380005,162.130005,162.889999,2239600,156.836272
2013-11-13,161.779999,163.710007,161.199997,162.940002,3398300,156.884417
2013-11-14,163.550003,163.949997,162.410004,163.199997,3648200,157.134749
2013-11-15,163.179993,165.419998,163.179993,164.399994,2667200,158.290149
2013-11-18,164.740005,167.649994,164.199997,165.679993,3555000,159.522577
2013-11-19,165.869995,168.0,165.630005,166.600006,2691900,160.408399
2013-11-20,166.759995,167.25,164.860001,165.0,2793100,158.867856
2013-11-21,165.25,167.320007,165.009995,167.070007,3158500,160.860932
