Date,Open_STJ,High_STJ,Low_STJ,Close_STJ,Volume_STJ,AdjClose_STJ
2015-06-08,73.769997,74.029999,73.129997,73.139999,1123000,71.777164
2015-06-09,73.089996,73.730003,72.919998,73.389999,875700,72.022505
2015-06-10,73.529999,74.599998,73.349998,74.440002,895300,73.052944
2015-06-11,74.779999,75.760002,74.550003,75.139999,1331400,73.739897
2015-06-12,74.760002,74.860001,73.980003,74.339996,743900,72.954801
2015-06-15,73.489998,73.889999,72.720001,73.860001,1179200,72.483749
2015-06-16,73.889999,74.199997,73.449997,73.989998,979500,72.611324
2015-06-17,74.330002,74.669998,73.68,74.199997,1394000,72.81741
2015-06-18,74.440002,75.959999,74.18,75.839996,1548700,74.426851
2015-06-19,75.769997,75.870003,75.519997,75.660004,1016200,74.250212
2015-06-22,76.050003,76.330002,75.660004,75.82,560300,74.407227
2015-06-23,75.809998,75.949997,75.089996,75.300003,811000,73.89692
2015-06-24,75.080002,75.220001,74.370003,74.43,994100,73.043128
2015-06-25,74.550003,75.279999,74.370003,74.650002,654800,73.25903
2015-06-26,74.580002,74.730003,74.050003,74.379997,1282600,73.278729
2015-06-29,73.610001,74.489998,72.760002,72.849998,1177900,71.771383
2015-06-30,73.620003,73.809998,72.68,73.07,931000,71.988127
2015-07-01,73.739998,74.25,73.089996,73.629997,1447800,72.539834
2015-07-02,73.720001,73.720001,72.400002,73.029999,1030200,71.948719
2015-07-06,72.370003,73.449997,72.029999,73.050003,1480400,71.968427
2015-07-07,73.400002,74.139999,72.25,74.059998,1349500,72.963467
2015-07-08,74.220001,74.550003,73.510002,73.690002,1597000,72.59895
2015-07-09,74.709999,75.080002,74.410004,74.540001,1842600,73.436364
2015-07-10,75.160004,75.599998,74.790001,75.330002,977900,74.214668
2015-07-13,75.849998,76.550003,75.660004,76.43,1249500,75.29838
2015-07-14,76.419998,77.309998,76.169998,76.970001,1514200,75.830385
2015-07-15,77.040001,77.089996,76.099998,76.260002,1470400,75.130899
2015-07-16,76.010002,77.260002,75.190002,77.169998,1266600,76.027421
2015-07-17,77.010002,77.230003,76.300003,77.160004,1279900,76.017575
2015-07-20,77.099998,77.349998,76.489998,76.57,1373900,75.436306
2015-07-21,76.830002,80.839996,75.379997,76.709999,3834900,75.574233
2015-07-22,75.650002,77.889999,75.349998,76.669998,4452500,75.534824
2015-07-23,76.050003,76.529999,75.050003,75.529999,2896800,74.411704
2015-07-24,75.110001,75.910004,73.790001,73.940002,1998600,72.845249
2015-07-27,73.900002,74.43,73.019997,73.18,1927900,72.096499
2015-07-28,73.470001,74.25,73.199997,74.190002,1441500,73.091547
2015-07-29,74.309998,74.519997,73.610001,74.419998,1466900,73.318138
2015-07-30,74.139999,74.330002,73.57,73.910004,1139300,72.815694
2015-07-31,74.339996,74.529999,73.709999,73.82,1847500,72.727023
2015-08-03,73.870003,74.279999,73.309998,73.400002,1811900,72.313243
2015-08-04,73.489998,73.68,72.589996,72.760002,1462200,71.68272
2015-08-05,73.580002,74.150002,73.129997,73.309998,1168700,72.224572
2015-08-06,73.199997,73.620003,71.769997,71.940002,1292100,70.874861
2015-08-07,71.839996,72.110001,70.690002,71.43,1526700,70.37241
2015-08-10,71.75,72.349998,71.75,72.0,1186400,70.93397
2015-08-11,71.559998,72.050003,71.190002,71.589996,1021500,70.530037
2015-08-12,70.910004,71.419998,70.18,71.239998,1459700,70.18522
2015-08-13,71.379997,71.529999,70.470001,71.220001,2291500,70.16552
2015-08-14,71.120003,71.25,70.550003,70.940002,1148100,69.889667
2015-08-17,70.669998,72.620003,70.18,72.540001,2293100,71.465976
2015-08-18,72.32,72.889999,72.199997,72.5,1672300,71.426567
2015-08-19,72.129997,72.730003,71.400002,72.139999,1584100,71.071897
2015-08-20,71.470001,71.790001,70.25,70.300003,1133500,69.259143
2015-08-21,69.57,69.68,68.019997,68.019997,1658100,67.012894
2015-08-24,65.300003,68.120003,63.950001,66.419998,3085600,65.436585
2015-08-25,68.610001,70.0,67.360001,68.260002,4329900,67.249346
2015-08-26,69.480003,69.68,67.199997,69.339996,2260100,68.31335
2015-08-27,72.669998,73.370003,70.769997,72.43,8793400,71.357604
2015-08-28,72.160004,72.919998,71.849998,72.620003,1679500,71.544793
2015-08-31,72.519997,72.730003,70.75,70.809998,1330300,69.761587
2015-09-01,69.089996,70.480003,68.150002,68.68,1977600,67.663126
2015-09-02,69.57,71.089996,68.870003,71.059998,2013100,70.007885
2015-09-03,71.389999,71.669998,70.110001,70.379997,1437000,69.337953
2015-09-04,69.82,70.059998,68.900002,69.639999,1146400,68.608911
2015-09-08,70.709999,71.260002,70.260002,71.239998,1205300,70.18522
2015-09-09,71.43,71.900002,68.43,68.589996,2593000,67.574455
2015-09-10,68.720001,70.019997,68.449997,69.730003,1531700,68.697583
2015-09-11,69.449997,70.080002,69.120003,69.790001,1021300,68.756692
2015-09-14,69.879997,70.260002,68.169998,68.459999,1966700,67.446382
2015-09-15,68.830002,69.110001,68.349998,69.040001,1896900,68.017797
2015-09-16,69.059998,69.610001,68.970001,69.32,1855200,68.29365
2015-09-17,69.480003,70.349998,68.900002,69.239998,1162000,68.214832
2015-09-18,68.029999,68.419998,67.199997,67.309998,3138900,66.313408
2015-09-21,67.800003,68.050003,66.620003,66.970001,1319000,65.978445
2015-09-22,66.489998,67.370003,66.019997,66.599998,1691200,65.613921
2015-09-23,66.57,67.120003,66.239998,66.349998,1140300,65.367622
2015-09-24,66.080002,66.510002,65.830002,66.379997,1560300,65.397177
2015-09-25,66.879997,67.080002,64.400002,64.849998,1416800,63.889831
2015-09-28,64.209999,64.440002,62.360001,62.779999,2280900,62.128307
2015-09-29,63.110001,64.059998,62.400002,62.939999,1708400,62.286646
2015-09-30,63.799999,63.82,62.66,63.09,2293600,62.43509
2015-10-01,63.360001,63.720001,62.470001,62.759998,2687300,62.108514
2015-10-02,61.860001,63.91,61.009998,63.810001,2482700,63.147617
2015-10-05,63.400002,64.599998,63.099998,64.0,2034900,63.335644
2015-10-06,63.799999,63.919998,61.759998,62.48,2234200,61.831422
2015-10-07,62.860001,63.360001,62.299999,63.099998,1498700,62.444985
2015-10-08,63.049999,63.450001,62.639999,63.189999,1428400,62.534051
2015-10-09,63.09,64.029999,62.98,63.990002,3107000,63.325749
2015-10-12,63.889999,65.660004,63.830002,65.389999,2667200,64.711214
2015-10-13,65.370003,68.580002,65.099998,66.489998,4339700,65.799794
2015-10-14,66.519997,67.0,65.790001,65.879997,1821500,65.196126
2015-10-15,66.07,67.260002,66.040001,67.18,1555900,66.482634
2015-10-16,67.360001,68.239998,67.279999,68.0,1555800,67.294122
2015-10-19,67.879997,68.339996,67.470001,68.220001,1348900,67.511839
2015-10-20,68.029999,68.970001,67.860001,68.360001,2523100,67.650385
2015-10-21,64.419998,64.959999,62.130001,62.299999,5376000,61.65329
2015-10-22,62.23,62.439999,60.34,61.82,4229500,61.178273
2015-10-23,62.259998,63.060001,61.98,62.860001,2562500,62.207478
2015-10-26,62.830002,63.380001,62.52,62.919998,1708000,62.266853
2015-10-27,62.959999,63.27,62.220001,62.799999,1724300,62.1481
2015-10-28,62.740002,63.09,61.619999,62.900002,2434700,62.247064
2015-10-29,62.810001,63.689999,62.810001,63.580002,1770500,62.920005
2015-10-30,63.720001,64.110001,63.459999,63.810001,1685500,63.147617
2015-11-02,63.950001,64.800003,63.810001,64.660004,1419200,63.988796
2015-11-03,64.550003,64.739998,63.700001,64.050003,1685000,63.385128
2015-11-04,64.470001,64.639999,63.18,64.400002,1485800,63.731493
2015-11-05,64.360001,64.68,63.860001,64.599998,1148500,63.929414
