Date,Open_JEC,High_JEC,Low_JEC,Close_JEC,Volume_JEC,AdjClose_JEC
2015-06-08,43.349998,43.529999,42.560001,42.650002,1731200,42.650002
2015-06-09,42.91,43.419998,42.599998,42.939999,1085200,42.939999
2015-06-10,43.299999,43.720001,43.18,43.669998,1012700,43.669998
2015-06-11,43.619999,43.759998,43.369999,43.450001,522200,43.450001
2015-06-12,43.099998,43.369999,42.810001,43.110001,533600,43.110001
2015-06-15,42.68,42.849998,42.209999,42.299999,960300,42.299999
2015-06-16,42.290001,42.73,42.18,42.68,689600,42.68
2015-06-17,42.849998,43.169998,42.5,42.790001,688800,42.790001
2015-06-18,42.939999,43.32,42.709999,43.189999,877000,43.189999
2015-06-19,43.119999,43.700001,43.060001,43.540001,1794100,43.540001
2015-06-22,43.82,44.099998,43.57,43.759998,1393100,43.759998
2015-06-23,43.759998,44.02,43.560001,43.860001,1065900,43.860001
2015-06-24,43.779999,44.07,43.02,43.029999,1064300,43.029999
2015-06-25,43.060001,43.240002,42.41,42.5,828400,42.5
2015-06-26,42.5,42.73,42.139999,42.23,1643200,42.23
2015-06-29,41.77,42.189999,40.509998,40.650002,1769000,40.650002
2015-06-30,41.119999,41.279999,40.52,40.619999,1666900,40.619999
2015-07-01,41.029999,41.200001,40.32,40.639999,1008100,40.639999
2015-07-02,40.75,41.0,40.25,40.419998,861500,40.419998
2015-07-06,39.830002,40.330002,39.689999,39.919998,1396500,39.919998
2015-07-07,39.860001,40.130001,39.27,40.049999,1836800,40.049999
2015-07-08,39.68,40.18,39.59,39.860001,2320900,39.860001
2015-07-09,40.419998,41.549999,39.77,39.84,1632200,39.84
2015-07-10,40.299999,40.43,39.830002,40.150002,1109800,40.150002
2015-07-13,40.380001,41.009998,40.349998,40.830002,759600,40.830002
2015-07-14,40.740002,41.529999,40.709999,41.299999,1721200,41.299999
2015-07-15,40.990002,41.240002,40.09,40.189999,1069200,40.189999
2015-07-16,40.5,40.68,40.23,40.450001,665800,40.450001
2015-07-17,40.529999,40.700001,39.630001,39.98,1273900,39.98
2015-07-20,39.93,40.299999,39.630001,40.25,950200,40.25
2015-07-21,40.220001,40.98,40.220001,40.779999,1282500,40.779999
2015-07-22,40.59,41.040001,40.540001,40.759998,1256300,40.759998
2015-07-23,40.82,41.080002,40.259998,40.290001,2182500,40.290001
2015-07-24,40.310001,40.419998,39.240002,39.560001,1738400,39.560001
2015-07-27,39.07,39.720001,38.880001,39.599998,1999900,39.599998
2015-07-28,39.490002,41.889999,39.369999,41.689999,2804400,41.689999
2015-07-29,41.900002,43.02,41.689999,42.689999,2479100,42.689999
2015-07-30,42.580002,43.0,42.380001,42.91,1258900,42.91
2015-07-31,43.049999,43.27,41.650002,42.119999,2016600,42.119999
2015-08-03,41.900002,42.57,41.57,42.549999,1921400,42.549999
2015-08-04,42.740002,43.0,42.380001,42.419998,1283300,42.419998
2015-08-05,43.200001,43.549999,42.580002,42.630001,1790900,42.630001
2015-08-06,42.740002,43.650002,42.580002,43.490002,2020700,43.490002
2015-08-07,43.27,43.689999,43.16,43.23,766000,43.23
2015-08-10,43.630001,44.639999,43.400002,44.599998,1157500,44.599998
2015-08-11,44.099998,44.560001,43.59,44.34,1472900,44.34
2015-08-12,43.830002,44.360001,43.389999,44.16,2506100,44.16
2015-08-13,43.84,44.209999,43.59,43.790001,1217300,43.790001
2015-08-14,43.830002,44.52,43.790001,44.16,1124800,44.16
2015-08-17,43.869999,44.110001,43.490002,43.939999,1511200,43.939999
2015-08-18,43.720001,43.799999,42.939999,43.360001,1135700,43.360001
2015-08-19,43.0,43.580002,42.810001,43.040001,1423200,43.040001
