Date,Open_CTXS,High_CTXS,Low_CTXS,Close_CTXS,Volume_CTXS,AdjClose_CTXS
2015-06-08,66.239998,66.550003,65.779999,65.989998,960700,65.989998
2015-06-09,65.169998,65.32,64.209999,64.449997,3443400,64.449997
2015-06-10,64.730003,66.059998,64.519997,65.970001,2252400,65.970001
2015-06-11,71.410004,71.459999,69.260002,70.389999,7279900,70.389999
2015-06-12,71.400002,72.870003,71.110001,71.910004,4570500,71.910004
2015-06-15,71.410004,71.43,69.980003,70.019997,3756700,70.019997
2015-06-16,69.800003,70.459999,69.620003,70.339996,2684200,70.339996
2015-06-17,70.309998,70.419998,69.650002,70.099998,1979900,70.099998
2015-06-18,70.080002,70.860001,70.019997,70.739998,2030700,70.739998
2015-06-19,70.790001,71.089996,70.370003,70.510002,2812700,70.510002
2015-06-22,70.919998,71.690002,70.650002,71.050003,2896200,71.050003
2015-06-23,71.510002,72.790001,71.050003,72.68,3114400,72.68
2015-06-24,72.68,73.120003,71.580002,71.68,2114400,71.68
2015-06-25,71.82,72.0,71.470001,71.610001,994800,71.610001
2015-06-26,71.68,71.870003,70.660004,70.959999,2065200,70.959999
2015-06-29,70.260002,70.639999,69.739998,69.790001,981300,69.790001
2015-06-30,70.410004,70.480003,69.699997,70.160004,1181600,70.160004
2015-07-01,70.809998,70.980003,69.230003,69.379997,1484500,69.379997
2015-07-02,69.379997,69.970001,69.110001,69.57,1295400,69.57
2015-07-06,68.900002,69.169998,68.419998,68.779999,1068500,68.779999
2015-07-07,68.699997,68.730003,67.040001,68.440002,1601100,68.440002
2015-07-08,68.260002,68.870003,67.739998,67.900002,1616600,67.900002
2015-07-09,68.559998,69.5,68.559998,68.889999,1534100,68.889999
2015-07-10,69.489998,69.529999,69.040001,69.160004,780400,69.160004
2015-07-13,69.459999,70.349998,69.269997,70.120003,833800,70.120003
2015-07-14,70.209999,71.059998,70.139999,70.889999,1108400,70.889999
2015-07-15,71.080002,71.080002,69.720001,69.849998,909300,69.849998
2015-07-16,70.330002,70.470001,69.910004,70.379997,643800,70.379997
2015-07-17,70.410004,70.440002,69.470001,69.709999,775500,69.709999
2015-07-20,69.639999,69.900002,69.239998,69.349998,808700,69.349998
2015-07-21,69.360001,70.019997,69.279999,69.629997,620700,69.629997
2015-07-22,69.330002,69.760002,69.209999,69.330002,963700,69.330002
2015-07-23,69.5,70.360001,69.300003,69.660004,677100,69.660004
2015-07-24,70.0,70.0,68.849998,69.279999,1119500,69.279999
2015-07-27,68.839996,69.220001,68.290001,68.610001,1587400,68.610001
2015-07-28,68.739998,69.699997,68.190002,69.629997,1594500,69.629997
2015-07-29,73.0,76.699997,72.82,75.269997,6310700,75.269997
2015-07-30,75.0,75.800003,74.589996,75.760002,2520800,75.760002
2015-07-31,75.809998,75.919998,75.339996,75.610001,1553400,75.610001
2015-08-03,75.199997,76.120003,74.93,75.870003,1831900,75.870003
