Date,Open_PVH,High_PVH,Low_PVH,Close_PVH,Volume_PVH,AdjClose_PVH
2013-06-14,121.889999,123.870003,120.5,123.279999,1463200,122.759484
2013-06-17,123.709999,126.199997,123.559998,125.190002,1209900,124.661423
2013-06-18,125.309998,126.269997,124.459999,126.260002,852500,125.726905
2013-06-19,126.129997,126.989998,125.230003,125.230003,702600,124.701255
2013-06-20,123.540001,123.629997,119.510002,120.32,779100,119.811983
2013-06-21,121.230003,121.580002,118.099998,121.0,1683200,120.489112
2013-06-24,121.0,122.559998,118.5,121.129997,1031900,120.61856
2013-06-25,122.239998,123.82,121.120003,123.419998,893900,122.898892
2013-06-26,125.309998,125.900002,123.610001,124.150002,756300,123.625814
2013-06-27,124.300003,125.650002,124.239998,125.010002,616100,124.482183
2013-06-28,124.540001,126.389999,124.239998,125.050003,981600,124.522015
2013-07-01,126.650002,128.580002,126.290001,126.910004,704100,126.374162
2013-07-02,126.57,127.809998,125.050003,125.580002,653700,125.049776
2013-07-03,124.309998,126.629997,124.089996,126.040001,266300,125.507833
2013-07-05,126.709999,127.279999,125.82,126.860001,422400,126.324371
2013-07-08,127.5,128.5,127.07,128.279999,509900,127.738373
2013-07-09,129.0,130.949997,128.550003,130.860001,710700,130.307482
2013-07-10,130.639999,132.070007,130.149994,131.940002,682400,131.382923
2013-07-11,133.619995,133.740005,130.820007,131.479996,849400,130.924859
2013-07-12,131.429993,132.179993,130.070007,131.179993,670600,130.626123
2013-07-15,131.419998,132.039993,130.259995,130.610001,681000,130.058537
2013-07-16,130.570007,130.75,127.550003,128.039993,824200,127.499381
2013-07-17,128.570007,128.940002,126.889999,127.32,611200,126.782427
2013-07-18,127.550003,129.679993,127.370003,129.410004,426300,128.863607
2013-07-19,129.380005,129.919998,128.100006,129.649994,431900,129.102584
2013-07-22,129.460007,130.529999,129.460007,130.0,664700,129.451112
2013-07-23,130.25,131.059998,128.690002,130.940002,718200,130.387146
2013-07-24,131.169998,131.990005,130.720001,131.199997,991800,130.646042
2013-07-25,130.919998,133.270004,130.479996,132.399994,773100,131.840973
2013-07-26,131.169998,132.259995,131.0,132.160004,423100,131.601996
2013-07-29,132.25,132.869995,131.559998,131.960007,412000,131.402843
2013-07-30,132.360001,133.339996,131.380005,132.149994,315400,131.592028
2013-07-31,132.919998,133.660004,131.710007,131.789993,459200,131.233548
