Date,Open_AFL,High_AFL,Low_AFL,Close_AFL,Volume_AFL,AdjClose_AFL
2013-06-14,57.700001,58.459999,57.16,57.509998,2762300,53.3972
2013-06-17,57.869999,58.049999,57.34,57.580002,2822800,53.462198
2013-06-18,57.73,57.959999,57.490002,57.77,2489000,53.638608
2013-06-19,57.900002,58.75,57.220001,57.34,3577600,53.239359
2013-06-20,56.75,57.529999,56.720001,56.950001,2863700,52.877251
2013-06-21,57.57,57.57,56.369999,56.66,3385500,52.607989
2013-06-24,56.189999,56.330002,55.200001,55.68,2630100,51.698074
2013-06-25,56.130001,57.119999,55.84,56.82,2180600,52.756547
2013-06-26,57.450001,57.66,56.84,57.259998,1602700,53.165079
2013-06-27,57.650002,58.32,57.41,58.200001,2742700,54.037858
2013-06-28,58.049999,58.540001,57.450001,58.119999,2605500,53.963577
2013-07-01,58.529999,58.630001,57.470001,57.669998,2654000,53.545758
2013-07-02,57.529999,57.860001,56.619999,56.790001,2690900,52.728693
2013-07-03,56.459999,56.75,56.080002,56.599998,1339000,52.552279
2013-07-05,56.990002,57.25,56.57,57.16,1884500,53.072232
2013-07-08,57.389999,58.259998,57.380001,58.02,2144500,53.87073
2013-07-09,58.34,58.68,58.0,58.52,1910500,54.334973
2013-07-10,58.380001,58.700001,58.09,58.5,1627800,54.316402
2013-07-11,59.07,59.380001,58.669998,59.25,1874500,55.012767
2013-07-12,59.310001,59.369999,58.419998,59.139999,1845600,54.910633
2013-07-15,59.060001,59.130001,58.52,58.900002,2083500,54.687798
2013-07-16,58.93,59.330002,58.919998,59.18,1932600,54.947773
2013-07-17,59.310001,59.57,58.93,59.049999,1314700,54.827069
2013-07-18,59.349998,59.630001,59.080002,59.330002,1907400,55.087047
2013-07-19,59.439999,59.490002,58.669998,59.389999,3448000,55.142754
2013-07-22,59.41,60.330002,59.279999,60.18,1756100,55.876258
2013-07-23,60.369999,60.5,59.57,59.720001,2382100,55.449156
2013-07-24,59.98,61.290001,58.889999,60.900002,4729000,56.544769
2013-07-25,60.669998,60.689999,59.75,60.459999,2500600,56.136233
2013-07-26,60.209999,61.119999,59.709999,61.09,1980200,56.72118
2013-07-29,61.07,61.349998,60.59,61.009998,1417200,56.6469
2013-07-30,61.189999,61.470001,60.759998,60.849998,1815200,56.498342
2013-07-31,60.790001,62.549999,60.02,61.68,3662700,57.268987
2013-08-01,62.389999,63.630001,62.209999,63.540001,2874500,58.99597
2013-08-02,63.369999,63.369999,62.080002,62.259998,2201800,57.807506
2013-08-05,62.380001,62.509998,61.82,62.09,1954400,57.649666
2013-08-06,62.040001,62.380001,61.310001,61.709999,1823900,57.29684
2013-08-07,61.389999,61.549999,61.099998,61.279999,1418400,56.897591
2013-08-08,61.459999,62.16,61.0,61.91,2086400,57.482538
2013-08-09,61.799999,62.029999,61.240002,61.52,2013400,57.120429
2013-08-12,60.98,61.619999,60.939999,61.529999,1714600,57.129712
2013-08-13,61.549999,62.049999,61.209999,61.950001,1536400,57.519678
2013-08-14,61.889999,61.98,61.380001,61.68,1652000,57.268987
2013-08-15,60.959999,61.139999,60.169998,60.389999,2437600,56.07124
2013-08-16,60.23,60.799999,60.110001,60.540001,2546600,56.210514
2013-08-19,60.0,60.16,59.470001,59.490002,2132900,55.556798
2013-08-20,59.490002,60.02,59.029999,59.82,1204400,55.864978
2013-08-21,59.790001,59.790001,58.98,59.27,1719000,55.351342
