Date,Open_ISRG,High_ISRG,Low_ISRG,Close_ISRG,Volume_ISRG,AdjClose_ISRG
2013-06-14,504.5,505.720001,497.970001,498.309998,210900,498.309998
2013-06-17,503.230011,504.940002,498.040009,499.320007,265200,499.320007
2013-06-18,503.0,510.880005,500.429993,509.609985,541800,509.609985
2013-06-19,510.5,516.070007,508.51001,510.0,281000,510.0
2013-06-20,506.820007,509.179993,496.450012,497.51001,309400,497.51001
2013-06-21,500.25,505.089996,498.0,502.880005,325200,502.880005
2013-06-24,498.5,508.649994,495.339996,504.170013,267000,504.170013
2013-06-25,506.829987,508.399994,498.660004,501.700012,163200,501.700012
2013-06-26,497.950012,510.540009,497.5,503.899994,241400,503.899994
2013-06-27,506.420013,507.609985,500.98999,502.190002,156700,502.190002
2013-06-28,500.0,508.940002,498.649994,506.130005,288800,506.130005
2013-07-01,509.200012,509.200012,500.670013,501.549988,275400,501.549988
2013-07-02,499.790009,507.230011,499.01001,501.190002,277100,501.190002
2013-07-03,500.299988,503.779999,499.309998,499.720001,116700,499.720001
2013-07-05,504.450012,506.619995,500.920013,504.01001,158000,504.01001
2013-07-08,503.899994,505.660004,498.390015,500.079987,398900,500.079987
2013-07-09,428.0,429.880005,406.690002,419.299988,5576300,419.299988
2013-07-10,417.540009,428.390015,416.98999,422.679993,1191100,422.679993
2013-07-11,424.25,430.5,422.119995,430.0,600800,430.0
2013-07-12,429.619995,432.5,423.149994,429.040009,660500,429.040009
2013-07-15,427.559998,428.399994,417.799988,426.779999,899900,426.779999
2013-07-16,426.5,427.809998,418.359985,422.130005,429200,422.130005
2013-07-17,423.0,425.0,413.070007,415.540009,769800,415.540009
2013-07-18,415.579987,425.399994,415.0,421.470001,766300,421.470001
2013-07-19,366.0,393.170013,357.019989,392.670013,4673500,392.670013
2013-07-22,393.329987,399.869995,392.179993,395.910004,830800,395.910004
2013-07-23,396.209991,398.970001,391.399994,394.619995,670400,394.619995
2013-07-24,393.600006,395.75,382.119995,383.959991,703900,383.959991
2013-07-25,380.75,383.950012,370.589996,375.329987,940100,375.329987
2013-07-26,374.0,383.890015,369.309998,382.290009,495100,382.290009
2013-07-29,397.299988,401.0,386.190002,391.0,1409500,391.0
2013-07-30,391.459991,393.76001,384.0,385.820007,924400,385.820007
2013-07-31,386.829987,392.390015,384.079987,388.0,866800,388.0
2013-08-01,389.089996,395.790009,388.5,392.459991,641900,392.459991
2013-08-02,390.390015,394.160004,389.0,393.649994,490100,393.649994
2013-08-05,391.809998,394.0,389.190002,393.630005,252000,393.630005
2013-08-06,393.48999,394.76001,392.269989,392.929993,333700,392.929993
2013-08-07,393.410004,393.720001,386.200012,389.940002,368600,389.940002
2013-08-08,390.75,394.959991,389.549988,394.619995,249100,394.619995
2013-08-09,394.779999,395.730011,388.0,391.869995,263300,391.869995
2013-08-12,391.700012,393.959991,387.769989,388.579987,240600,388.579987
2013-08-13,389.5,390.5,378.589996,385.600006,439300,385.600006
2013-08-14,386.410004,387.940002,383.429993,385.940002,206600,385.940002
2013-08-15,383.619995,385.040009,380.929993,383.730011,253300,383.730011
2013-08-16,383.029999,384.380005,377.309998,378.329987,423100,378.329987
2013-08-19,379.329987,386.980011,375.540009,384.950012,650600,384.950012
2013-08-20,385.820007,391.76001,384.480011,385.450012,324500,385.450012
2013-08-21,385.109985,388.700012,383.5,386.899994,197600,386.899994
2013-08-22,386.48999,390.799988,384.049988,390.140015,126400,390.140015
2013-08-23,391.950012,391.950012,388.089996,390.089996,205000,390.089996
2013-08-26,391.049988,394.0,389.269989,391.690002,225800,391.690002
2013-08-27,390.040009,390.040009,384.709991,386.220001,310200,386.220001
2013-08-28,387.140015,390.679993,385.420013,387.440002,461700,387.440002
2013-08-29,385.619995,389.679993,383.339996,384.600006,246600,384.600006
2013-08-30,384.01001,390.109985,381.929993,386.519989,285400,386.519989
2013-09-03,388.190002,390.48999,384.529999,385.170013,301000,385.170013
2013-09-04,383.339996,388.480011,383.339996,387.320007,538200,387.320007
2013-09-05,388.170013,388.76001,383.720001,384.440002,275800,384.440002
2013-09-06,384.890015,386.600006,381.0,384.690002,318300,384.690002
2013-09-09,384.329987,387.619995,383.809998,384.899994,395400,384.899994
2013-09-10,385.0,387.140015,376.880005,376.970001,717600,376.970001
2013-09-11,377.76001,378.48999,374.339996,376.5,562000,376.5
2013-09-12,375.51001,378.670013,370.359985,372.679993,1020400,372.679993
2013-09-13,373.470001,376.779999,370.679993,375.0,715400,375.0
2013-09-16,377.01001,379.700012,374.730011,375.070007,253900,375.070007
2013-09-17,374.0,374.790009,373.01001,373.959991,839400,373.959991
2013-09-18,374.820007,375.0,370.309998,372.5,416000,372.5
2013-09-19,372.630005,375.5,369.109985,369.980011,472100,369.980011
2013-09-20,371.429993,375.73999,368.459991,374.690002,1069300,374.690002
2013-09-23,373.309998,375.369995,370.029999,370.829987,280100,370.829987
2013-09-24,370.630005,370.820007,363.450012,363.890015,475800,363.890015
2013-09-25,378.170013,379.98999,365.540009,367.309998,669100,367.309998
2013-09-26,367.670013,371.320007,365.0,368.390015,408700,368.390015
2013-09-27,366.339996,371.399994,365.970001,367.459991,406000,367.459991
2013-09-30,366.350006,377.98999,364.290009,376.269989,587100,376.269989
2013-10-01,375.450012,377.019989,370.570007,372.399994,425400,372.399994
2013-10-02,371.589996,375.450012,368.609985,369.600006,303600,369.600006
2013-10-03,370.320007,370.450012,358.019989,360.940002,829100,360.940002
2013-10-04,360.920013,365.869995,360.279999,364.279999,368100,364.279999
2013-10-07,362.76001,382.309998,362.290009,380.98999,769500,380.98999
2013-10-08,381.290009,401.299988,380.959991,381.230011,1284300,381.230011
2013-10-09,383.450012,391.630005,382.899994,389.160004,751200,389.160004
2013-10-10,392.380005,392.429993,384.410004,387.209991,399000,387.209991
2013-10-11,385.209991,392.190002,383.769989,390.179993,192500,390.179993
2013-10-14,388.140015,405.450012,385.209991,401.679993,485200,401.679993
2013-10-15,401.160004,403.769989,389.679993,390.209991,418700,390.209991
2013-10-16,393.049988,403.459991,392.859985,401.329987,420200,401.329987
2013-10-17,401.0,408.890015,395.23999,399.130005,1032900,399.130005
2013-10-18,370.220001,385.5,369.98999,376.519989,2123400,376.519989
2013-10-21,376.570007,376.570007,366.0,372.019989,877200,372.019989
2013-10-22,371.410004,373.880005,367.459991,368.299988,560700,368.299988
2013-10-23,366.790009,376.880005,365.570007,374.980011,495900,374.980011
2013-10-24,377.26001,378.769989,366.0,370.290009,324800,370.290009
2013-10-25,369.890015,371.209991,365.079987,369.130005,389200,369.130005
2013-10-28,370.0,377.630005,367.709991,375.600006,535300,375.600006
2013-10-29,374.880005,381.209991,372.609985,377.670013,664800,377.670013
2013-10-30,379.0,379.0,373.600006,374.709991,350700,374.709991
2013-10-31,375.0,378.380005,370.23999,371.5,495300,371.5
2013-11-01,373.850006,374.109985,368.75,372.029999,432100,372.029999
2013-11-04,372.839996,384.679993,372.25,382.230011,546500,382.230011
2013-11-05,380.420013,381.890015,374.730011,374.880005,408000,374.880005
2013-11-06,376.01001,378.269989,374.140015,377.170013,194300,377.170013
2013-11-07,379.850006,380.160004,375.829987,379.579987,310000,379.579987
2013-11-08,378.640015,390.660004,377.100006,389.829987,398400,389.829987
2013-11-11,390.829987,398.0,387.609985,395.380005,545800,395.380005
2013-11-12,392.070007,398.549988,391.5,396.040009,455500,396.040009
2013-11-13,396.0,397.730011,391.709991,396.25,247100,396.25
2013-11-14,397.029999,398.0,395.140015,397.269989,141600,397.269989
2013-11-15,393.5,396.809998,387.670013,394.440002,351500,394.440002
2013-11-18,394.48999,398.790009,389.880005,392.970001,296000,392.970001
2013-11-19,393.350006,398.350006,391.25,394.579987,142900,394.579987
2013-11-20,395.660004,397.970001,393.070007,394.51001,139300,394.51001
2013-11-21,394.269989,395.109985,388.220001,390.519989,214000,390.519989
2013-11-22,389.100006,391.829987,387.019989,389.709991,141800,389.709991
2013-11-25,388.929993,390.339996,383.109985,384.5,197100,384.5
2013-11-26,381.540009,383.779999,373.339996,374.51001,474400,374.51001
2013-11-27,376.450012,378.600006,374.100006,378.01001,217400,378.01001
2013-11-29,378.420013,378.98999,374.279999,376.899994,138600,376.899994
2013-12-02,378.220001,378.5,374.380005,375.480011,195300,375.480011
2013-12-03,373.980011,375.51001,372.119995,372.809998,273300,372.809998
2013-12-04,367.48999,372.480011,362.220001,370.679993,776100,370.679993
2013-12-05,370.880005,371.950012,365.350006,367.839996,269800,367.839996
2013-12-06,380.73999,381.600006,373.690002,377.380005,511200,377.380005
2013-12-09,376.390015,377.589996,372.5,376.589996,360300,376.589996
2013-12-10,376.589996,381.519989,375.100006,379.519989,319400,379.519989
2013-12-11,378.619995,378.619995,364.720001,366.619995,567900,366.619995
2013-12-12,365.440002,370.859985,365.029999,368.299988,483200,368.299988
2013-12-13,366.769989,371.029999,362.540009,362.940002,423600,362.940002
2013-12-16,363.970001,369.649994,362.0,362.279999,511300,362.279999
2013-12-17,360.859985,364.0,351.140015,355.929993,750700,355.929993
2013-12-18,356.519989,362.809998,354.5,361.23999,552600,361.23999
2013-12-19,359.410004,361.540009,355.25,359.100006,409900,359.100006
2013-12-20,359.170013,364.970001,357.0,364.350006,1054700,364.350006
2013-12-23,365.01001,373.089996,363.619995,371.209991,478100,371.209991
2013-12-24,371.220001,374.5,369.140015,370.959991,185600,370.959991
2013-12-26,372.350006,375.75,370.0,374.779999,397200,374.779999
2013-12-27,374.26001,383.540009,373.470001,379.98999,420600,379.98999
2013-12-30,379.940002,383.549988,377.929993,383.070007,326500,383.070007
