Date,Open_NOC,High_NOC,Low_NOC,Close_NOC,Volume_NOC,AdjClose_NOC
2013-06-14,82.730003,83.68,82.599998,82.879997,1006000,78.03343
2013-06-17,83.279999,84.300003,83.260002,83.669998,1000500,78.777234
2013-06-18,83.790001,84.339996,83.269997,83.93,1229000,79.022032
2013-06-19,83.860001,84.32,82.970001,82.980003,1171200,78.127588
2013-06-20,82.300003,83.160004,81.949997,81.970001,1455400,77.176648
2013-06-21,82.559998,82.769997,81.839996,81.849998,2789600,77.063662
2013-06-24,81.419998,81.800003,80.68,81.07,1488400,76.329275
2013-06-25,81.669998,81.730003,80.639999,80.709999,1563800,75.990327
2013-06-26,81.5,82.120003,81.339996,81.839996,1519400,77.054245
2013-06-27,82.449997,83.449997,82.370003,83.209999,951900,78.344134
2013-06-28,83.0,83.57,82.559998,82.800003,1135200,77.958113
2013-07-01,82.779999,84.0,82.510002,83.349998,909000,78.475947
2013-07-02,83.080002,83.239998,81.800003,82.169998,1168500,77.364949
2013-07-03,81.989998,83.199997,81.739998,82.93,711900,78.080509
2013-07-05,83.18,83.970001,83.029999,83.949997,663800,79.040859
2013-07-08,84.440002,85.199997,84.07,85.089996,1516100,80.114195
2013-07-09,85.510002,86.0,85.0,85.529999,1056300,80.528467
2013-07-10,85.529999,87.190002,85.5,86.900002,1710000,81.818357
2013-07-11,87.709999,87.889999,87.370003,87.75,1336500,82.61865
2013-07-12,87.830002,88.120003,87.129997,88.019997,1741600,82.872858
2013-07-15,88.25,88.629997,88.010002,88.260002,1051400,83.098829
2013-07-16,88.470001,88.559998,87.169998,87.209999,1293500,82.110227
2013-07-17,87.400002,87.879997,87.260002,87.599998,1164800,82.47742
2013-07-18,86.75,88.349998,86.75,88.120003,1528600,82.967016
2013-07-19,87.800003,88.410004,87.800003,88.360001,1400800,83.192979
2013-07-22,88.669998,88.809998,88.290001,88.440002,936400,83.268303
2013-07-23,89.010002,89.300003,88.230003,88.760002,1718200,83.56959
2013-07-24,90.860001,92.989998,89.370003,90.300003,3091400,85.019537
2013-07-25,90.309998,90.57,89.730003,90.410004,1388800,85.123105
2013-07-26,90.040001,90.559998,89.730003,90.559998,1609500,85.264327
2013-07-29,90.220001,91.540001,90.209999,91.389999,1610300,86.045793
2013-07-30,91.769997,92.519997,90.419998,90.940002,2086800,85.622111
2013-07-31,90.900002,92.82,90.800003,92.059998,2936900,86.676612
2013-08-01,92.449997,93.489998,92.449997,93.089996,2324700,87.64638
2013-08-02,94.459999,96.260002,93.290001,94.889999,5320900,89.341124
2013-08-05,94.889999,95.620003,94.5,95.419998,1742800,89.84013
2013-08-06,95.300003,95.849998,94.790001,94.879997,1520600,89.331707
2013-08-07,94.360001,95.879997,94.360001,95.830002,1380000,90.226158
2013-08-08,96.089996,96.419998,95.550003,95.610001,1539000,90.019022
2013-08-09,95.599998,95.900002,95.040001,95.489998,1509700,89.906036
2013-08-12,95.410004,95.669998,94.889999,94.93,1148600,89.378786
2013-08-13,95.290001,95.580002,94.43,95.260002,1685600,89.68949
2013-08-14,95.209999,95.419998,94.690002,94.870003,1333400,89.322297
2013-08-15,93.980003,94.839996,93.449997,93.790001,1595100,88.30545
2013-08-16,93.57,94.639999,93.449997,94.019997,1587900,88.521996
2013-08-19,93.879997,94.980003,93.720001,93.739998,1476400,88.258371
2013-08-20,93.790001,94.470001,93.690002,93.739998,1668500,88.258371
2013-08-21,93.57,94.669998,93.519997,94.0,1282000,88.503169
2013-08-22,94.300003,94.860001,93.900002,94.029999,1021800,88.531414
2013-08-23,94.019997,94.690002,93.849998,94.57,1608500,89.039837
2013-08-26,94.809998,95.150002,94.260002,94.550003,1038100,89.02101
2013-08-27,94.400002,95.019997,92.830002,92.93,1274800,87.49574
2013-08-28,93.07,93.540001,92.599998,92.949997,1327900,87.514567
2013-08-29,92.470001,93.489998,91.989998,93.059998,891100,88.196944
2013-08-30,93.169998,93.349998,91.970001,92.269997,1011000,87.448227
2013-09-03,93.43,93.949997,92.889999,93.139999,1229000,88.272766
2013-09-04,92.949997,94.290001,92.949997,93.559998,1307100,88.670816
2013-09-05,93.610001,93.730003,93.260002,93.559998,1111500,88.670816
2013-09-06,93.709999,93.830002,92.32,93.120003,1033600,88.253814
2013-09-09,93.349998,93.830002,93.349998,93.510002,1009400,88.623433
2013-09-10,93.470001,94.720001,93.239998,94.449997,1378500,89.514306
2013-09-11,94.559998,95.110001,94.5,95.110001,1425200,90.13982
2013-09-12,95.040001,96.080002,95.040001,95.739998,1059900,90.736896
2013-09-13,96.050003,96.269997,95.25,96.190002,889200,91.163384
2013-09-16,97.040001,98.0,96.620003,97.790001,957800,92.679771
2013-09-17,97.720001,98.830002,97.599998,98.75,874200,93.589603
2013-09-18,98.720001,99.050003,97.440002,98.589996,1303700,93.437961
2013-09-19,98.610001,99.099998,98.019997,98.050003,910500,92.926186
2013-09-20,98.290001,98.300003,96.089996,96.300003,2412400,91.267636
2013-09-23,96.300003,96.730003,95.400002,95.860001,1470700,90.850627
2013-09-24,96.040001,96.459999,95.760002,95.949997,1249100,90.935921
2013-09-25,96.040001,96.120003,95.470001,95.730003,1052800,90.727423
2013-09-26,95.690002,96.449997,95.559998,96.370003,827300,91.333978
2013-09-27,96.110001,96.489998,95.639999,96.25,770000,91.220246
2013-09-30,95.449997,95.760002,95.150002,95.260002,1159700,90.281983
2013-10-01,95.190002,96.190002,95.0,96.139999,890000,91.115994
2013-10-02,95.839996,95.900002,94.379997,95.18,1436700,90.206162
2013-10-03,95.089996,95.089996,92.610001,93.080002,1579200,88.215903
2013-10-04,93.089996,93.529999,92.510002,93.32,1218700,88.44336
2013-10-07,92.919998,95.559998,92.82,94.980003,1828200,90.016616
2013-10-08,94.800003,95.0,93.690002,94.089996,1450300,89.173118
2013-10-09,94.099998,94.639999,93.330002,94.099998,1290200,89.182598
2013-10-10,94.849998,97.110001,94.82,97.099998,1169600,92.025826
