Date,Open_ROST,High_ROST,Low_ROST,Close_ROST,Volume_ROST,AdjClose_ROST
2013-06-14,65.339996,65.949997,64.220001,64.860001,2738800,31.483338
2013-06-17,65.410004,65.410004,63.98,64.540001,1943400,31.328008
2013-06-18,64.360001,65.449997,64.339996,65.309998,1625800,31.701768
2013-06-19,65.150002,65.720001,64.139999,64.239998,1645600,31.182385
2013-06-20,63.75,63.869999,63.029999,63.400002,2320800,30.774647
2013-06-21,63.860001,64.190002,62.939999,63.799999,4468200,30.968808
2013-06-24,63.529999,63.849998,62.650002,63.290001,2410200,30.721253
2013-06-25,63.889999,64.370003,63.0,63.830002,2501600,30.983371
2013-06-26,64.18,64.720001,63.709999,63.720001,2247000,30.929977
2013-06-27,64.110001,65.230003,64.110001,64.800003,2249000,31.454214
2013-06-28,64.43,65.730003,64.43,64.809998,4223600,31.459066
2013-07-01,65.300003,65.93,65.150002,65.400002,2756000,31.745456
2013-07-02,65.5,65.940002,65.139999,65.449997,1699200,31.769724
2013-07-03,64.790001,65.589996,64.639999,65.389999,960800,31.740601
2013-07-05,65.980003,66.559998,65.07,66.120003,1498800,32.094948
2013-07-08,66.510002,67.169998,66.110001,66.5,2562800,32.279401
2013-07-09,66.93,67.360001,66.43,66.449997,2697000,32.255129
2013-07-10,66.139999,67.199997,66.139999,67.0,2508600,32.522103
2013-07-11,67.470001,67.540001,66.879997,67.239998,2498600,32.638599
2013-07-12,67.25,67.769997,66.699997,67.050003,3087000,32.546375
2013-07-15,67.199997,67.330002,66.629997,66.68,2241000,32.366774
2013-07-16,66.800003,67.239998,66.220001,66.220001,2181200,32.143488
2013-07-17,66.489998,66.879997,65.720001,66.059998,2429600,32.065821
2013-07-18,66.370003,66.879997,66.059998,66.57,3895600,32.313379
2013-07-19,67.0,67.080002,66.419998,66.790001,3281800,32.420168
2013-07-22,67.559998,67.559998,66.470001,67.489998,2953000,32.75995
2013-07-23,67.349998,67.470001,66.669998,67.050003,2706000,32.546375
2013-07-24,67.25,67.43,66.339996,66.629997,1596000,32.342502
2013-07-25,66.269997,67.400002,66.269997,67.169998,2400800,32.604621
2013-07-26,66.919998,67.209999,66.300003,67.139999,1478000,32.590059
2013-07-29,66.739998,67.209999,66.419998,67.089996,1433800,32.565788
2013-07-30,67.099998,67.75,66.919998,67.18,1929400,32.609476
2013-07-31,67.309998,67.940002,67.129997,67.489998,2111400,32.75995
2013-08-01,67.900002,69.360001,67.849998,69.199997,2156600,33.589991
2013-08-02,68.900002,69.18,68.440002,68.93,2872200,33.458934
2013-08-05,68.660004,69.18,68.519997,68.809998,1491600,33.400684
2013-08-06,68.43,68.480003,67.339996,67.75,4569600,32.886156
