Date,Open_MCO,High_MCO,Low_MCO,Close_MCO,Volume_MCO,AdjClose_MCO
2013-06-14,62.73,63.0,61.889999,62.200001,1045700,59.674269
2013-06-17,62.82,62.93,62.0,62.189999,1473300,59.664673
2013-06-18,62.32,62.82,62.009998,62.610001,978600,60.06762
2013-06-19,62.52,62.799999,60.970001,61.009998,1349400,58.532589
2013-06-20,60.360001,60.84,58.66,58.799999,1990300,56.41233
2013-06-21,59.259998,59.490002,57.959999,58.880001,1747300,56.489083
2013-06-24,58.080002,58.209999,56.75,57.639999,1409500,55.299434
2013-06-25,58.529999,59.5,58.110001,58.43,1233100,56.057356
2013-06-26,58.939999,59.299999,58.560001,58.82,1090500,56.431518
2013-06-27,59.299999,61.009998,58.82,60.830002,1672200,58.359901
2013-06-28,60.689999,61.470001,60.57,60.93,2563800,58.455839
2013-07-01,61.169998,62.650002,61.169998,61.299999,2147200,58.810814
2013-07-02,61.02,61.93,60.290001,60.450001,1058400,57.995331
2013-07-03,60.119999,60.52,59.689999,60.040001,656900,57.60198
2013-07-05,60.490002,60.799999,59.849998,60.740002,942400,58.273556
2013-07-08,61.080002,62.150002,61.060001,61.259998,1224700,58.772437
2013-07-09,61.959999,62.18,61.419998,61.66,1681500,59.156196
2013-07-10,61.549999,61.93,59.73,60.029999,2095300,57.592384
2013-07-11,61.25,62.25,60.919998,61.34,2107600,58.84919
2013-07-12,61.529999,61.68,60.790001,61.040001,1456900,58.561373
2013-07-15,61.099998,61.200001,60.389999,60.799999,1472000,58.331117
2013-07-16,60.799999,61.040001,59.869999,60.330002,1070300,57.880204
2013-07-17,60.720001,61.509998,60.23,60.639999,1500700,58.177614
2013-07-18,60.880001,61.869999,60.810001,61.75,985200,59.242541
2013-07-19,61.75,61.830002,61.16,61.759998,767600,59.252134
2013-07-22,61.650002,62.18,61.459999,61.889999,768300,59.376856
2013-07-23,61.93,63.240002,61.84,62.310001,1544200,59.779803
2013-07-24,64.019997,67.050003,63.950001,64.68,3195600,62.053564
2013-07-25,64.370003,64.860001,63.779999,64.559998,1510100,61.938434
2013-07-26,64.220001,64.419998,63.610001,64.370003,1559100,61.756155
2013-07-29,64.059998,64.870003,64.059998,64.720001,772600,62.091941
2013-07-30,65.150002,66.779999,64.910004,66.550003,1748300,63.847633
