Date,Open_HAR,High_HAR,Low_HAR,Close_HAR,Volume_HAR,AdjClose_HAR
2013-06-14,51.68,52.009998,51.41,51.639999,660700,49.556309
2013-06-17,52.119999,53.25,52.110001,52.860001,732600,50.727083
2013-06-18,52.959999,53.16,52.549999,52.889999,494400,50.755871
2013-06-19,52.830002,52.970001,51.950001,51.98,404200,49.88259
2013-06-20,51.349998,51.759998,49.970001,50.139999,710800,48.116834
2013-06-21,50.669998,50.77,48.790001,49.599998,584400,47.598623
2013-06-24,48.619999,48.82,47.59,48.290001,767700,46.341484
2013-06-25,48.990002,49.32,48.59,48.830002,724700,46.859696
2013-06-26,49.290001,51.360001,48.950001,51.25,1386900,49.182046
2013-06-27,51.880001,53.82,51.880001,53.619999,978800,51.456415
2013-06-28,53.470001,55.169998,53.110001,54.200001,1036800,52.013013
2013-07-01,54.580002,55.91,54.419998,55.57,816000,53.327733
2013-07-02,55.52,55.52,54.07,54.279999,1174900,52.089784
2013-07-03,53.82,54.369999,53.099998,53.369999,651400,51.216503
2013-07-05,53.860001,54.5,53.119999,54.48,654600,52.281714
2013-07-08,54.740002,54.959999,54.240002,54.349998,496200,52.156959
2013-07-09,54.970001,55.099998,54.330002,54.830002,1213800,52.617594
2013-07-10,54.709999,54.939999,53.689999,54.18,599500,51.99382
2013-07-11,55.0,55.029999,54.48,54.950001,632300,52.732751
2013-07-12,54.950001,55.560001,54.700001,55.25,857500,53.020645
2013-07-15,55.470001,55.779999,55.240002,55.32,558000,53.08782
2013-07-16,55.360001,55.490002,54.18,54.490002,529600,52.291313
2013-07-17,54.610001,55.200001,54.32,54.57,460600,52.368083
2013-07-18,54.84,56.18,54.580002,55.849998,761700,53.596433
2013-07-19,55.75,56.09,55.18,56.060001,543700,53.797962
2013-07-22,55.990002,57.5,55.98,57.169998,586400,54.863171
2013-07-23,57.259998,58.419998,57.259998,57.990002,677900,55.650087
2013-07-24,58.16,58.369999,57.450001,57.830002,504800,55.496543
2013-07-25,57.529999,58.689999,57.439999,58.66,368700,56.29305
2013-07-26,58.16,58.75,57.900002,58.720001,392200,56.350631
2013-07-29,58.389999,58.93,58.389999,58.759998,377400,56.389014
2013-07-30,59.049999,59.369999,58.779999,59.150002,518100,56.76328
2013-07-31,59.360001,61.029999,59.240002,60.529999,779800,58.087594
2013-08-01,61.0,61.400002,60.389999,60.450001,1203500,58.010824
2013-08-02,60.209999,60.849998,60.18,60.669998,651100,58.221944
2013-08-05,60.169998,60.630001,59.450001,59.540001,773800,57.137543
2013-08-06,59.77,62.0,58.59,59.09,1093600,56.7057
2013-08-07,59.009998,59.209999,58.119999,58.619999,1191900,56.254663
2013-08-08,59.619999,65.230003,59.5,64.900002,2932700,62.281266
2013-08-09,65.019997,69.300003,64.370003,68.790001,3891700,66.014303
2013-08-12,68.330002,71.660004,68.330002,70.919998,2286400,68.058354
2013-08-13,70.900002,71.620003,70.669998,70.699997,1579600,67.84723
2013-08-14,70.489998,71.150002,68.879997,68.989998,948700,66.488358
2013-08-15,67.889999,68.099998,66.730003,67.989998,1111900,65.524619
2013-08-16,67.940002,68.190002,67.099998,67.110001,787900,64.676531
2013-08-19,66.949997,67.900002,66.68,67.339996,773100,64.898187
