Date,Open_PG,High_PG,Low_PG,Close_PG,Volume_PG,AdjClose_PG
2013-06-14,78.489998,78.790001,77.669998,78.029999,6825900,70.931416
2013-06-17,78.260002,79.470001,78.25,78.959999,7359900,71.776812
2013-06-18,78.949997,79.230003,78.699997,79.040001,6051400,71.849536
2013-06-19,79.050003,79.470001,77.589996,77.610001,7424500,70.549626
2013-06-20,77.209999,77.330002,75.099998,75.25,15555700,68.404321
2013-06-21,76.25,77.529999,75.690002,77.43,20055700,70.386001
2013-06-24,76.949997,77.43,75.629997,76.580002,12563300,69.613329
2013-06-25,77.099998,77.239998,76.290001,76.690002,7909400,69.713322
2013-06-26,77.230003,77.589996,77.019997,77.400002,7326500,70.358731
2013-06-27,77.959999,78.379997,77.57,77.669998,14731500,70.604166
2013-06-28,77.620003,77.940002,76.900002,76.989998,9865300,69.986027
2013-07-01,77.019997,78.449997,77.0,78.019997,6699200,70.922324
2013-07-02,77.949997,78.610001,77.709999,78.440002,10228500,71.304121
2013-07-03,78.279999,78.75,77.43,78.57,5339900,71.422292
2013-07-05,78.889999,79.019997,77.779999,78.339996,7264700,71.213212
2013-07-08,78.540001,79.080002,78.5,78.760002,11141400,71.595009
2013-07-09,79.07,79.900002,79.07,79.57,11456200,72.331319
2013-07-10,79.650002,80.099998,79.300003,79.800003,6862800,72.540399
2013-07-11,80.550003,80.989998,80.290001,80.769997,9185400,73.422149
2013-07-12,80.669998,81.639999,80.669998,81.550003,12586300,74.131197
2013-07-15,81.370003,81.589996,80.849998,81.510002,10024700,74.094835
2013-07-16,81.32,81.370003,80.910004,80.970001,11208600,73.603959
2013-07-17,80.489998,80.849998,80.010002,80.089996,7644300,73.349353
2013-07-18,80.029999,80.75,80.029999,80.300003,5526000,73.541684
2013-07-19,80.360001,81.410004,80.050003,81.370003,7862600,74.521629
2013-07-22,81.230003,81.449997,80.900002,81.220001,4813600,74.384252
2013-07-23,81.220001,81.400002,80.779999,80.949997,4311700,74.136973
2013-07-24,80.949997,81.0,80.129997,80.269997,5606600,73.514203
2013-07-25,80.010002,80.57,79.839996,80.410004,6239900,73.642427
2013-07-26,80.019997,80.419998,79.389999,80.389999,6543500,73.624106
2013-07-29,80.099998,80.449997,80.050003,80.089996,4389400,73.349353
2013-07-30,80.489998,80.900002,80.160004,80.440002,6434100,73.669901
2013-07-31,80.440002,81.410004,80.160004,80.300003,11857000,73.541684
2013-08-01,81.620003,82.230003,81.209999,81.639999,10724800,74.768902
2013-08-02,81.419998,81.5,80.559998,81.290001,6626300,74.448361
2013-08-05,81.050003,81.650002,80.959999,81.400002,4662800,74.549103
2013-08-06,81.300003,81.970001,81.300003,81.739998,6212500,74.860484
2013-08-07,81.410004,82.209999,81.379997,81.959999,5828500,75.06197
2013-08-08,82.110001,82.400002,81.510002,82.169998,6207900,75.254294
2013-08-09,81.919998,82.059998,81.190002,81.639999,6127200,74.768902
2013-08-12,81.230003,81.730003,81.040001,81.620003,4922200,74.750588
2013-08-13,81.779999,81.989998,81.330002,81.660004,4936400,74.787223
2013-08-14,81.669998,81.779999,81.190002,81.25,5167500,74.411726
2013-08-15,80.959999,81.080002,80.169998,80.480003,7415300,73.706535
2013-08-16,80.269997,80.480003,79.059998,79.900002,9451600,73.175348
2013-08-19,79.639999,80.089996,79.419998,79.589996,5959400,72.891434
2013-08-20,79.720001,80.099998,79.279999,79.529999,5172500,72.836486
2013-08-21,79.5,80.120003,79.050003,79.379997,7390900,72.699109
2013-08-22,79.300003,80.050003,78.870003,79.769997,6274400,73.056285
2013-08-23,79.870003,80.07,79.589996,80.010002,5219600,73.276091
2013-08-26,79.919998,79.980003,78.529999,78.540001,6385400,71.92981
2013-08-27,77.870003,78.360001,77.330002,77.970001,7052200,71.407783
2013-08-28,77.860001,77.860001,76.849998,76.849998,9008500,70.382044
2013-08-29,76.760002,77.839996,76.419998,77.309998,5961000,70.803328
2013-08-30,77.529999,78.07,73.610001,77.889999,9039100,71.334515
2013-09-03,78.269997,78.419998,77.440002,77.75,6743800,71.206298
2013-09-04,77.519997,77.75,77.120003,77.489998,6031300,70.968179
2013-09-05,77.580002,77.629997,76.830002,77.139999,7163200,70.647637
2013-09-06,77.120003,77.610001,76.400002,77.150002,6977400,70.656798
2013-09-09,77.370003,78.199997,77.370003,78.160004,6089300,71.581795
2013-09-10,78.5,78.639999,77.779999,77.949997,6650200,71.389463
2013-09-11,77.260002,78.269997,77.25,78.269997,7049800,71.68253
2013-09-12,78.400002,78.800003,78.169998,78.260002,6944900,71.673377
2013-09-13,78.440002,79.18,78.410004,79.050003,4894100,72.396889
2013-09-16,79.720001,80.209999,79.709999,80.160004,7512800,73.413468
2013-09-17,79.959999,80.25,79.639999,79.830002,5457700,73.11124
2013-09-18,79.059998,80.480003,78.529999,80.300003,10372100,73.541684
2013-09-19,80.5,80.529999,79.779999,80.120003,8157300,73.376833
2013-09-20,80.089996,80.18,79.389999,79.389999,11146100,72.70827
2013-09-23,79.199997,79.580002,78.669998,79.279999,6304900,72.607527
2013-09-24,78.970001,79.480003,78.589996,78.620003,7692100,72.003079
2013-09-25,78.839996,79.0,77.709999,77.720001,7589300,71.178824
2013-09-26,77.910004,78.139999,77.620003,78.050003,4632600,71.481052
2013-09-27,77.75,77.75,76.769997,77.209999,6551300,70.711746
2013-09-30,76.800003,77.160004,75.349998,75.589996,15028300,69.228088
2013-10-01,75.519997,76.5,75.440002,76.160004,8076100,69.750121
2013-10-02,75.910004,76.139999,75.419998,75.93,8522900,69.539476
2013-10-03,75.889999,76.139999,75.199997,75.839996,9251600,69.457047
2013-10-04,75.980003,76.120003,75.510002,76.019997,4984700,69.621898
2013-10-07,75.660004,76.099998,75.480003,75.650002,6373300,69.283043
2013-10-08,76.389999,77.0,76.050003,76.330002,9656600,69.905812
2013-10-09,76.580002,77.160004,76.099998,76.949997,8470700,70.473626
2013-10-10,77.410004,77.919998,77.150002,77.889999,10121900,71.334515
2013-10-11,78.0,78.489998,77.809998,78.480003,6082200,71.874862
2013-10-14,78.010002,78.800003,77.93,78.739998,6326100,72.112974
2013-10-15,78.379997,78.610001,77.440002,77.599998,11192500,71.068921
2013-10-16,77.349998,78.489998,77.260002,78.339996,6562600,72.307581
2013-10-17,78.190002,79.470001,77.980003,79.419998,8671300,73.30442
2013-10-18,79.389999,79.57,78.779999,79.410004,7958500,73.295195
2013-10-21,79.269997,79.32,78.440002,78.970001,6478700,72.889074
2013-10-22,79.309998,80.610001,79.279999,80.379997,9572300,74.190496
2013-10-23,80.339996,81.25,80.25,80.910004,8960700,74.67969
2013-10-24,80.769997,80.949997,80.25,80.610001,7521100,74.402789
2013-10-25,80.550003,80.720001,79.510002,80.0,9606500,73.83976
2013-10-28,80.110001,81.860001,79.949997,81.300003,9820900,75.039659
2013-10-29,81.459999,82.620003,81.099998,82.459999,9482900,76.110332
2013-10-30,82.529999,82.559998,81.230003,81.519997,6490000,75.242712
2013-10-31,81.199997,81.599998,80.720001,80.75,7786800,74.532008
2013-11-01,80.68,81.330002,80.639999,81.150002,6802300,74.901208
2013-11-04,81.459999,81.730003,80.910004,81.330002,5460100,75.067348
2013-11-05,81.129997,81.739998,80.849998,81.43,4949300,75.159646
2013-11-06,81.639999,83.099998,81.330002,82.809998,9526400,76.433379
2013-11-07,82.910004,83.099998,82.110001,82.32,10087700,75.981113
2013-11-08,82.279999,82.57,81.669998,82.510002,9768400,76.156484
2013-11-11,82.349998,82.68,82.019997,82.260002,6173600,75.925735
2013-11-12,82.230003,83.040001,82.120003,82.800003,8201700,76.424154
2013-11-13,82.57,83.5,82.459999,83.5,7581600,77.070249
2013-11-14,83.43,84.459999,83.43,84.32,7580500,77.827107
2013-11-15,84.169998,84.919998,84.160004,84.839996,9664700,78.307062
2013-11-18,84.790001,84.940002,84.18,84.57,8507300,78.057856
2013-11-19,84.309998,84.589996,84.209999,84.339996,7924200,77.845563
2013-11-20,84.309998,84.980003,84.239998,84.690002,7680900,78.168618
