Date,Open_BCR,High_BCR,Low_BCR,Close_BCR,Volume_BCR,AdjClose_BCR
2013-06-14,109.260002,112.279999,108.760002,111.040001,1467300,109.132615
2013-06-17,111.779999,111.949997,109.769997,110.629997,572400,108.729655
2013-06-18,111.050003,112.089996,110.779999,111.800003,484000,109.879563
2013-06-19,111.769997,112.360001,110.410004,110.580002,516000,108.680518
2013-06-20,110.160004,110.440002,108.809998,109.0,696000,107.127657
2013-06-21,109.800003,110.849998,109.459999,110.099998,864800,108.20876
2013-06-24,109.540001,110.339996,108.699997,109.129997,968500,107.255421
2013-06-25,109.669998,109.989998,108.709999,108.75,739700,106.881951
2013-06-26,109.470001,109.699997,108.169998,108.389999,650400,106.528134
2013-06-27,108.400002,109.07,107.599998,108.550003,668600,106.685389
2013-06-28,108.699997,110.239998,107.879997,108.68,1029500,106.813154
2013-07-01,108.540001,109.160004,107.650002,108.169998,903400,106.311912
2013-07-02,107.900002,108.68,107.370003,107.580002,519700,105.73205
2013-07-03,107.199997,107.690002,106.720001,107.300003,239100,105.456861
2013-07-05,107.529999,108.410004,107.199997,108.410004,378800,106.547795
2013-07-08,108.75,109.709999,108.599998,109.089996,355300,107.216107
2013-07-09,109.220001,109.970001,108.230003,108.449997,477100,106.587101
2013-07-10,108.129997,109.589996,107.879997,109.440002,436900,107.560101
2013-07-11,109.839996,111.190002,109.029999,110.459999,339600,108.562577
2013-07-12,110.389999,111.209999,110.360001,111.160004,377100,109.250557
2013-07-15,111.900002,112.07,110.739998,112.019997,480600,110.095777
2013-07-16,111.82,112.660004,111.720001,111.989998,628600,110.066294
2013-07-17,112.129997,112.550003,111.879997,112.330002,427900,110.400457
2013-07-18,112.279999,113.5,111.830002,113.239998,481600,111.503278
2013-07-19,113.43,114.550003,112.849998,114.169998,631300,112.419015
2013-07-22,114.0,114.150002,113.209999,113.650002,483600,111.906993
2013-07-23,113.519997,113.709999,112.07,113.379997,582400,111.64113
2013-07-24,114.050003,115.0,112.019997,112.540001,725700,110.814016
2013-07-25,112.57,113.5,112.199997,113.269997,419100,111.532816
2013-07-26,113.260002,114.480003,110.0,114.459999,541900,112.704568
2013-07-29,114.050003,114.389999,113.360001,113.800003,264400,112.054694
2013-07-30,114.309998,114.489998,113.010002,114.25,268400,112.49779
2013-07-31,114.5,115.349998,114.260002,114.599998,590700,112.84242
2013-08-01,114.629997,115.949997,114.629997,115.669998,573100,113.89601
2013-08-02,115.669998,116.0,115.059998,115.769997,412900,113.994475
2013-08-05,115.769997,115.989998,115.370003,115.889999,364200,114.112637
2013-08-06,115.870003,116.43,115.269997,116.419998,559500,114.634507
2013-08-07,116.019997,116.760002,115.68,116.209999,529600,114.427729
2013-08-08,116.580002,116.989998,116.279999,116.800003,398500,115.008684
2013-08-09,116.589996,117.540001,116.489998,117.370003,345700,115.569942
2013-08-12,117.029999,117.300003,116.370003,116.720001,306700,114.929909
2013-08-13,116.860001,116.989998,115.900002,116.160004,493100,114.3785
2013-08-14,115.900002,116.239998,115.010002,115.410004,272700,113.640003
2013-08-15,114.940002,115.230003,113.379997,113.470001,240700,111.729753
2013-08-16,112.269997,113.129997,111.239998,111.82,766400,110.105057
2013-08-19,111.830002,113.050003,111.589996,112.43,326700,110.705703
2013-08-20,112.370003,113.910004,111.370003,113.900002,508800,112.153159
2013-08-21,113.629997,114.470001,112.940002,114.07,611200,112.32055
2013-08-22,113.989998,114.839996,113.440002,114.540001,463600,112.783343
2013-08-23,114.370003,114.739998,113.699997,114.510002,444800,112.753804
2013-08-26,114.580002,115.699997,113.989998,115.400002,348700,113.630154
2013-08-27,114.019997,115.029999,113.110001,113.199997,401100,111.46389
2013-08-28,113.239998,114.389999,112.970001,114.150002,506500,112.399325
2013-08-29,114.400002,115.889999,113.879997,115.709999,512600,113.935397
2013-08-30,115.519997,115.639999,114.529999,114.870003,579400,113.108284
2013-09-03,115.330002,115.970001,114.07,114.660004,493200,112.901505
2013-09-04,114.559998,116.769997,113.660004,116.730003,536900,114.939758
2013-09-05,116.459999,117.169998,116.050003,116.779999,455500,114.988987
2013-09-06,116.980003,118.230003,116.07,117.809998,476500,116.003189
2013-09-09,117.800003,118.629997,116.620003,118.620003,474600,116.800771
2013-09-10,119.059998,119.370003,118.730003,119.139999,423200,117.312793
2013-09-11,119.239998,119.989998,119.010002,119.43,339800,117.598346
2013-09-12,119.290001,119.639999,118.339996,118.599998,350300,116.781074
