Date,Open_ITW,High_ITW,Low_ITW,Close_ITW,Volume_ITW,AdjClose_ITW
2015-06-08,93.099998,93.25,92.559998,92.57,1878500,90.442346
2015-06-09,92.690002,93.190002,92.400002,92.730003,1449400,90.598672
2015-06-10,93.080002,94.889999,92.940002,94.589996,2234300,92.415915
2015-06-11,94.699997,94.919998,94.199997,94.830002,1322000,92.650404
2015-06-12,94.330002,94.599998,93.459999,93.699997,1149200,91.546371
2015-06-15,92.720001,92.879997,92.139999,92.629997,1784600,90.500965
2015-06-16,92.389999,92.949997,92.360001,92.660004,1823800,90.530281
2015-06-17,92.879997,93.110001,91.769997,92.599998,1370000,90.471655
2015-06-18,93.129997,93.879997,92.75,93.529999,1712700,91.38028
2015-06-19,93.32,93.480003,92.720001,92.860001,3285000,90.725682
2015-06-22,93.489998,93.839996,93.129997,93.760002,1350000,91.604997
2015-06-23,93.660004,93.790001,93.129997,93.32,1273700,91.175108
2015-06-24,93.330002,94.720001,93.139999,94.169998,2072300,92.00557
2015-06-25,94.480003,94.5,92.800003,92.910004,1800800,90.774535
2015-06-26,92.790001,93.019997,92.449997,92.779999,1476400,91.123192
2015-06-29,91.720001,92.730003,91.410004,91.449997,1624700,89.81694
2015-06-30,92.080002,92.599998,91.57,91.790001,1702400,90.150873
2015-07-01,92.400002,93.639999,91.970001,93.43,2583400,91.761586
2015-07-02,93.519997,93.839996,92.809998,93.400002,1662900,91.732123
2015-07-06,92.300003,93.610001,92.300003,93.120003,1344300,91.457124
2015-07-07,93.230003,93.989998,92.209999,93.830002,1891800,92.154445
2015-07-08,93.190002,93.339996,91.510002,91.93,1801600,90.288372
2015-07-09,92.959999,93.349998,91.860001,91.860001,1439600,90.219622
2015-07-10,93.199997,93.550003,92.5,92.580002,1668700,90.926766
2015-07-13,93.589996,93.849998,93.199997,93.739998,1362500,92.066048
2015-07-14,93.660004,94.32,93.529999,94.040001,1197600,92.360694
2015-07-15,94.07,94.230003,93.139999,93.370003,1455400,91.70266
2015-07-16,94.260002,94.330002,93.400002,93.610001,1265200,91.938372
2015-07-17,93.480003,94.110001,92.849998,93.019997,1379000,91.358904
2015-07-20,92.970001,93.769997,92.739998,93.459999,1764100,91.791049
2015-07-21,93.150002,93.309998,91.879997,92.160004,2055900,90.514268
2015-07-22,92.769997,93.610001,88.860001,89.580002,4548700,87.980338
2015-07-23,90.059998,90.839996,89.190002,89.400002,2469700,87.803552
2015-07-24,89.269997,89.309998,87.849998,88.269997,1920100,86.693726
2015-07-27,87.660004,87.849998,87.010002,87.260002,2596600,85.701768
2015-07-28,87.599998,89.099998,87.360001,88.739998,1921200,87.155335
2015-07-29,88.720001,89.489998,88.370003,89.339996,1255000,87.744619
2015-07-30,88.919998,89.550003,88.769997,89.279999,1411400,87.685693
2015-07-31,89.720001,89.870003,89.230003,89.470001,1702100,87.872302
2015-08-03,89.489998,89.599998,88.239998,88.660004,1426800,87.076769
2015-08-04,88.919998,89.029999,88.190002,88.339996,1690000,86.762476
2015-08-05,89.169998,90.379997,89.099998,89.589996,1344800,87.990154
2015-08-06,89.599998,89.830002,89.120003,89.220001,1026400,87.626766
2015-08-07,89.139999,89.730003,88.940002,89.300003,1342100,87.70534
2015-08-10,89.769997,91.400002,89.769997,91.379997,1258400,89.748191
2015-08-11,90.279999,90.32,89.0,89.220001,1513200,87.626766
2015-08-12,92.059998,92.059998,87.870003,89.339996,1626200,87.744619
2015-08-13,89.040001,89.839996,88.599998,89.43,968800,87.833015
2015-08-14,89.360001,89.830002,89.199997,89.760002,824500,88.157124
2015-08-17,89.279999,90.220001,88.68,90.040001,752800,88.432123
2015-08-18,90.040001,90.199997,89.510002,89.93,764400,88.324087
2015-08-19,89.120003,89.610001,88.5,88.849998,957600,87.263371
2015-08-20,88.32,88.32,87.389999,87.410004,1462100,85.849091
2015-08-21,86.910004,87.089996,85.190002,85.220001,2253100,83.698196
2015-08-24,80.029999,84.720001,78.790001,82.190002,3721000,80.722305
2015-08-25,84.589996,84.760002,80.019997,80.089996,2899200,78.659799
2015-08-26,81.839996,83.43,81.080002,83.260002,2768800,81.773197
2015-08-27,84.220001,85.279999,83.330002,84.82,2341100,83.305337
2015-08-28,84.410004,85.099998,84.0,85.059998,1334800,83.541049
2015-08-31,84.230003,85.019997,83.879997,84.529999,1610100,83.020515
2015-09-01,82.400002,82.889999,81.370003,81.839996,2320900,80.378549
2015-09-02,82.889999,83.150002,81.800003,82.690002,1631900,81.213376
2015-09-03,83.760002,83.970001,82.949997,83.25,1464200,81.763374
2015-09-04,82.059998,82.269997,81.480003,81.760002,1547700,80.299983
2015-09-08,83.239998,84.199997,82.980003,84.160004,1609100,82.657127
2015-09-09,84.949997,85.150002,83.459999,83.550003,1689500,82.05802
2015-09-10,83.370003,83.989998,82.849998,83.410004,1518400,81.92052
2015-09-11,83.269997,83.580002,82.599998,83.580002,1242600,82.087483
2015-09-14,83.5,83.599998,82.480003,82.629997,1129500,81.154443
2015-09-15,82.910004,84.629997,82.68,84.459999,1591700,82.951765
2015-09-16,84.459999,86.019997,84.260002,85.760002,1833900,84.228554
2015-09-17,85.559998,86.910004,85.279999,85.559998,3093900,84.032121
2015-09-18,84.529999,85.540001,84.330002,84.779999,4858400,83.266051
2015-09-21,84.830002,85.25,84.099998,84.269997,1792100,82.765156
2015-09-22,83.160004,84.059998,82.93,83.550003,2531100,82.05802
2015-09-23,83.519997,83.620003,82.769997,83.209999,1754200,81.724087
2015-09-24,82.309998,83.209999,81.279999,82.879997,2311300,81.399978
2015-09-25,83.43,83.550003,82.089996,82.43,1809000,80.958017
2015-09-28,81.419998,81.949997,80.360001,80.540001,1798300,79.633108
2015-09-29,80.75,81.849998,80.419998,81.339996,2204000,80.424096
2015-09-30,82.169998,82.870003,81.32,82.309998,1792900,81.383174
2015-10-01,82.18,82.720001,81.0,81.550003,1600600,80.631738
2015-10-02,80.330002,82.779999,80.160004,82.779999,1101200,81.847883
2015-10-05,83.440002,85.68,83.379997,85.629997,1686300,84.66579
2015-10-06,85.519997,86.040001,85.309998,85.620003,1393400,84.655909
2015-10-07,86.209999,87.559998,85.519997,86.370003,1039100,85.397463
2015-10-08,86.110001,87.989998,85.900002,87.68,1238400,86.69271
2015-10-09,87.709999,88.5,87.449997,87.660004,1474900,86.672939
2015-10-12,87.769997,87.769997,87.139999,87.610001,860300,86.623499
2015-10-13,86.989998,87.5,86.440002,86.529999,890700,85.555658
2015-10-14,86.290001,86.550003,84.839996,84.959999,1971800,84.003337
2015-10-15,85.459999,85.620003,84.400002,85.550003,1616500,84.586697
2015-10-16,85.669998,85.790001,84.040001,84.32,2730600,83.370544
2015-10-19,84.169998,84.32,83.860001,84.050003,1672900,83.103587
2015-10-20,84.019997,85.470001,83.660004,85.129997,2111000,84.171421
2015-10-21,84.129997,86.190002,82.370003,85.550003,3203200,84.586697
2015-10-22,85.940002,89.860001,85.559998,89.529999,3514400,88.521877
2015-10-23,89.940002,90.690002,89.730003,90.589996,2088400,89.569939
2015-10-26,90.610001,91.160004,90.209999,90.730003,1526300,89.70837
2015-10-27,90.099998,90.900002,89.650002,90.580002,1636300,89.560057
2015-10-28,90.489998,92.139999,90.489998,92.129997,1545100,91.092599
2015-10-29,91.900002,92.169998,91.209999,91.919998,959400,90.884965
2015-10-30,92.129997,92.510002,91.739998,91.940002,1739000,90.904744
2015-11-02,91.989998,93.720001,91.82,93.5,1221100,92.447176
2015-11-03,93.269997,93.790001,92.879997,93.010002,1993800,91.962695
2015-11-04,93.349998,93.82,92.779999,92.93,1037100,91.883594
2015-11-05,93.099998,93.639999,92.290001,93.099998,1109400,92.051678
2015-11-06,92.599998,93.25,91.730003,92.620003,2009100,91.577087
2015-11-09,92.480003,92.580002,90.940002,91.389999,1312600,90.360934
2015-11-10,91.059998,91.75,90.690002,91.68,900000,90.64767
2015-11-11,92.410004,92.410004,90.940002,91.339996,1880900,90.311494
2015-11-12,90.580002,91.510002,89.690002,89.720001,1543600,88.70974
2015-11-13,89.739998,90.470001,89.370003,89.410004,1195000,88.403233
2015-11-16,89.43,91.160004,89.279999,91.080002,1333500,90.054427
2015-11-17,91.260002,91.57,89.959999,90.099998,1942000,89.085459
2015-11-18,90.57,91.709999,90.269997,91.620003,1226900,90.588348
2015-11-19,91.599998,92.599998,90.900002,92.480003,1391600,91.438664
2015-11-20,92.860001,94.010002,92.580002,93.540001,1971200,92.486726
2015-11-23,93.620003,93.93,93.150002,93.32,1709300,92.269202
2015-11-24,92.790001,93.629997,92.68,93.389999,1305700,92.338414
2015-11-25,93.389999,93.879997,93.209999,93.389999,1074900,92.338414
2015-11-27,93.290001,93.690002,93.0,93.199997,439900,92.150551
2015-11-30,93.379997,94.129997,93.110001,93.980003,2228400,92.921774
2015-12-01,94.300003,95.0,93.559998,94.160004,2320800,93.099748
2015-12-02,93.839996,94.360001,93.330002,93.379997,1656300,92.328524
2015-12-03,93.470001,93.889999,91.75,92.360001,1803100,91.320013
2015-12-04,92.360001,94.370003,92.360001,94.32,1982600,93.257942
2015-12-07,93.589996,93.790001,92.980003,93.400002,1426400,92.348303
2015-12-08,92.650002,92.989998,91.910004,92.290001,1794000,91.250801
2015-12-09,91.900002,93.449997,91.629997,92.389999,1844000,91.349674
2015-12-10,92.389999,94.019997,92.220001,93.290001,1760600,92.239541
2015-12-11,92.080002,92.93,91.239998,91.459999,1478400,90.430146
2015-12-14,91.75,92.940002,91.43,92.889999,1960600,91.844044
2015-12-15,93.139999,93.5,92.089996,92.239998,1726400,91.201361
2015-12-16,92.529999,94.07,92.209999,93.970001,1565700,92.911885
2015-12-17,93.949997,94.169998,92.540001,92.550003,2007600,91.507876
2015-12-18,92.080002,92.199997,90.870003,90.919998,2650800,89.896225
2015-12-21,91.690002,92.019997,90.959999,91.839996,1483300,90.805864
2015-12-22,92.580002,92.989998,91.75,92.82,1426200,91.774832
2015-12-23,93.440002,94.349998,93.150002,94.209999,1139300,93.14918
2015-12-24,94.0,94.440002,93.970001,94.129997,339000,93.070079
2015-12-28,93.830002,94.019997,93.150002,93.730003,750000,92.674589
2015-12-29,94.099998,94.43,93.849998,94.25,800100,93.73878
2015-12-30,94.099998,94.419998,93.160004,93.190002,969200,92.684532
2015-12-31,92.790001,93.419998,92.410004,92.68,1071100,92.177296
2016-01-04,92.68,92.68,89.910004,91.059998,1895500,90.566081
2016-01-05,91.080002,91.5,89.129997,89.730003,2428600,89.2433
2016-01-06,87.919998,88.669998,86.910004,87.519997,2547700,87.045281
2016-01-07,85.330002,85.989998,84.510002,84.730003,2606600,84.270421
2016-01-08,85.18,85.489998,83.830002,84.019997,2159100,83.564265
2016-01-11,84.370003,84.370003,81.809998,83.190002,4311200,82.738773
2016-01-12,84.089996,84.519997,82.57,83.790001,2132700,83.335517
2016-01-13,84.489998,84.879997,82.239998,82.480003,3002500,82.032625
2016-01-14,82.830002,83.980003,81.82,82.830002,2530200,82.380725
2016-01-15,80.769997,81.989998,80.629997,81.25,2556000,80.809293
2016-01-19,81.940002,82.290001,80.690002,81.690002,2432400,81.246909
2016-01-20,80.279999,82.160004,79.150002,81.339996,2990600,80.898802
2016-01-21,81.830002,82.510002,80.580002,81.650002,3716000,81.207125
2016-01-22,82.760002,83.209999,81.510002,82.160004,2039500,81.714361
2016-01-25,84.050003,84.050003,80.949997,81.050003,1654600,80.610381
2016-01-26,82.080002,84.339996,81.910004,84.309998,2525800,83.852693
2016-01-27,87.5,88.0,84.620003,86.209999,3423800,85.742389
2016-01-28,87.110001,88.769997,86.610001,88.760002,3301700,88.278561
2016-01-29,89.260002,90.07,88.699997,90.07,3257900,89.581453
2016-02-01,88.480003,90.279999,88.419998,89.919998,2481100,89.432265
2016-02-02,89.300003,89.699997,88.199997,88.599998,3340400,88.119425
2016-02-03,89.760002,90.0,88.0,89.980003,2023900,89.491944
2016-02-04,89.57,92.709999,89.519997,91.459999,1751200,90.963913
2016-02-05,91.0,91.370003,89.940002,90.410004,1866400,89.919612
2016-02-08,89.330002,90.57,88.669998,90.260002,2372600,89.770424
2016-02-09,89.480003,91.040001,89.25,90.360001,1373800,89.869881
2016-02-10,90.629997,91.860001,90.099998,90.419998,1682000,89.929553
2016-02-11,88.93,90.370003,88.32,89.599998,1779000,89.114001
2016-02-12,90.440002,92.099998,90.059998,91.879997,1587300,91.381633
2016-02-16,93.010002,93.709999,91.68,93.540001,2250300,93.032632
2016-02-17,94.0,95.209999,93.790001,94.93,2767700,94.415092
2016-02-18,95.099998,95.849998,94.760002,95.57,1668600,95.05162
2016-02-19,95.139999,95.889999,94.32,95.860001,2579600,95.340048
2016-02-22,96.25,97.339996,96.209999,96.43,1640700,95.906956
2016-02-23,96.190002,96.559998,94.68,94.75,1558400,94.236068
2016-02-24,93.620003,94.559998,92.989998,94.209999,2790200,93.698996
2016-02-25,94.639999,95.099998,93.970001,94.980003,1583000,94.464824
2016-02-26,95.5,95.730003,94.760002,94.93,1276500,94.415092
2016-02-29,95.129997,95.669998,94.25,94.25,1566700,93.73878
2016-03-01,95.129997,97.120003,94.709999,96.839996,1201500,96.314728
2016-03-02,96.400002,97.080002,96.099998,97.019997,1122800,96.493752
2016-03-03,96.879997,97.059998,95.849998,96.57,1632000,96.046196
2016-03-04,96.760002,98.110001,96.220001,97.730003,1546000,97.199908
2016-03-07,97.0,98.040001,97.0,97.779999,1377700,97.249632
2016-03-08,97.309998,97.559998,96.440002,97.099998,1302900,96.57332
2016-03-09,97.400002,97.730003,96.57,96.879997,1312600,96.354512
2016-03-10,97.25,97.629997,96.129997,97.059998,1348800,96.533536
2016-03-11,97.970001,98.669998,97.790001,98.169998,1474500,97.637516
2016-03-14,97.779999,98.5,97.459999,98.040001,1306900,97.508224
2016-03-15,97.099998,97.989998,96.739998,97.980003,1314200,97.448552
2016-03-16,97.82,98.760002,97.57,98.32,1285600,97.786704
2016-03-17,98.449997,101.040001,98.410004,100.68,2363600,100.133904
2016-03-18,100.879997,101.32,100.309998,101.32,2781300,100.770432
2016-03-21,101.029999,101.910004,100.639999,101.75,1689000,101.1981
2016-03-22,101.440002,102.470001,101.190002,102.279999,1696800,101.725224
2016-03-23,102.300003,102.449997,101.68,102.099998,1731100,101.5462
2016-03-24,101.440002,101.82,101.220001,101.389999,1576600,100.840052
2016-03-28,101.489998,101.730003,101.160004,101.400002,1442100,100.85
2016-03-29,100.419998,101.57,100.330002,101.410004,1609500,101.410004
2016-03-30,102.110001,102.940002,101.949997,102.629997,1725800,102.629997
2016-03-31,102.559998,102.980003,102.0,102.440002,1226100,102.440002
2016-04-01,101.75,103.610001,101.360001,103.440002,1117500,103.440002
2016-04-04,103.470001,103.699997,102.339996,102.669998,1444700,102.669998
2016-04-05,102.040001,102.349998,101.360001,101.800003,989900,101.800003
2016-04-06,101.82,102.800003,100.790001,102.709999,1373600,102.709999
2016-04-07,102.07,103.410004,101.989998,102.559998,2040400,102.559998
2016-04-08,103.620003,104.360001,102.790001,103.209999,1123800,103.209999
2016-04-11,103.370003,104.349998,103.080002,103.089996,1030700,103.089996
2016-04-12,103.349998,105.0,103.269997,104.379997,1339900,104.379997
2016-04-13,104.900002,105.050003,104.150002,104.970001,1855600,104.970001
2016-04-14,105.150002,105.599998,104.629997,104.93,1129000,104.93
2016-04-15,105.050003,105.239998,104.800003,104.879997,1249100,104.879997
2016-04-18,104.410004,105.459999,104.410004,105.300003,1326100,105.300003
2016-04-19,105.68,106.190002,105.300003,105.669998,2088400,105.669998
2016-04-20,104.690002,105.650002,103.669998,104.349998,2927500,104.349998
2016-04-21,104.610001,106.139999,104.32,104.57,2081800,104.57
2016-04-22,104.800003,105.419998,104.220001,104.660004,1764700,104.660004
2016-04-25,104.489998,104.839996,104.07,104.480003,1312700,104.480003
2016-04-26,104.790001,105.43,104.050003,105.419998,1488800,105.419998
2016-04-27,105.650002,106.029999,104.870003,105.489998,1032100,105.489998
2016-04-28,104.699997,105.660004,104.300003,104.57,1264700,104.57
2016-04-29,104.160004,104.900002,103.629997,104.519997,1768500,104.519997
2016-05-02,104.239998,105.110001,102.900002,104.970001,1389500,104.970001
2016-05-03,104.540001,104.75,103.889999,104.470001,1500600,104.470001
2016-05-04,104.150002,104.300003,103.290001,103.529999,1252200,103.529999
2016-05-05,103.959999,104.349998,102.980003,103.160004,1369500,103.160004
2016-05-06,103.099998,104.190002,103.010002,104.190002,979500,104.190002
2016-05-09,103.970001,104.389999,103.419998,104.089996,981500,104.089996
2016-05-10,104.290001,105.669998,103.839996,105.339996,1181500,105.339996
2016-05-11,105.279999,105.660004,104.279999,104.279999,935700,104.279999
2016-05-12,104.519997,105.029999,103.769997,104.529999,1488400,104.529999
2016-05-13,104.410004,104.830002,102.720001,102.980003,1244300,102.980003
2016-05-16,103.260002,104.559998,103.160004,104.300003,1189200,104.300003
2016-05-17,104.279999,105.139999,103.400002,103.830002,1284500,103.830002
2016-05-18,103.610001,104.330002,102.68,103.309998,1088000,103.309998
2016-05-19,102.580002,103.300003,101.68,102.760002,1233000,102.760002
2016-05-20,103.339996,103.779999,103.010002,103.139999,1269200,103.139999
2016-05-23,102.959999,103.529999,102.589996,103.239998,880800,103.239998
2016-05-24,103.860001,105.18,102.610001,104.910004,931600,104.910004
2016-05-25,105.089996,105.900002,104.910004,105.139999,1286600,105.139999
2016-05-26,105.300003,105.82,104.989998,105.260002,827600,105.260002
2016-05-27,105.25,105.5,104.839996,105.339996,836000,105.339996
2016-05-31,105.470001,106.139999,104.919998,106.029999,1904600,106.029999
2016-06-01,106.029999,106.75,104.599998,106.699997,2725300,106.699997
2016-06-02,106.440002,107.120003,105.93,107.120003,1376100,107.120003
2016-06-03,107.120003,107.370003,106.470001,107.209999,1238500,107.209999
