Date,Open_CMI,High_CMI,Low_CMI,Close_CMI,Volume_CMI,AdjClose_CMI
2013-06-14,117.120003,118.690002,115.93,116.129997,1111300,107.57559
2013-06-17,116.610001,117.370003,115.300003,116.059998,1446100,107.510746
2013-06-18,116.360001,117.650002,115.709999,117.370003,865200,108.724254
2013-06-19,117.370003,117.610001,115.589996,115.599998,1255200,107.084632
2013-06-20,114.559998,115.029999,111.860001,112.419998,2850600,104.138878
2013-06-21,113.0,113.360001,110.839996,111.120003,2635100,102.934643
2013-06-24,109.110001,109.260002,105.550003,105.940002,4270800,98.136214
2013-06-25,107.230003,109.029999,106.75,107.440002,2532900,99.52572
2013-06-26,108.809998,109.400002,107.029999,107.360001,2177000,99.451612
2013-06-27,108.290001,108.980003,107.910004,108.510002,1868900,100.516901
2013-06-28,108.269997,109.730003,107.800003,108.459999,2775000,100.470582
2013-07-01,109.25,110.940002,108.720001,110.330002,1605300,102.202836
2013-07-02,110.010002,111.720001,109.849998,110.199997,1496600,102.082407
2013-07-03,108.690002,109.300003,107.510002,108.900002,1552600,100.878173
2013-07-05,109.919998,110.839996,108.739998,110.790001,908600,102.62895
2013-07-08,111.160004,111.540001,110.5,110.830002,1215200,102.666004
2013-07-09,111.389999,113.169998,111.330002,112.620003,1357600,104.32415
2013-07-10,112.940002,114.959999,112.900002,113.699997,1312500,105.324589
2013-07-11,116.010002,117.330002,114.989998,115.279999,1892200,106.788204
2013-07-12,115.279999,115.860001,114.18,115.400002,1421300,106.899367
2013-07-15,115.5,117.870003,115.120003,117.290001,1397300,108.650145
2013-07-16,117.610001,118.040001,115.25,115.989998,1384900,107.445903
2013-07-17,116.870003,117.160004,115.629997,116.480003,793700,107.899814
2013-07-18,116.919998,117.5,116.190002,117.019997,1476600,108.40003
2013-07-19,116.769997,118.32,116.239998,118.139999,1561300,109.437531
2013-07-22,118.290001,119.0,117.68,118.010002,871100,109.317109
2013-07-23,118.57,119.389999,117.43,117.669998,1775000,109.002151
2013-07-24,117.760002,117.760002,115.730003,116.239998,2243700,107.677488
2013-07-25,115.650002,117.099998,115.300003,116.580002,1158900,107.992446
2013-07-26,115.900002,116.540001,115.370003,115.879997,1459700,107.344005
2013-07-29,115.889999,117.050003,115.5,116.440002,1490000,107.862759
2013-07-30,120.010002,123.900002,117.379997,118.230003,5301700,109.520905
2013-07-31,119.18,121.910004,119.019997,121.190002,2423200,112.262863
2013-08-01,122.599998,123.830002,122.339996,122.940002,2229000,113.883954
2013-08-02,122.239998,123.18,121.0,123.050003,1646800,113.985852
2013-08-05,122.879997,123.050003,121.809998,122.730003,922000,113.689424
2013-08-06,122.07,122.120003,121.150002,122.089996,1196800,113.096561
2013-08-07,121.699997,122.440002,120.709999,122.190002,1287100,113.189201
2013-08-08,123.43,124.5,123.129997,123.699997,1250300,114.587966
2013-08-09,123.470001,124.480003,123.059998,124.019997,1411900,114.884393
2013-08-12,122.790001,126.970001,122.519997,125.839996,1676100,116.570328
2013-08-13,126.790001,128.130005,125.839996,127.519997,1850000,118.126575
2013-08-14,127.879997,128.300003,127.150002,127.510002,1711400,118.117317
2013-08-15,125.889999,125.889999,124.139999,124.720001,1437400,115.532834
2013-08-16,124.730003,126.239998,124.529999,124.940002,1156200,115.736629
2013-08-19,125.019997,125.82,123.639999,123.830002,1459500,114.708394
2013-08-20,123.790001,124.300003,122.580002,123.57,992800,115.048221
2013-08-21,123.410004,125.349998,122.839996,123.43,1738600,114.917876
2013-08-22,124.139999,127.589996,124.139999,126.559998,1848100,117.832019
2013-08-23,126.57,126.57,124.82,125.209999,1176600,116.575121
2013-08-26,125.269997,126.25,124.510002,124.57,891700,115.979258
2013-08-27,122.82,124.050003,121.910004,122.029999,1738400,113.614423
2013-08-28,121.660004,123.57,121.660004,122.760002,1263600,114.294083
2013-08-29,122.080002,124.739998,122.07,123.440002,1275500,114.927189
2013-08-30,123.550003,123.940002,122.720001,123.199997,1025800,114.703735
2013-09-03,125.0,126.0,123.459999,124.129997,974100,115.569599
2013-09-04,124.400002,127.519997,124.010002,127.0,1782500,118.241677
2013-09-05,126.739998,128.25,126.300003,127.110001,1208500,118.344092
2013-09-06,127.82,128.229996,125.510002,126.769997,812500,118.027536
2013-09-09,127.099998,130.0,127.080002,129.380005,1345400,120.45755
2013-09-10,130.070007,132.399994,130.029999,131.75,1497000,122.664102
2013-09-11,131.800003,132.339996,130.369995,132.339996,826000,123.213411
2013-09-12,131.990005,133.669998,131.759995,133.050003,1725400,123.874453
2013-09-13,133.460007,134.289993,132.240005,133.679993,1482800,124.460997
2013-09-16,136.240005,136.240005,133.490005,133.850006,1285800,124.619285
2013-09-17,133.220001,133.470001,131.740005,131.960007,1702500,122.859626
2013-09-18,131.990005,134.029999,131.050003,133.720001,1830600,124.498246
2013-09-19,134.0,135.539993,133.5,135.25,1891900,125.922731
2013-09-20,135.240005,136.5,134.279999,134.570007,1745000,125.289633
2013-09-23,134.520004,134.550003,132.889999,133.610001,917000,124.395831
2013-09-24,133.160004,135.190002,132.619995,133.929993,1364700,124.693756
2013-09-25,133.919998,134.710007,132.460007,133.699997,980500,124.479621
2013-09-26,134.210007,135.080002,133.529999,134.190002,896300,124.935834
2013-09-27,132.979996,133.800003,132.600006,133.539993,893000,124.330652
2013-09-30,132.149994,133.869995,131.740005,132.869995,925100,123.706859
2013-10-01,132.009995,134.089996,132.0,132.729996,1222700,123.576514
2013-10-02,131.979996,134.770004,131.820007,134.639999,1608900,125.354798
2013-10-03,134.600006,134.910004,131.0,131.759995,1247300,122.673408
2013-10-04,131.919998,133.679993,131.399994,133.210007,787400,124.023422
2013-10-07,131.839996,132.479996,131.110001,131.149994,957900,122.105475
2013-10-08,131.289993,132.619995,129.339996,129.470001,1362500,120.54134
2013-10-09,129.570007,130.470001,128.149994,129.339996,969600,120.4203
2013-10-10,131.190002,133.220001,130.910004,132.649994,1033400,123.50203
2013-10-11,131.960007,132.630005,131.199997,132.309998,938300,123.185481
2013-10-14,131.419998,134.550003,131.139999,134.070007,1210800,124.824115
2013-10-15,133.710007,134.419998,132.0,132.520004,1913600,123.381005
2013-10-16,133.199997,133.410004,131.570007,133.289993,1204300,124.097893
2013-10-17,132.839996,134.320007,132.479996,133.979996,777100,124.74031
2013-10-18,134.660004,136.869995,134.410004,136.440002,1045500,127.030667
2013-10-21,136.679993,137.429993,136.130005,136.910004,597100,127.468256
2013-10-22,137.600006,139.169998,137.449997,138.179993,1114100,128.650662
2013-10-23,137.149994,137.190002,134.800003,135.539993,1734000,126.192726
2013-10-24,136.190002,137.899994,135.5,137.860001,1337500,128.352738
2013-10-25,137.919998,137.919998,133.889999,135.589996,2242000,126.23928
2013-10-28,135.630005,136.309998,134.589996,134.910004,1381500,125.606182
2013-10-29,124.839996,128.270004,122.519997,127.900002,8651800,119.079612
2013-10-30,127.550003,128.169998,124.989998,125.440002,3201900,116.789262
2013-10-31,125.629997,128.080002,124.470001,127.019997,2277100,118.260295
2013-11-01,127.419998,129.149994,127.0,128.850006,2493500,119.964101
2013-11-04,129.080002,130.839996,129.050003,129.910004,2250600,120.950998
2013-11-05,129.850006,132.550003,128.399994,131.720001,2123600,122.636172
2013-11-06,132.059998,132.75,130.710007,132.479996,1468000,123.343755
2013-11-07,132.440002,132.979996,128.759995,128.889999,2206800,120.001336
2013-11-08,129.300003,130.940002,129.300003,130.699997,1379300,121.686511
2013-11-11,130.889999,130.940002,130.020004,130.100006,868500,121.127897
2013-11-12,132.389999,132.550003,129.800003,130.100006,1066900,121.127897
2013-11-13,129.210007,131.690002,128.600006,131.550003,1131900,122.477898
2013-11-14,131.550003,132.910004,131.380005,132.490005,1092100,123.353075
2013-11-15,132.270004,132.860001,131.100006,132.039993,1388800,122.934097
2013-11-18,132.380005,133.860001,132.259995,132.589996,1425400,123.44617
2013-11-19,131.860001,132.490005,129.5,130.0,926900,121.608022
2013-11-20,130.639999,131.0,128.300003,128.740005,908300,120.429365
2013-11-21,128.990005,129.889999,128.860001,129.259995,687300,120.915786
2013-11-22,129.009995,130.399994,128.699997,130.369995,695200,121.954132
2013-11-25,130.899994,131.610001,130.539993,130.800003,872100,122.356382
2013-11-26,130.800003,131.410004,130.5,130.979996,750200,122.524755
2013-11-27,131.509995,132.789993,131.0,132.630005,708300,124.06825
2013-11-29,132.990005,133.309998,132.169998,132.360001,377900,123.815676
2013-12-02,132.550003,134.050003,131.610001,132.979996,878400,124.395648
2013-12-03,132.289993,132.669998,129.190002,130.029999,1673600,121.636084
2013-12-04,129.5,130.139999,127.809998,129.020004,1777200,120.691288
2013-12-05,128.869995,130.130005,128.490005,129.600006,1135900,121.233849
2013-12-06,131.389999,131.720001,130.169998,130.479996,1128700,122.057032
2013-12-09,130.160004,132.839996,130.009995,131.660004,1253100,123.160866
2013-12-10,131.429993,133.479996,131.25,132.860001,1151500,124.283399
2013-12-11,132.75,132.800003,130.289993,130.660004,1121500,122.22542
2013-12-12,130.330002,131.009995,129.050003,129.539993,1119700,121.17771
2013-12-13,130.259995,130.470001,129.350006,130.009995,860500,121.617371
2013-12-16,131.100006,133.619995,131.100006,133.089996,1647000,124.498548
2013-12-17,132.860001,133.889999,132.669998,133.25,1128000,124.648222
2013-12-18,133.259995,136.309998,133.0,136.029999,1515600,127.248762
2013-12-19,137.130005,138.0,136.279999,137.199997,2284000,128.343233
2013-12-20,136.75,138.470001,136.559998,137.75,1856800,128.857731
2013-12-23,138.759995,139.5,138.160004,138.660004,1286400,129.70899
2013-12-24,138.990005,139.839996,138.130005,139.399994,407400,130.401212
2013-12-26,139.479996,140.220001,139.139999,139.850006,625000,130.822174
2013-12-27,140.429993,140.429993,139.289993,139.830002,616000,130.803461
2013-12-30,139.809998,140.490005,139.300003,139.929993,714000,130.896997
2013-12-31,140.0,141.389999,139.960007,140.970001,762700,131.869869
2014-01-02,140.429993,140.979996,138.279999,138.559998,1533500,129.61544
2014-01-03,138.770004,140.0,138.339996,139.160004,1092300,130.176714
2014-01-06,140.220001,141.669998,138.25,138.720001,1353700,129.765115
2014-01-07,138.869995,140.25,138.800003,139.889999,879500,130.859585
2014-01-08,139.589996,140.229996,138.830002,139.350006,976900,130.354451
2014-01-09,140.149994,140.619995,137.940002,138.669998,866900,129.71834
2014-01-10,139.360001,139.539993,137.800003,138.100006,1033600,129.185143
2014-01-13,137.589996,138.419998,135.759995,136.149994,1400400,127.361011
2014-01-14,137.0,137.490005,136.369995,137.130005,1095800,128.277759
2014-01-15,137.490005,138.25,137.360001,137.789993,1105400,128.895142
2014-01-16,137.050003,138.550003,137.050003,137.839996,931200,128.941918
2014-01-17,138.960007,139.070007,137.509995,137.740005,1319100,128.848382
2014-01-21,138.039993,138.5,135.759995,136.410004,1625000,127.604236
2014-01-22,136.5,136.550003,134.800003,134.880005,1585800,126.173004
2014-01-23,134.5,135.490005,131.520004,132.080002,2392800,123.553752
2014-01-24,131.100006,131.220001,126.059998,126.309998,3021900,118.156223
2014-01-27,128.320007,128.679993,124.029999,125.949997,2528900,117.819461
2014-01-28,126.610001,128.710007,126.529999,128.630005,1567700,120.326465
2014-01-29,126.870003,130.020004,126.5,128.589996,2103200,120.289039
2014-01-30,129.649994,129.919998,128.039993,128.479996,1419300,120.186139
2014-01-31,126.730003,128.009995,126.059998,126.980003,1886900,118.782977
2014-02-03,127.129997,127.919998,123.150002,123.699997,2321800,115.714707
2014-02-04,123.760002,126.699997,122.639999,126.400002,2494400,118.240417
2014-02-05,126.239998,127.139999,125.480003,126.669998,2486900,118.492984
2014-02-06,123.5,131.490005,123.5,130.779999,3444100,122.337669
2014-02-07,132.5,135.570007,131.940002,134.330002,2566900,125.658506
2014-02-10,133.910004,133.990005,132.399994,133.020004,1505400,124.433074
2014-02-11,133.119995,136.449997,132.899994,135.520004,2141600,126.77169
2014-02-12,135.690002,139.050003,135.559998,138.589996,2335500,129.643502
2014-02-13,136.940002,141.229996,136.889999,140.919998,2298100,131.823094
2014-02-14,140.899994,143.600006,140.649994,142.119995,2220600,132.945627
2014-02-18,142.419998,143.199997,141.580002,143.100006,1582700,133.862374
2014-02-19,141.389999,143.029999,139.759995,139.979996,2056400,131.518186
2014-02-20,140.380005,141.770004,139.820007,141.75,2298300,133.181193
2014-02-21,142.449997,143.830002,141.839996,142.830002,1889800,134.195909
2014-02-24,143.869995,148.600006,143.759995,146.009995,2489100,137.18367
2014-02-25,144.690002,146.580002,143.070007,145.630005,1828200,136.826651
2014-02-26,145.0,147.330002,144.550003,145.899994,1365000,137.080319
2014-02-27,145.330002,145.570007,143.490005,145.300003,1734100,136.516598
2014-02-28,145.589996,146.759995,145.119995,145.919998,1193800,137.099114
2014-03-03,144.169998,144.169998,142.089996,143.0,1800900,134.35563
2014-03-04,144.690002,146.330002,144.509995,145.699997,1596900,136.892412
2014-03-05,146.089996,147.0,144.830002,145.259995,1104800,136.479008
2014-03-06,145.929993,146.889999,145.860001,146.119995,886800,137.287021
2014-03-07,146.800003,146.979996,144.949997,145.619995,891100,136.817247
2014-03-10,144.399994,145.330002,143.059998,143.899994,978400,135.20122
2014-03-11,145.429993,145.850006,142.369995,142.899994,1355200,134.26167
