Date,Open_HSY,High_HSY,Low_HSY,Close_HSY,Volume_HSY,AdjClose_HSY
2013-06-14,87.989998,89.360001,87.5,89.150002,903100,83.284749
2013-06-17,89.690002,90.120003,89.25,89.720001,718100,83.817248
2013-06-18,89.730003,89.93,89.379997,89.610001,661100,83.714484
2013-06-19,89.379997,90.050003,88.080002,88.080002,856000,82.285145
2013-06-20,87.410004,87.82,85.139999,85.279999,1509100,79.669357
2013-06-21,85.510002,86.660004,85.209999,86.660004,2963900,80.95857
2013-06-24,86.059998,87.099998,85.550003,86.330002,979000,80.650279
2013-06-25,86.940002,86.959999,86.019997,86.400002,891100,80.715674
2013-06-26,86.809998,88.309998,86.809998,87.970001,827900,82.182382
2013-06-27,88.419998,89.120003,88.230003,88.800003,981000,82.957777
2013-06-28,88.620003,89.790001,88.400002,89.279999,1448300,83.406193
2013-07-01,89.419998,90.400002,89.339996,90.0,878000,84.078825
2013-07-02,89.709999,90.330002,89.410004,89.809998,892600,83.901323
2013-07-03,89.540001,90.059998,89.160004,89.169998,622200,83.30343
2013-07-05,89.610001,90.07,88.75,90.019997,829800,84.097506
2013-07-08,90.230003,91.040001,90.160004,90.580002,935300,84.620668
2013-07-09,91.0,91.379997,90.449997,90.809998,829100,84.835532
2013-07-10,90.629997,91.050003,90.260002,90.709999,1090000,84.742113
2013-07-11,91.529999,92.059998,91.129997,91.93,1305500,85.881849
2013-07-12,91.989998,92.0,91.07,91.690002,1036400,85.657641
2013-07-15,91.82,92.25,91.669998,92.120003,1321300,86.059351
2013-07-16,91.919998,92.669998,91.610001,91.919998,961800,85.872505
2013-07-17,92.209999,92.57,91.260002,91.459999,842800,85.44277
2013-07-18,91.559998,92.43,91.449997,92.25,599100,86.180796
2013-07-19,92.330002,92.690002,91.68,92.669998,773300,86.573162
2013-07-22,92.739998,92.980003,92.32,92.809998,499500,86.703951
2013-07-23,93.029999,93.809998,92.93,93.589996,1023500,87.432633
2013-07-24,93.720001,93.860001,92.790001,92.870003,737100,86.760008
2013-07-25,93.0,94.0,92.120003,93.900002,884800,87.722242
2013-07-26,93.449997,94.529999,93.089996,94.459999,563300,88.245397
2013-07-29,94.510002,95.239998,94.470001,94.970001,654300,88.721846
2013-07-30,95.0,95.419998,94.279999,94.489998,561400,88.273422
2013-07-31,94.790001,94.93,94.269997,94.870003,910800,88.628426
2013-08-01,95.480003,97.0,95.370003,96.949997,1482500,90.571576
2013-08-02,97.050003,97.230003,96.120003,97.230003,1093900,90.833161
2013-08-05,97.010002,97.589996,96.510002,97.43,877000,91.02
2013-08-06,97.400002,97.940002,97.099998,97.690002,710600,91.262896
2013-08-07,97.480003,97.610001,96.860001,96.989998,647500,90.608945
2013-08-08,97.089996,97.639999,96.690002,97.400002,585800,90.991974
2013-08-09,97.400002,98.0,97.160004,97.550003,738100,91.132107
2013-08-12,97.0,97.080002,96.32,96.870003,486100,90.496845
2013-08-13,97.07,97.550003,96.660004,97.330002,432500,90.92658
2013-08-14,97.480003,97.480003,96.07,96.089996,639000,89.768156
2013-08-15,95.360001,95.989998,95.220001,95.410004,728900,89.1329
2013-08-16,95.110001,95.760002,94.540001,95.169998,727100,88.908685
2013-08-19,95.230003,95.339996,94.489998,94.580002,773900,88.357505
2013-08-20,94.639999,95.690002,94.610001,95.25,592600,88.983423
2013-08-21,94.720001,94.940002,93.470001,93.68,526600,87.964617
2013-08-22,93.800003,94.290001,93.260002,93.940002,651100,88.208756
2013-08-23,94.150002,95.639999,93.860001,95.470001,781300,89.64541
2013-08-26,95.519997,95.529999,93.360001,93.360001,731200,87.66414
2013-08-27,92.809998,93.059998,92.129997,92.150002,586700,86.527963
2013-08-28,91.93,92.110001,91.0,91.080002,1038500,85.523243
2013-08-29,90.779999,91.860001,90.239998,91.43,973700,85.851888
2013-08-30,91.610001,92.139999,91.089996,91.949997,644800,86.34016
2013-09-03,92.779999,92.940002,90.650002,91.040001,579800,85.485683
2013-09-04,91.010002,91.099998,90.260002,90.989998,915100,85.43873
2013-09-05,90.839996,91.110001,90.010002,90.190002,881900,84.687542
2013-09-06,90.300003,91.230003,89.279999,90.739998,939600,85.203983
2013-09-09,90.410004,91.230003,90.32,91.199997,816200,85.635917
