Date,Open_PEP,High_PEP,Low_PEP,Close_PEP,Volume_PEP,AdjClose_PEP
2013-06-14,82.0,83.0,81.989998,82.129997,4034300,75.408152
2013-06-17,82.589996,82.93,82.089996,82.550003,4655200,75.793783
2013-06-18,82.370003,82.690002,82.0,82.57,3355200,75.812143
2013-06-19,82.260002,82.669998,80.889999,80.889999,5487200,74.269641
2013-06-20,80.480003,80.879997,78.769997,78.910004,7031200,72.451696
2013-06-21,79.559998,80.419998,79.220001,80.129997,9417000,73.57184
2013-06-24,78.68,80.75,78.199997,80.129997,6787400,73.57184
2013-06-25,80.419998,80.550003,79.669998,80.040001,5929200,73.489209
2013-06-26,80.620003,81.57,80.620003,81.300003,4519100,74.646088
2013-06-27,81.769997,82.540001,81.519997,81.739998,4464300,75.050072
2013-06-28,81.970001,82.269997,81.599998,81.790001,5996000,75.095982
2013-07-01,81.959999,82.5,81.760002,82.040001,3804900,75.325521
2013-07-02,81.940002,82.230003,81.32,81.68,5056000,74.994985
2013-07-03,81.440002,81.440002,80.32,80.730003,3862500,74.122739
2013-07-05,81.099998,81.279999,80.290001,80.800003,3343200,74.18701
2013-07-08,81.32,81.839996,81.07,81.779999,3749900,75.086799
2013-07-09,82.209999,82.870003,81.959999,82.769997,3834500,75.995771
2013-07-10,82.769997,83.419998,82.669998,82.989998,5654100,76.197767
2013-07-11,83.650002,84.629997,83.650002,84.550003,4746500,77.630095
2013-07-12,84.050003,84.519997,83.839996,84.32,4349300,77.418916
2013-07-15,84.43,84.919998,84.330002,84.720001,4215000,77.78618
2013-07-16,83.93,84.300003,83.309998,84.019997,4480500,77.143466
2013-07-17,84.050003,85.510002,83.93,85.239998,7280100,78.263618
2013-07-18,85.330002,87.059998,85.300003,86.800003,9202600,79.695946
2013-07-19,86.339996,86.839996,85.870003,86.410004,6146200,79.337866
2013-07-22,86.190002,86.940002,86.029999,86.400002,4780500,79.328682
2013-07-23,86.370003,86.43,85.970001,86.199997,6321200,79.145047
2013-07-24,86.699997,86.699997,85.639999,85.639999,5939800,78.630882
2013-07-25,85.639999,85.800003,85.279999,85.550003,5084900,78.548251
2013-07-26,84.849998,85.339996,84.360001,85.309998,4189800,78.327888
2013-07-29,85.260002,85.599998,84.959999,85.25,3406300,78.272801
2013-07-30,85.57,85.989998,85.110001,85.110001,4354700,78.14426
2013-07-31,85.290001,85.660004,83.43,83.540001,8016500,76.702755
2013-08-01,84.040001,84.400002,83.870003,84.199997,5790900,77.308735
2013-08-02,84.0,84.339996,83.400002,84.290001,4442800,77.391372
2013-08-05,84.339996,84.639999,83.769997,84.480003,3590200,77.565824
2013-08-06,84.440002,85.43,84.120003,85.050003,3837800,78.089173
2013-08-07,84.93,84.989998,84.360001,84.760002,3832600,77.822907
2013-08-08,84.980003,85.089996,84.440002,84.68,2707900,77.749453
2013-08-09,84.68,84.769997,84.18,84.339996,3753900,77.437276
2013-08-12,83.93,84.029999,83.529999,83.809998,2868600,76.950654
2013-08-13,83.910004,84.099998,83.260002,83.389999,2953000,76.565031
2013-08-14,83.339996,83.540001,82.730003,82.75,3080600,75.977411
2013-08-15,82.239998,82.279999,80.830002,80.910004,5350200,74.288008
2013-08-16,80.599998,80.75,79.940002,80.18,6032400,73.617751
2013-08-19,80.110001,81.050003,79.82,80.879997,4945100,74.260457
2013-08-20,80.959999,80.959999,80.260002,80.290001,3452900,73.718748
2013-08-21,80.059998,80.160004,79.010002,79.080002,5453900,72.60778
2013-08-22,78.989998,79.690002,78.709999,79.25,3821500,72.763865
2013-08-23,79.519997,79.980003,79.269997,79.849998,3026900,73.314757
2013-08-26,79.970001,80.099998,79.669998,79.690002,4079000,73.167856
2013-08-27,79.190002,79.389999,78.610001,79.059998,5179700,72.589413
2013-08-28,78.959999,79.68,78.940002,79.370003,5057400,72.874046
2013-08-29,79.25,79.739998,79.050003,79.330002,5617000,72.837319
2013-08-30,79.419998,79.839996,79.230003,79.730003,4362700,73.204583
2013-09-03,80.480003,80.790001,80.040001,80.199997,5966600,73.636111
2013-09-04,79.709999,79.709999,79.0,79.529999,5335000,73.541795
2013-09-05,79.529999,79.709999,78.800003,79.07,4025500,73.116431
2013-09-06,79.110001,79.68,78.32,79.260002,4443600,73.292127
2013-09-09,79.25,79.480003,78.790001,79.379997,3757100,73.403087
2013-09-10,79.760002,79.800003,79.029999,79.43,4682500,73.449325
2013-09-11,79.470001,79.900002,79.139999,79.849998,4437900,73.8377
2013-09-12,79.970001,80.050003,79.559998,79.870003,3322300,73.856198
2013-09-13,80.099998,80.400002,79.900002,80.32,3416100,74.272312
2013-09-16,80.790001,81.220001,80.610001,81.019997,4083900,74.919603
2013-09-17,81.010002,81.839996,80.970001,81.660004,4139300,75.511421
2013-09-18,81.690002,82.93,81.25,82.879997,4916800,76.639555
2013-09-19,82.879997,82.940002,81.339996,81.82,5351700,75.65937
2013-09-20,82.0,82.0,81.480003,81.739998,5330500,75.585392
2013-09-23,81.559998,81.580002,80.949997,81.019997,5384600,74.919603
2013-09-24,80.959999,81.230003,80.459999,80.540001,5686200,74.475749
2013-09-25,80.68,81.160004,80.080002,80.209999,5174300,74.170594
2013-09-26,80.279999,80.57,79.849998,80.540001,3941600,74.475749
2013-09-27,80.360001,80.68,79.900002,80.199997,3429200,74.161345
2013-09-30,79.860001,79.919998,79.25,79.5,5231400,73.514055
2013-10-01,79.379997,79.82,79.019997,79.82,4135500,73.80996
2013-10-02,79.529999,79.580002,78.669998,79.559998,5448300,73.569535
2013-10-03,79.57,79.910004,79.290001,79.440002,3987600,73.458574
2013-10-04,79.580002,79.93,79.129997,79.620003,2841500,73.625022
2013-10-07,79.25,79.589996,78.959999,79.059998,4867100,73.107182
2013-10-08,79.290001,79.349998,78.860001,78.93,5526500,72.986973
2013-10-09,79.110001,80.190002,78.870003,79.5,5298600,73.514055
2013-10-10,79.959999,80.690002,79.809998,80.690002,4663300,74.614456
2013-10-11,80.730003,81.089996,80.449997,80.830002,4111000,74.743914
2013-10-14,80.449997,81.120003,80.339996,81.089996,3642800,74.984332
2013-10-15,81.169998,81.529999,80.400002,80.599998,5427700,74.531229
2013-10-16,82.0,82.400002,81.379997,82.269997,7383200,76.075484
2013-10-17,82.050003,82.620003,81.629997,82.580002,4469200,76.362148
2013-10-18,82.650002,83.010002,82.230003,83.010002,6371200,76.759771
2013-10-21,82.970001,82.970001,82.190002,82.370003,3997400,76.167961
2013-10-22,82.449997,83.730003,82.300003,83.440002,5125900,77.157395
2013-10-23,83.269997,83.440002,82.790001,83.330002,4665200,77.055677
2013-10-24,83.410004,83.410004,82.540001,82.540001,5510800,76.325159
2013-10-25,82.550003,83.370003,82.440002,83.349998,4065100,77.074168
2013-10-28,83.360001,84.709999,83.230003,84.610001,5402000,78.239298
2013-10-29,84.75,85.5,84.5,85.489998,4349400,79.053036
2013-10-30,85.470001,85.489998,84.610001,84.720001,3556100,78.341016
2013-10-31,84.650002,84.900002,84.089996,84.089996,4572200,77.758447
2013-11-01,84.150002,84.690002,83.839996,84.559998,4170000,78.19306
2013-11-04,84.620003,84.989998,84.139999,84.370003,3572800,78.017371
2013-11-05,84.059998,84.910004,83.830002,84.620003,3207600,78.248547
2013-11-06,84.949997,86.730003,84.669998,86.68,6017100,80.153437
2013-11-07,86.57,86.68,85.089996,85.300003,5870000,78.877347
2013-11-08,85.290001,85.879997,84.32,85.849998,5208100,79.38593
2013-11-11,85.75,86.120003,85.260002,85.449997,4309200,79.016047
2013-11-12,85.410004,85.68,85.029999,85.639999,4561000,79.191743
2013-11-13,85.470001,86.010002,85.190002,85.949997,3228400,79.4784
2013-11-14,85.980003,86.629997,85.879997,86.389999,2897300,79.885272
2013-11-15,86.330002,86.580002,85.559998,86.029999,3324000,79.552378
2013-11-18,86.019997,86.18,85.400002,85.860001,4157500,79.395179
2013-11-19,85.610001,85.809998,84.93,85.290001,4026200,78.868098
2013-11-20,85.480003,86.089996,84.980003,85.129997,4471100,78.720142
2013-11-21,85.790001,85.919998,85.220001,85.620003,3137000,79.173252
2013-11-22,85.559998,85.800003,85.110001,85.739998,3380100,79.284212
2013-11-25,85.809998,86.120003,85.239998,85.370003,2536200,78.942076
2013-11-26,85.400002,85.75,84.379997,84.389999,4633800,78.035862
2013-11-27,84.510002,84.599998,84.07,84.419998,3611600,78.063602
2013-11-29,84.620003,84.879997,84.199997,84.459999,2698100,78.100591
2013-12-02,84.43,84.519997,83.540001,83.699997,4495900,77.397813
2013-12-03,83.529999,83.959999,83.330002,83.800003,5767500,77.490289
2013-12-04,83.019997,83.019997,82.110001,82.650002,6819800,76.948437
2013-12-05,82.410004,82.589996,81.889999,81.900002,5321600,76.250175
2013-12-06,82.519997,83.25,82.239998,83.150002,4841200,77.413944
2013-12-09,82.919998,83.199997,82.360001,82.690002,5371700,76.985678
2013-12-10,82.449997,82.809998,82.110001,82.400002,4888900,76.715683
2013-12-11,82.32,83.07,82.32,82.669998,6606300,76.967054
2013-12-12,82.559998,82.650002,80.970001,81.279999,6327400,75.672943
2013-12-13,81.529999,81.839996,80.849998,80.93,3798300,75.347089
2013-12-16,81.059998,81.300003,80.599998,81.0,4245600,75.41226
2013-12-17,81.050003,81.25,80.349998,80.459999,8210200,74.90951
2013-12-18,80.580002,81.610001,79.959999,81.419998,7416900,75.803284
2013-12-19,81.279999,81.790001,81.019997,81.660004,4075700,76.026733
2013-12-20,81.550003,82.099998,81.470001,81.809998,7496100,76.16638
2013-12-23,82.339996,82.379997,81.449997,81.860001,3718700,76.212934
2013-12-24,82.059998,82.209999,81.800003,82.040001,1115400,76.380517
2013-12-26,82.139999,82.449997,82.010002,82.449997,1799000,76.762229
2013-12-27,82.739998,83.110001,82.459999,82.709999,2361300,77.004295
2013-12-30,82.709999,83.089996,82.68,82.910004,2006900,77.190503
2013-12-31,82.980003,83.330002,82.540001,82.940002,3009500,77.218432
2014-01-02,82.93,82.989998,81.82,82.099998,3275900,76.436375
2014-01-03,82.120003,82.870003,82.120003,82.239998,3287200,76.566717
2014-01-06,82.199997,82.610001,82.080002,82.279999,3888400,76.603958
2014-01-07,82.620003,83.989998,82.610001,83.480003,6332400,77.721181
2014-01-08,83.330002,83.620003,82.809998,83.239998,5653300,77.497732
2014-01-09,83.339996,83.389999,82.370003,82.849998,4565900,77.134637
2014-01-10,83.199997,83.639999,82.75,83.5,3712000,77.739799
2014-01-13,83.059998,83.57,82.32,82.370003,4487100,76.687754
2014-01-14,82.629997,82.860001,82.260002,82.370003,4389200,76.687754
2014-01-15,82.480003,83.199997,82.279999,82.889999,4189100,77.171878
2014-01-16,82.68,83.169998,82.300003,82.860001,3724700,77.143949
2014-01-17,82.940002,82.980003,82.040001,82.199997,6259600,76.529475
2014-01-21,82.209999,83.07,82.150002,82.919998,4790700,77.199808
2014-01-22,82.830002,83.0,82.470001,82.849998,3920400,77.134637
2014-01-23,82.849998,82.849998,81.870003,82.43,5429100,76.743612
2014-01-24,82.07,82.629997,81.43,81.43,5906200,75.812597
2014-01-27,81.43,82.769997,81.419998,82.059998,5811000,76.399134
2014-01-28,82.389999,82.669998,81.709999,82.32,3867800,76.6412
2014-01-29,81.870003,81.870003,80.099998,80.220001,7539700,74.686069
2014-01-30,80.620003,81.360001,80.550003,81.080002,4589100,75.486743
2014-01-31,80.199997,80.82,79.900002,80.360001,6728600,74.81641
2014-02-03,80.349998,80.510002,78.519997,78.57,7073500,73.149892
2014-02-04,78.970001,79.169998,78.279999,78.82,5431700,73.382645
2014-02-05,78.57,79.620003,78.440002,79.419998,4829600,73.941253
2014-02-06,80.190002,80.199997,78.849998,79.389999,6113800,73.913324
2014-02-07,79.68,80.260002,79.260002,80.220001,4553800,74.686069
2014-02-10,80.169998,80.720001,80.160004,80.599998,4742000,75.039852
2014-02-11,80.480003,81.330002,80.330002,81.25,5068100,75.645014
2014-02-12,81.480003,81.849998,80.980003,81.489998,4471200,75.868455
2014-02-13,80.769997,80.870003,78.360001,79.690002,11197000,74.192632
2014-02-14,79.760002,79.82,78.059998,78.089996,13206500,72.703001
2014-02-18,78.629997,78.629997,77.779999,78.18,9800200,72.786796
2014-02-19,78.040001,78.43,77.010002,77.099998,10353400,71.781298
2014-02-20,77.43,78.870003,77.370003,78.010002,9580300,72.628525
2014-02-21,78.010002,78.910004,77.900002,78.220001,7488400,72.824038
2014-02-24,78.309998,79.589996,78.309998,78.879997,7747000,73.438504
2014-02-25,79.019997,79.75,78.93,79.230003,7509200,73.764365
2014-02-26,79.5,79.879997,78.57,78.650002,6586200,73.224375
2014-02-27,78.650002,79.459999,78.400002,79.07,7809200,73.615399
2014-02-28,79.089996,80.400002,78.849998,80.07,9870600,74.546415
2014-03-03,79.169998,79.709999,79.099998,79.519997,5767200,74.034353
2014-03-04,79.809998,80.93,79.800003,80.849998,7518000,75.272606
2014-03-05,80.389999,81.470001,80.309998,81.110001,6398300,76.048941
2014-03-06,81.169998,81.440002,80.959999,81.330002,5874500,76.255215
2014-03-07,81.510002,81.629997,81.029999,81.559998,4032200,76.470859
2014-03-10,81.550003,81.830002,81.209999,81.730003,4313500,76.630257
2014-03-11,81.839996,82.980003,81.790001,82.809998,5837300,77.642862
2014-03-12,82.199997,82.550003,81.860001,82.150002,5674500,77.024048
2014-03-13,82.209999,82.709999,81.629997,81.800003,6119000,76.695889
2014-03-14,81.730003,82.190002,80.860001,81.0,7763000,75.945804
2014-03-17,81.470001,82.139999,81.290001,82.050003,7762000,76.93029
2014-03-18,82.019997,82.220001,81.589996,81.949997,3488300,76.836524
2014-03-19,81.980003,81.989998,81.190002,81.370003,5106000,76.29272
2014-03-20,81.360001,81.910004,81.25,81.860001,3241100,76.752143
2014-03-21,82.220001,82.57,81.5,82.139999,9206700,77.01467
2014-03-24,82.330002,82.57,81.529999,81.889999,5253600,76.78027
2014-03-25,81.900002,82.5,81.900002,82.400002,4170500,77.258449
2014-03-26,82.57,83.739998,82.489998,82.870003,6388200,77.699123
2014-03-27,82.849998,83.209999,82.5,82.540001,4352000,77.389713
2014-03-28,82.699997,83.209999,82.699997,82.949997,4078100,77.774126
2014-03-31,83.739998,83.800003,83.169998,83.5,6620900,78.28981
2014-04-01,83.07,83.269997,82.730003,82.879997,4676800,77.708494
2014-04-02,82.82,82.949997,82.440002,82.730003,4919200,77.56786
2014-04-03,82.919998,83.099998,82.599998,82.910004,3362700,77.736628
2014-04-04,83.169998,83.18,82.580002,82.589996,4404100,77.436589
2014-04-07,82.370003,84.230003,82.300003,83.910004,8976500,78.674231
2014-04-08,83.93,84.0,83.150002,83.470001,6552700,78.261683
2014-04-09,83.470001,84.0,83.279999,83.910004,4926400,78.674231
2014-04-10,83.849998,84.82,83.599998,83.620003,7665500,78.402325
2014-04-11,81.989998,84.220001,81.989998,83.150002,6703700,77.961651
2014-04-14,83.57,83.910004,83.050003,83.550003,4617800,78.336693
2014-04-15,83.970001,84.040001,83.540001,83.959999,5673800,78.721107
2014-04-16,84.419998,84.980003,84.370003,84.769997,5578400,79.480562
2014-04-17,85.900002,85.940002,84.489998,85.550003,11168400,80.211898
2014-04-21,85.209999,85.949997,85.010002,85.910004,4889800,80.549436
2014-04-22,85.830002,85.830002,85.139999,85.139999,4483300,79.827478
