Date,Open_ALXN,High_ALXN,Low_ALXN,Close_ALXN,Volume_ALXN,AdjClose_ALXN
2015-06-08,159.869995,161.149994,158.339996,159.380005,1020900,159.380005
2015-06-09,159.070007,160.979996,157.130005,159.039993,1309600,159.039993
2015-06-10,160.350006,170.380005,159.210007,169.880005,2633800,169.880005
2015-06-11,170.0,171.020004,167.320007,168.770004,1368800,168.770004
2015-06-12,167.320007,172.910004,167.220001,169.039993,1916700,169.039993
2015-06-15,169.949997,173.740005,168.169998,173.220001,2390000,173.220001
2015-06-16,172.399994,178.0,172.0,177.139999,2280300,177.139999
2015-06-17,177.449997,181.050003,176.389999,179.809998,1974500,179.809998
2015-06-18,180.949997,184.889999,180.160004,184.009995,2418400,184.009995
2015-06-19,184.919998,186.490005,181.720001,184.399994,7552000,184.399994
2015-06-22,185.0,188.880005,184.949997,188.240005,2733900,188.240005
2015-06-23,188.210007,191.0,186.630005,190.919998,2048600,190.919998
2015-06-24,186.139999,189.580002,184.399994,184.979996,3454500,184.979996
2015-06-25,184.009995,187.600006,184.0,185.899994,2485300,185.899994
2015-06-26,186.830002,186.960007,181.860001,184.449997,2315500,184.449997
2015-06-29,183.25,183.550003,177.380005,177.759995,2370200,177.759995
2015-06-30,180.5,181.520004,175.830002,180.770004,2956000,180.770004
2015-07-01,182.589996,184.630005,181.0,183.860001,1516000,183.860001
2015-07-02,184.0,185.25,183.179993,185.220001,1501600,185.220001
2015-07-06,183.399994,187.529999,182.910004,186.240005,1476800,186.240005
2015-07-07,187.050003,188.729996,185.009995,187.330002,1808900,187.330002
2015-07-08,186.649994,187.550003,184.520004,184.660004,1361700,184.660004
2015-07-09,187.919998,189.240005,186.360001,188.160004,1299300,188.160004
2015-07-10,190.0,193.0,187.179993,192.529999,1697500,192.529999
2015-07-13,193.410004,199.25,193.410004,199.110001,1905700,199.110001
2015-07-14,199.360001,205.080002,199.360001,205.0,3043800,205.0
2015-07-15,206.009995,208.830002,202.800003,203.800003,2290900,203.800003
2015-07-16,204.669998,205.869995,202.830002,204.259995,1595100,204.259995
2015-07-17,204.610001,204.979996,201.490005,204.300003,1147800,204.300003
2015-07-20,205.539993,206.009995,203.350006,204.460007,857600,204.460007
2015-07-21,203.600006,205.830002,201.309998,204.880005,916700,204.880005
2015-07-22,204.399994,206.729996,204.089996,206.160004,1041300,206.160004
2015-07-23,206.660004,208.880005,205.509995,207.839996,1011500,207.839996
2015-07-24,205.110001,205.110001,199.919998,200.990005,1827200,200.990005
2015-07-27,200.529999,201.679993,196.710007,198.100006,1671500,198.100006
2015-07-28,200.220001,203.679993,198.600006,203.550003,1536200,203.550003
2015-07-29,204.440002,205.289993,198.460007,198.759995,2191000,198.759995
2015-07-30,200.410004,203.059998,189.399994,199.289993,2578700,199.289993
2015-07-31,200.0,200.0,196.320007,197.440002,1697700,197.440002
2015-08-03,196.880005,199.0,193.520004,195.729996,1364900,195.729996
2015-08-04,196.520004,198.910004,195.449997,197.149994,872500,197.149994
2015-08-05,199.479996,200.970001,196.770004,197.940002,649100,197.940002
2015-08-06,197.729996,198.229996,189.5,189.729996,1132700,189.729996
2015-08-07,190.009995,190.949997,185.0,189.619995,1519400,189.619995
2015-08-10,191.5,193.910004,189.699997,190.429993,810400,190.429993
2015-08-11,189.339996,189.919998,184.759995,186.309998,1408900,186.309998
2015-08-12,185.130005,191.380005,182.300003,191.009995,1815200,191.009995
2015-08-13,190.089996,191.889999,188.320007,188.830002,980500,188.830002
2015-08-14,187.600006,188.75,183.770004,186.580002,882800,186.580002
2015-08-17,186.75,191.520004,185.029999,191.220001,980200,191.220001
