Date,Open_CBS,High_CBS,Low_CBS,Close_CBS,Volume_CBS,AdjClose_CBS
2013-06-14,47.209999,48.09,47.049999,47.720001,6243000,46.284381
2013-06-17,47.91,48.09,47.52,47.790001,5520700,46.352274
2013-06-18,47.849998,49.209999,47.810001,48.75,4363600,47.283393
2013-06-19,48.700001,49.09,48.380001,48.380001,6412900,46.924525
2013-06-20,48.0,48.07,46.75,46.93,6302700,45.518146
2013-06-21,47.400002,47.610001,46.400002,46.889999,8170100,45.479349
2013-06-24,46.369999,47.02,45.779999,46.66,4965200,45.256269
2013-06-25,47.259998,48.310001,47.029999,47.93,4831100,46.488062
2013-06-26,48.310001,48.709999,47.970001,48.43,2690700,46.97302
2013-06-27,48.66,49.150002,48.560001,48.799999,2767200,47.331888
2013-06-28,48.700001,49.5,48.66,48.869999,9526300,47.399782
2013-07-01,48.889999,49.41,48.639999,48.73,5135000,47.263994
2013-07-02,48.720001,49.639999,48.450001,49.110001,4152400,47.632563
2013-07-03,48.68,49.849998,48.68,49.759998,2150800,48.263006
2013-07-05,50.0,50.389999,49.810001,50.060001,2645200,48.553984
2013-07-08,50.240002,50.889999,50.189999,50.860001,4344100,49.329916
2013-07-09,51.150002,51.82,51.049999,51.290001,3949300,49.74698
2013-07-10,51.200001,51.580002,50.889999,51.169998,3040900,49.630587
2013-07-11,52.119999,52.189999,51.16,51.41,4803300,49.863368
2013-07-12,51.389999,52.98,51.310001,52.889999,4832700,51.298843
2013-07-15,52.779999,53.18,52.439999,53.130001,4578200,51.531625
2013-07-16,53.150002,53.59,52.360001,52.68,4153600,51.095162
2013-07-17,52.959999,53.18,52.41,52.630001,2783300,51.046667
2013-07-18,52.900002,53.84,52.880001,53.540001,3493300,51.92929
2013-07-19,53.810001,53.810001,52.130001,52.5,4928900,50.920577
2013-07-22,52.630001,52.790001,52.099998,52.549999,3790400,50.969072
2013-07-23,52.650002,53.080002,52.16,52.470001,2769000,50.89148
2013-07-24,52.720001,53.130001,52.110001,52.48,3089800,50.901178
2013-07-25,52.400002,52.630001,51.93,52.490002,2323900,50.910879
2013-07-26,52.540001,53.779999,52.380001,53.5,4771100,51.890492
2013-07-29,53.48,53.700001,52.290001,52.389999,3799800,50.813885
2013-07-30,52.5,52.869999,52.139999,52.330002,3063400,50.755693
2013-07-31,52.099998,53.360001,52.099998,52.84,6452900,51.250348
2013-08-01,54.240002,55.580002,53.959999,54.880001,8658800,53.228977
