Date,Open_NEE,High_NEE,Low_NEE,Close_NEE,Volume_NEE,AdjClose_NEE
2016-06-09,24.950001,25.040001,24.950001,25.01,898100,25.01
2016-06-10,25.02,25.02,24.9,24.92,337500,24.92
2016-06-13,24.950001,24.99,24.889999,24.969999,384000,24.969999
