Date,Open_PNC,High_PNC,Low_PNC,Close_PNC,Volume_PNC,AdjClose_PNC
2015-06-08,96.339996,97.0,96.18,96.290001,2558900,94.090747
2015-06-09,96.330002,97.660004,96.160004,97.57,2419200,95.34151
2015-06-10,97.970001,99.610001,97.690002,99.18,3594800,96.914739
2015-06-11,99.120003,99.589996,98.589996,98.779999,2287200,96.523873
2015-06-12,98.510002,98.900002,98.040001,98.419998,1839500,96.172095
2015-06-15,97.5,98.529999,97.199997,97.830002,2788800,95.595574
2015-06-16,97.849998,98.760002,97.610001,98.540001,1733600,96.289357
2015-06-17,98.809998,98.910004,97.290001,97.459999,2158200,95.234022
2015-06-18,97.769997,98.129997,96.93,97.889999,2671500,95.654201
2015-06-19,97.449997,98.029999,97.050003,97.129997,2475000,94.911557
2015-06-22,97.989998,98.510002,97.739998,98.209999,1990800,95.966892
2015-06-23,98.949997,99.239998,98.57,99.0,1584000,96.73885
2015-06-24,98.529999,99.25,97.830002,97.889999,2545800,95.654201
2015-06-25,98.410004,98.480003,97.209999,97.400002,2250300,95.175395
2015-06-26,97.860001,98.25,97.440002,97.620003,2240000,95.390371
2015-06-29,96.43,97.139999,95.559998,95.660004,2054600,93.475138
2015-06-30,96.769997,97.239998,95.400002,95.650002,2333100,93.465365
2015-07-01,96.889999,97.599998,96.559998,97.050003,1869000,94.83339
2015-07-02,96.849998,97.290001,95.970001,96.470001,1752100,94.266636
2015-07-06,95.139999,96.440002,95.050003,96.18,1731600,93.983258
2015-07-07,95.889999,96.239998,94.139999,95.699997,2327600,93.514218
2015-07-08,94.940002,95.339996,94.089996,94.139999,2307500,91.989851
2015-07-09,95.510002,95.690002,94.599998,94.900002,2896000,92.732495
2015-07-10,96.260002,96.830002,95.589996,96.300003,3141700,94.10052
2015-07-13,96.599998,97.169998,96.470001,96.93,2627300,95.22041
2015-07-14,96.309998,97.589996,95.900002,97.5,3002700,95.780356
2015-07-15,96.269997,98.650002,95.5,98.32,3974200,96.585893
2015-07-16,99.360001,99.839996,98.940002,99.220001,2341900,97.470021
2015-07-17,98.660004,99.110001,98.099998,98.809998,1746900,97.067249
2015-07-20,99.110001,99.900002,98.800003,99.529999,2134100,97.774551
2015-07-21,99.620003,100.239998,98.900002,99.199997,1601100,97.45037
2015-07-22,99.269997,100.25,99.010002,99.790001,1980100,98.029968
2015-07-23,99.800003,100.519997,98.860001,99.019997,2407100,97.273544
2015-07-24,98.82,99.339996,98.239998,98.339996,1507800,96.605537
2015-07-27,97.639999,98.089996,97.190002,97.510002,1680600,95.790182
2015-07-28,98.389999,98.639999,97.120003,98.139999,1771300,96.409068
2015-07-29,98.339996,98.830002,97.830002,98.550003,1689700,96.81184
2015-07-30,98.290001,98.940002,98.160004,98.669998,1521200,96.929719
2015-07-31,98.739998,98.779999,97.720001,98.18,1480900,96.448363
2015-08-03,98.230003,98.519997,97.07,97.82,1578000,96.094712
2015-08-04,97.959999,98.980003,97.82,97.919998,1420800,96.192947
2015-08-05,98.720001,99.559998,98.260002,98.580002,1175900,96.84131
2015-08-06,98.800003,99.209999,98.110001,98.540001,1562900,96.802014
2015-08-07,98.370003,99.199997,97.199997,97.800003,1557600,96.075068
2015-08-10,98.489998,99.910004,98.470001,99.860001,1919500,98.098733
2015-08-11,98.400002,99.029999,97.480003,97.919998,2491900,96.192947
2015-08-12,96.940002,97.209999,94.779999,96.07,2573300,94.375577
2015-08-13,94.459999,96.68,93.709999,96.400002,1682800,94.699759
2015-08-14,96.379997,97.660004,96.169998,97.589996,1503400,95.868765
2015-08-17,96.919998,98.540001,96.839996,98.050003,2052800,96.320659
2015-08-18,97.949997,99.279999,97.949997,99.0,2716300,97.2539
2015-08-19,98.440002,98.910004,97.440002,97.970001,2662400,96.242068
2015-08-20,96.900002,97.110001,95.059998,95.080002,3240400,93.40304
2015-08-21,94.18,94.940002,92.220001,92.279999,3702200,90.652422
2015-08-24,87.699997,90.389999,82.769997,88.830002,4890500,87.263274
2015-08-25,91.540001,91.639999,85.800003,85.849998,3367400,84.33583
