Date,Open_FRT,High_FRT,Low_FRT,Close_FRT,Volume_FRT,AdjClose_FRT
2013-06-14,105.699997,107.220001,105.300003,105.800003,442900,97.546208
2013-06-17,106.489998,106.860001,104.68,105.300003,443000,97.085215
2013-06-18,105.239998,105.739998,104.349998,104.849998,430600,96.670316
2013-06-19,103.779999,104.589996,100.110001,100.769997,354600,93.560004
2013-06-20,99.510002,99.75,95.809998,96.209999,472200,89.32627
2013-06-21,96.82,98.160004,94.839996,97.230003,712200,90.273294
2013-06-24,96.160004,98.5,94.349998,96.68,422000,89.762643
2013-06-25,97.290001,99.220001,96.190002,98.57,554200,91.517415
2013-06-26,99.339996,100.290001,99.139999,99.650002,493300,92.520144
2013-06-27,100.459999,103.379997,100.389999,103.110001,482900,95.732583
2013-06-28,103.230003,104.160004,102.110001,103.68,894900,96.2618
2013-07-01,104.120003,104.529999,101.660004,102.480003,441700,95.147662
2013-07-02,102.260002,104.690002,102.260002,103.889999,439100,96.456774
2013-07-03,103.190002,103.760002,101.519997,102.209999,284100,94.896976
2013-07-05,102.93,102.93,99.660004,102.080002,398500,94.77628
2013-07-08,102.089996,103.269997,101.959999,102.160004,316900,94.850558
2013-07-09,102.620003,103.599998,102.410004,103.470001,409200,96.066826
2013-07-10,103.290001,103.419998,102.169998,102.93,378500,95.565462
2013-07-11,104.300003,105.290001,104.110001,104.809998,389900,97.310947
2013-07-12,104.489998,105.470001,104.190002,105.160004,339900,97.635911
2013-07-15,105.230003,106.059998,104.339996,105.650002,293300,98.09085
2013-07-16,105.550003,106.220001,105.32,105.690002,391800,98.127989
2013-07-17,105.849998,106.449997,104.760002,104.900002,322600,97.394511
2013-07-18,105.209999,106.029999,105.07,105.82,317300,98.248685
2013-07-19,105.589996,106.290001,105.389999,105.650002,766600,98.09085
2013-07-22,105.860001,106.25,105.050003,105.900002,389300,98.322962
2013-07-23,106.099998,107.669998,105.440002,107.440002,508300,99.752778
2013-07-24,107.440002,107.440002,103.900002,104.650002,397500,97.162399
2013-07-25,104.199997,105.540001,104.029999,105.510002,342900,97.960867
2013-07-26,105.129997,105.93,104.239998,105.830002,190000,98.257971
2013-07-29,105.879997,106.199997,105.190002,105.809998,339200,98.239398
2013-07-30,106.230003,107.160004,105.919998,106.169998,440300,98.573641
2013-07-31,106.290001,106.800003,104.970001,105.330002,804900,97.793746
2013-08-01,106.099998,107.290001,105.25,106.0,735400,98.415806
2013-08-02,105.900002,107.400002,104.519997,104.580002,345800,97.097407
2013-08-05,104.129997,104.720001,103.82,104.540001,253400,97.060269
2013-08-06,104.209999,104.800003,103.629997,103.870003,809700,96.438208
2013-08-07,103.830002,104.139999,103.040001,103.510002,561400,96.103965
2013-08-08,104.0,104.139999,102.970001,103.720001,442900,96.298939
2013-08-09,102.699997,104.919998,102.459999,104.349998,598500,96.883861
2013-08-12,104.040001,104.169998,103.269997,104.099998,472800,96.651748
2013-08-13,103.519997,103.839996,102.32,103.400002,561400,96.001835
2013-08-14,103.160004,103.809998,102.730003,103.449997,434500,96.048253
2013-08-15,102.120003,102.43,100.610001,102.360001,420400,95.036245
2013-08-16,101.980003,101.980003,99.800003,99.980003,472700,92.826534
2013-08-19,100.059998,100.309998,98.129997,98.150002,278400,91.127467
2013-08-20,98.989998,100.82,98.599998,100.370003,601300,93.18863
2013-08-21,100.269997,100.989998,98.980003,99.339996,357800,92.232319
2013-08-22,99.669998,99.75,98.459999,99.480003,199100,92.362309
2013-08-23,99.919998,100.489998,99.029999,100.330002,376500,93.151491
2013-08-26,100.389999,100.489998,99.239998,99.480003,233300,92.362309
2013-08-27,99.089996,100.129997,98.510002,99.199997,213300,92.102337
2013-08-28,99.410004,99.410004,97.900002,98.410004,270600,91.368866
2013-08-29,97.730003,99.010002,97.650002,99.010002,199800,91.925936
2013-08-30,99.190002,99.480003,97.099998,97.309998,548200,90.347565
2013-09-03,97.970001,97.970001,95.839996,96.989998,737900,90.050461
2013-09-04,97.279999,98.279999,96.75,98.010002,426400,90.997485
2013-09-05,97.860001,98.769997,97.07,97.190002,297200,90.236155
2013-09-06,97.940002,99.330002,97.760002,98.480003,307800,91.433858
2013-09-09,98.910004,99.889999,98.43,99.790001,386800,92.650126
2013-09-10,99.82,100.32,99.18,99.540001,619400,92.418014
2013-09-11,99.610001,100.900002,98.389999,100.059998,317400,92.900805
2013-09-12,100.25,100.730003,99.389999,99.82,308100,92.677979
2013-09-13,99.720001,100.800003,99.639999,100.550003,342800,93.355751
2013-09-16,101.309998,102.330002,100.209999,100.580002,262000,93.383603
2013-09-17,100.580002,101.360001,100.279999,100.75,256100,93.541438
2013-09-18,101.040001,105.129997,100.25,105.010002,543000,97.496642
2013-09-19,104.720001,105.550003,104.0,104.400002,453600,97.655657
2013-09-20,104.32,104.389999,102.580002,102.760002,540200,96.121603
2013-09-23,102.379997,103.529999,102.059998,102.57,321400,95.943875
2013-09-24,102.480003,102.970001,101.800003,102.029999,434400,95.438758
2013-09-25,101.940002,102.830002,101.040001,101.589996,393600,95.027181
2013-09-26,101.580002,102.599998,101.239998,102.440002,289300,95.822275
2013-09-27,102.080002,102.870003,101.620003,102.290001,230900,95.681964
2013-09-30,101.709999,102.870003,101.029999,101.449997,358400,94.896225
2013-10-01,101.730003,104.760002,101.050003,103.370003,605600,96.692197
2013-10-02,102.900002,103.739998,102.080002,103.510002,416800,96.823152
2013-10-03,102.989998,103.239998,101.760002,102.540001,565500,95.915814
2013-10-04,102.400002,103.269997,101.5,102.639999,279800,96.009352
2013-10-07,102.07,103.519997,101.779999,103.129997,327500,96.467696
2013-10-08,102.889999,103.519997,101.900002,102.040001,316700,95.448114
2013-10-09,102.089996,102.75,101.010002,101.239998,453600,94.699792
2013-10-10,101.669998,103.980003,101.669998,103.959999,318200,97.244079
2013-10-11,103.389999,104.419998,102.830002,104.389999,286500,97.646301
2013-10-14,104.269997,104.769997,103.330002,104.449997,320400,97.702422
2013-10-15,105.489998,105.489998,103.839996,104.019997,303500,97.3002
2013-10-16,104.790001,106.110001,104.510002,106.0,260600,99.152294
2013-10-17,105.349998,107.080002,105.220001,106.889999,456200,99.984798
2013-10-18,107.099998,107.25,105.779999,106.529999,680600,99.648054
2013-10-21,106.550003,106.550003,104.870003,105.199997,357200,98.403972
2013-10-22,105.480003,106.599998,104.0,106.059998,264400,99.208415
2013-10-23,105.849998,106.769997,105.260002,106.339996,286100,99.470326
2013-10-24,106.199997,106.720001,105.699997,106.470001,189000,99.591932
2013-10-25,106.889999,107.489998,106.5,107.18,299500,100.256065
2013-10-28,107.360001,107.360001,105.18,105.860001,369600,99.021338
2013-10-29,105.709999,106.160004,104.809998,106.010002,322100,99.16165
2013-10-30,105.839996,106.309998,104.5,105.050003,346900,98.263667
2013-10-31,104.779999,105.209999,103.459999,103.599998,698400,96.907335
2013-11-01,108.82,111.989998,105.690002,108.150002,705200,101.163403
2013-11-04,108.160004,109.220001,107.43,108.010002,427600,101.032448
2013-11-05,107.269997,107.830002,106.889999,107.080002,661100,100.162526
2013-11-06,109.400002,109.400002,106.629997,106.970001,287700,100.059632
2013-11-07,107.019997,107.709999,105.080002,105.400002,580000,98.591056
2013-11-08,105.040001,105.690002,102.550003,105.029999,516800,98.244955
2013-11-11,105.169998,105.910004,104.470001,105.07,263100,98.282372
2013-11-12,105.080002,105.080002,103.400002,104.82,297300,98.048522
2013-11-13,104.489998,105.690002,102.980003,105.639999,411000,98.815549
2013-11-14,105.970001,107.989998,105.889999,107.370003,389900,100.433793
2013-11-15,107.120003,107.910004,106.589996,107.480003,369000,100.536687
2013-11-18,107.730003,107.800003,106.57,106.660004,376500,99.76966
2013-11-19,106.809998,106.809998,105.519997,106.0,365200,99.152294
2013-11-20,106.010002,107.080002,104.709999,105.269997,633500,98.469449
2013-11-21,105.639999,106.040001,104.779999,105.980003,374500,99.133589
2013-11-22,105.870003,106.019997,105.040001,105.419998,210400,98.60976
2013-11-25,105.5,105.599998,104.480003,104.610001,242000,97.85209
2013-11-26,104.419998,105.059998,104.209999,104.389999,634100,97.646301
2013-11-27,104.900002,105.050003,103.849998,104.910004,269500,98.132712
2013-11-29,105.25,105.260002,103.279999,103.519997,173800,96.832501
2013-12-02,103.25,104.580002,102.410004,103.139999,415100,96.477052
2013-12-03,103.010002,104.099998,102.779999,103.790001,367600,97.085063
2013-12-04,104.010002,104.239998,101.989998,103.32,332900,96.645424
2013-12-05,103.010002,103.870003,102.239998,103.800003,387100,97.094419
2013-12-06,104.339996,104.519997,103.480003,104.040001,320600,97.318912
2013-12-09,103.540001,104.129997,103.300003,103.980003,489100,97.262791
2013-12-10,104.0,104.18,103.209999,103.720001,352800,97.019585
2013-12-11,103.57,103.57,100.830002,101.029999,462800,94.503359
2013-12-12,101.169998,102.059998,100.269997,100.419998,420200,93.932765
2013-12-13,100.93,102.260002,99.830002,100.300003,322900,93.820522
2013-12-16,100.760002,100.879997,100.25,100.370003,396200,93.886
2013-12-17,101.120003,101.379997,100.480003,101.0,463600,94.475299
2013-12-18,101.0,103.059998,99.849998,102.699997,634000,96.065474
2013-12-19,102.349998,102.349998,100.190002,100.839996,473600,94.325631
2013-12-20,101.110001,102.0,100.959999,101.830002,546200,95.251681
2013-12-23,102.300003,102.489998,101.480003,101.720001,471700,95.148787
2013-12-24,101.779999,102.510002,101.669998,102.150002,212500,95.551009
2013-12-26,102.529999,103.120003,101.25,101.959999,277400,95.373281
2013-12-27,101.910004,102.150002,100.970001,101.690002,260200,95.120726
2013-12-30,100.779999,101.639999,100.699997,101.370003,276700,95.554339
2013-12-31,101.260002,101.699997,100.959999,101.410004,418600,95.592045
2014-01-02,101.379997,101.839996,100.370003,100.900002,501800,95.111302
2014-01-03,101.129997,102.279999,100.970001,101.93,374000,96.082209
2014-01-06,103.050003,103.580002,102.269997,103.260002,698700,97.335907
2014-01-07,103.339996,104.360001,101.800003,103.970001,529000,98.005173
2014-01-08,103.709999,103.919998,102.07,103.470001,460300,97.533859
