Date,Open_EL,High_EL,Low_EL,Close_EL,Volume_EL,AdjClose_EL
2013-06-14,67.900002,68.610001,67.550003,68.410004,1254400,66.009588
2013-06-17,68.900002,70.650002,68.809998,70.199997,2015300,67.736773
2013-06-18,70.349998,70.349998,69.199997,69.720001,1346600,67.27362
2013-06-19,69.580002,70.0,68.32,68.379997,1148300,65.980635
2013-06-20,67.910004,67.910004,65.269997,65.510002,2393200,63.211344
2013-06-21,65.919998,66.279999,64.790001,65.790001,2045600,63.481518
2013-06-24,64.889999,65.709999,63.93,64.739998,1884600,62.468358
2013-06-25,65.089996,65.480003,64.57,64.739998,2147100,62.468358
2013-06-26,65.459999,66.040001,65.459999,65.639999,881300,63.33678
2013-06-27,66.269997,67.029999,66.220001,66.470001,999400,64.137658
2013-06-28,66.150002,66.540001,65.459999,65.769997,1431200,63.462216
2013-07-01,66.480003,67.25,66.18,66.940002,1224200,64.591168
2013-07-02,66.830002,68.040001,66.800003,67.449997,1021800,65.083267
2013-07-03,67.32,67.510002,66.830002,67.25,606400,64.890288
2013-07-05,67.940002,68.309998,67.389999,67.93,861500,65.546428
2013-07-08,68.150002,68.779999,67.779999,67.919998,1068800,65.536777
2013-07-09,67.620003,67.800003,66.029999,66.589996,2653100,64.253443
2013-07-10,66.620003,67.550003,66.589996,67.029999,1413600,64.678006
2013-07-11,68.080002,68.349998,67.690002,68.059998,1237400,65.671864
2013-07-12,68.190002,68.639999,68.050003,68.459999,1163500,66.05783
2013-07-15,68.349998,68.580002,66.970001,67.440002,1620000,65.073623
2013-07-16,67.400002,67.589996,66.43,66.779999,1453600,64.436778
2013-07-17,66.900002,67.190002,66.290001,66.330002,1286300,64.002571
2013-07-18,66.349998,67.139999,66.349998,66.739998,1397900,64.398181
2013-07-19,66.889999,68.639999,66.75,67.57,2664400,65.199059
2013-07-22,67.730003,68.120003,66.629997,66.669998,1304900,64.330637
2013-07-23,66.529999,66.599998,64.900002,64.949997,4405000,62.670989
2013-07-24,65.099998,65.220001,64.43,64.709999,2425200,62.439412
2013-07-25,64.620003,65.739998,64.440002,65.290001,3666900,62.999062
