Date,Open_OXY,High_OXY,Low_OXY,Close_OXY,Volume_OXY,AdjClose_OXY
2013-06-14,93.160006,93.350007,91.32001,91.890005,2504700,79.336421
2013-06-17,92.660009,93.239997,91.809997,92.610005,2777800,79.958058
2013-06-18,92.40001,93.250006,92.2,92.429997,2959400,79.802642
2013-06-19,92.629999,93.200009,91.760001,91.760001,3193300,79.224178
2013-06-20,90.820005,90.94,88.489998,88.940006,5671400,76.789437
2013-06-21,89.760007,90.610003,88.560004,89.919997,7725300,77.635546
2013-06-24,88.839997,89.600001,87.560003,88.630002,5879200,76.521784
2013-06-25,89.250001,89.250001,87.890008,88.670006,3610900,76.556323
2013-06-26,89.930006,90.050009,88.290012,89.250001,3602600,77.057082
2013-06-27,89.910004,91.260012,89.520009,90.31,3514500,77.972269
2013-06-28,89.990003,90.269996,89.209998,89.230007,3586100,77.03982
2013-07-01,89.919997,90.60001,89.700001,90.019998,2954400,77.721886
2013-07-02,90.070002,91.360005,89.910004,90.570007,3427600,78.196755
2013-07-03,90.100005,90.200006,89.030006,89.760007,2537600,77.497413
2013-07-05,90.050009,91.089997,89.350002,90.830006,2460500,78.421234
2013-07-08,91.550014,92.190007,90.540012,90.839999,3159300,78.429862
2013-07-09,91.449997,91.68001,89.59,89.940007,5452100,77.652822
2013-07-10,90.16001,90.210007,89.120006,89.280004,4764300,77.082986
2013-07-11,90.450004,90.720004,89.450003,90.420002,4039900,78.067243
2013-07-12,90.22,90.390007,89.480006,90.22,4162100,77.894564
2013-07-15,90.180012,90.96001,89.5,90.51001,2809600,78.144954
2013-07-16,90.639997,90.900012,88.740004,89.660006,4319400,77.411074
2013-07-17,89.80001,90.230001,89.400007,89.940007,3294400,77.652822
2013-07-18,90.200006,91.670009,90.140009,91.270005,2957700,78.801123
2013-07-19,91.640006,92.410003,90.920006,92.090006,4188800,79.509099
2013-07-22,92.099999,92.590003,91.610012,91.970012,2601800,79.405497
2013-07-23,92.030009,92.670002,91.800005,92.030009,2806600,79.457298
2013-07-24,92.160005,92.269998,90.379998,90.999997,3132300,78.568002
2013-07-25,90.720004,91.23001,90.180012,91.05001,2405400,78.611182
2013-07-26,90.31,90.900012,89.780009,90.750007,2584200,78.352164
2013-07-29,90.720004,90.739998,89.430009,90.480015,3967500,78.119057
2013-07-30,90.400008,90.550005,86.12001,88.320006,8476300,76.254139
2013-07-31,88.52,89.80001,88.170001,89.050015,5514700,76.884418
2013-08-01,89.650005,90.100005,89.109997,89.850007,3543500,77.575118
