Date,Open_YUM,High_YUM,Low_YUM,Close_YUM,Volume_YUM,AdjClose_YUM
2013-06-14,71.599998,71.739998,70.959999,71.110001,1788700,66.668033
2013-06-17,71.540001,72.239998,70.959999,71.599998,1900900,67.127423
2013-06-18,71.769997,72.620003,71.769997,72.220001,1741000,67.708696
2013-06-19,72.199997,72.639999,71.330002,71.510002,1830900,67.043048
2013-06-20,70.809998,71.0,69.230003,69.389999,3125400,65.055474
2013-06-21,69.720001,70.0,68.82,68.980003,4734200,64.671088
2013-06-24,68.059998,68.559998,67.059998,68.099998,3287000,63.846054
2013-06-25,68.870003,69.110001,68.32,68.339996,2254600,64.07106
2013-06-26,68.959999,69.419998,68.510002,69.220001,2141600,64.896095
2013-06-27,69.809998,69.989998,69.160004,69.599998,1827800,65.252355
2013-06-28,69.620003,69.889999,68.900002,69.339996,3062700,65.008594
2013-07-01,69.599998,70.489998,69.260002,70.220001,2166100,65.833628
2013-07-02,70.18,70.870003,69.879997,70.099998,2313900,65.721122
2013-07-03,69.93,71.25,69.639999,71.120003,1840700,66.67741
2013-07-05,71.599998,71.730003,70.739998,71.660004,1529300,67.18368
2013-07-08,72.480003,73.059998,72.199997,72.489998,2500300,67.961827
2013-07-09,73.309998,73.459999,72.660004,73.0,2591600,68.439971
2013-07-10,72.650002,72.730003,71.860001,72.360001,2645000,68.152707
2013-07-11,70.919998,72.739998,70.379997,71.529999,6580800,67.370965
2013-07-12,71.489998,72.019997,70.449997,70.639999,5886200,66.532713
2013-07-15,70.849998,72.110001,70.790001,71.760002,3330700,67.587595
2013-07-16,72.050003,72.309998,70.910004,71.57,2962900,67.40864
2013-07-17,72.0,72.0,71.089996,71.400002,1694700,67.248526
2013-07-18,71.370003,72.379997,71.279999,72.199997,2740800,68.002007
2013-07-19,72.300003,72.330002,71.540001,72.080002,2021400,67.888988
2013-07-22,71.519997,71.989998,71.300003,71.470001,1719000,67.314456
2013-07-23,71.43,71.57,70.029999,70.43,3170900,66.334924
2013-07-24,70.639999,71.5,70.410004,71.449997,3209700,67.295614
2013-07-25,71.639999,72.110001,71.370003,72.099998,2048900,67.907822
2013-07-26,72.0,74.019997,71.769997,74.0,3918800,69.69735
2013-07-29,73.610001,73.769997,73.019997,73.519997,1780800,69.245256
2013-07-30,73.800003,73.980003,72.800003,73.050003,1656000,68.80259
2013-07-31,73.330002,73.550003,72.769997,72.919998,1551300,68.680144
2013-08-01,73.5,74.129997,73.349998,73.900002,1646400,69.603166
2013-08-02,73.900002,74.419998,73.449997,74.389999,2137400,70.064674
2013-08-05,74.5,74.839996,73.720001,74.82,2586000,70.469672
2013-08-06,74.730003,74.800003,73.93,74.0,1879700,69.69735
2013-08-07,74.330002,74.660004,73.839996,73.879997,1710200,69.584325
2013-08-08,74.099998,74.5,73.910004,74.099998,1310000,69.791535
2013-08-09,73.919998,74.949997,73.800003,74.400002,1820600,70.074094
2013-08-12,74.260002,75.129997,74.169998,74.470001,3153700,70.140024
2013-08-13,72.410004,73.099998,71.730003,72.970001,5847800,68.72724
2013-08-14,72.379997,73.32,72.279999,73.059998,2626400,68.812003
2013-08-15,72.669998,72.870003,72.25,72.470001,2053400,68.256312
2013-08-16,72.25,72.599998,72.0,72.160004,1967100,67.964339
2013-08-19,72.290001,73.0,72.059998,72.080002,1587100,67.888988
2013-08-20,72.32,73.040001,72.260002,72.639999,1515100,68.416426
2013-08-21,72.57,72.910004,72.080002,72.209999,2011300,68.011427
2013-08-22,72.43,73.0,72.360001,72.75,1107000,68.52003
2013-08-23,72.839996,72.919998,71.919998,72.57,1806600,68.350496
2013-08-26,72.550003,72.75,71.910004,72.029999,1503800,67.841893
2013-08-27,71.459999,71.919998,71.260002,71.370003,1704800,67.220271
2013-08-28,71.18,71.300003,70.760002,70.779999,2964400,66.664573
2013-08-29,70.690002,71.32,70.400002,70.550003,2610000,66.44795
2013-08-30,70.519997,70.519997,69.57,70.019997,3090300,65.94876
2013-09-03,70.739998,70.940002,69.650002,70.0,2473900,65.929926
2013-09-04,69.239998,69.690002,68.779999,69.629997,5766800,65.581437
2013-09-05,69.889999,70.82,69.739998,69.839996,2633400,65.779226
2013-09-06,70.059998,70.379997,69.43,69.610001,3449800,65.562603
2013-09-09,70.139999,71.709999,70.139999,71.480003,3323500,67.323876
2013-09-10,71.709999,71.830002,71.029999,71.529999,2854700,67.370965
2013-09-11,71.610001,72.209999,71.32,72.209999,1566000,68.011427
2013-09-12,72.339996,72.839996,72.129997,72.389999,1795200,68.180962
