Date,Open_STZ,High_STZ,Low_STZ,Close_STZ,Volume_STZ,AdjClose_STZ
2013-06-14,51.889999,52.130001,51.490002,52.02,1018000,51.392693
2013-06-17,52.360001,52.73,51.889999,52.349998,1059000,51.718711
2013-06-18,52.200001,52.669998,51.75,52.59,974100,51.955819
2013-06-19,52.610001,52.790001,51.689999,51.700001,1007900,51.076552
2013-06-20,51.299999,51.310001,50.110001,50.380001,2288400,49.77247
2013-06-21,50.790001,51.02,50.040001,50.490002,2048900,49.881144
2013-06-24,50.009998,50.77,49.09,50.330002,1650600,49.723074
2013-06-25,50.599998,50.91,50.220001,50.509998,1194200,49.9009
2013-06-26,50.849998,51.799999,50.75,51.389999,1407200,50.770289
2013-06-27,51.639999,52.41,51.59,51.869999,1032100,51.2445
2013-06-28,51.709999,52.310001,51.419998,52.119999,3064700,51.491485
2013-07-01,52.490002,53.25,52.16,53.150002,2817300,52.509067
2013-07-02,52.439999,53.75,50.16,51.25,8252600,50.631978
2013-07-03,50.93,51.07,50.310001,50.459999,2662900,49.851503
2013-07-05,50.790001,50.93,50.220001,50.59,1883200,49.979937
2013-07-08,50.669998,51.09,50.310001,50.970001,1687700,50.355355
2013-07-09,51.23,51.490002,50.810001,51.259998,1236900,50.641855
2013-07-10,51.27,51.5,50.959999,51.23,975000,50.612218
2013-07-11,52.139999,52.400002,51.57,52.209999,2143600,51.5804
2013-07-12,52.139999,52.48,51.93,52.310001,767400,51.679196
2013-07-15,52.43,52.5,52.02,52.25,1029300,51.619919
2013-07-16,52.130001,52.689999,52.009998,52.389999,1705700,51.75823
2013-07-17,52.5,52.5,51.650002,51.84,2503200,51.214863
2013-07-18,51.77,51.939999,51.57,51.889999,2158900,51.264259
2013-07-19,52.02,52.07,51.299999,52.02,2245200,51.392693
2013-07-22,51.860001,52.369999,51.779999,52.18,1297700,51.550763
2013-07-23,52.330002,52.330002,51.459999,51.5,1252700,50.878963
2013-07-24,51.540001,51.779999,50.169998,50.900002,2251700,50.2862
2013-07-25,50.630001,50.630001,49.32,50.0,3076200,49.397051
2013-07-26,49.830002,50.779999,49.709999,50.599998,1503000,49.989814
2013-07-29,50.610001,51.299999,50.5,51.110001,1094400,50.493666
2013-07-30,51.330002,51.98,51.330002,51.529999,1424100,50.9086
2013-07-31,51.73,52.52,51.630001,52.09,1948100,51.461848
2013-08-01,52.5,53.450001,52.5,53.09,1598700,52.449789
2013-08-02,53.139999,53.720001,52.950001,53.419998,982200,52.775808
2013-08-05,53.299999,54.029999,53.299999,54.02,1131100,53.368575
2013-08-06,54.02,54.220001,53.799999,54.110001,1601300,53.45749
2013-08-07,54.040001,54.209999,53.880001,53.970001,1526700,53.319178
2013-08-08,54.099998,54.799999,53.98,54.669998,1108500,54.010734
2013-08-09,54.5,54.759998,54.18,54.259998,1211200,53.605678
2013-08-12,53.990002,54.09,53.68,54.07,712900,53.417971
2013-08-13,54.130001,54.91,53.919998,54.709999,1260500,54.050253
2013-08-14,54.700001,54.740002,54.389999,54.43,1068500,53.77363
2013-08-15,53.779999,53.990002,53.34,53.610001,1303500,52.963519
2013-08-16,53.419998,54.040001,53.169998,53.939999,1107500,53.289538
2013-08-19,53.779999,54.389999,53.619999,53.830002,943300,53.180867
2013-08-20,53.799999,54.599998,53.639999,54.209999,776900,53.556282
2013-08-21,53.98,54.25,53.119999,53.939999,1429100,53.289538
2013-08-22,53.939999,55.27,53.939999,55.18,1130800,54.514586
2013-08-23,55.34,56.0,55.139999,55.860001,1824600,55.186386
2013-08-26,55.900002,55.900002,55.580002,55.689999,1540100,55.018434
2013-08-27,55.07,55.450001,54.75,55.0,1061900,54.336756
2013-08-28,54.619999,54.849998,54.23,54.59,1100600,53.931701
2013-08-29,54.330002,55.02,54.220001,54.57,723000,53.911942
2013-08-30,54.5,54.700001,53.98,54.25,949900,53.595801
2013-09-03,55.200001,55.619999,54.220001,55.18,1885500,54.514586
2013-09-04,55.130001,56.220001,54.93,56.009998,2870900,55.334575
2013-09-05,56.0,56.68,55.849998,56.52,1977600,55.838427
2013-09-06,57.560001,58.200001,56.959999,57.68,3919800,56.984439
2013-09-09,57.700001,58.200001,57.419998,57.93,1278200,57.231424
2013-09-10,58.18,58.32,57.700001,58.240002,1106100,57.537687
2013-09-11,58.240002,58.630001,57.98,58.389999,1221300,57.685876
2013-09-12,58.419998,58.529999,58.0,58.040001,1145000,57.340098
2013-09-13,58.040001,58.709999,57.889999,58.700001,2550300,57.992139
2013-09-16,59.450001,59.639999,58.75,58.82,1252500,58.110691
2013-09-17,58.970001,59.549999,58.919998,59.349998,1904400,58.634298
2013-09-18,59.299999,59.810001,58.900002,59.669998,1516800,58.950439
2013-09-19,59.919998,59.919998,58.669998,58.68,1342800,57.97238
2013-09-20,58.52,58.73,57.07,57.240002,3905200,56.549746
2013-09-23,57.259998,57.68,56.779999,57.470001,1425800,56.776972
2013-09-24,57.5,58.080002,57.07,57.400002,1174000,56.707816
2013-09-25,57.529999,57.77,57.290001,57.470001,936000,56.776972
2013-09-26,57.540001,57.939999,57.209999,57.549999,681300,56.856005
2013-09-27,57.220001,57.389999,56.73,56.98,1044400,56.292879
2013-09-30,56.66,57.439999,56.490002,57.400002,1288500,56.707816
2013-10-01,57.330002,57.939999,57.23,57.889999,1536100,57.191905
2013-10-02,57.720001,58.259998,57.09,58.259998,1870900,57.557443
2013-10-03,58.830002,60.59,58.5,60.150002,4622700,59.424654
2013-10-04,60.150002,62.150002,60.07,61.970001,4634600,61.222707
2013-10-07,61.599998,61.849998,60.98,61.110001,1684200,60.373077
2013-10-08,61.110001,61.18,59.599998,59.84,2156700,59.118391
2013-10-09,59.98,60.139999,59.25,59.650002,1440100,58.930684
2013-10-10,60.220001,60.98,59.810001,60.950001,1289900,60.215006
2013-10-11,61.25,63.049999,61.02,62.990002,3482100,62.230407
2013-10-14,62.540001,63.439999,62.299999,63.18,1367600,62.418114
2013-10-15,63.200001,63.349998,62.119999,62.299999,914000,61.548725
2013-10-16,62.740002,63.639999,62.689999,63.27,1125800,62.507029
2013-10-17,62.970001,64.07,62.759998,63.889999,1430800,63.119552
2013-10-18,64.099998,64.349998,63.580002,64.330002,1319400,63.554248
2013-10-21,64.470001,64.580002,63.93,64.419998,934200,63.643159
2013-10-22,64.620003,64.949997,64.110001,64.419998,1421400,63.643159
2013-10-23,64.330002,64.519997,63.470001,63.990002,1167600,63.218348
2013-10-24,64.110001,64.410004,63.689999,63.849998,2068100,63.080033
2013-10-25,63.900002,64.400002,63.560001,63.91,1347900,63.139311
2013-10-28,64.019997,65.169998,63.75,65.010002,1672600,64.226048
2013-10-29,65.050003,65.669998,65.050003,65.639999,1470700,64.848448
2013-10-30,65.669998,65.790001,64.489998,64.690002,1093800,63.909907
2013-10-31,64.589996,65.419998,64.489998,65.300003,2167000,64.512552
2013-11-01,65.449997,65.68,65.089996,65.599998,1610400,64.80893
2013-11-04,65.68,65.980003,65.25,65.779999,963700,64.98676
2013-11-05,65.449997,66.169998,65.230003,66.07,1067200,65.273263
2013-11-06,66.199997,66.610001,65.739998,66.410004,1207800,65.609167
2013-11-07,66.620003,66.690002,65.489998,65.650002,1371000,64.85833
2013-11-08,65.650002,66.760002,65.650002,66.760002,1428000,65.954945
2013-11-11,66.690002,66.970001,66.559998,66.699997,605400,65.895663
2013-11-12,66.540001,67.080002,66.279999,67.040001,1060100,66.231567
2013-11-13,66.620003,67.400002,66.360001,67.300003,1233100,66.488434
2013-11-14,67.519997,68.150002,67.519997,68.07,1193400,67.249145
2013-11-15,68.349998,69.790001,68.239998,69.139999,2760900,68.306242
2013-11-18,69.230003,69.449997,68.940002,69.230003,1577400,68.395161
2013-11-19,69.0,69.309998,68.830002,69.059998,947700,68.227205
2013-11-20,69.089996,69.449997,68.699997,69.019997,1141800,68.187686
2013-11-21,69.029999,69.5,68.910004,69.349998,705300,68.513709
2013-11-22,69.43,70.400002,69.209999,70.360001,862600,69.511531
2013-11-25,70.449997,70.900002,69.010002,69.150002,1904700,68.316124
2013-11-26,69.410004,70.720001,69.25,70.489998,1668800,69.639961
2013-11-27,70.470001,71.18,70.220001,70.989998,636900,70.133931
2013-11-29,71.019997,71.099998,70.230003,70.410004,280600,69.560931
2013-12-02,70.669998,71.029999,70.269997,70.720001,720500,69.867191
2013-12-03,70.470001,71.220001,70.349998,71.190002,848800,70.331524
2013-12-04,70.779999,71.440002,70.300003,71.279999,1237700,70.420435
2013-12-05,71.370003,71.370003,69.660004,70.080002,1513000,69.234909
2013-12-06,70.480003,71.07,70.449997,70.650002,1018100,69.798035
2013-12-09,70.809998,71.419998,70.599998,70.610001,797100,69.758516
2013-12-10,70.489998,71.279999,70.309998,70.980003,1397000,70.124057
2013-12-11,71.220001,71.620003,69.879997,70.080002,1666600,69.234909
2013-12-12,69.940002,70.349998,69.410004,70.089996,1107700,69.244783
2013-12-13,70.239998,70.470001,69.019997,69.32,1215600,68.484072
2013-12-16,69.720001,70.940002,69.720001,70.57,1153500,69.718998
2013-12-17,70.57,70.760002,69.82,70.169998,720000,69.32382
2013-12-18,70.419998,70.57,68.169998,69.879997,2239800,69.037316
2013-12-19,69.800003,69.93,69.150002,69.480003,1386200,68.642146
2013-12-20,69.57,70.160004,69.169998,69.699997,1712800,68.859487
2013-12-23,69.970001,70.160004,69.400002,69.690002,963500,68.849613
2013-12-24,69.709999,70.029999,69.620003,69.709999,252100,68.869368
2013-12-26,69.980003,70.32,69.550003,70.099998,502600,69.254664
2013-12-27,70.5,70.529999,69.739998,70.07,568800,69.225027
2013-12-30,69.989998,70.370003,69.489998,69.739998,1278500,68.899005
2013-12-31,70.0,70.580002,69.830002,70.379997,907900,69.531287
2014-01-02,70.019997,70.220001,68.839996,69.239998,1070500,68.405035
2014-01-03,69.550003,70.089996,69.199997,69.389999,741700,68.553227
2014-01-06,69.589996,69.720001,68.540001,68.610001,1401600,67.782634
2014-01-07,69.0,70.43,68.779999,69.93,1858400,69.086716
2014-01-08,74.809998,78.400002,74.610001,76.610001,8367500,75.686163
2014-01-09,76.949997,78.059998,76.620003,77.449997,2750100,76.51603
2014-01-10,77.599998,80.129997,76.93,80.050003,3211700,79.084682
2014-01-13,80.190002,81.510002,79.800003,80.059998,2025400,79.094556
2014-01-14,80.449997,81.559998,80.0,80.93,1534100,79.954068
2014-01-15,80.989998,81.25,80.099998,80.769997,1016000,79.795993
2014-01-16,80.610001,81.050003,80.18,80.470001,934100,79.499616
2014-01-17,80.480003,80.639999,79.32,79.540001,1580900,78.58083
2014-01-21,80.959999,81.010002,79.32,79.360001,1613900,78.403
2014-01-22,79.809998,80.0,78.059998,78.139999,2113700,77.197711
2014-01-23,78.010002,78.489998,77.18,77.239998,2023100,76.308563
2014-01-24,76.699997,77.019997,75.790001,75.800003,2093400,74.885933
2014-01-27,76.010002,76.839996,75.440002,75.769997,1700400,74.856288
2014-01-28,75.809998,78.349998,75.809998,78.230003,2251400,77.28663
2014-01-29,77.449997,78.32,76.699997,77.82,1919100,76.88157
2014-01-30,78.190002,78.389999,77.0,77.589996,1449700,76.654341
2014-01-31,76.040001,77.080002,75.330002,76.669998,1841500,75.745437
2014-02-03,76.300003,76.970001,75.410004,75.559998,1597800,74.648822
2014-02-04,75.690002,76.830002,75.559998,76.480003,1214600,75.557733
2014-02-05,75.940002,75.959999,74.690002,75.470001,1454900,74.55991
2014-02-06,75.730003,77.690002,75.610001,77.589996,1163300,76.654341
2014-02-07,77.980003,78.040001,76.739998,77.5,1239700,76.56543
2014-02-10,77.839996,77.889999,76.290001,77.07,1051300,76.140615
2014-02-11,77.419998,78.830002,77.239998,78.779999,1322400,77.829993
2014-02-12,78.760002,79.43,78.400002,79.0,1194200,78.047341
2014-02-13,78.599998,79.639999,78.410004,79.440002,1562700,78.482038
2014-02-14,79.639999,80.220001,78.919998,79.370003,1383900,78.412882
2014-02-18,79.699997,80.68,79.510002,80.169998,1242100,79.20323
2014-02-19,80.150002,80.940002,79.709999,80.019997,1083500,79.055038
2014-02-20,80.169998,81.0,80.059998,80.599998,1016400,79.628045
