Date,Open_PRGO,High_PRGO,Low_PRGO,Close_PRGO,Volume_PRGO,AdjClose_PRGO
2013-06-14,117.309998,119.059998,117.309998,118.599998,456700,117.433737
2013-06-17,119.889999,120.5,118.690002,119.510002,764500,118.334792
2013-06-18,119.470001,121.300003,119.440002,121.160004,502300,119.968568
2013-06-19,120.300003,122.040001,119.959999,120.089996,667500,118.909082
2013-06-20,119.790001,119.790001,118.139999,118.449997,619600,117.28521
2013-06-21,119.25,119.779999,118.209999,119.610001,719500,118.433807
2013-06-24,118.879997,119.550003,117.889999,118.5,773600,117.334721
2013-06-25,119.550003,119.550003,117.779999,118.790001,403500,117.621871
2013-06-26,119.139999,120.120003,118.860001,119.599998,498100,118.423903
2013-06-27,119.860001,120.940002,119.519997,120.879997,396700,119.691315
2013-06-28,120.860001,121.959999,119.949997,121.0,743800,119.810138
2013-07-01,121.190002,122.550003,120.599998,121.940002,670500,120.740896
2013-07-02,121.470001,122.260002,120.940002,122.010002,506900,120.810208
2013-07-03,121.839996,122.300003,120.989998,122.129997,415600,120.929023
2013-07-05,122.150002,123.949997,121.639999,123.769997,685200,122.552895
2013-07-08,124.400002,124.559998,123.370003,124.32,514200,123.09749
2013-07-09,125.089996,126.709999,124.699997,126.419998,1268100,125.176838
2013-07-10,126.510002,128.029999,126.510002,127.839996,1174200,126.582872
2013-07-11,128.570007,129.080002,127.57,128.210007,753200,126.949244
2013-07-12,128.639999,129.0,127.699997,128.490005,604700,127.226489
2013-07-15,128.259995,128.5,126.730003,128.330002,515100,127.068059
2013-07-16,128.660004,128.660004,126.879997,127.949997,419700,126.691791
2013-07-17,128.460007,128.820007,127.519997,127.849998,444700,126.592776
2013-07-18,127.949997,129.110001,127.769997,128.990005,532100,127.721573
2013-07-19,128.320007,133.490005,128.240005,129.369995,481500,128.097826
2013-07-22,129.529999,130.600006,128.919998,130.190002,318500,128.909769
2013-07-23,130.169998,130.279999,129.130005,129.279999,566800,128.008714
2013-07-24,129.550003,130.710007,129.470001,130.009995,452300,128.731532
2013-07-25,129.529999,132.550003,129.110001,132.369995,665500,131.068325
2013-07-26,132.220001,134.309998,131.350006,134.229996,473600,132.910035
2013-07-29,129.899994,131.110001,122.989998,125.169998,10879100,123.93913
2013-07-30,127.709999,128.5,125.300003,126.209999,3896100,124.968904
2013-07-31,126.879997,127.169998,124.199997,124.389999,2594200,123.166801
2013-08-01,125.519997,126.68,125.209999,125.410004,1632600,124.176775
2013-08-02,125.400002,128.389999,124.709999,128.389999,1951300,127.127467
2013-08-05,128.479996,128.479996,127.050003,127.209999,1210400,125.95907
2013-08-06,127.349998,128.479996,127.059998,127.889999,873600,126.632384
2013-08-07,127.809998,128.699997,127.690002,128.490005,1048600,127.226489
2013-08-08,128.380005,129.179993,127.620003,128.929993,864800,127.66215
2013-08-09,129.429993,129.429993,128.199997,128.369995,714700,127.107659
2013-08-12,128.100006,128.710007,128.039993,128.300003,551200,127.038355
2013-08-13,127.980003,128.229996,127.050003,127.639999,534300,126.384842
2013-08-14,127.839996,128.070007,125.959999,126.419998,1473100,125.176838
2013-08-15,124.0,124.82,122.0,122.309998,2579500,121.107253
2013-08-16,120.230003,120.980003,119.279999,120.0,3695700,118.819971
2013-08-19,120.260002,120.910004,118.5,118.739998,1163400,117.572359
2013-08-20,119.260002,119.510002,118.110001,119.019997,1001300,117.849605
2013-08-21,118.400002,119.480003,118.360001,118.5,805600,117.334721
2013-08-22,118.5,119.910004,118.459999,119.779999,597200,118.602133
2013-08-23,120.309998,120.309998,119.150002,119.379997,445100,118.206065
2013-08-26,119.300003,119.93,118.82,119.220001,519200,118.047642
2013-08-27,117.910004,117.989998,116.279999,116.830002,995200,115.681145
2013-08-28,116.360001,118.790001,115.940002,118.260002,1324200,117.187358
2013-08-29,118.309998,121.489998,117.800003,121.040001,1557900,119.942142
2013-08-30,120.610001,121.669998,119.839996,121.550003,1063100,120.447518
2013-09-03,122.230003,122.5,121.199997,122.0,1248900,120.893433
2013-09-04,122.239998,124.110001,122.029999,123.730003,1265500,122.607745
2013-09-05,124.029999,124.029999,122.5,123.379997,658300,122.260914
2013-09-06,123.5,124.5,122.419998,123.940002,886800,122.81584
2013-09-09,123.589996,124.410004,122.230003,123.230003,1098200,122.11228
2013-09-10,123.699997,124.040001,123.080002,123.739998,749200,122.617649
2013-09-11,123.5,124.239998,123.050003,123.580002,718900,122.459104
2013-09-12,123.269997,124.0,122.830002,122.919998,518800,121.805087
2013-09-13,123.410004,123.760002,122.940002,123.440002,683000,122.320375
2013-09-16,124.339996,124.989998,123.75,123.910004,747400,122.786113
2013-09-17,124.290001,124.919998,124.199997,124.639999,622200,123.509487
2013-09-18,124.5,125.059998,123.230003,125.0,748900,123.866223
2013-09-19,125.610001,126.019997,124.989998,125.330002,856600,124.193231
2013-09-20,125.93,126.220001,124.910004,124.980003,1476300,123.846408
2013-09-23,125.169998,125.260002,123.970001,124.440002,918100,123.311305
2013-09-24,124.360001,125.239998,124.050003,124.360001,686200,123.232028
2013-09-25,124.599998,124.669998,123.080002,123.139999,713200,122.023093
2013-09-26,123.279999,124.089996,122.5,122.860001,1027800,121.745634
2013-09-27,122.25,124.129997,122.120003,123.699997,1691700,122.578011
2013-09-30,123.139999,124.349998,122.559998,123.379997,871800,122.260914
2013-10-01,123.349998,125.290001,123.110001,125.199997,941000,124.064406
2013-10-02,125.010002,125.400002,124.300003,125.110001,1055800,123.975226
2013-10-03,125.879997,126.470001,124.839996,125.209999,1416600,124.074317
2013-10-04,125.559998,129.139999,125.32,129.050003,1428200,127.879491
2013-10-07,129.039993,129.910004,128.320007,129.199997,1422700,128.028125
2013-10-08,129.339996,129.990005,127.690002,128.179993,1289800,127.017372
2013-10-09,128.860001,128.919998,127.480003,128.429993,863100,127.265105
2013-10-10,129.240005,129.839996,128.679993,129.839996,880600,128.662319
2013-10-11,129.860001,129.860001,128.419998,129.589996,1166100,128.414587
2013-10-14,128.869995,130.949997,128.690002,130.949997,1122000,129.762252
2013-10-15,130.389999,131.059998,129.460007,130.630005,1396500,129.445162
