Date,Open_FMC,High_FMC,Low_FMC,Close_FMC,Volume_FMC,AdjClose_FMC
2015-06-08,55.91,56.07,55.459999,55.580002,839300,54.692681
2015-06-09,55.66,55.830002,55.0,55.130001,820200,54.249865
2015-06-10,55.639999,55.810001,55.040001,55.549999,1117100,54.663158
2015-06-11,55.669998,56.130001,55.310001,55.52,714700,54.633638
2015-06-12,55.389999,55.48,54.919998,55.060001,725900,54.180982
2015-06-15,54.77,54.939999,54.540001,54.900002,696300,54.023537
2015-06-16,54.810001,55.48,54.630001,55.369999,513200,54.486031
2015-06-17,55.509998,55.959999,55.060001,55.630001,486300,54.741882
2015-06-18,55.849998,56.150002,55.52,55.810001,589800,54.919009
2015-06-19,55.639999,56.0,54.91,54.939999,997000,54.062895
2015-06-22,55.18,55.279999,54.950001,55.220001,456900,54.338428
2015-06-23,55.240002,55.34,54.880001,55.009998,669500,54.131778
2015-06-24,54.959999,55.23,53.509998,53.540001,1207300,52.685248
2015-06-25,53.75,53.93,53.130001,53.209999,982000,52.360515
2015-06-26,53.23,53.650002,53.209999,53.48,1431100,52.789904
2015-06-29,53.02,53.150002,51.75,51.77,736000,51.10197
2015-06-30,52.209999,52.709999,51.18,52.549999,1691100,51.871904
2015-07-01,52.740002,52.740002,51.669998,51.790001,1400900,51.121713
2015-07-02,51.959999,52.049999,51.040001,51.459999,868300,50.795969
2015-07-06,50.709999,51.18,50.200001,50.299999,1007600,49.650938
2015-07-07,50.299999,50.369999,49.130001,49.990002,1245800,49.34494
2015-07-08,49.549999,49.630001,48.630001,48.720001,622800,48.091328
2015-07-09,49.360001,49.580002,48.59,48.669998,767400,48.04197
2015-07-10,49.189999,49.59,49.029999,49.52,634300,48.881004
2015-07-13,49.790001,50.209999,49.639999,50.18,498300,49.532487
2015-07-14,50.049999,50.91,49.779999,50.900002,867000,50.243198
2015-07-15,50.59,50.950001,50.18,50.299999,936300,49.650938
2015-07-16,50.41,50.529999,50.130001,50.27,547900,49.621326
2015-07-17,50.049999,50.080002,49.610001,49.75,964400,49.108035
2015-07-20,49.66,49.950001,49.389999,49.459999,957200,48.821777
2015-07-21,49.5,49.810001,48.919998,48.990002,576300,48.357844
2015-07-22,48.919998,49.18,48.689999,48.830002,588100,48.199909
2015-07-23,49.099998,49.200001,48.630001,48.860001,698300,48.22952
2015-07-24,48.720001,48.98,47.619999,47.82,866600,47.20294
2015-07-27,47.419998,47.73,47.07,47.220001,757800,46.610683
2015-07-28,47.389999,48.330002,47.220001,48.240002,735400,47.617522
2015-07-29,48.450001,48.650002,47.93,48.07,773600,47.449714
2015-07-30,48.110001,48.740002,47.68,48.369999,655500,47.745842
2015-07-31,48.599998,48.720001,48.09,48.540001,724100,47.91365
2015-08-03,48.549999,48.779999,47.82,48.459999,1151500,47.83468
2015-08-04,48.419998,49.25,48.0,48.689999,724300,48.061712
2015-08-05,48.990002,49.450001,48.459999,48.5,842800,47.874165
2015-08-06,48.360001,50.279999,47.939999,49.07,1492000,48.43681
2015-08-07,48.889999,49.049999,47.310001,47.369999,944400,46.758745
2015-08-10,47.720001,49.34,47.459999,49.220001,1184600,48.584876
2015-08-11,48.630001,48.630001,48.18,48.310001,850100,47.686618
2015-08-12,47.720001,48.029999,47.209999,47.389999,935500,46.778488
2015-08-13,47.200001,47.220001,46.290001,46.48,1088000,45.88023
2015-08-14,46.509998,46.669998,46.279999,46.5,992400,45.899973
2015-08-17,47.09,47.810001,46.5,47.720001,663600,47.104231
2015-08-18,47.59,47.84,47.23,47.459999,682300,46.847584
2015-08-19,47.119999,47.259998,46.360001,46.959999,834400,46.354036
2015-08-20,46.66,46.740002,45.900002,45.900002,599200,45.307717
2015-08-21,45.509998,45.869999,44.630001,44.639999,1355600,44.063973
2015-08-24,42.75,44.650002,42.27,43.139999,1901100,42.583329
2015-08-25,44.32,44.360001,40.130001,40.259998,2801400,39.740491
2015-08-26,40.950001,41.02,39.450001,40.27,3731400,39.750364
2015-08-27,40.990002,42.869999,40.900002,42.310001,1789500,41.764041
