Date,Open_V,High_V,Low_V,Close_V,Volume_V,AdjClose_V
2015-06-08,68.190002,68.290001,67.620003,67.68,4864300,67.196274
2015-06-09,67.669998,68.089996,67.529999,67.949997,4439700,67.464341
2015-06-10,68.220001,69.669998,68.110001,69.629997,6807800,69.132334
2015-06-11,69.699997,70.019997,69.419998,69.639999,5238700,69.142265
2015-06-12,69.43,69.739998,69.019997,69.330002,4900700,68.834483
2015-06-15,68.720001,68.989998,68.169998,68.57,5995100,68.079913
2015-06-16,68.449997,69.169998,68.290001,69.010002,5937400,68.51677
2015-06-17,69.110001,69.410004,68.510002,68.75,7818300,68.258626
2015-06-18,68.900002,69.839996,68.879997,69.5,7596800,69.003266
2015-06-19,69.269997,69.330002,68.480003,68.690002,8728800,68.199058
2015-06-22,69.32,69.440002,68.900002,69.089996,5511700,68.596193
2015-06-23,69.099998,69.589996,69.089996,69.419998,3888700,68.923836
2015-06-24,69.110001,69.400002,68.760002,68.860001,4670600,68.367841
2015-06-25,69.379997,69.379997,68.510002,68.620003,4705100,68.129558
2015-06-26,68.699997,69.209999,68.410004,68.75,7025600,68.258626
2015-06-29,67.989998,68.489998,66.690002,66.720001,9706700,66.243137
2015-06-30,67.339996,67.480003,66.760002,67.150002,6811000,66.670064
2015-07-01,67.940002,68.300003,67.529999,67.849998,6260800,67.365057
2015-07-02,68.150002,68.32,67.620003,68.239998,5053000,67.752269
2015-07-06,67.550003,68.120003,67.360001,68.120003,5270600,67.633132
2015-07-07,68.110001,68.199997,66.529999,67.769997,6500700,67.285627
2015-07-08,67.010002,67.32,66.650002,66.730003,5973500,66.253067
2015-07-09,67.650002,67.940002,67.019997,67.050003,4837800,66.57078
2015-07-10,67.980003,68.540001,67.910004,68.419998,5110200,67.930983
2015-07-13,69.050003,69.599998,68.830002,69.519997,6832300,69.02312
2015-07-14,69.970001,70.300003,69.470001,70.099998,5635400,69.598976
2015-07-15,70.129997,70.279999,69.690002,70.019997,4506200,69.519546
2015-07-16,70.43,70.589996,69.970001,70.57,6512500,70.065618
2015-07-17,70.400002,70.959999,70.279999,70.879997,6287600,70.3734
2015-07-20,71.290001,73.0,71.230003,72.699997,10198500,72.180392
2015-07-21,72.839996,72.879997,71.760002,72.019997,10919600,71.505252
2015-07-22,71.940002,72.150002,71.620003,71.970001,6303200,71.455613
2015-07-23,72.199997,72.25,71.199997,71.75,10755700,71.237185
2015-07-24,76.779999,76.919998,74.400002,74.800003,21196100,74.265389
2015-07-27,74.279999,74.709999,73.580002,73.860001,10293800,73.332105
2015-07-28,74.300003,75.18,73.849998,74.739998,10054300,74.205812
2015-07-29,74.949997,76.43,74.669998,76.010002,13746900,75.466739
2015-07-30,75.889999,76.760002,75.239998,76.379997,6507000,75.83409
2015-07-31,76.449997,76.510002,75.32,75.339996,8526300,74.801522
2015-08-03,75.589996,76.040001,75.010002,75.769997,5810800,75.228449
2015-08-04,75.529999,76.080002,75.029999,75.269997,6957900,74.732023
2015-08-05,76.050003,76.169998,74.919998,74.980003,6976400,74.444102
2015-08-06,75.300003,75.419998,73.550003,73.580002,7767800,73.054107
2015-08-07,73.68,74.309998,73.32,74.209999,6484600,73.679601
2015-08-10,74.889999,75.18,73.849998,74.379997,6183500,73.848385
2015-08-11,73.809998,74.269997,73.220001,73.360001,6476000,72.835678
2015-08-12,72.870003,73.830002,72.389999,73.540001,7625100,73.134022
2015-08-13,73.43,74.43,73.379997,73.93,5992000,73.521868
2015-08-14,73.849998,74.400002,73.449997,74.220001,3861500,73.810268
2015-08-17,74.0,74.440002,73.5,74.410004,3473500,73.999222
2015-08-18,74.260002,74.730003,74.010002,74.470001,6325500,74.058888
2015-08-19,74.199997,74.959999,73.669998,74.400002,5886900,73.989275
2015-08-20,73.559998,74.529999,72.809998,73.949997,12082300,73.541754
2015-08-21,72.5,73.620003,70.959999,71.190002,15752200,70.796996
2015-08-24,64.160004,69.360001,60.0,68.360001,20950600,67.982618
2015-08-25,71.690002,71.800003,66.599998,66.970001,14485000,66.600292
2015-08-26,69.370003,70.989998,67.900002,70.690002,12220000,70.299757
2015-08-27,71.940002,72.489998,70.800003,72.400002,9122200,72.000316
2015-08-28,72.099998,72.669998,71.599998,72.459999,6411400,72.059982
2015-08-31,71.910004,72.080002,70.82,71.300003,8313300,70.90639
2015-09-01,69.410004,70.389999,68.5,68.959999,11491500,68.579304
2015-09-02,69.940002,69.949997,68.699997,69.620003,9218000,69.235664
2015-09-03,70.449997,71.080002,69.989998,70.400002,9035200,70.011357
2015-09-04,69.290001,69.910004,68.639999,69.160004,9469400,68.778204
2015-09-08,70.75,71.010002,69.550003,70.529999,7984900,70.140636
2015-09-09,70.75,71.379997,69.43,69.599998,9022200,69.21577
2015-09-10,69.5,70.650002,69.459999,70.230003,7244200,69.842297
2015-09-11,69.860001,70.809998,69.459999,70.760002,6452100,70.36937
2015-09-14,70.720001,70.800003,69.610001,70.010002,7059300,69.62351
2015-09-15,70.480003,70.75,69.510002,70.510002,6962600,70.12075
2015-09-16,70.449997,71.110001,70.050003,70.989998,8207600,70.598096
2015-09-17,71.300003,72.32,70.5,70.959999,7663300,70.568263
2015-09-18,69.82,70.809998,69.709999,69.790001,14508100,69.404724
2015-09-21,70.620003,71.32,70.220001,70.779999,12756500,70.389256
2015-09-22,70.0,70.389999,69.309998,70.25,11394000,69.862183
2015-09-23,70.160004,71.150002,69.900002,70.949997,10655800,70.558316
2015-09-24,70.349998,70.629997,69.639999,70.239998,8406700,69.852236
2015-09-25,71.190002,71.459999,70.209999,70.690002,7756600,70.299757
2015-09-28,70.190002,70.279999,67.029999,67.199997,15261200,66.829018
2015-09-29,67.519997,68.699997,67.199997,68.529999,11326700,68.151677
2015-09-30,69.32,69.660004,68.260002,69.660004,9309200,69.275444
2015-10-01,70.089996,70.769997,68.980003,69.989998,8679900,69.603616
2015-10-02,68.800003,70.730003,68.360001,70.669998,7460400,70.279863
2015-10-05,71.059998,72.339996,70.919998,72.230003,7286800,71.831256
2015-10-06,72.220001,72.540001,71.830002,72.080002,5782500,71.682083
2015-10-07,72.68,73.230003,72.449997,73.220001,6208900,72.815789
2015-10-08,73.0,73.93,72.830002,73.900002,5713100,73.492035
2015-10-09,74.040001,74.089996,73.400002,73.980003,5947800,73.571595
2015-10-12,73.739998,75.43,73.669998,74.989998,5586300,74.576014
2015-10-13,74.459999,75.25,74.150002,75.0,7439400,74.585961
2015-10-14,74.839996,75.260002,73.720001,74.199997,7568300,73.790374
2015-10-15,74.959999,75.410004,74.580002,75.339996,6856200,74.92408
2015-10-16,75.330002,76.540001,74.790001,76.0,9078600,75.58044
2015-10-19,75.93,77.330002,75.93,76.989998,9952600,76.564973
2015-10-20,76.639999,76.889999,75.93,76.279999,8148800,75.858893
2015-10-21,76.940002,76.940002,75.309998,75.459999,7277900,75.04342
2015-10-22,75.889999,76.849998,75.639999,76.419998,9093400,75.99812
2015-10-23,77.459999,77.629997,74.949997,77.07,11971300,76.644533
2015-10-26,78.080002,78.309998,77.089996,78.18,8019400,77.748406
2015-10-27,78.029999,78.18,77.059998,77.519997,9527400,77.092046
2015-10-28,77.82,78.889999,77.440002,78.870003,10850200,78.434599
2015-10-29,78.589996,78.709999,77.93,78.510002,7648600,78.076586
2015-10-30,78.720001,78.809998,77.559998,77.580002,11186500,77.15172
2015-11-02,75.190002,76.209999,74.529999,75.220001,29966000,74.804748
2015-11-03,75.129997,78.580002,74.809998,77.900002,18899900,77.469953
2015-11-04,78.370003,78.830002,77.900002,78.349998,8640800,77.917466
2015-11-05,78.419998,79.709999,78.419998,79.260002,9392600,78.822446
2015-11-06,79.57,79.57,78.32,78.75,8221600,78.315259
2015-11-09,78.400002,78.400002,77.290001,78.040001,10157300,77.609179
2015-11-10,77.650002,79.529999,77.610001,79.480003,8440300,79.183282
2015-11-11,79.849998,80.25,79.169998,79.18,8024400,78.884399
2015-11-12,78.860001,79.150002,78.139999,78.309998,8939800,78.017645
2015-11-13,78.019997,78.970001,77.769997,78.110001,9913200,77.818394
2015-11-16,77.790001,78.910004,77.580002,78.900002,7805000,78.605446
2015-11-17,78.940002,79.279999,78.470001,78.830002,6942600,78.535708
2015-11-18,78.959999,80.5,78.739998,80.459999,7212400,80.15962
2015-11-19,80.599998,81.010002,79.849998,80.150002,6082200,79.850779
2015-11-20,80.589996,81.0,79.980003,80.190002,6764300,79.890631
2015-11-23,80.589996,80.779999,79.559998,80.110001,5910600,79.810928
2015-11-24,79.230003,80.199997,79.209999,79.790001,6040800,79.492123
2015-11-25,79.779999,80.089996,79.559998,79.559998,4268700,79.262978
2015-11-27,79.639999,80.150002,79.610001,79.839996,3139500,79.541931
2015-11-30,80.059998,80.129997,78.959999,79.010002,8874600,78.715036
2015-12-01,79.529999,79.93,78.769997,79.910004,6702100,79.611677
2015-12-02,79.830002,80.150002,78.970001,79.040001,7310000,78.744923
2015-12-03,79.360001,79.769997,78.080002,78.290001,8689600,77.997723
2015-12-04,78.580002,80.400002,78.449997,80.400002,9944600,80.099846
2015-12-07,80.129997,80.489998,79.07,79.550003,15262400,79.253021
2015-12-08,78.980003,79.669998,78.360001,79.07,11344000,78.774809
2015-12-09,78.830002,79.75,77.400002,77.879997,15361500,77.58925
2015-12-10,77.910004,79.110001,77.629997,78.120003,8717100,77.828359
2015-12-11,77.139999,77.139999,75.519997,76.110001,15625800,75.825861
2015-12-14,76.199997,77.330002,75.580002,76.870003,10361000,76.583026
2015-12-15,78.370003,79.449997,78.209999,78.620003,11323500,78.326492
2015-12-16,79.449997,79.980003,78.150002,79.860001,10497500,79.561861
2015-12-17,79.980003,80.279999,78.629997,78.690002,7555300,78.396231
2015-12-18,78.040001,78.190002,76.279999,76.32,16271200,76.035076
2015-12-21,76.900002,77.360001,76.400002,77.169998,8442100,76.881901
2015-12-22,77.43,77.489998,76.660004,77.379997,5699100,77.091116
2015-12-23,78.080002,78.660004,77.559998,78.559998,6335900,78.266711
2015-12-24,78.349998,78.709999,78.18,78.260002,2188800,77.967836
2015-12-28,78.040001,78.650002,77.82,78.529999,3680900,78.236825
2015-12-29,79.0,79.389999,78.900002,79.209999,4627100,78.914286
2015-12-30,79.07,79.190002,78.260002,78.349998,4230400,78.057496
2015-12-31,78.239998,78.800003,77.550003,77.550003,6538300,77.260487
2016-01-04,76.059998,76.379997,75.010002,75.699997,13476800,75.417388
2016-01-05,76.25,76.510002,75.540001,76.269997,8972700,75.98526
2016-01-06,75.0,75.849998,74.849998,75.269997,16092000,74.988993
2016-01-07,73.760002,75.089996,73.349998,73.790001,12470800,73.514522
2016-01-08,74.059998,74.510002,72.75,72.879997,9977600,72.607916
2016-01-11,73.110001,74.080002,72.660004,73.919998,13069500,73.644034
2016-01-12,74.519997,75.0,74.019997,74.760002,10236900,74.480902
2016-01-13,75.269997,75.389999,72.989998,73.099998,12659600,72.827096
2016-01-14,73.150002,74.519997,72.660004,73.800003,10426200,73.524487
2016-01-15,71.940002,72.949997,70.660004,71.830002,18470500,71.561841
2016-01-19,72.940002,73.019997,70.660004,71.389999,16009600,71.123481
2016-01-20,69.959999,71.410004,69.040001,70.68,16586000,70.416132
2016-01-21,70.720001,72.330002,70.099998,71.559998,11931200,71.292844
2016-01-22,72.669998,73.18,72.129997,72.699997,8652600,72.428588
2016-01-25,72.760002,72.910004,71.580002,71.739998,9126200,71.472173
2016-01-26,72.18,72.269997,71.550003,71.879997,7500200,71.611649
2016-01-27,71.980003,72.480003,70.580002,70.910004,9020500,70.645277
2016-01-28,71.419998,71.849998,69.330002,69.330002,15295600,69.071174
2016-01-29,70.43,74.5,68.760002,74.489998,40427800,74.211906
2016-02-01,74.080002,74.779999,73.25,74.379997,12623500,74.102316
2016-02-02,73.5,74.209999,73.129997,73.400002,9572700,73.125979
2016-02-03,73.760002,74.629997,72.43,74.379997,9941900,74.102316
2016-02-04,74.099998,74.629997,72.760002,73.68,14735700,73.404932
2016-02-05,73.559998,73.610001,70.550003,71.540001,12939400,71.272922
2016-02-08,69.949997,70.040001,66.300003,67.769997,30542600,67.516992
2016-02-09,66.389999,69.480003,66.120003,68.330002,14882800,68.074907
2016-02-10,69.139999,71.029999,69.07,70.150002,11369500,69.888112
2016-02-11,67.790001,69.07,67.43,68.470001,13962100,68.214384
2016-02-12,69.440002,70.470001,69.120003,70.419998,8710200,70.157101
2016-02-16,71.410004,71.75,70.400002,71.099998,8780700,70.834562
2016-02-17,71.730003,72.120003,71.300003,72.029999,8494100,71.902672
2016-02-18,71.889999,72.25,71.019997,71.239998,6938100,71.114067
2016-02-19,71.029999,71.720001,70.300003,71.529999,7750900,71.403556
2016-02-22,72.279999,73.190002,72.099998,73.059998,7481500,72.93085
2016-02-23,72.949997,73.120003,71.989998,72.150002,6177000,72.022462
2016-02-24,71.25,72.190002,70.379997,71.849998,7728600,71.72299
2016-02-25,71.959999,73.339996,71.940002,73.269997,6840900,73.140478
2016-02-26,73.739998,73.910004,72.690002,72.730003,6714100,72.601439
2016-02-29,72.860001,73.900002,72.389999,72.389999,7786100,72.262036
2016-03-01,72.989998,74.639999,72.900002,74.639999,8705300,74.508059
2016-03-02,74.5,74.599998,73.660004,74.300003,5739100,74.168663
2016-03-03,74.480003,74.5,73.360001,73.910004,6588300,73.779353
2016-03-04,74.220001,74.25,73.610001,73.900002,9475300,73.769369
2016-03-07,73.389999,73.449997,71.349998,71.940002,16671900,71.812834
2016-03-08,71.5,71.519997,70.510002,70.620003,12394400,70.495168
2016-03-09,71.0,71.080002,69.900002,70.68,9291600,70.55506
2016-03-10,71.139999,71.400002,69.580002,70.220001,10135100,70.095874
2016-03-11,71.150002,72.010002,70.68,71.629997,9466400,71.503377
2016-03-14,71.599998,71.720001,70.949997,71.489998,7916500,71.363625
2016-03-15,71.18,71.910004,70.660004,71.910004,6442800,71.782889
2016-03-16,71.68,72.830002,71.510002,72.370003,7561800,72.242075
2016-03-17,72.279999,73.669998,72.169998,73.139999,7411700,73.01071
2016-03-18,73.5,74.099998,73.129997,73.779999,15026200,73.649578
2016-03-21,73.580002,73.940002,73.150002,73.769997,7397400,73.639594
2016-03-22,73.239998,73.650002,72.93,72.959999,6796800,72.831028
2016-03-23,72.949997,74.169998,72.769997,73.910004,7287100,73.779353
2016-03-24,73.650002,74.160004,73.410004,74.139999,6303900,74.008942
2016-03-28,74.139999,74.269997,73.720001,74.080002,7283300,73.949051
2016-03-29,74.019997,75.589996,73.919998,75.379997,10541500,75.246748
2016-03-30,75.900002,77.0,75.839996,76.779999,9691900,76.644275
2016-03-31,76.620003,76.919998,75.949997,76.480003,7490800,76.34481
2016-04-01,76.25,78.25,75.800003,77.589996,10183400,77.452841
2016-04-04,77.970001,78.309998,77.529999,77.830002,6905800,77.692422
2016-04-05,77.139999,77.470001,76.580002,76.970001,6012000,76.833942
2016-04-06,77.080002,78.279999,77.0,78.209999,6220400,78.071748
2016-04-07,77.709999,77.980003,77.190002,77.580002,7542100,77.442864
2016-04-08,78.080002,78.620003,77.809998,78.029999,5327500,77.892066
2016-04-11,78.360001,78.779999,77.769997,77.82,5957200,77.682438
2016-04-12,77.720001,78.550003,77.650002,78.519997,5962900,78.381197
2016-04-13,79.029999,79.93,78.910004,79.709999,9187300,79.569096
2016-04-14,79.760002,80.669998,79.309998,80.330002,11470300,80.188003
2016-04-15,80.25,80.690002,79.900002,80.080002,7186700,79.938445
2016-04-18,80.199997,81.550003,79.830002,81.449997,7761200,81.306018
2016-04-19,81.5,81.730003,80.370003,80.75,8324700,80.607259
2016-04-20,80.879997,81.639999,80.550003,81.150002,8521300,81.006553
2016-04-21,81.5,81.669998,80.68,80.790001,9536900,80.647189
2016-04-22,78.0,79.360001,77.279999,79.110001,18216000,78.970158
2016-04-25,78.690002,78.839996,77.82,78.139999,11184600,78.001872
2016-04-26,78.449997,78.699997,78.110001,78.529999,6071800,78.391182
2016-04-27,78.410004,79.0,78.169998,78.760002,6319400,78.620778
2016-04-28,78.349998,79.269997,77.599998,77.68,8322600,77.542686
2016-04-29,77.519997,78.010002,76.860001,77.239998,8092700,77.103461
2016-05-02,77.809998,78.470001,77.160004,78.459999,7636800,78.321306
2016-05-03,77.43,78.360001,76.93,77.190002,7666300,77.053554
2016-05-04,76.559998,77.379997,76.349998,77.07,8633800,76.933763
2016-05-05,77.139999,77.699997,77.010002,77.360001,6002300,77.223252
2016-05-06,77.230003,77.800003,76.779999,77.720001,6172600,77.582616
2016-05-09,77.690002,78.360001,77.580002,78.220001,9242300,78.081732
2016-05-10,78.419998,79.330002,78.410004,79.199997,6802600,79.059996
2016-05-11,79.139999,79.330002,77.290001,77.300003,8432500,77.300003
2016-05-12,77.800003,78.190002,77.07,77.889999,7512800,77.889999
2016-05-13,77.709999,78.279999,76.830002,76.830002,7562700,76.830002
2016-05-16,77.019997,78.059998,76.959999,77.800003,8597900,77.800003
2016-05-17,77.57,77.919998,76.519997,76.790001,7169900,76.790001
2016-05-18,76.709999,77.879997,76.400002,77.43,6288500,77.43
2016-05-19,76.870003,77.25,76.220001,76.879997,5552200,76.879997
2016-05-20,77.339996,78.040001,77.18,77.669998,6300600,77.669998
2016-05-23,77.760002,77.989998,77.139999,77.209999,5911100,77.209999
2016-05-24,77.660004,79.5,77.660004,79.379997,7505500,79.379997
2016-05-25,79.5,79.669998,78.949997,79.059998,5846700,79.059998
2016-05-26,79.400002,79.400002,78.870003,79.0,4226500,79.0
2016-05-27,78.839996,79.660004,78.839996,79.660004,4312200,79.660004
2016-05-31,79.860001,79.870003,78.760002,78.940002,8551100,78.940002
2016-06-01,78.690002,79.32,78.57,79.220001,4490700,79.220001
2016-06-02,79.269997,79.949997,78.93,79.949997,5620500,79.949997
2016-06-03,79.550003,80.199997,79.160004,79.940002,7592000,79.940002
