Date,Open_BA,High_BA,Low_BA,Close_BA,Volume_BA,AdjClose_BA
2013-06-14,102.160004,103.220001,101.5,101.830002,3944400,94.598131
2013-06-17,102.690002,103.519997,102.519997,103.029999,4217400,95.712906
2013-06-18,103.220001,104.150002,102.650002,104.080002,4035700,96.688339
2013-06-19,103.830002,104.150002,102.239998,102.25,4186900,94.988302
2013-06-20,101.459999,101.860001,99.379997,99.639999,7114800,92.563661
2013-06-21,100.080002,100.139999,97.419998,99.980003,10328800,92.879518
2013-06-24,99.059998,99.459999,96.309998,97.849998,5585200,90.900784
2013-06-25,99.199997,99.660004,98.18,98.669998,3557900,91.662548
2013-06-26,99.650002,101.389999,99.57,100.75,5267300,93.59483
2013-06-27,102.410004,103.519997,102.010002,103.150002,6577700,95.824386
2013-06-28,102.860001,103.489998,102.32,102.440002,5432500,95.16481
2013-07-01,102.93,104.019997,102.93,103.239998,4091200,95.907991
2013-07-02,103.220001,103.25,100.82,101.470001,4147000,94.263698
2013-07-03,101.010002,103.040001,100.779999,102.889999,2891700,95.582849
2013-07-05,103.699997,104.199997,102.75,104.199997,3671700,96.799812
2013-07-08,104.0,105.099998,103.440002,104.370003,4222700,96.957744
2013-07-09,105.269997,105.75,104.459999,104.68,3991800,97.245726
2013-07-10,104.5,105.599998,104.410004,105.5,3872700,98.00749
2013-07-11,106.43,107.459999,106.290001,106.879997,4529800,99.289481
2013-07-12,106.860001,108.150002,98.989998,101.870003,44391800,94.635292
2013-07-15,103.830002,105.870003,103.099998,105.660004,13169900,98.15613
2013-07-16,105.690002,105.800003,103.779999,104.230003,5839100,96.827687
2013-07-17,104.449997,105.43,104.419998,104.790001,3931800,97.347914
2013-07-18,104.959999,107.980003,104.800003,107.629997,8046400,99.986217
2013-07-19,107.129997,107.129997,105.610001,106.959999,5992000,99.363801
2013-07-22,107.269997,107.32,106.449997,106.860001,4168800,99.270905
2013-07-23,107.18,107.980003,106.339996,107.790001,5081600,100.134857
2013-07-24,109.239998,109.489998,106.260002,106.949997,7723500,99.354509
2013-07-25,106.360001,107.120003,105.849998,106.699997,5267100,99.122264
2013-07-26,106.220001,106.220001,105.309998,105.599998,4216100,98.100387
2013-07-29,103.519997,105.120003,103.5,104.809998,4041800,97.366491
2013-07-30,104.940002,106.010002,104.800003,105.730003,5022700,98.221159
2013-07-31,105.919998,106.279999,104.989998,105.099998,4487800,97.635896
2013-08-01,105.989998,107.0,105.779999,106.699997,4910800,99.122264
2013-08-02,106.0,107.949997,106.0,107.900002,4226200,100.237046
2013-08-05,107.139999,107.800003,107.139999,107.5,3559200,99.865452
2013-08-06,107.349998,107.709999,106.620003,107.040001,5199900,99.438121
2013-08-07,106.209999,106.68,105.529999,106.419998,3158600,99.312138
2013-08-08,106.68,107.239998,105.830002,105.839996,3741400,98.770875
2013-08-09,105.370003,106.150002,104.879997,105.330002,3326500,98.294944
2013-08-12,104.860001,105.07,104.050003,104.239998,3830800,97.277742
2013-08-13,104.309998,106.550003,104.269997,106.230003,3578300,99.134833
2013-08-14,106.160004,106.160004,104.07,104.160004,4481100,97.20309
2013-08-15,103.190002,103.290001,101.769997,102.730003,4359400,95.868601
2013-08-16,102.82,103.940002,102.699997,103.470001,3469100,96.559174
2013-08-19,103.0,105.199997,102.879997,104.720001,3512200,97.725685
2013-08-20,104.690002,105.080002,104.550003,104.629997,3448900,97.641693
2013-08-21,104.470001,104.760002,103.599998,103.910004,3645600,96.969788
2013-08-22,103.879997,105.5,103.879997,105.139999,2857800,98.117632
2013-08-23,105.5,105.5,104.800003,105.480003,3016100,98.434926
2013-08-26,105.75,106.519997,105.209999,105.529999,2480400,98.481583
2013-08-27,104.400002,105.139999,103.059998,103.209999,4376900,96.316537
2013-08-28,103.099998,103.82,102.57,103.269997,2816300,96.372527
2013-08-29,103.279999,105.440002,103.0,104.93,3095400,97.921658
2013-08-30,104.919998,104.959999,103.599998,103.919998,2723800,96.979115
2013-09-03,105.129997,105.830002,104.660004,105.010002,3659800,97.996317
2013-09-04,105.050003,107.120003,104.620003,106.370003,3837500,99.265482
2013-09-05,106.160004,106.980003,105.669998,106.650002,2590500,99.52678
2013-09-06,107.0,107.379997,105.110001,106.07,3265200,98.985516
2013-09-09,106.580002,107.379997,106.559998,107.190002,2907600,100.030714
2013-09-10,107.639999,108.449997,107.400002,108.169998,3848000,100.945255
2013-09-11,108.25,109.230003,107.800003,109.230003,3313700,101.934461
2013-09-12,109.190002,110.220001,109.139999,109.800003,4766800,102.466391
2013-09-13,109.93,111.330002,109.559998,111.330002,3503400,103.8942
2013-09-16,113.730003,115.889999,113.260002,115.669998,7711200,107.944325
2013-09-17,115.779999,117.480003,115.589996,117.110001,5308300,109.288149
2013-09-18,117.279999,119.519997,116.550003,118.400002,6330600,110.49199
2013-09-19,119.220001,120.379997,118.809998,119.040001,5766700,111.089243
2013-09-20,119.150002,119.220001,116.629997,116.629997,8745400,108.840205
2013-09-23,117.150002,118.370003,115.800003,117.510002,5450200,109.661434
2013-09-24,117.190002,119.889999,116.800003,119.0,5020000,111.051914
2013-09-25,119.32,119.610001,118.160004,118.510002,3566600,110.594643
2013-09-26,118.709999,119.5,118.510002,119.379997,2820400,111.406531
2013-09-27,118.510002,119.169998,117.790001,118.739998,2848900,110.809277
2013-09-30,117.349998,117.889999,116.370003,117.5,4032900,109.6521
2013-10-01,117.970001,118.300003,117.080002,117.75,2880700,109.885402
2013-10-02,117.379997,117.839996,116.279999,117.839996,2871900,109.969388
2013-10-03,117.349998,117.489998,114.730003,115.239998,4455100,107.543045
2013-10-04,115.269997,117.260002,115.25,117.199997,3998000,109.372134
2013-10-07,115.510002,117.169998,115.400002,116.690002,3822000,108.896202
2013-10-08,116.669998,117.32,115.419998,115.440002,4574000,107.729691
2013-10-09,115.400002,115.400002,113.339996,114.470001,4722200,106.824477
2013-10-10,116.099998,119.0,115.910004,118.900002,5635400,110.958594
2013-10-11,118.599998,119.400002,117.830002,117.980003,4505500,110.100043
2013-10-14,117.419998,119.550003,116.690002,119.459999,3617800,111.481189
2013-10-15,119.419998,119.589996,118.139999,118.18,2749700,110.286682
2013-10-16,118.779999,120.660004,118.75,120.339996,4036900,112.302411
2013-10-17,119.809998,122.389999,119.809998,122.290001,4114200,114.122173
2013-10-18,122.5,122.860001,121.25,122.519997,3924200,114.336808
2013-10-21,122.690002,122.739998,121.059998,121.470001,3207900,113.356942
2013-10-22,122.0,123.800003,121.879997,122.480003,4431200,114.299486
