Date,Open_TSO,High_TSO,Low_TSO,Close_TSO,Volume_TSO,AdjClose_TSO
2013-06-14,58.049999,58.32,56.82,57.16,2277800,53.839884
2013-06-17,57.450001,58.09,57.0,57.610001,2932100,54.263746
2013-06-18,57.599998,58.02,56.639999,57.110001,2940000,53.792789
2013-06-19,57.169998,58.880001,56.900002,57.41,2611800,54.075363
2013-06-20,56.400002,56.470001,54.580002,55.32,4772100,52.106759
2013-06-21,55.669998,55.860001,52.939999,54.130001,6375300,50.985881
2013-06-24,53.009998,53.330002,50.720001,51.900002,4618000,48.88541
2013-06-25,52.720001,53.740002,52.709999,53.34,3069100,50.241767
2013-06-26,53.91,54.669998,53.52,54.099998,2589800,50.957621
2013-06-27,54.580002,54.84,52.709999,52.790001,2727800,49.723714
2013-06-28,52.419998,53.209999,52.220001,52.32,2398900,49.281013
2013-07-01,52.400002,53.209999,51.77,51.91,2314400,48.894828
2013-07-02,51.91,52.049999,50.07,50.709999,3366300,47.764529
2013-07-03,50.700001,50.759998,49.259998,50.380001,3049700,47.453698
2013-07-05,50.650002,51.540001,49.759998,51.279999,2733400,48.30142
2013-07-08,51.439999,53.200001,51.32,52.470001,2964400,49.422302
2013-07-09,52.66,53.07,51.599998,52.98,2100500,49.902677
2013-07-10,52.869999,52.98,49.919998,50.619999,4186200,47.679756
2013-07-11,51.43,53.470001,51.049999,53.369999,3262900,50.270024
2013-07-12,52.220001,55.59,52.0,55.200001,4324300,51.99373
2013-07-15,55.360001,55.380001,53.740002,54.139999,2317200,50.995299
2013-07-16,53.82,54.130001,52.0,52.619999,2557700,49.563587
2013-07-17,52.779999,53.509998,52.599998,53.099998,1866100,50.015706
2013-07-18,53.119999,53.93,50.860001,51.099998,3821200,48.131875
2013-07-19,51.099998,52.380001,50.66,51.740002,3242600,48.734704
2013-07-22,51.950001,53.34,51.330002,53.240002,2064100,50.147577
2013-07-23,53.48,54.5,53.25,54.060001,2497500,50.919947
2013-07-24,54.080002,54.080002,52.889999,53.360001,2146200,50.260606
2013-07-25,53.139999,54.580002,53.040001,54.549999,2048600,51.381484
2013-07-26,54.220001,54.75,53.529999,54.509998,1443300,51.343806
2013-07-29,54.389999,55.139999,54.25,54.990002,1957800,51.795929
2013-07-30,55.139999,55.639999,54.310001,55.580002,3134700,52.351659
2013-07-31,55.490002,57.299999,55.119999,56.849998,3845800,53.547889
2013-08-01,57.299999,57.990002,56.650002,57.75,2582900,54.395614
2013-08-02,57.25,57.98,54.77,55.299999,3719500,52.087921
2013-08-05,55.299999,56.299999,54.110001,56.09,2979400,52.832035
2013-08-06,55.759998,56.869999,53.860001,54.200001,5070100,51.051815
2013-08-07,54.130001,54.790001,52.970001,53.099998,3314300,50.015706
2013-08-08,53.220001,53.990002,52.75,53.32,4233200,50.222928
2013-08-09,53.290001,53.919998,52.919998,53.080002,2835300,49.996871
2013-08-12,52.68,53.060001,51.790001,52.27,2368500,49.233918
2013-08-13,52.450001,52.450001,51.360001,51.73,2225100,48.725283
2013-08-14,51.709999,51.939999,50.900002,51.169998,2814700,48.197809
2013-08-15,51.009998,51.43,49.200001,49.34,4085900,46.474106
2013-08-16,49.259998,49.439999,48.139999,48.799999,3831900,45.96547
2013-08-19,48.66,48.77,47.009998,47.040001,3348100,44.307701
2013-08-20,47.0,47.32,45.529999,46.700001,6338200,43.98745
2013-08-21,46.650002,48.599998,46.099998,47.779999,4930200,45.004716
2013-08-22,47.91,49.77,47.509998,49.279999,3526800,46.417589
2013-08-23,49.25,49.950001,48.759998,49.009998,2967100,46.163272
2013-08-26,49.009998,49.23,47.810001,47.959999,2817000,45.174261
2013-08-27,47.369999,47.5,46.25,46.34,3181800,43.648359
2013-08-28,46.25,46.549999,45.900002,46.389999,2703500,43.932467
2013-08-29,46.32,46.93,45.98,46.459999,2245300,43.998759
2013-08-30,46.610001,46.77,45.810001,46.09,2584400,43.64836
2013-09-03,46.560001,47.639999,46.439999,47.02,3945200,44.529094
2013-09-04,46.880001,47.240002,46.209999,46.759998,3591900,44.282865
2013-09-05,46.75,46.919998,46.310001,46.400002,2703200,43.941939
2013-09-06,46.68,47.290001,45.5,46.779999,3993000,44.301806
2013-09-09,46.57,46.57,45.939999,46.16,3341200,43.714652
2013-09-10,46.330002,46.369999,45.509998,45.939999,3745600,43.506305
2013-09-11,46.25,46.5,45.34,46.0,3652200,43.563128
2013-09-12,46.110001,46.169998,44.43,44.82,4847200,42.445639
2013-09-13,44.919998,46.439999,44.919998,46.110001,3224500,43.667301
2013-09-16,46.450001,46.639999,45.400002,45.490002,2255000,43.080147
2013-09-17,45.490002,45.650002,44.860001,45.580002,2287300,43.16538
2013-09-18,45.52,45.849998,44.950001,45.48,2941100,43.070675
2013-09-19,45.689999,46.540001,45.540001,45.580002,4056400,43.16538
2013-09-20,45.529999,46.169998,44.32,44.41,4044800,42.057359
