Date,Open_ADS,High_ADS,Low_ADS,Close_ADS,Volume_ADS,AdjClose_ADS
2015-06-08,295.809998,297.230011,292.440002,295.51001,498800,295.51001
2015-06-09,295.470001,297.579987,290.869995,293.529999,480900,293.529999
2015-06-10,294.230011,301.600006,293.480011,299.709991,400400,299.709991
2015-06-11,300.980011,302.820007,299.399994,300.630005,285800,300.630005
2015-06-12,300.0,303.0,299.470001,301.549988,324300,301.549988
2015-06-15,298.589996,300.809998,295.640015,299.459991,271800,299.459991
2015-06-16,299.660004,301.019989,297.160004,297.420013,315300,297.420013
2015-06-17,297.540009,299.75,296.609985,297.700012,281000,297.700012
2015-06-18,298.850006,301.950012,297.279999,301.269989,405600,301.269989
2015-06-19,300.619995,303.269989,298.809998,302.709991,422000,302.709991
2015-06-22,303.959991,307.100006,301.679993,305.5,416600,305.5
2015-06-23,306.26001,306.869995,302.679993,304.179993,324300,304.179993
2015-06-24,304.200012,305.5,301.23999,303.390015,336800,303.390015
2015-06-25,303.950012,306.100006,302.399994,303.970001,459200,303.970001
2015-06-26,304.25,304.25,301.48999,302.950012,761700,302.950012
2015-06-29,301.75,301.75,291.329987,291.450012,483400,291.450012
2015-06-30,294.049988,294.700012,289.380005,291.940002,469500,291.940002
2015-07-01,294.070007,295.5,291.279999,292.859985,328600,292.859985
2015-07-02,294.809998,296.269989,291.869995,295.720001,276800,295.720001
2015-07-06,293.679993,297.709991,291.100006,295.899994,373900,295.899994
2015-07-07,296.079987,299.730011,292.799988,298.959991,394000,298.959991
2015-07-08,296.029999,298.480011,293.149994,293.690002,480300,293.690002
2015-07-09,296.779999,298.170013,294.790009,295.440002,471800,295.440002
2015-07-10,300.459991,302.390015,296.579987,301.929993,407700,301.929993
2015-07-13,304.950012,305.5,302.209991,304.160004,232100,304.160004
2015-07-14,304.600006,307.779999,303.390015,304.899994,236400,304.899994
2015-07-15,305.220001,305.220001,299.220001,300.029999,467400,300.029999
2015-07-16,302.420013,306.26001,300.440002,302.149994,476200,302.149994
2015-07-17,301.700012,304.380005,299.929993,302.369995,341300,302.369995
2015-07-20,302.23999,304.76001,301.820007,302.660004,275000,302.660004
2015-07-21,303.950012,304.98999,298.709991,299.570007,297100,299.570007
2015-07-22,298.700012,302.859985,298.700012,301.690002,456100,301.690002
2015-07-23,298.670013,298.980011,283.720001,284.339996,1409900,284.339996
2015-07-24,284.649994,285.0,268.709991,274.109985,1558400,274.109985
2015-07-27,273.070007,273.660004,266.279999,267.0,603600,267.0
2015-07-28,267.519989,272.570007,264.959991,270.809998,656700,270.809998
2015-07-29,272.049988,275.220001,271.5,272.850006,948500,272.850006
2015-07-30,271.200012,273.339996,267.149994,272.51001,472300,272.51001
2015-07-31,273.320007,275.23999,270.309998,275.040009,429700,275.040009
2015-08-03,275.279999,276.720001,271.309998,273.399994,420000,273.399994
2015-08-04,273.559998,276.019989,271.649994,275.799988,437900,275.799988
2015-08-05,277.670013,280.799988,275.220001,275.559998,265800,275.559998
2015-08-06,275.600006,275.600006,268.709991,269.470001,306000,269.470001
2015-08-07,269.140015,272.609985,267.149994,270.160004,372200,270.160004
2015-08-10,272.720001,274.119995,270.109985,270.23999,414700,270.23999
2015-08-11,268.390015,271.029999,265.0,267.98999,639900,267.98999
