Date,Open_TWX,High_TWX,Low_TWX,Close_TWX,Volume_TWX,AdjClose_TWX
2015-06-08,84.610001,86.440002,84.5,86.019997,5522900,84.19931
2015-06-09,85.669998,86.120003,84.790001,85.529999,4362000,83.719684
2015-06-10,85.699997,86.220001,85.300003,85.629997,3650000,83.817566
2015-06-11,85.650002,86.959999,85.650002,86.589996,3248600,84.757246
2015-06-12,86.459999,86.690002,85.790001,86.010002,2515900,84.189528
2015-06-15,85.669998,86.239998,85.120003,86.18,2668600,84.355928
2015-06-16,85.489998,87.400002,85.489998,87.040001,3570200,85.197726
2015-06-17,87.099998,87.629997,86.970001,87.220001,3515000,85.373916
2015-06-18,87.160004,88.690002,87.120003,88.309998,2888800,86.440842
2015-06-19,87.959999,88.580002,87.559998,88.0,3695300,86.137405
2015-06-22,88.330002,88.82,87.839996,88.019997,1944300,86.156979
2015-06-23,88.300003,88.389999,87.589996,87.690002,2577300,85.833969
2015-06-24,87.550003,88.019997,87.059998,87.099998,2965000,85.256453
2015-06-25,87.580002,88.68,87.150002,88.199997,3475600,86.333169
2015-06-26,88.199997,88.720001,88.07,88.129997,7602000,86.264651
2015-06-29,87.599998,88.480003,86.449997,86.529999,3378300,84.698518
2015-06-30,87.239998,87.860001,86.849998,87.410004,4186700,85.559897
2015-07-01,88.559998,88.93,87.669998,88.309998,2509100,86.440842
2015-07-02,88.550003,89.209999,87.980003,88.489998,2202400,86.617032
2015-07-06,87.709999,88.239998,87.0,87.379997,3040600,85.530526
2015-07-07,87.580002,87.779999,86.169998,87.370003,4275900,85.520743
2015-07-08,86.760002,87.75,85.639999,85.809998,3771000,83.993756
2015-07-09,87.199997,87.669998,86.489998,87.089996,3405100,85.246663
2015-07-10,88.260002,88.879997,87.970001,88.629997,2907600,86.754068
2015-07-13,89.410004,89.959999,89.120003,89.889999,2485500,87.987401
2015-07-14,89.279999,90.370003,89.139999,89.989998,2423200,88.085283
2015-07-15,89.989998,90.639999,89.660004,90.480003,3364200,88.564917
2015-07-16,90.839996,91.339996,90.769997,91.010002,3790300,89.083698
2015-07-17,90.489998,90.769997,88.639999,89.690002,3515600,87.791638
2015-07-20,90.050003,90.050003,89.18,89.370003,2210500,87.478411
2015-07-21,89.370003,89.629997,88.580002,88.75,2355600,86.871531
2015-07-22,88.57,89.169998,88.550003,88.720001,2031800,86.842167
2015-07-23,88.730003,88.879997,87.43,87.690002,1972000,85.833969
2015-07-24,87.860001,88.230003,87.230003,87.379997,2382000,85.530526
2015-07-27,87.07,87.519997,86.32,86.540001,2756500,84.708308
2015-07-28,86.849998,87.800003,86.360001,87.760002,2501400,85.902487
2015-07-29,86.940002,88.349998,86.779999,88.110001,2024900,86.245078
2015-07-30,87.440002,88.900002,87.220001,88.440002,1982300,86.568095
2015-07-31,88.989998,89.0,87.940002,88.040001,2443700,86.17656
2015-08-03,88.370003,88.510002,87.190002,87.779999,2539400,85.922061
2015-08-04,87.940002,88.139999,87.110001,87.650002,3875800,85.794815
2015-08-05,84.529999,85.699997,78.540001,79.800003,28773500,78.110968
2015-08-06,80.089996,80.169998,74.120003,79.150002,22336900,77.474725
2015-08-07,79.730003,82.209999,78.830002,80.129997,10000700,78.433978
2015-08-10,80.669998,82.559998,80.300003,82.160004,8287100,80.421018
2015-08-11,81.5,81.669998,79.68,79.769997,6417000,78.081597
2015-08-12,78.849998,80.279999,78.360001,79.910004,5356300,78.218641
2015-08-13,79.529999,79.900002,77.959999,79.029999,6379200,77.357262
2015-08-14,79.379997,79.830002,78.160004,78.230003,5184700,76.574199
2015-08-17,78.169998,79.5,77.760002,79.400002,4005800,77.719433
2015-08-18,78.889999,79.480003,78.480003,79.010002,4318000,77.337688
2015-08-19,78.739998,79.080002,77.629997,77.82,5904000,76.172873
2015-08-20,76.019997,76.519997,73.800003,73.900002,13186800,72.335845
2015-08-21,72.989998,74.379997,72.650002,72.699997,7589200,71.16124
2015-08-24,68.739998,72.839996,66.82,69.809998,8923700,68.33241
2015-08-25,72.190002,72.220001,69.639999,69.690002,7739100,68.214954
2015-08-26,71.330002,72.0,70.0,71.669998,6462300,70.153042
2015-08-27,72.199997,73.639999,71.220001,72.82,6974300,71.628501
2015-08-28,72.5,73.230003,71.919998,72.379997,4977200,71.195698
2015-08-31,71.849998,72.07,71.089996,71.099998,5092700,69.936643
2015-09-01,69.519997,70.690002,69.0,69.440002,6554200,68.303808
2015-09-02,70.260002,70.489998,69.029999,70.489998,5006100,69.336623
2015-09-03,70.910004,71.650002,70.370003,70.699997,3968900,69.543186
2015-09-04,69.660004,70.389999,69.370003,70.010002,3618200,68.864481
2015-09-08,70.849998,71.730003,70.669998,71.68,3756900,70.507154
2015-09-09,72.389999,72.910004,69.970001,70.110001,3393600,68.962843
2015-09-10,70.230003,71.220001,69.57,70.709999,5955400,69.553024
2015-09-11,70.540001,70.599998,68.970001,70.010002,5353600,68.864481
2015-09-14,70.010002,70.160004,69.169998,69.629997,3479600,68.490694
2015-09-15,70.129997,70.190002,69.190002,69.989998,3718200,68.844804
2015-09-16,70.0,70.989998,70.0,70.57,3349700,69.415316
2015-09-17,70.57,71.139999,69.800003,70.25,4296600,69.100552
2015-09-18,70.129997,70.419998,69.120003,69.639999,8607700,68.500532
2015-09-21,69.910004,70.139999,69.080002,69.57,3534100,68.431678
2015-09-22,68.5,69.510002,68.5,69.389999,3998900,68.254623
2015-09-23,69.389999,69.559998,68.68,69.019997,3136000,67.890674
2015-09-24,67.830002,68.470001,66.860001,67.620003,5890300,66.513587
2015-09-25,67.989998,68.400002,67.269997,67.870003,5659100,66.759497
2015-09-28,67.550003,67.82,66.370003,66.459999,5706800,65.372564
2015-09-29,65.879997,66.959999,65.25,66.599998,5154500,65.510273
2015-09-30,67.25,68.839996,66.970001,68.75,6422700,67.625095
2015-10-01,68.629997,69.510002,68.209999,69.339996,6245300,68.205438
2015-10-02,68.5,70.620003,68.059998,70.589996,4257600,69.434985
2015-10-05,70.480003,71.629997,70.349998,71.07,4834200,69.907135
2015-10-06,71.160004,72.050003,70.739998,71.410004,4573700,70.241575
2015-10-07,71.900002,72.919998,71.690002,71.800003,5337500,70.625193
2015-10-08,71.699997,73.110001,71.5,72.980003,4290200,71.785886
2015-10-09,73.040001,73.540001,72.75,73.089996,4493400,71.89408
2015-10-12,73.239998,73.690002,72.980003,73.18,3837400,71.982611
2015-10-13,72.830002,73.25,72.190002,72.790001,3689000,71.598993
2015-10-14,72.589996,72.769997,70.830002,71.029999,5030600,69.867788
2015-10-15,71.400002,72.559998,70.699997,72.489998,5118600,71.303898
2015-10-16,72.57,72.919998,71.889999,72.019997,4305400,70.841587
2015-10-19,72.300003,72.300003,70.709999,71.160004,4456300,69.995666
2015-10-20,71.279999,72.059998,71.099998,71.730003,4180300,70.556339
2015-10-21,72.080002,72.199997,71.050003,71.129997,3037300,69.96615
2015-10-22,71.459999,73.110001,71.300003,72.529999,4232500,71.343245
2015-10-23,72.959999,73.5,72.0,73.269997,4615800,72.071135
2015-10-26,73.260002,73.529999,72.830002,73.349998,3369500,72.149827
2015-10-27,73.349998,73.550003,72.330002,72.900002,3946700,71.707193
2015-10-28,73.040001,75.129997,72.75,75.07,5493500,73.841686
2015-10-29,75.0,76.339996,74.82,75.470001,4490100,74.235142
2015-10-30,75.559998,76.25,74.769997,75.339996,5591700,74.107264
2015-11-02,75.279999,76.650002,74.830002,76.559998,5775400,75.307304
2015-11-03,76.599998,78.309998,76.389999,77.300003,8047200,76.035201
2015-11-04,76.709999,76.75,69.269997,72.199997,24585800,71.018643
2015-11-05,70.82,72.410004,68.610001,69.43,20835400,68.293969
2015-11-06,69.110001,69.410004,68.150002,68.860001,13597800,67.733296
2015-11-09,68.93,69.129997,67.279999,68.489998,10082600,67.369347
2015-11-10,68.150002,70.129997,68.110001,69.739998,9125000,68.598895
2015-11-11,69.959999,71.93,69.089996,71.050003,10837500,69.887465
2015-11-12,70.330002,74.150002,70.25,70.419998,6162600,69.267769
2015-11-13,70.419998,70.980003,69.559998,69.93,5061900,68.785788
2015-11-16,69.639999,71.139999,69.489998,71.099998,4722300,69.936643
2015-11-17,71.25,71.480003,70.239998,70.459999,4147600,69.307115
2015-11-18,70.940002,71.970001,70.660004,71.769997,3807700,70.595678
2015-11-19,71.440002,71.760002,70.809998,70.980003,2699800,69.818611
2015-11-20,71.029999,71.779999,70.489998,70.720001,4262000,69.562863
2015-11-23,70.720001,70.809998,70.010002,70.519997,4009200,69.366131
2015-11-24,70.18,70.620003,69.709999,70.190002,3553400,69.041536
2015-11-25,70.0,70.489998,69.82,70.300003,3061800,69.49628
2015-11-27,69.800003,69.940002,68.830002,69.779999,1836500,68.98222
2015-11-30,69.940002,70.300003,69.309998,69.980003,4804600,69.179938
2015-12-01,70.18,71.18,70.110001,71.040001,7565900,70.227817
2015-12-02,70.900002,71.07,69.779999,70.019997,6277400,69.219474
2015-12-03,70.050003,70.269997,69.080002,69.160004,7003600,68.369313
2015-12-04,69.650002,70.720001,69.050003,70.610001,9637800,69.802733
2015-12-07,70.32,70.529999,69.709999,70.360001,6360500,69.555591
2015-12-08,69.769997,69.779999,68.720001,68.82,6904700,68.033197
2015-12-09,68.57,68.989998,67.489998,68.300003,8222400,67.519145
2015-12-10,68.18,68.75,67.739998,67.839996,5674600,67.064397
2015-12-11,66.900002,66.970001,65.260002,65.470001,8247000,64.721498
2015-12-14,65.709999,65.919998,63.540001,64.260002,8959300,63.525333
2015-12-15,64.940002,65.489998,64.629997,64.709999,6654600,63.970185
2015-12-16,65.150002,66.050003,64.660004,65.900002,5979200,65.146582
2015-12-17,65.849998,66.160004,64.760002,64.860001,5475600,64.118471
2015-12-18,64.580002,64.699997,63.41,63.509998,10905700,62.783903
2015-12-21,64.080002,64.279999,62.939999,63.41,4563000,62.685048
2015-12-22,63.880001,64.5,63.779999,64.120003,5373500,63.386934
2015-12-23,64.330002,64.559998,63.900002,64.489998,3598600,63.752699
2015-12-24,64.230003,64.839996,64.230003,64.389999,2173300,63.653844
2015-12-28,64.360001,64.68,63.849998,64.480003,3165000,63.742819
2015-12-29,64.75,64.989998,64.5,64.839996,4144800,64.098696
2015-12-30,64.730003,64.93,64.389999,64.440002,3465200,63.703275
2015-12-31,64.150002,65.400002,64.150002,64.669998,4120100,63.930641
2016-01-04,63.740002,64.989998,63.5,64.919998,8369200,64.177783
2016-01-05,65.18,65.589996,64.400002,65.519997,8300400,64.770922
2016-01-06,64.379997,69.489998,64.239998,68.620003,15323800,67.835486
2016-01-07,67.739998,71.540001,67.5,70.199997,22002900,69.397417
2016-01-08,72.540001,73.580002,70.970001,71.169998,22250600,70.356328
2016-01-11,71.5,72.5,68.57,69.610001,13728500,68.814166
2016-01-12,69.449997,72.440002,69.110001,71.089996,13715200,70.277241
2016-01-13,71.559998,72.220001,70.379997,70.650002,10952600,69.842277
2016-01-14,71.239998,71.870003,70.139999,70.550003,8344900,69.743421
2016-01-15,69.010002,70.550003,68.940002,69.650002,9868900,68.853709
2016-01-19,70.190002,70.849998,69.129997,69.790001,7527700,68.992108
2016-01-20,69.0,69.660004,67.260002,68.900002,9480300,68.112284
2016-01-21,68.919998,70.580002,68.089996,69.480003,5192700,68.685655
2016-01-22,70.480003,71.330002,70.269997,70.889999,4657800,70.079531
2016-01-25,70.93,70.93,69.580002,69.75,5001100,68.952565
2016-01-26,70.0,72.209999,70.0,71.989998,5055100,71.166953
2016-01-27,71.989998,72.849998,70.650002,70.949997,6901400,70.138842
2016-01-28,71.709999,71.830002,68.209999,69.580002,7055600,68.78451
