Date,Open_GWW,High_GWW,Low_GWW,Close_GWW,Volume_GWW,AdjClose_GWW
2013-06-14,252.479996,255.179993,252.190002,254.380005,246800,240.639098
2013-06-17,256.040009,256.420013,253.039993,254.360001,209200,240.620174
2013-06-18,253.539993,256.019989,252.380005,255.869995,171100,242.048603
2013-06-19,255.660004,256.190002,251.660004,251.699997,180300,238.103856
2013-06-20,249.470001,251.229996,248.270004,249.520004,294900,236.041621
2013-06-21,251.350006,253.039993,248.539993,251.229996,338800,237.659243
2013-06-24,249.440002,253.229996,247.399994,250.940002,289600,237.384915
2013-06-25,248.039993,255.839996,248.039993,255.449997,241600,241.651292
2013-06-26,257.059998,258.130005,253.720001,253.910004,422700,240.194485
2013-06-27,255.5,257.029999,253.509995,254.669998,352200,240.913426
2013-06-28,254.050003,254.869995,250.610001,252.179993,365900,238.557924
2013-07-01,253.470001,256.799988,252.410004,254.520004,241200,240.771535
2013-07-02,254.529999,255.940002,252.529999,253.860001,302400,240.147183
2013-07-03,252.020004,255.389999,250.970001,255.160004,193600,241.376963
2013-07-05,257.619995,257.899994,253.429993,256.100006,224700,242.266189
2013-07-08,256.119995,258.01001,254.820007,255.960007,507300,242.133752
2013-07-09,257.040009,264.309998,256.850006,261.75,356000,247.610986
2013-07-10,261.190002,261.880005,259.549988,261.649994,310100,247.516382
2013-07-11,265.0,265.940002,263.079987,264.390015,286900,250.108394
2013-07-12,264.209991,266.320007,263.700012,265.25,197600,250.921926
2013-07-15,266.579987,267.290009,263.609985,264.799988,267800,250.496222
2013-07-16,265.0,266.160004,261.5,262.679993,258100,248.490743
2013-07-17,259.570007,264.339996,256.859985,262.649994,478000,248.462365
2013-07-18,262.649994,265.269989,260.040009,263.200012,353000,248.982672
2013-07-19,263.640015,264.209991,261.880005,262.519989,347700,248.339382
2013-07-22,261.100006,263.269989,260.299988,261.600006,337900,247.469094
2013-07-23,262.5,262.5,257.480011,257.730011,347700,243.808146
2013-07-24,258.429993,259.350006,254.399994,255.149994,183300,241.367494
2013-07-25,254.059998,255.850006,252.830002,255.460007,288500,241.660761
2013-07-26,255.460007,257.690002,254.089996,256.649994,199200,242.786468
2013-07-29,255.25,258.170013,253.529999,257.309998,182700,243.41082
2013-07-30,258.630005,261.679993,256.630005,260.149994,263800,246.097408
2013-07-31,261.230011,264.529999,260.459991,262.140015,205600,247.979933
2013-08-01,265.299988,270.470001,265.299988,269.529999,349800,254.970731
2013-08-02,268.540009,269.279999,266.839996,267.950012,246900,253.476091
2013-08-05,266.119995,266.899994,264.5,266.089996,180500,251.716548
2013-08-06,265.100006,266.059998,262.559998,263.549988,146100,249.313743
2013-08-07,262.440002,263.130005,260.369995,261.160004,129700,247.05286
2013-08-08,261.51001,265.0,260.709991,261.0,156400,247.783866
2013-08-09,260.290009,262.799988,259.149994,259.829987,146100,246.673098
2013-08-12,257.450012,259.619995,255.0,258.029999,226500,244.964255
2013-08-13,258.230011,258.920013,255.669998,257.149994,182000,244.128811
2013-08-14,256.829987,257.48999,253.800003,253.880005,118800,241.024402
2013-08-15,251.970001,253.25,247.210007,251.940002,203600,239.182635
2013-08-16,250.789993,253.710007,250.059998,253.410004,189000,240.5782
2013-08-19,253.0,254.800003,251.600006,251.630005,131300,238.888335
2013-08-20,252.039993,253.479996,249.75,251.309998,126700,238.584531
2013-08-21,251.020004,252.470001,248.289993,249.5,206700,236.866186
2013-08-22,249.820007,251.529999,248.309998,251.360001,258000,238.632002
2013-08-23,251.279999,254.179993,250.110001,254.029999,236800,241.166801
2013-08-26,253.860001,256.140015,251.350006,252.25,290000,239.476935
2013-08-27,250.710007,251.679993,247.380005,247.690002,326800,235.14784
2013-08-28,247.119995,250.029999,245.009995,248.830002,272800,236.230114
2013-08-29,247.910004,249.839996,246.929993,247.199997,207000,234.682647
2013-08-30,247.960007,248.529999,246.0,247.350006,214000,234.82506
2013-09-03,249.389999,252.029999,248.869995,251.270004,391300,238.546563
2013-09-04,252.0,256.480011,251.080002,255.820007,414300,242.86617
2013-09-05,255.929993,260.399994,255.880005,259.549988,312800,246.407277
2013-09-06,259.799988,261.359985,257.0,258.279999,265200,245.201596
