Date,Open_CI,High_CI,Low_CI,Close_CI,Volume_CI,AdjClose_CI
2016-02-23,135.690002,138.009995,135.690002,137.839996,955600,137.800593
2016-02-24,137.490005,137.779999,135.460007,137.240005,637400,137.200774
2016-02-25,137.679993,140.479996,137.100006,140.320007,909000,140.279895
2016-02-26,140.179993,143.229996,140.009995,141.25,1132800,141.209622
2016-02-29,140.449997,142.669998,139.580002,139.610001,1238300,139.570091
2016-03-01,140.639999,140.970001,137.470001,138.529999,1574400,138.490398
2016-03-02,138.050003,140.850006,137.570007,140.5,954200,140.459836
2016-03-03,139.880005,141.259995,138.699997,140.429993,880100,140.389849
2016-03-04,139.600006,140.5,137.75,138.940002,1251100,138.900285
2016-03-07,138.0,141.029999,137.990005,140.470001,974500,140.429846
2016-03-08,139.559998,141.009995,139.050003,139.919998,934900,139.88
2016-03-09,140.880005,142.0,138.910004,140.089996,1339100,140.089996
2016-03-10,140.0,142.850006,139.539993,142.130005,1223200,142.130005
2016-03-11,142.449997,144.800003,142.169998,144.619995,1014700,144.619995
2016-03-14,143.630005,145.75,143.630005,145.270004,1008400,145.270004
2016-03-15,144.179993,145.119995,143.350006,143.389999,1385800,143.389999
2016-03-16,143.009995,144.210007,139.929993,141.949997,693400,141.949997
2016-03-17,141.899994,141.940002,136.669998,137.800003,1273600,137.800003
2016-03-18,138.020004,141.220001,137.559998,139.529999,1142700,139.529999
2016-03-21,139.039993,139.949997,137.539993,138.149994,535100,138.149994
2016-03-22,137.779999,139.779999,136.910004,138.949997,621300,138.949997
2016-03-23,139.25,139.940002,137.479996,137.869995,608000,137.869995
2016-03-24,137.089996,138.289993,136.970001,137.949997,462600,137.949997
2016-03-28,138.259995,138.679993,137.179993,137.610001,497200,137.610001
2016-03-29,137.339996,138.720001,137.070007,138.070007,1181700,138.070007
2016-03-30,138.529999,140.220001,137.350006,137.460007,1177800,137.460007
2016-03-31,137.600006,138.419998,136.179993,137.240005,1270400,137.240005
2016-04-01,136.720001,137.630005,135.139999,137.160004,1800400,137.160004
2016-04-04,137.0,141.660004,136.369995,141.229996,2698800,141.229996
2016-04-05,140.970001,141.210007,135.470001,135.490005,2711200,135.490005
2016-04-06,135.169998,136.169998,132.460007,135.199997,2504900,135.199997
2016-04-07,133.139999,135.460007,131.009995,131.860001,1968000,131.860001
2016-04-08,132.600006,133.25,129.449997,130.410004,2366900,130.410004
2016-04-11,130.380005,132.699997,130.320007,132.050003,1719500,132.050003
