Date,Open_HOG,High_HOG,Low_HOG,Close_HOG,Volume_HOG,AdjClose_HOG
2015-06-08,54.23,54.380001,53.849998,53.900002,1718200,52.336449
2015-06-09,53.939999,54.310001,53.639999,54.02,1412700,52.452967
2015-06-10,53.59,54.84,53.549999,54.689999,1924700,53.10353
2015-06-11,54.029999,54.720001,53.939999,54.720001,2481600,53.132662
2015-06-12,54.41,54.849998,54.41,54.52,1847600,52.938463
2015-06-15,54.040001,54.66,53.82,54.52,1956700,52.938463
2015-06-16,54.48,54.779999,54.369999,54.709999,1083400,53.12295
2015-06-17,54.98,57.110001,54.77,56.66,3939400,55.016385
2015-06-18,57.57,59.610001,57.57,59.009998,7034800,57.298213
2015-06-19,58.98,59.0,58.040001,58.299999,3558800,56.60881
2015-06-22,58.779999,59.099998,58.580002,58.75,2415900,57.045757
2015-06-23,58.619999,59.040001,58.18,58.200001,2271300,56.511713
2015-06-24,58.310001,58.540001,57.57,57.849998,1788000,56.171863
2015-06-25,57.880001,57.889999,57.279999,57.419998,1099000,55.754337
2015-06-26,57.700001,57.700001,56.860001,56.91,3588800,55.259132
2015-06-29,56.509998,56.639999,55.869999,55.93,2197300,54.307561
2015-06-30,56.59,56.720001,55.849998,56.349998,1894700,54.715376
2015-07-01,56.91,56.950001,55.939999,56.099998,1927800,54.472628
2015-07-02,56.59,56.610001,55.650002,56.029999,1362200,54.404659
2015-07-06,56.299999,56.790001,55.779999,56.450001,2430100,54.812477
2015-07-07,56.450001,56.790001,55.349998,56.66,1770700,55.016385
2015-07-08,55.700001,55.849998,54.27,54.700001,3173100,53.113242
2015-07-09,55.259998,55.380001,54.560001,54.700001,1257900,53.113242
2015-07-10,55.43,55.830002,55.27,55.68,1462100,54.064813
2015-07-13,56.23,56.66,56.029999,56.529999,2064600,54.890155
2015-07-14,56.939999,58.220001,56.939999,57.610001,3136100,55.938827
2015-07-15,57.540001,57.689999,55.779999,55.860001,2514100,54.239592
2015-07-16,56.32,56.439999,55.32,55.68,2241900,54.064813
2015-07-17,55.509998,55.599998,54.740002,54.959999,2345000,53.365698
2015-07-20,55.029999,55.349998,54.66,54.939999,2759600,53.346278
2015-07-21,57.490002,58.049999,56.43,57.669998,6184400,55.997084
2015-07-22,57.459999,59.330002,57.459999,58.610001,4753300,56.909819
2015-07-23,58.810001,59.290001,58.029999,58.25,2205300,56.560261
2015-07-24,58.73,58.73,57.470001,57.57,2608900,55.899987
2015-07-27,57.380001,58.02,57.25,57.799999,2113300,56.123314
2015-07-28,58.220001,58.5,57.77,58.18,1861800,56.492292
2015-07-29,58.330002,58.779999,58.130001,58.650002,1738500,56.948659
2015-07-30,58.25,58.869999,58.25,58.59,1513200,56.890399
2015-07-31,58.77,58.82,58.110001,58.299999,1631200,56.60881
2015-08-03,58.5,58.619999,57.799999,58.0,1379400,56.317513
2015-08-04,57.66,58.5,57.52,57.950001,1018600,56.268965
2015-08-05,58.220001,58.639999,58.0,58.110001,1548300,56.424323
2015-08-06,58.099998,58.720001,57.959999,58.450001,1912400,56.75446
2015-08-07,58.450001,59.389999,58.27,58.75,1917400,57.045757
2015-08-10,58.93,60.669998,58.91,60.41,3062700,58.657603
2015-08-11,59.669998,60.02,59.369999,59.720001,2349300,57.98762
2015-08-12,59.080002,59.189999,58.060001,58.66,2003300,56.958368
2015-08-13,58.360001,59.349998,58.209999,58.900002,1351600,57.191407
2015-08-14,58.790001,59.59,58.529999,59.23,1457400,57.511833
2015-08-17,59.169998,59.98,58.880001,59.880001,1782500,58.142979
2015-08-18,59.82,59.98,59.459999,59.790001,1666200,58.055589
2015-08-19,59.32,60.330002,59.200001,59.84,2050800,58.104138
2015-08-20,59.130001,59.59,58.529999,58.540001,3177500,56.84185
2015-08-21,58.0,58.349998,56.139999,56.290001,3846200,54.657119
2015-08-24,52.5,56.029999,50.639999,54.290001,5348300,52.715135
2015-08-25,55.549999,55.869999,53.200001,53.209999,3148400,51.666463
2015-08-26,54.68,55.0,53.669998,54.889999,2359200,53.297729
2015-08-27,55.669998,56.610001,55.41,56.580002,1980100,54.938707
2015-08-28,56.52,56.740002,56.169998,56.639999,1767600,54.996964
2015-08-31,56.150002,56.580002,55.860001,56.049999,1983700,54.424079
2015-09-01,54.790001,55.43,54.27,54.650002,2150300,53.064693
2015-09-02,55.310001,55.790001,54.990002,55.790001,2226800,54.171623
2015-09-03,56.119999,56.610001,55.639999,55.790001,2102500,54.171623
2015-09-04,54.790001,55.220001,54.419998,54.779999,2857800,53.190919
2015-09-08,55.59,56.0,54.580002,55.759998,2913100,54.142491
2015-09-09,56.27,56.68,55.310001,55.43,1919700,53.822065
2015-09-10,55.259998,55.259998,54.0,54.799999,3386700,53.21034
2015-09-11,54.41,54.919998,54.349998,54.779999,2236900,53.493529
2015-09-14,54.82,55.360001,54.34,54.48,2423500,53.200575
2015-09-15,54.349998,55.16,54.259998,54.990002,1801700,53.698601
2015-09-16,54.919998,56.16,54.889999,55.959999,2080600,54.645818
2015-09-17,55.970001,56.560001,55.560001,55.700001,1885300,54.391926
2015-09-18,55.009998,55.080002,54.16,54.419998,4488700,53.141983
2015-09-21,54.529999,55.5,54.5,54.82,2001400,53.532591
2015-09-22,53.810001,53.939999,53.23,53.599998,2769700,52.341241
2015-09-23,53.599998,53.860001,52.950001,53.09,2026000,51.843219
2015-09-24,52.310001,53.68,52.23,53.439999,2312600,52.184998
2015-09-25,53.889999,54.139999,53.580002,53.880001,1910800,52.614668
2015-09-28,53.52,53.740002,52.450001,52.75,2376200,51.511204
2015-09-29,52.790001,53.580002,52.419998,53.220001,2663300,51.970167
2015-09-30,54.310001,55.470001,54.18,54.900002,3069900,53.610714
2015-10-01,54.849998,54.950001,53.130001,54.09,2672500,52.819735
2015-10-02,53.369999,54.990002,53.07,54.950001,2134800,53.659539
2015-10-05,55.23,56.400002,55.200001,55.849998,2500000,54.538401
2015-10-06,55.75,56.23,54.59,54.82,2811500,53.532591
2015-10-07,54.869999,55.310001,53.919998,54.549999,4504400,53.268931
2015-10-08,54.23,55.349998,54.200001,55.080002,2527600,53.786487
2015-10-09,55.080002,55.59,54.849998,55.09,2470000,53.796251
2015-10-12,54.52,54.740002,53.77,54.66,3280600,53.376349
2015-10-13,54.34,55.970001,54.02,55.0,3163000,53.708364
2015-10-14,55.0,55.68,54.25,54.389999,2665100,53.112689
2015-10-15,54.75,55.080002,53.529999,54.970001,4080600,53.67907
2015-10-16,55.150002,55.490002,54.950001,55.41,1915800,54.108735
2015-10-19,55.290001,57.099998,55.209999,56.049999,4406700,54.733705
2015-10-20,51.290001,51.990002,46.52,48.25,31739400,47.116883
2015-10-21,47.799999,48.290001,46.470001,47.029999,10864200,45.925533
2015-10-22,47.279999,48.189999,47.0,48.110001,6748700,46.980171
2015-10-23,48.5,48.509998,47.389999,48.200001,6521400,47.068058
2015-10-26,48.200001,48.389999,47.869999,47.98,3168300,46.853223
2015-10-27,47.759998,48.169998,47.490002,47.689999,2895500,46.570033
2015-10-28,47.68,48.099998,46.799999,47.73,3858800,46.609094
2015-10-29,47.419998,49.990002,47.389999,49.959999,9364700,48.786724
2015-10-30,49.950001,49.950001,48.810001,49.450001,3781400,48.288703
2015-11-02,49.450001,49.720001,48.98,49.099998,2898000,47.94692
2015-11-03,48.959999,50.009998,48.959999,49.889999,2478700,48.718368
2015-11-04,49.860001,49.950001,48.720001,48.869999,4136800,47.722322
2015-11-05,49.009998,49.630001,48.889999,49.509998,1961100,48.347291
2015-11-06,49.209999,49.700001,48.59,49.16,2537600,48.005512
2015-11-09,49.18,49.34,48.73,49.029999,2000500,47.878564
2015-11-10,48.799999,49.639999,48.799999,49.619999,1833000,48.454709
2015-11-11,49.720001,50.150002,49.220001,49.310001,1754600,48.151991
2015-11-12,48.900002,49.119999,48.189999,48.330002,2160700,47.195006
2015-11-13,48.200001,48.310001,47.32,47.540001,2530600,46.423558
2015-11-16,47.490002,48.200001,47.110001,48.130001,2716000,46.999702
2015-11-17,48.200001,48.689999,47.959999,48.349998,2381200,47.214533
2015-11-18,48.450001,49.810001,48.439999,49.77,2461600,48.601187
2015-11-19,49.630001,50.080002,48.900002,49.810001,2362200,48.640249
2015-11-20,50.080002,50.619999,49.740002,50.290001,4379900,49.108976
2015-11-23,49.790001,50.150002,49.209999,49.720001,3194600,48.552362
