Date,Open_CHD,High_CHD,Low_CHD,Close_CHD,Volume_CHD,AdjClose_CHD
2015-06-08,82.540001,82.860001,82.089996,82.599998,590200,81.329574
2015-06-09,82.5,83.480003,82.440002,83.080002,479000,81.802195
2015-06-10,83.290001,83.760002,83.110001,83.599998,393200,82.314194
2015-06-11,83.599998,83.93,83.349998,83.919998,493000,82.629271
2015-06-12,83.82,83.82,83.089996,83.330002,373700,82.04835
2015-06-15,82.949997,82.970001,82.190002,82.330002,530600,81.06373
2015-06-16,82.559998,83.139999,82.330002,82.800003,686300,81.526502
2015-06-17,83.089996,83.440002,82.910004,83.190002,429900,81.910503
2015-06-18,83.309998,84.099998,83.309998,83.57,569200,82.284656
2015-06-19,83.790001,83.860001,83.379997,83.589996,644200,82.304345
2015-06-22,83.790001,84.160004,83.589996,83.830002,333200,82.540659
2015-06-23,83.839996,84.050003,83.25,83.279999,664200,81.999116
2015-06-24,83.32,83.32,82.480003,82.639999,414000,81.36896
2015-06-25,82.75,82.919998,82.410004,82.809998,333200,81.536343
2015-06-26,83.0,83.0,82.540001,82.82,669600,81.546191
2015-06-29,82.540001,82.669998,80.959999,81.040001,680300,79.79357
2015-06-30,81.620003,81.879997,80.980003,81.129997,611200,79.882182
2015-07-01,81.449997,82.779999,81.220001,82.739998,784700,81.46742
2015-07-02,82.730003,82.910004,81.849998,82.120003,677900,80.856961
2015-07-06,81.769997,82.279999,81.370003,81.809998,1750400,80.551724
2015-07-07,81.82,83.599998,81.540001,83.550003,572700,82.264967
2015-07-08,83.010002,83.839996,83.010002,83.580002,622300,82.294504
2015-07-09,84.0,84.400002,83.099998,83.18,521500,81.900655
2015-07-10,83.75,84.209999,83.660004,84.110001,454600,82.816352
2015-07-13,84.849998,85.120003,84.440002,84.870003,438600,83.564665
2015-07-14,85.0,85.230003,84.489998,84.82,403200,83.515431
2015-07-15,84.949997,85.25,84.629997,84.800003,430800,83.495742
2015-07-16,85.169998,85.959999,85.059998,85.809998,698500,84.490202
2015-07-17,85.730003,85.730003,84.870003,84.970001,434000,83.663125
2015-07-20,85.0,85.730003,84.910004,85.699997,331400,84.381893
2015-07-21,85.480003,85.57,84.599998,84.720001,603900,83.41697
2015-07-22,84.599998,85.18,84.489998,85.110001,454100,83.800971
2015-07-23,85.260002,85.43,84.669998,84.779999,341300,83.476045
2015-07-24,84.790001,85.110001,84.389999,84.489998,372600,83.190504
2015-07-27,84.190002,84.639999,83.93,84.620003,320700,83.31851
2015-07-28,84.800003,85.550003,84.639999,85.510002,438100,84.19482
2015-07-29,85.410004,86.389999,85.410004,86.32,369200,84.99236
2015-07-30,86.199997,86.790001,85.470001,86.779999,374500,85.445284
2015-07-31,87.0,87.040001,86.230003,86.330002,532400,85.002208
2015-08-03,86.330002,87.410004,86.309998,87.389999,639000,86.045903
2015-08-04,87.779999,88.489998,87.410004,88.010002,631400,86.656369
2015-08-05,88.279999,90.040001,88.059998,89.489998,929800,88.113602
2015-08-06,89.809998,89.980003,88.669998,89.349998,556500,87.975756
2015-08-07,88.830002,89.059998,88.529999,89.040001,725200,88.00047
2015-08-10,89.290001,89.75,88.940002,89.18,386000,88.138834
2015-08-11,88.629997,88.910004,88.199997,88.43,506700,87.397591
2015-08-12,87.809998,89.089996,87.330002,89.089996,689200,88.049881
2015-08-13,89.019997,89.550003,88.800003,89.260002,317900,88.217902
2015-08-14,89.32,89.68,89.0,89.650002,272900,88.603348
2015-08-17,89.480003,90.32,88.900002,90.32,554900,89.265524
2015-08-18,90.459999,90.730003,89.900002,90.57,469700,89.512606
2015-08-19,90.150002,90.150002,89.370003,89.75,473700,88.702179
2015-08-20,89.139999,89.5,88.599998,88.650002,455200,87.615023
2015-08-21,88.190002,88.5,86.699997,86.699997,533100,85.687785
2015-08-24,82.730003,86.160004,82.239998,84.980003,1508400,83.987872
2015-08-25,86.730003,87.0,82.889999,82.949997,847900,81.981566
2015-08-26,84.540001,85.209999,82.82,84.989998,687700,83.99775
2015-08-27,85.849998,86.589996,84.910004,86.540001,699100,85.529657
2015-08-28,86.370003,87.089996,85.660004,86.849998,980600,85.836035
2015-08-31,86.57,86.989998,85.510002,86.279999,1000700,85.27269
2015-09-01,84.980003,85.400002,83.660004,83.919998,703600,82.940242
2015-09-02,84.480003,85.010002,84.080002,84.849998,778400,83.859385
2015-09-03,85.209999,86.309998,84.900002,86.029999,419600,85.025609
2015-09-04,85.050003,85.510002,84.68,84.93,542500,83.938453
2015-09-08,86.019997,86.540001,85.309998,86.510002,601100,85.500008
2015-09-09,87.0,87.32,85.07,85.230003,515100,84.234953
2015-09-10,85.0,85.769997,84.68,84.989998,466700,83.99775
2015-09-11,83.269997,84.410004,83.010002,84.089996,1059000,83.108256
2015-09-14,84.129997,84.190002,83.150002,83.43,567400,82.455965
2015-09-15,83.599998,84.5,83.419998,84.239998,492300,83.256506
2015-09-16,84.239998,84.629997,84.029999,84.470001,771100,83.483824
2015-09-17,84.599998,85.620003,84.379997,84.839996,606900,83.849499
2015-09-18,84.230003,84.669998,83.720001,83.889999,1006900,82.910594
2015-09-21,84.43,84.989998,84.099998,84.800003,336800,83.809973
2015-09-22,84.0,84.540001,83.529999,83.989998,492600,83.009425
2015-09-23,84.18,84.459999,83.730003,84.099998,354700,83.118141
2015-09-24,83.800003,84.860001,83.510002,84.769997,893700,83.780317
2015-09-25,85.510002,86.440002,85.059998,85.629997,639100,84.630277
2015-09-28,85.269997,85.82,84.239998,84.440002,525400,83.454175
2015-09-29,84.389999,84.790001,84.050003,84.529999,627400,83.543121
2015-09-30,85.169998,86.0,83.790001,83.900002,1745100,82.920479
