Date,Open_EQT,High_EQT,Low_EQT,Close_EQT,Volume_EQT,AdjClose_EQT
2013-06-14,80.099998,80.330002,79.199997,79.690002,717200,79.337793
2013-06-17,80.040001,81.760002,79.220001,81.690002,1069400,81.328954
2013-06-18,81.709999,83.730003,81.220001,83.660004,1450800,83.290248
2013-06-19,83.519997,84.0,82.339996,82.400002,852800,82.035815
2013-06-20,81.190002,81.300003,78.720001,79.209999,1307600,78.859911
2013-06-21,79.760002,80.199997,78.660004,79.660004,1276800,79.307927
2013-06-24,78.699997,81.260002,77.370003,80.300003,1451500,79.945098
2013-06-25,81.360001,81.459999,80.050003,80.550003,1275600,80.193993
2013-06-26,80.839996,81.879997,80.150002,81.019997,1241500,80.661909
2013-06-27,81.099998,82.010002,80.82,81.0,818200,80.642001
2013-06-28,80.629997,80.849998,79.040001,79.370003,3113900,79.019208
2013-07-01,79.800003,80.879997,79.620003,79.720001,1242300,79.367659
2013-07-02,79.75,80.690002,79.370003,79.690002,1185000,79.337793
2013-07-03,79.449997,79.910004,78.57,79.68,642200,79.327835
2013-07-05,80.510002,80.510002,79.349998,79.940002,970100,79.586688
2013-07-08,80.459999,82.089996,80.32,81.300003,1389700,80.940678
2013-07-09,81.629997,82.540001,81.290001,81.379997,1301900,81.020318
2013-07-10,81.739998,82.169998,80.849998,81.800003,934700,81.438468
2013-07-11,82.790001,84.199997,82.160004,82.510002,1406200,82.145329
2013-07-12,82.330002,82.82,81.709999,82.18,1044500,81.816786
2013-07-15,82.029999,82.449997,80.459999,80.480003,1307600,80.124302
2013-07-16,80.449997,81.360001,80.099998,81.099998,1167200,80.741557
2013-07-17,81.629997,82.809998,81.309998,81.769997,1106500,81.408594
2013-07-18,82.300003,84.699997,82.300003,84.260002,1031300,83.887594
2013-07-19,84.550003,84.550003,82.800003,83.519997,1074900,83.15086
2013-07-22,83.290001,83.739998,82.360001,82.519997,920700,82.155279
2013-07-23,82.550003,83.099998,82.190002,82.269997,997800,81.906384
2013-07-24,82.129997,82.139999,80.779999,81.489998,1356900,81.129833
2013-07-25,82.0,85.900002,80.809998,85.519997,3096600,85.14202
2013-07-26,84.860001,86.43,84.220001,85.25,1576000,84.873217
2013-07-29,85.0,85.43,84.449997,84.519997,2804700,84.14644
2013-07-30,84.769997,85.849998,84.519997,85.720001,2156100,85.341141
2013-07-31,86.220001,88.160004,85.870003,86.5,2316000,86.117692
2013-08-01,87.449997,88.230003,86.849998,87.220001,1209900,86.834511
2013-08-02,87.150002,87.660004,86.379997,86.870003,968500,86.48606
2013-08-05,86.800003,86.839996,85.879997,86.199997,1023500,85.819015
2013-08-06,86.32,87.0,84.970001,85.349998,904000,84.972773
2013-08-07,85.190002,85.32,83.540001,83.919998,1302700,83.549093
2013-08-08,84.330002,85.019997,83.230003,84.900002,1289100,84.524765
2013-08-09,84.709999,85.139999,84.480003,84.629997,829900,84.255954
2013-08-12,84.389999,84.82,83.239998,83.559998,1005000,83.190684
2013-08-13,83.309998,84.300003,82.75,84.230003,1251900,83.857728
2013-08-14,83.5,84.790001,83.440002,84.169998,975300,83.827844
2013-08-15,83.690002,84.239998,82.879997,84.040001,900100,83.698375
2013-08-16,83.639999,84.839996,83.230003,83.629997,787200,83.290038
2013-08-19,83.860001,85.150002,82.720001,82.809998,1048500,82.473372
2013-08-20,83.190002,84.629997,82.620003,83.660004,833500,83.319923
2013-08-21,83.790001,84.0,82.919998,83.120003,516600,82.782117
2013-08-22,83.529999,86.099998,83.419998,85.610001,744400,85.261993
2013-08-23,85.389999,85.599998,84.57,85.300003,613700,84.953255
2013-08-26,85.660004,86.010002,85.029999,85.32,590600,84.973171
2013-08-27,84.25,84.93,84.25,84.470001,883000,84.126628
2013-08-28,84.330002,86.889999,84.330002,86.510002,688300,86.158336
2013-08-29,86.199997,86.370003,85.330002,85.650002,661500,85.301831
2013-08-30,85.639999,85.849998,85.0,85.720001,914900,85.371546
2013-09-03,86.970001,87.410004,86.389999,86.839996,1068400,86.486989
2013-09-04,86.470001,86.489998,85.18,85.830002,794800,85.4811
2013-09-05,85.800003,86.400002,85.080002,85.129997,585900,84.783941
2013-09-06,85.279999,85.720001,84.099998,84.739998,889200,84.395527
2013-09-09,85.309998,86.199997,85.25,86.110001,690400,85.75996
2013-09-10,86.410004,86.410004,85.080002,85.75,458000,85.401423
2013-09-11,85.870003,87.339996,85.43,87.279999,687300,86.925202
2013-09-12,87.160004,87.860001,86.480003,87.220001,927600,86.865449
2013-09-13,87.519997,89.519997,86.589996,88.120003,1446500,87.761792
2013-09-16,89.199997,90.0,88.370003,88.970001,924000,88.608335
2013-09-17,88.980003,90.419998,88.809998,90.0,605400,89.634147
2013-09-18,90.129997,92.260002,89.809998,92.25,1185800,91.875
2013-09-19,92.75,94.419998,91.699997,92.559998,1392900,92.183738
2013-09-20,92.459999,92.940002,90.790001,91.25,1976200,90.879065
2013-09-23,90.730003,91.639999,90.279999,91.300003,720300,90.928865
2013-09-24,91.199997,91.470001,90.230003,90.360001,842100,89.992684
2013-09-25,90.559998,91.589996,89.540001,89.800003,1616900,89.434963
2013-09-26,90.0,91.629997,89.669998,91.410004,1143500,91.038419
2013-09-27,90.910004,91.330002,89.629997,90.370003,761800,90.002645
2013-09-30,88.989998,89.5,88.309998,88.720001,1249800,88.359351
2013-10-01,88.970001,89.610001,88.120003,88.870003,1303700,88.508743
2013-10-02,88.720001,88.739998,86.75,86.989998,1573300,86.63638
2013-10-03,86.720001,87.32,85.68,86.349998,1036900,85.998983
2013-10-04,86.660004,88.099998,86.18,87.57,1043100,87.214024
2013-10-07,86.260002,87.400002,85.239998,86.0,1810100,85.650407
2013-10-08,86.279999,86.669998,85.209999,85.230003,1425900,84.88354
2013-10-09,85.220001,87.349998,84.75,86.769997,2210500,86.417273
2013-10-10,88.279999,89.599998,87.300003,88.82,1394500,88.458943
2013-10-11,88.519997,89.790001,88.18,88.949997,637700,88.588412
2013-10-14,88.559998,89.790001,88.239998,89.75,633000,89.385163
2013-10-15,89.349998,89.889999,88.150002,88.940002,948100,88.578458
2013-10-16,89.830002,91.589996,89.699997,90.760002,862400,90.391059
2013-10-17,90.410004,91.300003,88.589996,89.559998,951600,89.195933
2013-10-18,90.110001,90.360001,88.839996,89.620003,734100,89.255694
2013-10-21,89.790001,90.0,88.68,89.279999,708500,88.917072
2013-10-22,89.120003,89.940002,88.199997,88.739998,1564100,88.379267
2013-10-23,88.120003,88.529999,86.629997,88.019997,1670800,87.662192
2013-10-24,89.550003,89.550003,86.699997,86.959999,2425200,86.606503
2013-10-25,87.449997,88.190002,85.989998,87.800003,2262400,87.443093
2013-10-28,87.599998,88.809998,87.370003,87.480003,1246900,87.124394
2013-10-29,87.879997,88.57,86.949997,87.419998,1365100,87.064633
2013-10-30,87.730003,89.029999,85.230003,86.370003,1528900,86.018906
2013-10-31,86.559998,86.599998,85.040001,85.610001,1089500,85.261993
2013-11-01,85.720001,86.550003,84.269997,85.489998,1573100,85.142478
2013-11-04,85.940002,86.309998,85.139999,86.099998,1136500,85.749999
2013-11-05,85.980003,85.980003,84.480003,84.480003,1243400,84.136589
2013-11-06,85.239998,85.739998,82.919998,83.0,2217500,82.662602
2013-11-07,83.220001,83.43,80.720001,81.040001,2444700,80.71057
2013-11-08,80.970001,83.690002,80.970001,83.379997,2249200,83.041054
2013-11-11,83.089996,83.5,82.459999,83.300003,968300,82.961385
2013-11-12,83.980003,85.029999,83.620003,84.519997,2092700,84.17642
2013-11-13,84.480003,85.0,83.349998,84.839996,1448500,84.525121
2013-11-14,85.029999,85.779999,83.669998,85.220001,1403200,84.903716
2013-11-15,85.25,85.940002,84.239998,85.110001,1938600,84.794123
2013-11-18,85.610001,85.82,83.889999,84.050003,1708000,83.73806
2013-11-19,84.050003,84.809998,83.300003,84.07,1572600,83.757982
2013-11-20,85.269997,85.709999,84.470001,84.980003,1238400,84.664608
2013-11-21,85.529999,87.82,85.239998,87.669998,1379400,87.34462
2013-11-22,88.0,88.0,86.129997,87.650002,965500,87.324697
2013-11-25,87.709999,88.050003,86.669998,87.529999,1737500,87.20514
2013-11-26,87.489998,87.940002,86.650002,86.809998,830400,86.487811
2013-11-27,86.5,86.760002,85.43,85.75,624600,85.431747
2013-11-29,85.699997,86.279999,84.790001,85.110001,546600,84.794123
2013-12-02,85.099998,85.610001,84.059998,84.610001,1118700,84.295979
2013-12-03,84.0,84.449997,83.239998,83.389999,1638300,83.080506
2013-12-04,83.300003,83.720001,82.599998,83.519997,1035000,83.21002
2013-12-05,83.489998,86.220001,83.040001,86.019997,1911300,85.700742
2013-12-06,87.190002,87.839996,85.300003,85.669998,1631300,85.352042
2013-12-09,86.5,87.690002,85.589996,87.669998,1379200,87.34462
2013-12-10,87.57,88.629997,86.849998,88.099998,1704600,87.773024
2013-12-11,87.940002,88.220001,85.870003,86.440002,2657200,86.119189
2013-12-12,86.519997,87.480003,86.279999,87.160004,1281800,86.836518
2013-12-13,87.309998,87.760002,86.279999,87.599998,1044400,87.27488
2013-12-16,87.43,87.769997,85.980003,87.160004,1563500,86.836518
2013-12-17,87.019997,87.18,85.120003,85.839996,1511700,85.52141
2013-12-18,85.839996,85.839996,82.059998,84.639999,4292700,84.325866
2013-12-19,84.550003,87.389999,84.349998,87.269997,2501300,86.946103
2013-12-20,87.889999,89.120003,87.589996,88.730003,2202300,88.400691
2013-12-23,89.110001,90.470001,88.870003,89.540001,1473800,89.207682
2013-12-24,90.449997,90.449997,89.260002,90.32,265300,89.984786
2013-12-26,90.129997,91.019997,90.129997,90.290001,740000,89.954898
2013-12-27,90.139999,90.650002,89.75,90.220001,418900,89.885158
2013-12-30,90.720001,91.190002,89.639999,89.779999,581900,89.446789
2013-12-31,89.650002,90.360001,89.370003,89.779999,743800,89.446789
2014-01-02,89.879997,90.190002,88.120003,88.730003,807800,88.400691
2014-01-03,88.529999,88.839996,86.970001,87.580002,724200,87.254957
2014-01-06,87.809998,88.489998,86.849998,87.790001,1085300,87.464177
2014-01-07,88.019997,90.18,87.720001,87.849998,1334000,87.523952
2014-01-08,87.43,88.489998,87.209999,88.419998,1499200,88.091836
