Date,Open_VRTX,High_VRTX,Low_VRTX,Close_VRTX,Volume_VRTX,AdjClose_VRTX
2015-06-08,127.0,127.269997,124.940002,125.519997,892600,125.519997
2015-06-09,125.760002,125.839996,122.889999,124.080002,781200,124.080002
2015-06-10,124.489998,126.160004,122.389999,125.18,1291500,125.18
2015-06-11,125.860001,126.879997,125.150002,126.349998,1216100,126.349998
2015-06-12,125.870003,126.290001,122.690002,124.360001,964300,124.360001
2015-06-15,123.650002,124.540001,121.389999,123.5,998300,123.5
2015-06-16,123.519997,124.970001,123.0,123.339996,603800,123.339996
2015-06-17,123.57,125.0,122.860001,124.050003,782500,124.050003
2015-06-18,124.620003,127.75,123.940002,127.629997,1410700,127.629997
2015-06-19,127.459999,129.259995,126.540001,128.039993,1925600,128.039993
2015-06-22,127.989998,129.240005,126.57,129.029999,887700,129.029999
2015-06-23,129.570007,131.770004,129.389999,131.619995,1333100,131.619995
2015-06-24,131.679993,132.979996,129.050003,129.589996,1147600,129.589996
2015-06-25,130.270004,130.839996,127.889999,128.350006,1201700,128.350006
2015-06-26,130.5,131.0,126.860001,126.870003,4661800,126.870003
2015-06-29,125.800003,126.470001,121.839996,122.029999,1289000,122.029999
2015-06-30,124.330002,125.160004,122.389999,123.480003,1501400,123.480003
2015-07-01,124.110001,126.650002,124.099998,126.190002,1450800,126.190002
2015-07-02,127.019997,132.0,126.0,131.259995,3660500,131.259995
2015-07-06,128.949997,130.619995,126.900002,128.830002,2264600,128.830002
2015-07-07,129.0,129.460007,125.589996,127.480003,1566900,127.480003
2015-07-08,126.639999,126.860001,120.940002,121.540001,1994100,121.540001
2015-07-09,123.010002,123.900002,120.879997,120.889999,1660300,120.889999
2015-07-10,122.75,123.389999,121.199997,122.949997,1520500,122.949997
2015-07-13,123.809998,124.559998,123.0,124.239998,1067000,124.239998
2015-07-14,124.989998,129.830002,123.239998,129.440002,1784700,129.440002
2015-07-15,130.539993,136.360001,130.25,133.529999,3082400,133.529999
2015-07-16,133.490005,134.320007,133.119995,133.899994,2004200,133.899994
2015-07-17,134.289993,134.479996,132.279999,134.169998,1276700,134.169998
2015-07-20,134.679993,135.149994,132.949997,133.470001,1045600,133.470001
2015-07-21,133.660004,133.889999,129.910004,130.970001,1046800,130.970001
2015-07-22,130.509995,132.119995,129.940002,131.020004,978500,131.020004
2015-07-23,131.710007,131.949997,129.929993,130.850006,869900,130.850006
2015-07-24,130.020004,130.699997,124.620003,125.5,1362800,125.5
2015-07-27,124.239998,125.349998,121.309998,123.230003,2042300,123.230003
2015-07-28,124.470001,128.559998,122.410004,128.300003,1944900,128.300003
2015-07-29,128.279999,128.979996,125.269997,125.620003,1785300,125.620003
2015-07-30,126.089996,135.899994,121.150002,135.460007,3099800,135.460007
2015-07-31,134.889999,136.0,133.020004,135.0,1545500,135.0
2015-08-03,134.880005,139.149994,134.679993,136.990005,2161100,136.990005
2015-08-04,137.809998,141.839996,137.130005,140.300003,2013800,140.300003
2015-08-05,141.589996,143.160004,139.759995,141.220001,1374000,141.220001
2015-08-06,141.25,142.360001,137.220001,139.440002,1570300,139.440002
2015-08-07,138.940002,139.5,136.029999,137.740005,2440800,137.740005
2015-08-10,139.169998,143.449997,139.160004,139.630005,1679200,139.630005
2015-08-11,138.850006,139.130005,134.029999,135.869995,1475700,135.869995
2015-08-12,134.479996,138.289993,132.130005,137.639999,1160000,137.639999
2015-08-13,137.889999,140.0,136.889999,137.369995,1268700,137.369995
2015-08-14,137.25,137.619995,133.960007,136.880005,956600,136.880005
2015-08-17,136.389999,140.059998,135.009995,139.610001,816300,139.610001
2015-08-18,140.029999,141.490005,138.380005,139.759995,949900,139.759995
2015-08-19,140.449997,142.490005,137.850006,141.479996,1339000,141.479996
2015-08-20,138.690002,140.660004,132.630005,132.910004,1861700,132.910004
2015-08-21,131.330002,133.429993,125.360001,125.470001,2505000,125.470001
2015-08-24,117.540001,128.149994,112.889999,119.269997,3315800,119.269997
2015-08-25,126.709999,126.839996,120.889999,121.169998,2644400,121.169998
2015-08-26,124.599998,130.289993,121.809998,130.110001,2515900,130.110001
2015-08-27,131.490005,133.990005,129.850006,133.75,2017500,133.75
2015-08-28,132.389999,134.529999,131.029999,134.050003,1240200,134.050003
2015-08-31,132.710007,134.240005,127.410004,127.519997,1711100,127.519997
2015-09-01,124.07,127.419998,123.0,124.040001,1998500,124.040001
2015-09-02,125.559998,129.100006,124.0,129.0,1486900,129.0
2015-09-03,130.130005,130.759995,126.150002,126.529999,1010200,126.529999
2015-09-04,124.300003,128.039993,123.809998,126.989998,1240700,126.989998
2015-09-08,129.929993,133.490005,127.970001,133.110001,1346900,133.110001
2015-09-09,134.490005,134.610001,129.309998,129.949997,1104600,129.949997
2015-09-10,129.210007,133.710007,129.210007,132.0,981700,132.0
2015-09-11,131.0,134.130005,130.100006,134.059998,1056200,134.059998
2015-09-14,136.309998,136.669998,132.710007,134.850006,1390200,134.850006
2015-09-15,135.589996,136.490005,133.399994,135.449997,1115900,135.449997
2015-09-16,135.990005,136.970001,131.419998,133.660004,1186500,133.660004
2015-09-17,134.029999,136.619995,133.110001,135.190002,1175900,135.190002
2015-09-18,132.259995,132.259995,123.980003,124.160004,4404900,124.160004
2015-09-21,124.870003,126.779999,117.580002,118.190002,2583100,118.190002
2015-09-22,116.419998,116.989998,110.410004,114.410004,4493700,114.410004
2015-09-23,114.260002,115.879997,108.449997,111.860001,3310200,111.860001
2015-09-24,110.300003,112.940002,109.019997,111.110001,2671700,111.110001
2015-09-25,112.309998,113.379997,101.0,103.279999,3395500,103.279999
2015-09-28,103.720001,104.5,97.790001,98.5,3948400,98.5
2015-09-29,97.839996,105.459999,97.449997,99.830002,3783500,99.830002
2015-09-30,102.080002,105.839996,101.580002,104.139999,2864000,104.139999
2015-10-01,103.199997,107.43,101.489998,107.230003,2487200,107.230003
2015-10-02,107.239998,115.230003,106.010002,115.18,3527700,115.18
2015-10-05,116.760002,117.209999,112.519997,114.519997,2344400,114.519997
2015-10-06,113.550003,114.5,104.169998,109.459999,3593000,109.459999
2015-10-07,110.540001,112.480003,106.519997,109.400002,2662000,109.400002
2015-10-08,109.25,110.5,102.959999,109.029999,2745700,109.029999
2015-10-09,109.419998,112.5,107.720001,110.0,1861400,110.0
2015-10-12,110.639999,114.25,109.080002,113.25,1860800,113.25
2015-10-13,112.510002,114.559998,109.169998,109.400002,1676200,109.400002
2015-10-14,109.809998,114.949997,109.629997,113.300003,2336000,113.300003
2015-10-15,113.07,115.879997,111.470001,115.790001,2010300,115.790001
2015-10-16,116.040001,118.830002,112.5,114.32,1935100,114.32
2015-10-19,113.43,117.580002,112.760002,115.879997,1894500,115.879997
2015-10-20,115.709999,115.870003,110.07,110.25,1683700,110.25
2015-10-21,112.010002,112.410004,106.300003,109.620003,1624500,109.620003
2015-10-22,109.870003,111.290001,107.459999,109.489998,1844700,109.489998
2015-10-23,110.809998,114.550003,110.080002,114.370003,1656800,114.370003
2015-10-26,114.290001,117.279999,112.110001,114.769997,1518600,114.769997
2015-10-27,114.839996,121.110001,113.5,121.010002,2430900,121.010002
2015-10-28,120.400002,121.870003,116.519997,120.099998,3676500,120.099998
2015-10-29,126.559998,129.130005,122.68,126.169998,3563000,126.169998
2015-10-30,126.93,126.93,122.690002,124.739998,2033500,124.739998
2015-11-02,123.599998,128.350006,122.709999,126.940002,1854700,126.940002
2015-11-03,127.209999,128.979996,125.620003,128.360001,1811900,128.360001
2015-11-04,128.880005,128.940002,122.559998,124.900002,1614400,124.900002
2015-11-05,125.0,126.339996,121.82,121.910004,1485300,121.910004
2015-11-06,120.25,121.339996,117.010002,117.959999,2526400,117.959999
2015-11-09,117.699997,120.110001,116.940002,118.849998,1521300,118.849998
2015-11-10,118.800003,119.949997,117.559998,118.900002,1034600,118.900002
2015-11-11,119.589996,119.900002,117.519997,118.199997,1052300,118.199997
2015-11-12,117.779999,119.110001,116.870003,117.300003,1022400,117.300003
2015-11-13,117.129997,123.089996,116.779999,123.050003,2292600,123.050003
2015-11-16,122.279999,125.5,121.519997,125.279999,1615100,125.279999
2015-11-17,125.080002,128.360001,124.269997,128.259995,1501700,128.259995
2015-11-18,128.009995,133.419998,127.839996,133.259995,1760800,133.259995
2015-11-19,133.009995,134.0,129.770004,130.080002,1248300,130.080002
2015-11-20,132.539993,133.639999,130.110001,130.550003,1672900,130.550003
2015-11-23,130.779999,134.710007,130.119995,132.289993,969400,132.289993
2015-11-24,130.729996,133.199997,130.080002,133.130005,1030900,133.130005
2015-11-25,133.160004,134.0,131.559998,131.970001,689900,131.970001
2015-11-27,132.630005,134.229996,132.630005,133.059998,340900,133.059998
2015-11-30,132.880005,133.410004,129.199997,129.360001,1209500,129.360001
2015-12-01,131.0,132.809998,128.039993,130.360001,1185100,130.360001
2015-12-02,130.630005,132.559998,129.600006,130.410004,930500,130.410004
2015-12-03,130.259995,130.259995,120.459999,122.059998,1770000,122.059998
2015-12-04,122.82,125.870003,122.580002,125.169998,1644300,125.169998
2015-12-07,125.349998,125.790001,121.360001,121.790001,1508000,121.790001
2015-12-08,121.019997,123.779999,120.010002,123.290001,1373700,123.290001
2015-12-09,122.550003,123.129997,119.400002,120.629997,1555100,120.629997
2015-12-10,119.550003,123.120003,119.510002,121.870003,1307400,121.870003
2015-12-11,120.199997,122.029999,117.230003,117.639999,2200900,117.639999
2015-12-14,117.610001,118.400002,113.730003,115.699997,2272900,115.699997
2015-12-15,117.040001,118.389999,115.839996,117.279999,3936800,117.279999
2015-12-16,118.269997,119.379997,113.769997,118.529999,2790200,118.529999
2015-12-17,118.309998,119.57,116.440002,117.940002,1219500,117.940002
2015-12-18,117.169998,119.309998,116.480003,116.510002,2327300,116.510002
2015-12-21,117.43,120.849998,116.400002,120.559998,1229400,120.559998
2015-12-22,121.089996,122.970001,120.080002,122.739998,1520600,122.739998
2015-12-23,123.919998,124.220001,121.949997,123.800003,1162300,123.800003
2015-12-24,124.379997,125.400002,124.199997,124.839996,367500,124.839996
2015-12-28,123.989998,124.739998,122.720001,123.949997,677700,123.949997
2015-12-29,124.970001,129.179993,124.32,127.870003,1162400,127.870003
2015-12-30,127.68,127.949997,125.93,126.400002,658700,126.400002
2015-12-31,125.550003,127.599998,124.910004,125.830002,792600,125.830002
2016-01-04,123.029999,123.870003,121.040001,122.889999,2203800,122.889999
2016-01-05,123.889999,124.959999,121.900002,123.449997,1299900,123.449997
