Date,Open_BHI,High_BHI,Low_BHI,Close_BHI,Volume_BHI,AdjClose_BHI
2013-06-14,47.009998,47.060001,45.779999,46.029999,4358100,44.427793
2013-06-17,46.380001,46.75,46.049999,46.43,3113600,44.813871
2013-06-18,46.439999,47.060001,46.380001,46.75,2073000,45.122733
2013-06-19,46.639999,46.939999,45.889999,45.889999,2346000,44.292667
2013-06-20,45.259998,45.529999,44.75,44.919998,4030500,43.356429
2013-06-21,45.34,45.34,44.209999,44.869999,4449000,43.30817
2013-06-24,44.34,44.900002,43.34,44.330002,4152000,42.786969
2013-06-25,44.759998,45.369999,44.709999,45.080002,2951800,43.510863
2013-06-26,45.360001,45.419998,44.82,45.310001,2408900,43.732857
2013-06-27,45.52,46.169998,45.5,45.869999,3061700,44.273362
2013-06-28,45.73,46.610001,45.700001,46.130001,4041800,44.524314
2013-07-01,46.380001,47.18,46.299999,46.689999,2296500,45.06482
2013-07-02,46.630001,48.009998,46.610001,47.580002,3968900,45.923844
2013-07-03,47.43,47.689999,47.209999,47.619999,1130600,45.962449
2013-07-05,47.91,48.27,47.450001,48.09,1996600,46.41609
2013-07-08,48.369999,48.77,48.240002,48.689999,3227900,46.995204
2013-07-09,48.959999,49.110001,48.799999,48.959999,3198900,47.255806
2013-07-10,48.860001,49.150002,48.549999,48.779999,3221300,47.082071
2013-07-11,49.509998,49.540001,48.57,48.799999,3571700,47.101376
2013-07-12,48.779999,49.220001,48.630001,49.16,3012800,47.448845
2013-07-15,49.18,49.5,48.860001,48.91,2342300,47.207547
2013-07-16,48.880001,49.049999,48.299999,48.689999,3226700,46.995204
2013-07-17,48.77,49.25,48.580002,48.900002,3195300,47.197897
2013-07-18,49.0,49.48,48.98,49.080002,3828500,47.371632
2013-07-19,47.740002,48.110001,46.849998,47.799999,11261200,46.136184
2013-07-22,47.700001,48.080002,47.18,47.509998,4190300,45.856277
2013-07-23,48.200001,48.48,47.740002,47.75,2951000,46.087925
