Date,Open_TROW,High_TROW,Low_TROW,Close_TROW,Volume_TROW,AdjClose_TROW
2013-06-14,74.400002,74.400002,73.110001,73.400002,940600,66.495931
2013-06-17,73.510002,75.050003,72.660004,74.5,1016000,67.492463
2013-06-18,74.669998,75.839996,74.190002,75.620003,916300,68.507117
2013-06-19,75.800003,76.25,74.660004,74.709999,1829500,67.682709
2013-06-20,73.720001,74.25,72.470001,72.68,1594500,65.843654
2013-06-21,72.93,73.160004,71.360001,72.07,2873100,65.291031
2013-06-24,72.339996,72.389999,70.07,70.559998,2132200,63.923061
2013-06-25,71.809998,72.699997,71.089996,72.339996,1585100,65.535631
2013-06-26,73.150002,73.68,72.830002,73.190002,1235300,66.305685
2013-06-27,73.550003,74.139999,73.309998,73.660004,1147300,66.731478
2013-06-28,73.019997,73.660004,72.459999,73.199997,1695600,66.31474
2013-07-01,73.589996,74.519997,73.459999,73.669998,1363000,66.740532
2013-07-02,72.900002,74.25,72.900002,73.989998,1128300,67.030432
2013-07-03,73.459999,74.25,73.190002,74.059998,684000,67.093848
2013-07-05,74.830002,75.389999,74.18,75.370003,922700,68.280633
2013-07-08,75.739998,76.190002,75.330002,75.889999,1229900,68.751718
2013-07-09,76.620003,76.849998,75.550003,76.559998,1122300,69.358695
2013-07-10,76.199997,76.510002,74.980003,75.559998,1728600,68.452756
2013-07-11,76.620003,77.790001,76.519997,77.440002,2332600,70.155926
2013-07-12,77.419998,77.709999,76.709999,77.449997,1231900,70.164981
2013-07-15,77.489998,78.360001,77.449997,77.949997,919000,70.61795
2013-07-16,78.150002,78.290001,77.440002,77.580002,850400,70.282757
2013-07-17,78.290001,78.300003,77.629997,78.169998,1024400,70.817258
2013-07-18,78.139999,78.949997,78.139999,78.349998,1027000,70.980327
2013-07-19,78.480003,79.190002,77.629997,79.18,1372400,71.732258
2013-07-22,79.849998,80.099998,78.809998,80.010002,1216000,72.48419
2013-07-23,80.0,80.260002,79.529999,79.589996,1360300,72.10369
2013-07-24,74.599998,76.989998,74.599998,75.610001,3727000,68.498056
2013-07-25,75.82,76.529999,75.199997,75.730003,2267200,68.606771
2013-07-26,75.599998,76.300003,75.07,76.25,1075900,69.077857
2013-07-29,74.209999,75.879997,74.029999,74.629997,1966600,67.610233
2013-07-30,75.010002,75.330002,74.449997,74.57,1875800,67.555879
2013-07-31,73.910004,75.959999,73.910004,75.239998,2398900,68.162856
2013-08-01,76.029999,77.029999,75.639999,76.75,1384000,69.530826
2013-08-02,76.360001,76.739998,75.790001,76.349998,1301800,69.168449
2013-08-05,76.32,76.32,75.699997,75.870003,896700,68.733602
2013-08-06,75.790001,76.059998,75.25,75.43,944600,68.334987
2013-08-07,75.419998,75.419998,74.330002,74.489998,1477400,67.483402
2013-08-08,75.080002,75.389999,74.400002,75.239998,1427200,68.162856
2013-08-09,74.720001,75.510002,74.370003,74.68,926500,67.655532
2013-08-12,74.230003,74.440002,73.639999,73.989998,1003200,67.030432
2013-08-13,76.959999,76.959999,73.75,74.580002,1408500,67.56494
2013-08-14,74.610001,74.870003,73.699997,73.870003,1684300,66.921724
2013-08-15,73.18,73.370003,72.199997,72.720001,1901100,65.879893
2013-08-16,72.75,73.099998,72.160004,72.75,1568100,65.90707
2013-08-19,72.660004,72.730003,71.730003,71.739998,848200,64.992069
2013-08-20,71.760002,72.900002,71.449997,72.57,1097200,65.744
