Date,Open_UNH,High_UNH,Low_UNH,Close_UNH,Volume_UNH,AdjClose_UNH
2013-06-14,64.129997,64.449997,63.59,63.799999,3122600,61.042869
2013-06-17,64.290001,65.239998,64.099998,64.370003,4975000,61.588239
2013-06-18,64.900002,65.709999,64.459999,65.68,5183300,62.841625
2013-06-19,65.699997,66.160004,65.230003,65.260002,6370200,62.439777
2013-06-20,64.800003,64.82,63.650002,63.799999,5748300,61.042869
2013-06-21,64.190002,64.830002,63.43,63.900002,7806500,61.138549
2013-06-24,63.490002,65.040001,63.459999,64.650002,5717100,61.856138
2013-06-25,65.029999,65.540001,63.66,63.73,4959100,60.975894
2013-06-26,64.029999,65.059998,64.019997,64.779999,4851700,61.980517
2013-06-27,65.059998,66.190002,64.959999,66.089996,4483600,63.233903
2013-06-28,65.620003,66.129997,65.040001,65.480003,6867800,62.650271
2013-07-01,65.889999,66.360001,65.519997,65.629997,3736500,62.793783
2013-07-02,65.43,65.660004,65.050003,65.269997,4484800,62.44934
2013-07-03,64.959999,65.839996,64.650002,65.540001,2271100,62.707676
2013-07-05,65.959999,66.190002,65.269997,66.169998,2356500,63.310447
2013-07-08,66.949997,67.580002,66.360001,67.559998,6192500,64.640378
2013-07-09,68.019997,68.449997,67.290001,67.970001,4275700,65.032663
2013-07-10,68.0,68.75,67.610001,67.690002,4383900,64.764764
2013-07-11,68.269997,68.550003,67.650002,68.360001,6588900,65.405808
2013-07-12,68.57,68.739998,67.690002,68.0,4645600,65.061365
2013-07-15,68.129997,68.190002,67.459999,67.620003,3813600,64.69779
2013-07-16,67.239998,67.349998,66.559998,66.910004,5459600,64.018473
2013-07-17,67.010002,67.440002,65.919998,66.230003,8904300,63.36786
2013-07-18,69.349998,70.849998,68.910004,70.550003,14082900,67.501169
2013-07-19,70.610001,72.089996,70.160004,71.449997,7504900,68.36227
2013-07-22,71.559998,72.540001,71.400002,72.18,5038000,69.060726
2013-07-23,72.209999,72.739998,71.82,72.690002,3934300,69.548688
2013-07-24,72.809998,73.150002,72.18,72.529999,6023300,69.395599
2013-07-25,72.080002,72.620003,71.699997,72.620003,3840600,69.481714
2013-07-26,72.129997,72.589996,71.57,72.209999,3826000,69.089428
2013-07-29,72.110001,72.860001,71.959999,72.790001,3835300,69.644365
2013-07-30,72.879997,73.220001,71.980003,72.269997,5375400,69.146833
2013-07-31,72.470001,73.660004,72.470001,72.849998,5964700,69.70177
2013-08-01,73.230003,73.519997,72.900002,73.160004,3254000,69.998378
2013-08-02,73.029999,73.029999,71.93,72.260002,3622500,69.137271
2013-08-05,72.360001,73.580002,72.300003,73.339996,2871000,70.170593
2013-08-06,73.18,73.370003,72.529999,73.239998,3089500,70.074916
2013-08-07,73.18,73.400002,72.620003,72.919998,2807300,69.768745
2013-08-08,73.150002,73.669998,72.860001,73.18,2171600,70.017511
2013-08-09,73.199997,73.589996,72.269997,72.93,2556900,69.778315
2013-08-12,72.410004,72.589996,72.010002,72.389999,3043300,69.26165
2013-08-13,72.43,73.389999,72.309998,73.349998,2627400,70.180163
2013-08-14,73.190002,73.300003,72.309998,72.489998,3079000,69.357327
2013-08-15,71.989998,72.620003,71.370003,71.400002,3402000,68.314435
2013-08-16,71.150002,71.980003,71.0,71.43,3323600,68.343137
2013-08-19,71.529999,72.199997,71.459999,71.709999,2794800,68.611036
2013-08-20,71.849998,72.839996,71.610001,72.459999,3110000,69.328625
2013-08-21,72.18,72.339996,71.470001,71.849998,3314200,68.744985
2013-08-22,72.040001,72.739998,71.830002,71.970001,2959400,68.859802
2013-08-23,72.010002,72.720001,71.910004,72.540001,3215600,69.405169
2013-08-26,72.639999,72.919998,72.279999,72.379997,2797700,69.25208
2013-08-27,71.949997,72.139999,71.32,71.519997,3626200,68.429245
2013-08-28,71.400002,72.160004,71.349998,71.540001,3297700,68.448384
2013-08-29,71.339996,72.830002,71.150002,72.440002,5243500,69.309492
2013-08-30,72.459999,72.809998,71.489998,71.739998,4186200,68.639738
2013-09-03,71.809998,72.769997,71.790001,72.559998,3801500,69.424302
2013-09-04,72.459999,73.349998,72.199997,73.349998,3333600,70.180163
2013-09-05,73.339996,74.230003,73.139999,74.040001,2861600,70.840346
2013-09-06,74.239998,74.790001,72.550003,74.059998,3584100,70.859479
2013-09-09,74.110001,74.550003,73.779999,74.25,2629600,71.04127
2013-09-10,74.599998,74.639999,73.839996,74.629997,3925400,71.404846
2013-09-11,74.580002,75.190002,74.330002,75.18,3819200,72.201975
2013-09-12,75.32,75.5,74.699997,74.739998,2823800,71.779402
2013-09-13,74.919998,75.25,74.120003,74.480003,3421000,71.529706
2013-09-16,75.089996,75.879997,74.970001,75.120003,4224800,72.144354
2013-09-17,75.110001,75.349998,73.93,74.309998,5138100,71.366435
2013-09-18,74.150002,74.190002,72.440002,73.040001,7725600,70.146745
2013-09-19,73.089996,73.120003,70.620003,70.839996,8322900,68.033887
2013-09-20,70.550003,71.75,70.400002,70.57,9088700,67.774585
2013-09-23,70.800003,71.940002,70.620003,71.82,4482500,68.97507
2013-09-24,72.18,72.940002,71.629997,72.32,4855200,69.455265
2013-09-25,72.300003,72.660004,71.860001,71.980003,4812900,69.128736
2013-09-26,72.0,72.809998,71.919998,72.160004,2413200,69.301606
2013-09-27,71.699997,72.110001,71.5,71.989998,3548000,69.138335
2013-09-30,71.290001,71.669998,71.010002,71.610001,4183600,68.77339
2013-10-01,71.739998,72.940002,71.650002,72.580002,4322300,69.704967
2013-10-02,72.239998,72.629997,72.07,72.57,2705700,69.695362
2013-10-03,72.5,72.980003,72.260002,72.519997,5038300,69.647339
2013-10-04,72.5,73.139999,72.230003,72.989998,4297600,70.098723
2013-10-07,72.589996,72.699997,72.160004,72.169998,4787000,69.311205
2013-10-08,72.0,72.419998,71.43,71.480003,6049100,68.648542
