Date,Open_HSIC,High_HSIC,Low_HSIC,Close_HSIC,Volume_HSIC,AdjClose_HSIC
2015-06-08,139.970001,140.639999,139.669998,139.779999,268200,139.779999
2015-06-09,140.009995,140.229996,139.029999,139.320007,248300,139.320007
2015-06-10,140.330002,142.699997,139.639999,142.490005,389900,142.490005
2015-06-11,142.610001,143.550003,142.300003,143.410004,393000,143.410004
2015-06-12,143.009995,143.360001,142.070007,142.160004,290600,142.160004
2015-06-15,140.970001,141.330002,140.179993,141.050003,319200,141.050003
2015-06-16,140.770004,142.559998,140.350006,142.210007,199000,142.210007
2015-06-17,142.630005,143.220001,141.550003,142.869995,213100,142.869995
2015-06-18,143.570007,145.770004,143.5,145.070007,412300,145.070007
2015-06-19,145.020004,145.979996,144.259995,144.839996,601300,144.839996
2015-06-22,145.869995,146.449997,145.020004,145.710007,294700,145.710007
2015-06-23,145.899994,146.100006,145.229996,145.679993,299900,145.679993
2015-06-24,145.690002,145.720001,144.199997,144.320007,391200,144.320007
2015-06-25,144.570007,144.929993,143.979996,144.490005,338300,144.490005
2015-06-26,145.009995,145.919998,144.149994,145.449997,768800,145.449997
2015-06-29,144.699997,144.759995,142.080002,142.220001,441800,142.220001
2015-06-30,143.479996,143.839996,142.100006,142.119995,573900,142.119995
2015-07-01,143.300003,144.470001,142.520004,144.240005,365300,144.240005
2015-07-02,144.580002,144.869995,143.669998,144.449997,427300,144.449997
2015-07-06,143.449997,144.979996,143.0,144.5,417400,144.5
2015-07-07,144.5,145.240005,142.789993,145.149994,445500,145.149994
2015-07-08,144.600006,145.380005,142.289993,142.520004,431700,142.520004
2015-07-09,144.350006,144.740005,143.119995,143.440002,249500,143.440002
2015-07-10,144.979996,145.919998,144.289993,145.470001,293200,145.470001
2015-07-13,146.320007,146.75,145.440002,146.529999,297400,146.529999
2015-07-14,147.0,147.490005,145.809998,147.240005,362100,147.240005
2015-07-15,146.779999,148.110001,146.660004,147.440002,295400,147.440002
2015-07-16,148.179993,148.440002,147.490005,148.160004,229300,148.160004
2015-07-17,148.160004,148.410004,147.529999,148.100006,229000,148.100006
2015-07-20,148.039993,148.600006,147.740005,148.0,309500,148.0
2015-07-21,148.110001,148.220001,146.5,147.429993,413300,147.429993
2015-07-22,147.470001,149.100006,147.25,148.630005,328900,148.630005
2015-07-23,149.059998,149.059998,147.119995,147.369995,235800,147.369995
2015-07-24,147.380005,147.710007,146.589996,147.020004,310100,147.020004
2015-07-27,146.729996,147.229996,145.740005,146.649994,354200,146.649994
2015-07-28,147.029999,149.850006,146.160004,149.619995,606700,149.619995
2015-07-29,149.949997,149.949997,144.130005,146.539993,886900,146.539993
2015-07-30,145.419998,147.229996,144.470001,146.759995,361500,146.759995
2015-07-31,147.279999,148.029999,145.990005,147.979996,398700,147.979996
2015-08-03,147.949997,148.440002,145.929993,146.789993,347200,146.789993
2015-08-04,147.410004,147.889999,146.020004,146.279999,296500,146.279999
2015-08-05,147.0,148.169998,146.279999,146.869995,423500,146.869995
2015-08-06,146.660004,147.589996,144.360001,144.970001,334600,144.970001
2015-08-07,145.190002,145.789993,143.360001,144.830002,195100,144.830002
2015-08-10,145.979996,146.429993,144.880005,145.770004,233000,145.770004
2015-08-11,144.770004,146.139999,144.410004,145.25,206700,145.25
2015-08-12,144.020004,144.839996,142.229996,144.759995,378300,144.759995
2015-08-13,144.570007,145.619995,143.979996,145.149994,450300,145.149994
2015-08-14,144.699997,145.229996,144.089996,145.100006,160200,145.100006
2015-08-17,144.320007,145.880005,143.639999,145.860001,310100,145.860001
2015-08-18,145.869995,148.360001,145.869995,147.309998,485600,147.309998
2015-08-19,146.610001,147.820007,145.550003,146.710007,390400,146.710007
2015-08-20,145.570007,147.759995,142.580002,142.610001,413100,142.610001
2015-08-21,140.820007,141.470001,138.100006,138.100006,733600,138.100006
2015-08-24,131.179993,136.320007,126.169998,133.309998,1015900,133.309998
2015-08-25,136.210007,136.460007,132.229996,132.229996,713500,132.229996
2015-08-26,135.740005,137.610001,132.520004,137.270004,573000,137.270004
2015-08-27,138.529999,139.229996,136.300003,138.679993,642100,138.679993
2015-08-28,137.570007,139.619995,136.949997,139.399994,517100,139.399994
2015-08-31,138.759995,139.570007,136.389999,136.809998,413100,136.809998
2015-09-01,134.179993,135.210007,132.050003,132.559998,491200,132.559998
2015-09-02,134.509995,135.490005,133.110001,135.380005,513400,135.380005
2015-09-03,136.289993,136.820007,134.869995,135.149994,284700,135.149994
2015-09-04,133.220001,134.690002,132.479996,133.270004,281700,133.270004
2015-09-08,135.240005,136.660004,134.199997,136.589996,429400,136.589996
2015-09-09,137.529999,138.070007,134.009995,134.360001,237500,134.360001
2015-09-10,133.899994,135.960007,133.529999,134.850006,238600,134.850006
2015-09-11,134.100006,135.580002,133.809998,135.240005,285200,135.240005
2015-09-14,135.679993,135.710007,134.649994,135.490005,289600,135.490005
2015-09-15,135.710007,136.389999,135.070007,135.410004,451200,135.410004
2015-09-16,135.259995,136.820007,134.339996,136.580002,423000,136.580002
2015-09-17,136.839996,139.490005,136.800003,138.059998,462100,138.059998
2015-09-18,137.0,138.449997,136.020004,137.350006,705200,137.350006
2015-09-21,137.649994,138.899994,136.110001,136.949997,317100,136.949997
2015-09-22,135.460007,135.970001,134.270004,135.429993,202500,135.429993
2015-09-23,135.289993,135.710007,134.509995,135.070007,212200,135.070007
2015-09-24,134.300003,135.369995,132.919998,133.839996,300400,133.839996
2015-09-25,134.589996,135.389999,130.220001,131.110001,432300,131.110001
2015-09-28,130.389999,130.509995,127.160004,128.5,557200,128.5
2015-09-29,128.369995,130.289993,127.800003,129.949997,543200,129.949997
2015-09-30,131.229996,133.309998,130.110001,132.720001,783800,132.720001
2015-10-01,133.699997,134.149994,132.25,134.089996,673600,134.089996
2015-10-02,132.210007,137.690002,131.710007,137.639999,631200,137.639999
2015-10-05,138.940002,139.339996,137.380005,138.210007,489800,138.210007
2015-10-06,138.110001,138.110001,134.75,136.619995,455000,136.619995
2015-10-07,136.479996,138.770004,136.009995,138.679993,475100,138.679993
2015-10-08,138.559998,141.339996,137.699997,141.190002,597500,141.190002
2015-10-09,141.100006,141.910004,140.869995,141.699997,483100,141.699997
2015-10-12,141.610001,143.179993,141.389999,143.179993,314700,143.179993
2015-10-13,142.75,143.830002,141.880005,141.990005,283300,141.990005
2015-10-14,142.490005,143.320007,140.570007,140.789993,282700,140.789993
2015-10-15,140.770004,142.759995,140.110001,142.729996,389300,142.729996
2015-10-16,143.460007,144.899994,142.649994,144.839996,338700,144.839996
2015-10-19,144.679993,145.679993,144.289993,145.600006,315600,145.600006
2015-10-20,145.860001,146.929993,145.229996,146.119995,369200,146.119995
2015-10-21,147.050003,147.529999,145.460007,146.320007,315600,146.320007
2015-10-22,146.729996,148.509995,145.139999,148.339996,512200,148.339996
2015-10-23,149.389999,150.059998,147.399994,149.919998,594100,149.919998
2015-10-26,150.350006,150.5,148.800003,149.570007,426300,149.570007
2015-10-27,149.639999,150.990005,149.490005,150.809998,427400,150.809998
