Date,Open_NKE,High_NKE,Low_NKE,Close_NKE,Volume_NKE,AdjClose_NKE
2013-06-14,61.630001,62.400002,61.610001,61.889999,5222400,29.892051
2013-06-17,62.380001,62.720001,61.82,61.939999,7512800,29.9162
2013-06-18,61.84,62.25,61.619999,62.150002,9068800,30.017629
2013-06-19,62.139999,62.34,61.73,61.75,9223600,29.824434
2013-06-20,61.330002,61.630001,60.639999,60.779999,9824200,29.355936
2013-06-21,60.82,61.380001,60.07,60.57,10089200,29.254509
2013-06-24,60.16,60.509998,59.110001,59.950001,9489400,28.955058
2013-06-25,60.419998,60.990002,59.950001,60.389999,10896400,29.167571
2013-06-26,60.860001,62.119999,60.790001,61.849998,11376800,29.872731
2013-06-27,62.869999,63.25,62.130001,62.32,12282800,30.099736
2013-06-28,61.939999,64.07,60.18,63.68,26803800,30.756598
2013-07-01,63.939999,64.589996,62.200001,62.330002,14398800,30.104567
2013-07-02,61.93,63.080002,61.900002,62.619999,7402400,30.244632
2013-07-03,62.240002,62.939999,62.099998,62.860001,3375600,30.360549
2013-07-05,63.16,63.830002,63.150002,63.639999,5157800,30.737278
2013-07-08,64.0,64.660004,63.48,63.720001,6981600,30.775918
2013-07-09,64.0,64.279999,63.400002,63.93,6989200,30.877345
2013-07-10,63.91,63.91,63.32,63.599998,5101800,30.717958
2013-07-11,64.199997,64.440002,63.439999,63.720001,7146000,30.775918
2013-07-12,63.630001,63.830002,63.490002,63.669998,4424000,30.751767
2013-07-15,63.459999,63.650002,63.25,63.349998,5761800,30.597212
2013-07-16,63.139999,63.470001,62.470001,62.700001,6858200,30.283271
2013-07-17,62.599998,63.669998,62.57,63.330002,6247600,30.587554
2013-07-18,63.240002,63.779999,62.900002,63.32,4486800,30.582723
2013-07-19,63.25,63.59,63.080002,63.349998,5919400,30.597212
2013-07-22,63.110001,63.57,62.84,63.290001,5581600,30.568234
2013-07-23,63.52,63.580002,63.139999,63.189999,4289600,30.519934
2013-07-24,63.189999,63.43,62.57,62.630001,4705400,30.249462
2013-07-25,62.75,62.889999,62.200001,62.490002,8911400,30.181845
2013-07-26,62.049999,62.599998,62.029999,62.529999,5517800,30.201163
2013-07-29,62.25,62.790001,62.25,62.709999,5075600,30.2881
2013-07-30,62.650002,63.099998,62.639999,62.849998,6399600,30.355718
2013-07-31,63.119999,63.5,62.77,62.919998,8461800,30.389527
2013-08-01,63.240002,66.110001,63.240002,65.970001,15813200,31.862638
2013-08-02,65.989998,66.610001,65.410004,66.300003,7499800,32.022025
2013-08-05,66.199997,66.540001,66.160004,66.400002,4213000,32.070323
2013-08-06,66.309998,66.849998,65.879997,66.540001,6244000,32.137941
2013-08-07,66.139999,66.239998,65.610001,65.629997,5888800,31.698421
2013-08-08,66.059998,66.449997,65.779999,66.050003,5057400,31.901278
2013-08-09,65.919998,66.739998,65.839996,66.309998,5644800,32.026852
2013-08-12,66.089996,66.599998,66.050003,66.510002,4401800,32.123452
2013-08-13,66.610001,66.75,65.690002,65.809998,4299400,31.785359
2013-08-14,65.529999,65.660004,64.230003,64.349998,5961800,31.080198
2013-08-15,63.779999,64.0,63.16,63.490002,6227000,30.664831
2013-08-16,63.439999,64.309998,63.34,63.650002,5261200,30.742109
2013-08-19,63.700001,65.110001,63.5,64.709999,7749600,31.254074
2013-08-20,64.550003,65.709999,64.309998,64.629997,7668400,31.215434
2013-08-21,64.57,64.989998,64.040001,64.129997,4770400,30.973941
2013-08-22,64.099998,65.169998,63.900002,64.860001,5056000,31.326523
2013-08-23,65.169998,65.220001,63.900002,64.209999,8044600,31.012581
2013-08-26,64.199997,64.529999,63.919998,63.919998,5472400,30.872514
2013-08-27,63.259998,63.740002,62.790001,62.810001,4870800,30.3364
2013-08-28,62.720001,63.700001,62.650002,63.369999,6044000,30.606872
2013-08-29,62.990002,63.860001,62.880001,63.48,4600000,30.761941
2013-08-30,63.709999,63.790001,62.599998,62.82,5851000,30.44211
2013-09-03,63.610001,64.900002,63.5,64.290001,8214000,31.154462
2013-09-04,64.330002,65.480003,64.300003,65.129997,7101400,31.561518
2013-09-05,65.0,65.580002,64.690002,65.379997,5271600,31.682666
2013-09-06,65.400002,65.550003,64.169998,64.980003,4632600,31.488832
2013-09-09,65.059998,65.589996,64.93,65.400002,4147800,31.69236
2013-09-10,66.699997,66.980003,65.959999,66.82,13380000,32.38048
2013-09-11,66.980003,67.82,66.82,67.589996,9112400,32.753615
2013-09-12,67.959999,68.900002,67.800003,68.080002,8249800,32.991068
2013-09-13,67.900002,68.139999,67.190002,67.910004,6584600,32.908688
2013-09-16,68.75,68.82,67.910004,68.190002,5337600,33.044374
2013-09-17,68.18,68.669998,67.980003,68.32,7752400,33.107369
2013-09-18,67.970001,69.849998,67.93,69.480003,8548000,33.669499
2013-09-19,69.769997,70.559998,68.809998,69.5,14627600,33.679189
2013-09-20,69.199997,69.5,68.099998,69.370003,37157000,33.616193
2013-09-23,69.110001,69.550003,68.040001,68.980003,11022000,33.427202
2013-09-24,69.440002,69.720001,69.190002,69.43,7432800,33.645268
2013-09-25,69.43,69.529999,68.739998,68.919998,7883200,33.398124
2013-09-26,69.230003,70.489998,69.150002,70.339996,13765000,34.086245
2013-09-27,74.82,75.25,73.349998,73.639999,31182000,35.685402
2013-09-30,72.300003,73.169998,72.160004,72.639999,14796400,35.20081
2013-10-01,73.040001,73.25,72.019997,72.419998,10444400,35.094199
2013-10-02,72.040001,72.260002,71.589996,71.889999,8751600,34.837365
2013-10-03,71.889999,72.5,71.059998,71.639999,7144600,34.716217
2013-10-04,71.769997,72.349998,71.32,72.139999,7168200,34.958513
2013-10-07,71.410004,71.970001,71.300003,71.339996,5172800,34.570838
2013-10-08,71.459999,72.629997,70.18,70.279999,7514200,34.057171
2013-10-09,70.519997,71.470001,69.959999,70.889999,9282200,34.352772
2013-10-10,72.150002,73.449997,71.940002,73.440002,11104800,35.588485
2013-10-11,73.470001,73.730003,72.879997,73.459999,10792200,35.598175
2013-10-14,72.949997,74.169998,72.779999,74.059998,6199800,35.88893
