Date,Open_CF,High_CF,Low_CF,Close_CF,Volume_CF,AdjClose_CF
2013-06-14,185.009995,186.369991,183.100014,184.559994,4663500,34.456057
2013-06-17,185.349998,185.880013,183.500004,184.880009,4412000,34.515801
2013-06-18,184.720001,189.300003,184.720001,188.630009,3956000,35.2159
2013-06-19,189.449997,191.520004,187.960014,189.770012,6050000,35.428731
2013-06-20,186.229992,187.080002,183.149986,184.419994,6656500,34.42992
2013-06-21,185.160007,185.440006,181.000004,182.670002,7893000,34.103209
2013-06-24,180.19001,180.19001,174.610004,176.329994,5787000,32.919574
2013-06-25,177.490005,177.849998,174.679985,174.860001,5597000,32.645136
2013-06-26,175.699997,178.950005,174.020004,176.879997,4409000,33.022255
2013-06-27,177.999992,177.999992,174.300003,175.380001,6226500,32.742217
2013-06-28,174.890003,176.710014,171.499996,171.499996,10343000,32.017847
2013-07-01,173.220005,174.220009,170.179996,170.279999,7855000,31.790082
2013-07-02,170.890007,173.850002,169.330006,171.84,6442500,32.081323
2013-07-03,171.919994,175.160007,171.919994,175.020008,2809500,32.675008
2013-07-05,176.020012,176.259995,172.250004,175.450001,3990500,32.755285
2013-07-08,176.509991,178.129997,175.979996,176.879997,2895500,33.022255
2013-07-09,178.129997,182.229996,177.919998,181.199989,4941500,33.828768
2013-07-10,181.350002,182.460003,178.810005,180.839996,3528000,33.761559
2013-07-11,183.660011,187.600002,182.999992,187.550011,6049000,35.014272
2013-07-12,181.970005,187.449989,181.970005,184.139996,4202000,34.377646
2013-07-15,184.640007,185.539989,181.119995,185.330009,3810500,34.599813
2013-07-16,185.209999,185.740013,179.990005,181.170006,3642000,33.82317
2013-07-17,182.550011,184.360008,181.710014,183.610001,2566500,34.2787
2013-07-18,183.959999,185.809994,182.69001,182.960014,3670000,34.157352
2013-07-19,183.660011,185.030003,182.759991,183.920002,2891500,34.336575
2013-07-22,184.169998,185.580006,182.43,182.57,2768500,34.084539
2013-07-23,182.999992,183.279991,180.740013,181.000004,3417000,33.791432
2013-07-24,180.750008,181.479988,177.820015,179.759998,3422500,33.559931
2013-07-25,178.500004,180.939999,177.520008,180.119991,3609000,33.62714
2013-07-26,179.990005,181.479988,178.479996,181.000004,2422000,33.791432
2013-07-29,180.359993,202.770004,179.309998,202.299995,28285500,37.767991
2013-07-30,196.720009,203.439999,196.25,197.240009,20524000,36.823327
2013-07-31,197.199993,199.41,195.060005,196.009998,7076500,36.593692
2013-08-01,198.419991,199.300003,194.910011,195.979996,6348000,36.588091
2013-08-02,195.740013,196.350002,191.820011,193.339996,4752500,36.095222
2013-08-05,193.009987,194.570007,191.870003,193.09,3618500,36.048549
2013-08-06,193.479996,193.479996,186.499996,189.539986,7566500,35.385786
2013-08-07,192.5,192.630005,185.109997,189.880009,8002000,35.449266
2013-08-08,192.10001,195.219994,190.979996,191.91,5621000,35.828251
2013-08-09,191.310005,192.980003,186.100006,188.250008,6451000,35.144957
2013-08-12,187.159996,190.470009,186.329994,190.119991,4830000,35.494069
2013-08-13,190.200005,191.350002,188.899994,190.030003,4782000,35.477269
2013-08-14,187.609997,190.760002,187.329998,188.050003,3174000,35.181673
2013-08-15,186.18,191.300011,185.669994,190.489998,5133000,35.638164
2013-08-16,189.829998,190.39999,186.630001,187.840004,4622500,35.142385
2013-08-19,187.840004,188.570004,186.479988,186.499996,4405000,34.891687
2013-08-20,187.169991,189.279995,185.629997,187.889996,3141000,35.151737
2013-08-21,187.889996,192.159996,187.709999,191.000004,4814000,35.733579
2013-08-22,192.010002,194.740009,191.679993,193.920002,2220500,36.279872
2013-08-23,194.169998,194.580002,193.029995,194.300003,2472500,36.350965
2013-08-26,195.73,200.779991,195.73,197.070007,3189000,36.869196
2013-08-27,194.419994,196.219997,193.320007,193.449993,2675500,36.19194
2013-08-28,192.560005,193.400002,188.269997,189.890003,4342000,35.525912
2013-08-29,189.630013,190.939999,188.619995,189.330006,2483500,35.421144
