Date,Open_VLO,High_VLO,Low_VLO,Close_VLO,Volume_VLO,AdjClose_VLO
2015-06-08,57.630001,58.09,57.299999,57.619999,3787200,55.702027
2015-06-09,57.84,58.139999,57.150002,57.150002,4248300,55.247674
2015-06-10,57.560001,58.68,57.43,58.209999,5756900,56.272388
2015-06-11,58.450001,60.189999,58.259998,59.650002,6697400,57.664457
2015-06-12,59.299999,59.360001,58.52,58.849998,4692500,56.891084
2015-06-15,58.369999,58.779999,57.950001,58.470001,4832400,56.523735
2015-06-16,58.360001,58.950001,58.27,58.919998,2900400,56.958753
2015-06-17,59.52,60.610001,59.07,59.610001,6264500,57.625788
2015-06-18,59.68,60.41,59.619999,60.27,5864400,58.263819
2015-06-19,60.0,60.790001,59.970001,60.330002,6110000,58.321823
2015-06-22,60.650002,60.700001,59.610001,59.919998,5859300,57.925467
2015-06-23,60.349998,61.34,59.900002,61.150002,7956500,59.114528
2015-06-24,60.900002,61.360001,60.25,60.610001,6005300,58.592501
2015-06-25,60.57,60.810001,60.029999,60.310001,3915100,58.302488
2015-06-26,60.299999,61.43,60.130001,60.900002,7884600,58.872849
2015-06-29,60.279999,61.18,60.119999,60.560001,5457400,58.544167
2015-06-30,61.119999,63.169998,61.060001,62.599998,10430300,60.516259
2015-07-01,63.09,64.970001,62.799999,64.470001,9035100,62.324016
2015-07-02,64.68,65.68,64.279999,64.720001,6007700,62.565694
2015-07-06,64.139999,65.699997,63.599998,65.339996,7291300,63.165052
2015-07-07,65.370003,66.139999,63.849998,64.650002,11268900,62.498025
2015-07-08,64.059998,65.480003,63.360001,63.98,7221100,61.850325
2015-07-09,64.550003,64.800003,63.849998,64.110001,5979400,61.975998
2015-07-10,64.5,66.080002,64.470001,65.849998,6043500,63.658078
2015-07-13,66.610001,67.849998,65.730003,66.870003,9443800,64.64413
2015-07-14,67.870003,68.269997,66.110001,66.309998,8369600,64.102765
2015-07-15,66.010002,66.449997,64.769997,65.190002,6265400,63.020051
2015-07-16,65.699997,68.150002,65.660004,67.459999,7226400,65.214487
2015-07-17,67.260002,67.989998,66.739998,67.940002,5326200,65.678513
