Date,Open_PH,High_PH,Low_PH,Close_PH,Volume_PH,AdjClose_PH
2013-06-14,96.480003,98.010002,96.480003,97.410004,477700,91.738262
2013-06-17,98.089996,98.279999,97.18,97.769997,762600,92.077294
2013-06-18,97.800003,98.989998,97.620003,98.699997,1042500,92.953145
2013-06-19,98.790001,99.269997,97.75,97.830002,1150900,92.133806
2013-06-20,96.879997,96.879997,95.309998,95.709999,1651600,90.137241
2013-06-21,96.440002,96.639999,94.589996,94.849998,2063000,89.327314
2013-06-24,93.800003,93.800003,92.080002,92.889999,1520900,87.481437
2013-06-25,93.849998,94.589996,93.32,94.309998,1084800,88.818755
2013-06-26,95.120003,96.139999,94.769997,95.529999,1235100,89.967721
2013-06-27,96.150002,96.660004,95.339996,96.370003,742800,90.758816
2013-06-28,96.0,96.480003,95.400002,95.400002,2440300,89.845293
2013-07-01,96.360001,97.550003,95.940002,96.980003,752200,91.333299
2013-07-02,96.809998,97.25,95.349998,95.540001,1106100,89.977141
2013-07-03,95.010002,95.690002,94.809998,95.32,566000,89.76995
2013-07-05,96.160004,97.620003,96.160004,97.620003,799100,91.936034
2013-07-08,98.029999,98.099998,96.269997,96.400002,1218400,90.787068
2013-07-09,97.050003,98.459999,96.900002,98.010002,959900,92.303325
2013-07-10,97.330002,98.419998,97.230003,98.129997,742900,92.416334
2013-07-11,99.730003,100.260002,99.400002,99.93,809000,94.111531
2013-07-12,99.669998,99.889999,98.650002,99.160004,1042500,93.386368
2013-07-15,99.260002,100.269997,98.980003,99.730003,664600,93.923179
2013-07-16,99.959999,100.120003,99.110001,99.889999,887600,94.073859
2013-07-17,100.370003,100.660004,99.529999,99.769997,740400,93.960843
2013-07-18,100.099998,101.849998,99.779999,101.050003,689500,95.166321
2013-07-19,101.07,103.169998,100.980003,103.110001,1543900,97.106374
2013-07-22,103.18,103.809998,102.379997,102.860001,720200,96.87093
2013-07-23,103.129997,103.690002,102.5,102.720001,584200,96.739083
2013-07-24,103.0,103.099998,101.260002,101.309998,735600,95.411177
2013-07-25,100.370003,101.540001,99.480003,101.410004,822600,95.50536
2013-07-26,101.040001,102.230003,100.57,102.120003,819000,96.174019
2013-07-29,101.900002,102.510002,101.25,101.339996,541700,95.439429
2013-07-30,101.889999,103.269997,101.32,102.510002,722600,96.541311
2013-07-31,103.0,104.379997,102.82,103.279999,724200,97.266474
2013-08-01,104.470001,107.120003,104.110001,106.790001,1035000,100.572105
2013-08-02,105.160004,105.389999,104.190002,105.239998,1031800,99.112351
2013-08-05,105.0,106.190002,104.760002,104.93,1314700,98.820404
2013-08-06,100.0,101.889999,99.919998,101.5,2798900,95.590117
2013-08-07,102.059998,102.239998,100.629997,101.959999,1517600,96.023332
2013-08-08,102.349998,104.080002,102.349998,103.93,895500,97.878629
2013-08-09,103.760002,104.5,102.82,104.139999,814800,98.076401
2013-08-12,103.699997,106.059998,103.699997,105.989998,902500,99.818682
2013-08-13,106.389999,107.260002,105.580002,106.870003,872400,100.647448
2013-08-14,106.809998,107.099998,105.919998,106.18,953300,99.997622
2013-08-15,104.970001,105.080002,103.440002,103.769997,1123700,97.727942
2013-08-16,103.519997,104.879997,103.389999,103.400002,1126700,97.37949
2013-08-19,102.839996,104.169998,102.339996,102.459999,992700,96.494219
2013-08-20,102.370003,103.0,101.660004,102.389999,870600,96.428295
2013-08-21,102.150002,102.660004,101.519997,101.779999,653100,95.853812
2013-08-22,102.129997,104.529999,102.110001,103.699997,555600,97.662018
2013-08-23,103.739998,104.959999,102.25,103.089996,491900,97.510673
2013-08-26,103.290001,103.760002,102.480003,102.5,440300,96.952608
2013-08-27,101.239998,101.620003,100.239998,100.519997,674800,95.079764
2013-08-28,100.650002,101.470001,100.160004,100.629997,580100,95.183811
2013-08-29,100.459999,101.529999,100.43,100.800003,631200,95.344616
2013-08-30,101.239998,101.330002,99.75,99.949997,568000,94.540613
2013-09-03,101.989998,102.449997,100.32,100.989998,1054800,95.524328
2013-09-04,100.879997,102.139999,100.879997,102.099998,692400,96.574255
2013-09-05,101.010002,103.510002,100.790001,103.07,794000,97.491759
2013-09-06,103.550003,104.620003,102.269997,103.220001,820000,97.633642
2013-09-09,103.889999,105.360001,103.889999,104.760002,952600,99.090297
2013-09-10,105.610001,107.169998,105.57,105.809998,1186000,100.083465
2013-09-11,105.459999,105.809998,104.239998,105.0,1196800,99.317306
2013-09-12,104.959999,105.089996,104.309998,104.529999,919800,98.872741
2013-09-13,104.669998,104.980003,103.720001,104.360001,616800,98.711944
