Date,Open_NOV,High_NOV,Low_NOV,Close_NOV,Volume_NOV,AdjClose_NOV
2013-06-14,70.169999,70.479997,69.300001,69.580001,2611400,57.526572
2013-06-17,70.140001,70.959994,69.980003,70.439998,3161100,58.237591
2013-06-18,70.549999,71.969996,70.549999,71.489995,3733600,59.105695
2013-06-19,71.329998,71.99999,70.889996,70.969999,4311300,58.675779
2013-06-20,70.04,70.059998,68.4,68.550005,5831000,56.675004
2013-06-21,69.149996,69.26999,67.679995,68.209996,4663900,56.393895
2013-06-24,67.399995,67.879992,66.009997,67.059998,4401300,55.443112
2013-06-25,67.719994,68.39,67.619998,67.66999,3294800,55.947434
2013-06-26,68.209996,68.589996,67.519997,68.279998,2635500,56.45177
2013-06-27,68.750002,68.979998,68.209996,68.459997,2414800,56.600588
2013-06-28,68.429999,69.259997,67.949994,68.899995,4759900,56.964364
2013-07-01,69.429996,69.789999,69.289996,69.649999,4011800,57.584444
2013-07-02,69.749999,70.76999,69.509999,70.029999,3317500,57.898616
2013-07-03,69.789999,70.460004,69.499998,70.309999,1480400,58.130111
2013-07-05,71.029996,72.020001,70.869999,71.850002,3881900,59.403338
2013-07-08,72.249996,73.099996,72.059987,72.790002,4530900,60.180501
2013-07-09,73.369995,73.589998,72.58,73.14,4505000,60.469868
2013-07-10,73.24,73.49999,72.379991,72.690002,3269400,60.097823
2013-07-11,73.769989,73.859997,72.629996,73.329991,2952300,60.626947
2013-07-12,73.150001,73.42,72.389991,72.96,2748400,60.32105
2013-07-15,73.019997,73.659996,72.849999,72.970001,2476100,60.329318
2013-07-16,73.000004,73.399998,72.189999,72.639997,2608700,60.056481
2013-07-17,72.940007,73.000004,71.950003,72.079997,3054100,59.593491
2013-07-18,72.120001,73.299997,72.120001,72.929998,2589700,60.296245
2013-07-19,73.099996,74.08,72.780001,74.050006,5362800,61.222232
2013-07-22,73.849996,74.37,73.529993,73.669988,2374000,60.908046
2013-07-23,73.589998,74.019994,72.439996,72.739998,3511300,60.139158
2013-07-24,72.900004,72.96,71.860003,72.369998,2262600,59.833255
2013-07-25,72.179998,72.3,71.029996,71.909999,3209300,59.452942
2013-07-26,71.650001,71.99999,71.249999,71.580003,4299300,59.180111
2013-07-29,71.329998,71.570002,70.549999,71.139997,3366800,58.816328
2013-07-30,69.489993,70.390002,68.069996,69.399997,8640400,57.377751
2013-07-31,69.660004,70.689999,69.089999,70.169999,4700100,58.014364
2013-08-01,70.889996,71.699997,70.539994,71.199994,4615900,58.865932
2013-08-02,71.199994,72.459998,70.929995,72.309993,5044600,59.783644
2013-08-05,72.01,72.469999,71.740001,71.92,2148500,59.46121
2013-08-06,71.850002,72.800003,71.750002,72.079997,3382100,59.593491
2013-08-07,71.850002,72.830006,71.500004,72.459998,3210900,59.907663
2013-08-08,72.669991,73.280004,72.48,72.780001,2917400,60.172232
2013-08-09,72.809995,73.209998,71.979997,72.489992,2274000,59.932462
2013-08-12,72.020001,73.039999,71.750002,72.86,2765100,60.238373
2013-08-13,73.080003,73.620001,72.900004,73.469996,2621200,60.742698
2013-08-14,73.49999,73.889991,73.099996,73.399998,2401700,60.684826
2013-08-15,73.350002,74.069999,73.050009,73.620001,2857700,60.866718
2013-08-16,73.569996,73.719993,72.519995,72.730005,3149600,60.130897
2013-08-19,72.669991,72.730005,70.76999,70.98,3584600,58.684047
2013-08-20,70.869999,72.079997,70.380001,71.599997,3010800,59.196641
2013-08-21,71.36,71.560001,70.639995,70.669993,2428500,58.427744
2013-08-22,70.999993,72.239995,70.98,71.99999,2400300,59.527344
2013-08-23,72.159996,72.890003,71.720007,72.539997,2176100,59.973804
2013-08-26,72.800003,73.539993,72.749999,73.340001,3233800,60.635222
2013-08-27,72.660007,73.9,72.510002,73.150001,3301400,60.478136
2013-08-28,73.099996,74.869995,72.95,74.46,3546200,61.561203
