Date,Open_CVS,High_CVS,Low_CVS,Close_CVS,Volume_CVS,AdjClose_CVS
2013-06-14,59.220001,59.950001,58.900002,59.029999,4224200,56.467105
2013-06-17,59.450001,59.860001,58.869999,59.27,3825200,56.696687
2013-06-18,59.41,59.990002,59.200001,59.91,2704200,57.308899
2013-06-19,59.900002,60.34,59.09,59.09,4745100,56.524502
2013-06-20,58.540001,58.560001,56.82,56.990002,6733500,54.515678
2013-06-21,57.5,58.139999,57.169998,57.57,7464400,55.070495
2013-06-24,57.099998,57.439999,56.27,56.84,5058200,54.372189
2013-06-25,56.419998,56.889999,55.66,56.619999,6845800,54.16174
2013-06-26,57.200001,57.57,57.07,57.360001,4043200,54.869613
2013-06-27,57.650002,57.959999,57.189999,57.259998,4081000,54.773953
2013-06-28,57.259998,57.68,56.619999,57.18,8936200,54.697428
2013-07-01,57.720001,58.57,57.41,57.59,4747200,55.089627
2013-07-02,57.560001,58.580002,57.32,58.490002,5512500,55.950553
2013-07-03,58.209999,58.34,57.470001,58.299999,3172000,55.7688
2013-07-05,58.599998,58.759998,57.939999,58.639999,2726400,56.094038
2013-07-08,58.98,59.529999,58.720001,59.529999,3510700,56.945397
2013-07-09,59.790001,60.369999,59.66,60.150002,4102700,57.538481
2013-07-10,60.049999,60.330002,59.810001,59.880001,4879200,57.280203
2013-07-11,60.560001,61.060001,60.139999,61.0,4215000,58.351575
2013-07-12,60.759998,61.25,60.66,60.950001,3594700,58.303747
2013-07-15,61.080002,61.310001,60.639999,60.650002,3258700,58.016773
2013-07-16,60.459999,61.029999,60.279999,60.889999,3463600,58.246351
2013-07-17,61.040001,61.099998,60.68,60.950001,2607500,58.303747
2013-07-18,60.810001,61.549999,60.689999,61.200001,4205900,58.759809
2013-07-19,61.23,61.700001,61.009998,61.630001,3055700,59.172665
2013-07-22,61.669998,61.990002,61.549999,61.82,2476200,59.355087
2013-07-23,62.080002,62.360001,61.490002,61.889999,2926100,59.422296
2013-07-24,61.939999,62.009998,61.380001,61.66,2361500,59.201467
2013-07-25,61.490002,62.049999,61.240002,61.93,2822700,59.460702
2013-07-26,61.509998,62.0,61.139999,61.959999,2718100,59.489505
2013-07-29,61.639999,61.810001,61.330002,61.619999,2723300,59.163061
2013-07-30,61.84,62.080002,60.869999,60.959999,3492700,58.529377
2013-07-31,61.02,61.880001,60.759998,61.490002,4840200,59.038247
2013-08-01,62.009998,62.220001,61.700001,62.169998,3366300,59.691131
2013-08-02,61.889999,62.18,61.59,61.84,4230600,59.37429
2013-08-05,62.040001,62.07,61.580002,61.619999,4656600,59.163061
2013-08-06,61.43,61.459999,59.490002,59.889999,8477700,57.502041
2013-08-07,59.290001,59.380001,58.27,59.119999,6288900,56.762742
2013-08-08,59.369999,59.5,58.580002,59.34,5090000,56.973971
2013-08-09,59.18,59.970001,58.990002,59.48,5089200,57.108389
2013-08-12,59.029999,60.0,58.849998,59.880001,4773600,57.492441
2013-08-13,59.990002,60.48,59.740002,60.32,4390400,57.914896
2013-08-14,60.259998,60.259998,59.599998,59.619999,4391600,57.242806
2013-08-15,59.099998,59.200001,58.459999,58.650002,4339000,56.311485
2013-08-16,58.450001,58.990002,58.34,58.57,5440500,56.234673
2013-08-19,58.360001,58.84,58.299999,58.450001,3735600,56.119458
2013-08-20,58.540001,59.689999,58.459999,59.279999,4621300,56.916362
2013-08-21,59.07,59.07,58.060001,58.09,4936400,55.773812
2013-08-22,58.299999,58.66,58.200001,58.380001,4125600,56.05225
2013-08-23,58.52,58.560001,57.970001,57.970001,6781800,55.658598
2013-08-26,57.950001,58.790001,57.950001,58.240002,4200100,55.917833
2013-08-27,57.77,58.07,57.540001,57.689999,5495900,55.389759
2013-08-28,57.580002,58.02,57.209999,57.279999,6158400,54.996107
2013-08-29,57.110001,58.360001,57.07,57.82,4047300,55.514577
2013-08-30,57.970001,58.290001,57.619999,58.049999,4560900,55.735406
2013-09-03,58.439999,58.689999,58.189999,58.52,4350500,56.186667
2013-09-04,58.52,58.799999,58.240002,58.619999,3855500,56.282678
2013-09-05,58.18,58.869999,58.02,58.459999,4080900,56.129058
2013-09-06,58.59,59.029999,57.950001,58.630001,4880400,56.292282
2013-09-09,58.73,58.880001,58.34,58.77,4849700,56.426699
2013-09-10,59.110001,59.400002,58.860001,59.220001,4715900,56.858757
2013-09-11,59.240002,59.82,59.240002,59.599998,4281300,57.223603
2013-09-12,59.720001,60.0,59.470001,59.509998,4700200,57.137191
2013-09-13,59.610001,60.02,59.540001,59.900002,3499800,57.511644
2013-09-16,60.389999,61.169998,60.389999,60.950001,5386200,58.519777
2013-09-17,60.939999,61.080002,60.700001,61.009998,4811600,58.577383
2013-09-18,60.959999,61.330002,59.529999,60.560001,10955500,58.145328
2013-09-19,60.580002,60.610001,59.669998,59.799999,7510700,57.415629
2013-09-20,59.689999,59.720001,58.290001,58.529999,9886000,56.196267
2013-09-23,58.349998,58.400002,57.810001,58.200001,6487700,55.879427
2013-09-24,58.25,58.349998,57.849998,57.919998,5337800,55.610588
2013-09-25,57.959999,58.619999,57.639999,57.779999,5034400,55.476171
2013-09-26,57.900002,58.689999,57.869999,58.169998,4841300,55.85062
