Date,Open_IP,High_IP,Low_IP,Close_IP,Volume_IP,AdjClose_IP
2013-06-14,45.620004,45.840002,45.250008,45.349998,2130300,40.433305
2013-06-17,45.780004,46.700005,45.749999,46.260001,2844300,41.244648
2013-06-18,46.300005,46.490006,45.640002,45.970009,2747700,40.986096
2013-06-19,45.919998,46.550004,45.770005,45.770005,2839200,40.807776
2013-06-20,45.090008,45.370004,44.089999,44.259998,3221700,39.461479
2013-06-21,44.900003,44.900003,42.499999,43.600007,6025200,38.873041
2013-06-24,42.860007,43.210001,42.360005,42.890001,4996300,38.240012
2013-06-25,43.340004,43.590008,42.880006,43.309999,3782900,38.614476
2013-06-26,43.700005,44.209999,43.269999,44.130002,3534300,39.345577
2013-06-27,44.360008,44.630005,43.870004,43.900009,3305500,39.140518
2013-06-28,43.650006,44.530007,43.140004,44.310009,9795500,39.506067
2013-07-01,44.550001,45.210004,44.550001,45.13,4142600,40.237158
2013-07-02,45.110002,45.830003,45.050004,45.749999,4953300,40.789939
2013-07-03,45.389998,45.850001,45.290008,45.770005,2017200,40.807776
2013-07-05,46.169998,46.380008,45.830003,46.319999,1547200,41.298141
2013-07-08,46.550004,46.849999,46.440007,46.570002,2651700,41.52104
2013-07-09,46.870004,47.049999,46.639999,46.889999,2978300,41.806344
2013-07-10,46.729998,46.770002,46.180008,46.440007,3377100,41.405138
2013-07-11,47.099998,47.640004,46.920003,47.56,4080000,42.403706
2013-07-12,47.330003,48.250008,47.190001,48.13,4374000,42.911908
2013-07-15,47.950006,48.229999,47.590005,48.110002,2731500,42.894078
2013-07-16,48.13,48.490001,47.900003,48.389999,3354700,43.143719
2013-07-17,48.780004,48.940004,47.500002,47.760001,3710500,42.582023
2013-07-18,47.800005,48.330001,47.740007,47.869998,2824200,42.680095
2013-07-19,48.010004,48.120001,47.320008,47.720008,3405400,42.546367
2013-07-22,47.690004,48.100007,47.360008,47.4,2927500,42.261053
2013-07-23,47.470009,47.659999,46.849999,46.88,3569900,41.797429
2013-07-24,47.060006,47.640004,47.060006,47.209999,4446100,42.091651
2013-07-25,47.0,50.330003,46.760003,50.190001,9256000,44.748571
2013-07-26,49.820002,50.099998,48.599998,49.11,4075900,43.78566
2013-07-29,49.000002,49.050002,48.450008,48.790003,1673400,43.500356
2013-07-30,48.859996,49.31,48.549999,48.770005,1931700,43.482526
2013-07-31,48.749999,49.200003,48.250008,48.310006,2115300,43.072399
2013-08-01,48.799998,49.740009,48.799998,49.490006,3329700,44.124467
2013-08-02,49.360003,49.490006,49.009998,49.400003,1786200,44.044222
