Date,Open_MAC,High_MAC,Low_MAC,Close_MAC,Volume_MAC,AdjClose_MAC
2013-06-14,62.630001,63.290001,61.950001,62.25,1177400,53.143659
2013-06-17,62.439999,62.75,62.110001,62.400002,876800,53.271717
2013-06-18,62.490002,63.09,61.869999,62.700001,613000,53.52783
2013-06-19,62.700001,62.849998,60.580002,60.790001,553200,51.897238
2013-06-20,60.189999,60.279999,57.73,57.98,1026200,49.498302
2013-06-21,58.43,58.950001,57.380001,58.450001,1329000,49.899548
2013-06-24,57.900002,59.169998,56.68,57.84,812900,49.378783
2013-06-25,58.459999,59.66,58.16,59.380001,1039200,50.693502
2013-06-26,59.869999,60.75,59.830002,60.52,1491300,51.666735
2013-06-27,60.720001,61.369999,60.630001,61.009998,758600,52.085053
2013-06-28,60.790001,61.34,60.240002,60.970001,1030300,52.050907
2013-07-01,61.34,61.57,60.43,60.540001,574800,51.68381
2013-07-02,60.540001,61.73,60.540001,61.720001,1141100,52.691192
2013-07-03,61.25,61.580002,60.66,61.18,489100,52.230186
2013-07-05,61.509998,61.700001,59.950001,61.400002,575800,52.418004
2013-07-08,61.470001,62.380001,61.470001,62.040001,838700,52.96438
2013-07-09,62.459999,63.32,62.130001,62.959999,766400,53.749794
2013-07-10,62.919998,62.959999,61.970001,62.799999,594600,53.6132
2013-07-11,63.59,64.360001,63.580002,64.129997,697900,54.748638
2013-07-12,63.919998,64.370003,63.189999,63.779999,1018900,54.449839
2013-07-15,63.759998,64.809998,63.349998,64.489998,882100,55.055975
2013-07-16,64.639999,64.839996,64.199997,64.480003,700000,55.047442
2013-07-17,64.889999,65.0,64.43,64.860001,838700,55.371851
2013-07-18,64.879997,65.339996,64.769997,65.330002,568200,55.773098
2013-07-19,65.330002,65.470001,64.82,65.349998,427500,55.790169
2013-07-22,65.349998,65.790001,65.169998,65.690002,330200,56.080435
2013-07-23,65.800003,66.120003,65.230003,65.93,456200,56.285324
2013-07-24,65.889999,65.889999,63.830002,64.260002,673800,54.859624
2013-07-25,64.07,64.489998,63.869999,64.279999,557600,54.876696
2013-07-26,64.019997,64.209999,62.990002,63.630001,707500,54.321784
2013-07-29,63.66,63.84,63.200001,63.34,730700,54.074206
2013-07-30,63.740002,65.150002,63.27,63.509998,564600,54.219336
2013-07-31,63.540001,63.599998,61.450001,62.049999,959400,52.972915
2013-08-01,62.419998,62.57,61.84,62.139999,1014600,53.04975
2013-08-02,62.080002,62.540001,61.560001,61.849998,1316800,52.802172
2013-08-05,61.869999,62.349998,61.080002,61.119999,1164000,52.178962
2013-08-06,61.16,62.889999,61.16,62.349998,2166300,53.229029
2013-08-07,62.240002,62.490002,61.490002,61.880001,847900,52.827786
2013-08-08,62.07,62.23,61.490002,61.779999,646100,52.742412
2013-08-09,61.509998,62.060001,61.439999,61.810001,1042300,52.768026
2013-08-12,61.43,61.720001,61.299999,61.490002,645400,52.494838
2013-08-13,61.400002,61.5,59.849998,60.139999,1469900,51.342323
2013-08-14,60.220001,60.360001,59.790001,59.98,686900,51.205729
2013-08-15,59.650002,59.650002,58.209999,58.560001,956900,49.993457
2013-08-16,58.02,58.07,56.380001,56.720001,2734600,48.907015
2013-08-19,56.77,56.98,55.529999,55.57,882100,47.915423
2013-08-20,55.66,57.349998,55.66,56.77,947300,48.950127
2013-08-21,56.650002,56.880001,55.759998,56.049999,967500,48.329304
2013-08-22,56.27,56.650002,55.57,56.450001,579100,48.674207
2013-08-23,56.380001,56.740002,55.84,56.720001,642300,48.907015
2013-08-26,56.779999,56.779999,56.32,56.549999,507000,48.760431
2013-08-27,55.959999,56.529999,55.450001,56.169998,519600,48.432773
2013-08-28,56.220001,56.419998,55.73,56.099998,464800,48.372416
2013-08-29,56.040001,56.599998,55.720001,56.57,658800,48.777676
2013-08-30,56.599998,57.09,56.080002,56.279999,925300,48.527622
2013-09-03,56.630001,56.630001,55.189999,55.73,863100,48.053383
2013-09-04,55.630001,56.66,55.299999,56.439999,685900,48.665582
2013-09-05,56.310001,56.740002,55.73,55.98,695900,48.268946
2013-09-06,56.630001,57.400002,56.560001,56.610001,986000,48.812167
2013-09-09,56.830002,57.669998,56.540001,57.669998,788200,49.726154
2013-09-10,57.849998,58.34,56.869999,57.299999,704600,49.407121
2013-09-11,57.299999,57.43,56.740002,57.330002,578800,49.432991
2013-09-12,57.369999,57.91,56.799999,57.0,493400,49.148445
2013-09-13,57.169998,57.400002,56.950001,57.200001,403500,49.320897
2013-09-16,58.060001,58.93,57.779999,58.080002,386700,50.079681
2013-09-17,58.040001,58.419998,57.75,57.98,385500,49.993453
