Date,Open_DHR,High_DHR,Low_DHR,Close_DHR,Volume_DHR,AdjClose_DHR
2013-06-14,62.419998,62.830002,62.119999,62.52,2118500,61.548439
2013-06-17,63.0,63.689999,62.970001,63.369999,3072600,62.385229
2013-06-18,63.32,64.599998,63.080002,64.360001,2963600,63.359846
2013-06-19,64.360001,64.800003,63.66,63.68,3497700,62.690413
2013-06-20,62.990002,63.23,62.099998,62.259998,3269300,61.292478
2013-06-21,62.59,62.880001,61.669998,62.110001,5977400,61.144811
2013-06-24,61.639999,62.290001,61.23,61.66,3110600,60.701803
2013-06-25,62.07,62.439999,61.57,62.299999,3110700,61.331857
2013-06-26,62.82,63.66,62.709999,63.349998,3296200,62.390574
2013-06-27,63.77,63.900002,63.09,63.639999,2530800,62.676183
2013-06-28,63.43,63.720001,63.029999,63.299999,4223500,62.341332
2013-07-01,63.740002,65.150002,63.599998,64.699997,3759900,63.720127
2013-07-02,64.589996,64.769997,63.459999,63.68,3248600,62.715578
2013-07-03,63.310001,63.91,63.16,63.630001,1099100,62.666336
2013-07-05,64.169998,64.620003,64.019997,64.599998,1750500,63.621643
2013-07-08,64.949997,65.059998,64.309998,64.440002,2789000,63.46407
2013-07-09,65.339996,66.669998,65.339996,66.620003,4703900,65.611054
2013-07-10,66.599998,67.940002,66.599998,67.800003,4701400,66.773184
2013-07-11,68.580002,69.0,67.800003,68.349998,4258000,67.31485
2013-07-12,68.32,68.43,67.610001,68.190002,3039600,67.157277
2013-07-15,68.510002,68.629997,68.129997,68.400002,3494800,67.364095
2013-07-16,68.400002,68.790001,67.529999,68.07,2521600,67.039091
2013-07-17,68.279999,68.629997,68.139999,68.410004,3218000,67.373946
2013-07-18,68.0,68.68,66.830002,67.75,5498100,66.723938
2013-07-19,68.0,69.019997,67.669998,68.690002,2941000,67.649704
2013-07-22,68.75,68.879997,67.849998,68.169998,2776100,67.137575
2013-07-23,68.25,68.400002,67.839996,67.900002,2472300,66.871668
2013-07-24,68.0,68.129997,67.389999,67.629997,2671400,66.605753
2013-07-25,67.150002,67.43,66.830002,67.279999,3102100,66.261055
2013-07-26,66.790001,67.0,66.529999,66.720001,2375500,65.709538
2013-07-29,66.470001,67.239998,66.220001,67.190002,2145400,66.172422
2013-07-30,67.459999,67.860001,67.139999,67.169998,2108300,66.15272
2013-07-31,67.199997,67.980003,67.169998,67.339996,2371800,66.320144
2013-08-01,67.82,68.190002,67.639999,67.639999,2788100,66.615603
2013-08-02,67.629997,67.629997,66.970001,67.230003,2075200,66.211817
2013-08-05,67.099998,67.260002,66.889999,67.120003,1592800,66.103482
2013-08-06,67.120003,67.169998,66.779999,67.050003,2010700,66.034542
2013-08-07,67.0,67.559998,66.800003,67.489998,2339900,66.467874
2013-08-08,67.800003,67.980003,67.230003,67.330002,2041200,66.310301
2013-08-09,67.269997,67.400002,66.919998,66.989998,1557300,65.975446
2013-08-12,66.540001,66.879997,66.330002,66.519997,2112000,65.512563
2013-08-13,66.529999,67.720001,66.470001,67.629997,1760400,66.605753
2013-08-14,67.400002,67.449997,66.550003,66.669998,1734400,65.660293
2013-08-15,66.440002,67.089996,65.879997,66.510002,2419200,65.50272
2013-08-16,66.510002,66.830002,66.309998,66.730003,2177700,65.719389
2013-08-19,66.5,67.279999,66.459999,66.860001,1952400,65.847418
2013-08-20,66.900002,66.900002,66.220001,66.32,2390400,65.315595
2013-08-21,66.239998,66.669998,66.050003,66.18,1936900,65.177716
2013-08-22,66.400002,67.540001,66.260002,67.290001,1675900,66.270906
2013-08-23,67.32,67.540001,66.949997,67.339996,1781900,66.320144
2013-08-26,67.230003,67.489998,66.620003,66.639999,1612100,65.630748
2013-08-27,65.760002,65.93,65.260002,65.400002,2410900,64.40953
2013-08-28,65.290001,65.709999,65.059998,65.290001,1574500,64.301195
2013-08-29,65.089996,66.209999,64.779999,65.610001,1289600,64.616349
2013-08-30,65.739998,65.82,65.25,65.519997,1532600,64.527708
2013-09-03,66.129997,66.599998,65.610001,65.870003,1693800,64.872413
2013-09-04,65.690002,67.139999,65.690002,67.010002,2113400,65.995147
2013-09-05,66.940002,67.419998,66.669998,67.220001,1384900,66.201966
2013-09-06,67.32,67.589996,66.410004,66.830002,1970800,65.817873
2013-09-09,67.019997,67.75,67.019997,67.650002,1368900,66.625454
2013-09-10,68.18,68.940002,68.059998,68.459999,2329100,67.423184
2013-09-11,68.529999,69.309998,68.400002,69.309998,2087200,68.26031
2013-09-12,69.32,69.550003,69.050003,69.449997,2498400,68.398189
2013-09-13,69.620003,69.779999,69.010002,69.760002,2467800,68.703499
2013-09-16,70.410004,70.639999,69.870003,70.110001,2811000,69.048197
2013-09-17,70.190002,70.5,69.849998,70.029999,2602000,68.969407
2013-09-18,70.0,70.550003,69.68,70.489998,2698600,69.422439
2013-09-19,70.779999,70.940002,70.220001,70.279999,3979000,69.21562
2013-09-20,70.32,70.720001,69.57,69.57,5124400,68.516374
2013-09-23,69.290001,69.75,69.239998,69.550003,2158200,68.49668
2013-09-24,69.589996,69.650002,68.889999,68.940002,2361300,67.895918
2013-09-25,69.150002,69.769997,68.809998,69.559998,2602600,68.531379
2013-09-26,69.620003,70.139999,69.360001,69.769997,1718100,68.738273
2013-09-27,69.639999,70.050003,69.43,69.870003,2376200,68.8368
2013-09-30,69.330002,69.790001,69.099998,69.32,2672900,68.294931
2013-10-01,69.449997,69.639999,69.110001,69.470001,2442800,68.442714
2013-10-02,69.160004,69.160004,68.379997,69.129997,2354600,68.107738
2013-10-03,68.830002,68.980003,67.489998,67.989998,2547400,66.984596
2013-10-04,68.010002,68.879997,67.82,68.519997,1965900,67.506758
2013-10-07,68.080002,68.290001,67.730003,67.860001,1715100,66.856521
2013-10-08,67.879997,68.519997,67.260002,67.309998,2979500,66.314651
2013-10-09,67.279999,67.400002,66.830002,67.139999,2927300,66.147167
2013-10-10,67.910004,69.040001,67.82,68.980003,2700500,67.959962
2013-10-11,68.919998,69.510002,68.580002,69.440002,1438100,68.413159
2013-10-14,68.970001,69.709999,68.839996,69.550003,1537200,68.521533
2013-10-15,69.400002,69.699997,69.0,69.019997,2432400,67.999364
2013-10-16,69.230003,69.419998,68.800003,69.150002,4748400,68.127446
2013-10-17,71.010002,72.589996,70.379997,72.309998,5891800,71.240714
2013-10-18,72.690002,72.690002,71.650002,72.0,4193900,70.9353
2013-10-21,72.230003,72.300003,71.769997,71.93,2613600,70.866336
2013-10-22,72.019997,72.480003,71.849998,72.239998,2295000,71.171749
2013-10-23,72.230003,72.5,71.699997,71.900002,2031000,70.836781
2013-10-24,71.949997,72.239998,71.519997,72.050003,1993100,70.984564
2013-10-25,71.879997,72.220001,71.489998,72.110001,1722900,71.043674
2013-10-28,72.139999,72.43,71.730003,72.160004,1602700,71.092938
2013-10-29,72.139999,72.550003,71.860001,72.540001,2287200,71.467316
2013-10-30,72.540001,72.82,72.010002,72.040001,1560700,70.97471
2013-10-31,72.279999,72.57,71.809998,72.089996,1464700,71.023966
2013-11-01,72.279999,72.779999,72.040001,72.629997,2285000,71.555982
2013-11-04,72.639999,72.849998,72.059998,72.75,1917400,71.67421
2013-11-05,72.660004,72.769997,72.260002,72.589996,1373000,71.516572
2013-11-06,72.900002,73.599998,72.709999,72.980003,1725800,71.900812
2013-11-07,73.059998,73.279999,71.699997,71.809998,1772200,70.748108
2013-11-08,72.360001,74.639999,72.360001,74.599998,4666400,73.496851
2013-11-11,74.599998,74.769997,74.059998,74.360001,1758500,73.260402
2013-11-12,74.230003,74.309998,73.379997,73.900002,2271900,72.807206
2013-11-13,73.589996,73.839996,73.43,73.760002,2594300,72.669276
2013-11-14,74.190002,74.940002,74.010002,74.440002,2912100,73.339221
2013-11-15,74.169998,74.739998,74.050003,74.489998,3261800,73.388477
2013-11-18,74.519997,74.989998,74.379997,74.550003,2821000,73.447595
2013-11-19,74.519997,74.75,74.019997,74.129997,1762800,73.0338
2013-11-20,74.089996,74.510002,73.540001,73.790001,2213900,72.698832
2013-11-21,74.199997,74.400002,73.889999,74.330002,1807000,73.230847
2013-11-22,74.419998,74.730003,74.239998,74.650002,1938700,73.546115
2013-11-25,75.0,75.0,74.360001,74.519997,1392900,73.418033
2013-11-26,75.029999,75.889999,75.0,75.370003,3621700,74.255469
2013-11-27,75.720001,75.93,75.18,75.360001,1415900,74.245615
2013-11-29,75.330002,75.540001,74.730003,74.800003,1343400,73.693898
2013-12-02,74.589996,75.260002,74.360001,74.57,2471700,73.467296
2013-12-03,74.279999,74.449997,73.540001,73.769997,2363200,72.679123
2013-12-04,73.389999,74.290001,72.910004,73.660004,1867700,72.570757
2013-12-05,73.239998,74.050003,73.040001,73.639999,1902400,72.551048
2013-12-06,74.480003,75.290001,74.290001,75.120003,1833300,74.009166
2013-12-09,75.620003,75.779999,75.019997,75.379997,2028100,74.265316
2013-12-10,75.040001,75.330002,74.550003,75.150002,1827100,74.038721
2013-12-11,75.129997,75.330002,73.660004,73.93,3088700,72.836761
2013-12-12,72.889999,74.599998,72.879997,74.25,3969000,73.152028
2013-12-13,74.269997,74.389999,73.650002,74.010002,2696800,72.91558
2013-12-16,74.239998,75.540001,74.110001,75.309998,3493200,74.196351
2013-12-17,75.5,75.730003,74.540001,74.760002,2247600,73.654489
2013-12-18,74.760002,77.010002,74.610001,76.860001,3326100,75.723434
2013-12-19,76.540001,76.669998,75.980003,76.580002,2416400,75.447575
2013-12-20,76.330002,77.080002,76.279999,76.540001,3428500,75.408166
2013-12-23,76.959999,77.32,76.440002,76.739998,2249300,75.605206
2013-12-24,76.599998,77.160004,76.599998,76.790001,1071900,75.654469
2013-12-26,77.0,77.059998,76.760002,76.919998,1912800,75.807224
2013-12-27,77.169998,77.389999,76.790001,77.050003,835600,75.935348
2013-12-30,76.989998,77.129997,76.620003,76.82,971400,75.708672
2013-12-31,77.110001,77.330002,76.849998,77.199997,1054100,76.083172
