Date,Symbol,Order,Shares
2016-05-09,EBAY,SELL,20.0
2016-05-02,EBAY,BUY,20.0
2016-05-10,EBAY,SELL,10.0
2016-05-03,EBAY,BUY,10.0
2016-05-11,EBAY,SELL,10.0
2016-05-04,EBAY,BUY,10.0
2016-05-12,EBAY,SELL,10.0
2016-05-05,EBAY,BUY,10.0
2016-05-13,EBAY,SELL,10.0
2016-05-06,EBAY,BUY,10.0
2016-05-16,EBAY,SELL,10.0
2016-05-09,EBAY,BUY,10.0
2016-05-17,EBAY,SELL,10.0
2016-05-10,EBAY,BUY,10.0
2016-05-18,EBAY,SELL,10.0
2016-05-11,EBAY,BUY,10.0
2016-05-19,EBAY,SELL,10.0
2016-05-12,EBAY,BUY,10.0
2016-05-20,EBAY,SELL,10.0
2016-05-13,EBAY,BUY,10.0
2016-05-23,EBAY,SELL,10.0
2016-05-16,EBAY,BUY,10.0
2016-05-24,EBAY,SELL,10.0
2016-05-17,EBAY,BUY,10.0
