,Indicator,Window,Value
9,Momentum,1,169
0,Momentum,19,60
17,Momentum,2,33
11,Momentum,3,32
13,Momentum,11,30
4,Momentum,8,25
10,Momentum,14,23
12,Momentum,16,19
1,Momentum,18,18
6,Momentum,15,15
2,Momentum,6,14
7,Momentum,7,11
15,Momentum,10,11
14,Momentum,17,10
8,Momentum,12,8
5,Momentum,5,8
18,Momentum,13,8
16,Momentum,4,5
3,Momentum,9,4
