,Indicator,Window,Value
3,EMA,2,237
9,EMA,20,95
2,EMA,3,30
8,EMA,4,29
7,EMA,5,19
1,EMA,8,16
11,EMA,13,13
12,EMA,12,10
14,EMA,10,9
0,EMA,9,8
5,EMA,7,7
13,EMA,11,7
4,EMA,6,7
6,EMA,19,4
15,EMA,17,4
16,EMA,16,3
17,EMA,15,2
18,EMA,14,2
10,EMA,18,1
