,Indicator,Window,Value
12,Bollinger,4,219
1,Bollinger,19,48
7,Bollinger,17,31
13,Bollinger,5,28
6,Bollinger,16,21
9,Bollinger,15,20
8,Bollinger,14,18
11,Bollinger,9,18
5,Bollinger,11,17
14,Bollinger,6,16
2,Bollinger,12,14
0,Bollinger,18,12
15,Bollinger,7,12
10,Bollinger,8,11
3,Bollinger,13,9
4,Bollinger,10,9
