,Indicator,Window,Value
0,Lag,1,0.0481829840647
14,Lag,10,0.0482618651218
15,Lag,11,0.0482805819577
16,Lag,16,0.0483079269942
13,Lag,13,0.0483252301367
4,Lag,5,0.0483414387675
12,Lag,12,0.0483424615633
1,Lag,2,0.0483889574254
19,Lag,15,0.0483969745534
7,Lag,8,0.0483983866862
17,Lag,17,0.0484130527842
2,Lag,3,0.0484133915418
18,Lag,14,0.0484365495368
3,Lag,4,0.0484789696945
8,Lag,9,0.048499261821
11,Lag,19,0.0485316880956
5,Lag,6,0.048534681476
10,Lag,18,0.048553876101
6,Lag,7,0.048563867134
9,Lag,20,0.0486914949157
