Date,Open_CXO,High_CXO,Low_CXO,Close_CXO,Volume_CXO,AdjClose_CXO
2015-06-05,117.07,120.849998,117.07,118.160004,1450100,118.160004
2015-06-08,117.660004,120.559998,116.720001,120.230003,1456200,120.230003
2015-06-09,121.769997,124.309998,121.519997,122.550003,1269300,122.550003
2015-06-10,124.690002,126.110001,123.650002,125.669998,1128300,125.669998
2015-06-11,126.080002,126.300003,123.550003,124.400002,992400,124.400002
2015-06-12,123.709999,124.309998,122.75,123.949997,999000,123.949997
2015-06-15,122.75,124.720001,122.360001,124.089996,1414200,124.089996
2015-06-16,123.599998,125.599998,123.599998,125.0,498600,125.0
2015-06-17,127.389999,127.480003,123.089996,124.169998,802700,124.169998
2015-06-18,124.5,125.550003,123.349998,123.919998,813200,123.919998
2015-06-19,123.580002,124.440002,122.699997,123.699997,1119400,123.699997
2015-06-22,124.199997,126.260002,122.910004,125.480003,1182300,125.480003
2015-06-23,125.389999,125.860001,123.470001,124.739998,1032900,124.739998
2015-06-24,124.010002,125.480003,119.769997,120.900002,1522000,120.900002
2015-06-25,120.849998,121.620003,116.760002,117.07,2521700,117.07
2015-06-26,116.43,116.519997,112.129997,112.589996,5329400,112.589996
2015-06-29,111.290001,113.949997,110.440002,111.970001,2035900,111.970001
2015-06-30,113.290001,114.43,112.199997,113.860001,1615800,113.860001
2015-07-01,113.900002,115.129997,111.550003,111.610001,2146700,111.610001
2015-07-02,112.029999,113.230003,111.720001,112.370003,1142000,112.370003
2015-07-06,110.089996,111.360001,107.260002,107.389999,1628900,107.389999
2015-07-07,107.5,109.580002,103.970001,109.489998,3047400,109.489998
2015-07-08,108.720001,109.57,106.769997,106.849998,1669900,106.849998
2015-07-09,107.940002,111.209999,107.940002,109.730003,906800,109.730003
2015-07-10,110.989998,111.699997,108.0,108.440002,904200,108.440002
2015-07-13,108.5,110.360001,107.5,110.169998,1131800,110.169998
2015-07-14,109.519997,112.199997,109.099998,111.25,1364600,111.25
2015-07-15,110.279999,111.459999,107.0,108.099998,1100000,108.099998
2015-07-16,109.080002,109.419998,106.830002,107.510002,1105700,107.510002
2015-07-17,107.269997,107.559998,104.82,105.040001,1309000,105.040001
2015-07-20,104.830002,105.559998,101.839996,102.650002,2343200,102.650002
2015-07-21,103.519997,106.519997,103.519997,104.18,1237200,104.18
2015-07-22,104.440002,105.699997,102.940002,105.410004,1780900,105.410004
2015-07-23,105.709999,106.919998,104.199997,105.620003,1913000,105.620003
2015-07-24,105.43,106.019997,102.57,103.010002,1738700,103.010002
2015-07-27,101.150002,101.769997,98.029999,99.190002,2344600,99.190002
2015-07-28,99.970001,102.449997,98.910004,102.190002,2390200,102.190002
2015-07-29,101.989998,107.43,101.330002,106.779999,2506300,106.779999
2015-07-30,107.459999,112.589996,107.160004,108.449997,3876200,108.449997
2015-07-31,107.550003,108.400002,106.370003,106.559998,1731300,106.559998
2015-08-03,105.370003,108.190002,103.889999,104.5,1945500,104.5
2015-08-04,105.629997,107.290001,104.449997,105.150002,1689500,105.150002
2015-08-05,106.589996,108.300003,105.419998,105.949997,1630800,105.949997
2015-08-06,105.029999,109.540001,104.029999,108.959999,2909500,108.959999
2015-08-07,108.5,111.589996,106.660004,107.32,1735800,107.32
2015-08-10,107.889999,111.870003,106.93,111.760002,1149600,111.760002
2015-08-11,109.860001,112.199997,107.949997,111.93,1499400,111.93
2015-08-12,111.43,114.150002,110.029999,114.089996,1549400,114.089996
2015-08-13,112.779999,113.440002,109.669998,109.970001,1335600,109.970001
2015-08-14,109.82,111.650002,109.279999,110.129997,759300,110.129997
2015-08-17,109.489998,110.32,108.599998,109.779999,708000,109.779999
2015-08-18,109.18,110.699997,108.470001,110.57,926700,110.57
2015-08-19,109.760002,110.970001,105.07,105.589996,2112900,105.589996
2015-08-20,105.75,106.260002,103.650002,104.150002,2332000,104.150002
2015-08-21,103.739998,104.620003,100.230003,100.769997,2259900,100.769997
2015-08-24,94.959999,99.160004,93.309998,95.379997,2788600,95.379997
2015-08-25,98.690002,99.339996,92.410004,92.529999,1962800,92.529999
2015-08-26,94.93,95.379997,93.269997,95.089996,1853800,95.089996
2015-08-27,97.989998,103.540001,97.839996,102.989998,2212200,102.989998
2015-08-28,102.410004,108.440002,102.410004,105.830002,2073100,105.830002
2015-08-31,104.5,109.230003,102.129997,108.160004,1752300,108.160004
2015-09-01,104.889999,107.949997,102.379997,103.160004,1431600,103.160004
2015-09-02,104.879997,105.610001,100.849998,105.57,1230300,105.57
2015-09-03,106.650002,109.360001,104.849998,106.419998,1385600,106.419998
2015-09-04,104.639999,105.57,103.099998,104.470001,949300,104.470001
2015-09-08,105.059998,107.260002,103.139999,106.919998,1448500,106.919998
2015-09-09,108.010002,108.690002,101.419998,101.580002,1533900,101.580002
2015-09-10,102.139999,103.220001,100.110001,102.010002,1560700,102.010002
2015-09-11,99.970001,100.230003,96.959999,98.620003,2590600,98.620003
2015-09-14,98.269997,98.360001,95.059998,96.269997,2235800,96.269997
2015-09-15,96.860001,98.110001,96.239998,98.099998,2041900,98.099998
2015-09-16,99.720001,105.139999,99.620003,104.93,2426800,104.93
2015-09-17,105.040001,107.839996,104.050003,105.269997,2081100,105.269997
2015-09-18,102.360001,104.230003,101.889999,102.669998,1704900,102.669998
2015-09-21,104.129997,105.279999,102.68,104.379997,938600,104.379997
2015-09-22,102.160004,105.43,101.260002,103.0,1632100,103.0
2015-09-23,103.279999,104.059998,100.610001,100.980003,1171600,100.980003
2015-09-24,100.099998,102.57,99.07,101.730003,1083300,101.730003
2015-09-25,102.82,103.660004,100.440002,100.959999,1007800,100.959999
2015-09-28,99.879997,100.540001,94.779999,95.139999,1582000,95.139999
2015-09-29,96.019997,98.080002,95.059998,96.599998,1115300,96.599998
2015-09-30,97.57,100.169998,95.779999,98.300003,1359600,98.300003
2015-10-01,95.480003,98.849998,94.830002,98.209999,7044300,98.209999
2015-10-02,97.220001,103.5,96.029999,102.620003,2262100,102.620003
2015-10-05,104.0,108.279999,103.0,107.550003,2521100,107.550003
2015-10-06,107.290001,109.32,104.970001,107.559998,2873500,107.559998
2015-10-07,110.18,116.400002,105.690002,111.040001,2758900,111.040001
2015-10-08,111.129997,116.459999,110.43,116.43,2461600,116.43
2015-10-09,116.5,117.190002,112.370003,115.900002,1947600,115.900002
2015-10-12,116.0,116.0,112.669998,115.080002,1131500,115.080002
2015-10-13,115.029999,117.900002,113.400002,115.599998,2061000,115.599998
2015-10-14,115.550003,117.089996,113.559998,115.610001,1175400,115.610001
2015-10-15,114.739998,117.110001,113.769997,116.199997,1159900,116.199997
2015-10-16,116.699997,117.599998,115.040001,116.629997,1311500,116.629997
2015-10-19,114.839996,114.849998,110.43,111.730003,1196400,111.730003
2015-10-20,111.809998,114.459999,111.220001,113.779999,936300,113.779999
2015-10-21,112.690002,113.900002,111.199997,111.760002,1352900,111.760002
2015-10-22,112.599998,114.459999,110.949997,112.830002,1097900,112.830002
2015-10-23,111.830002,113.769997,109.709999,112.599998,1316200,112.599998
2015-10-26,112.019997,113.209999,110.919998,111.449997,1151700,111.449997
2015-10-27,109.339996,111.059998,106.660004,110.779999,1694800,110.779999
2015-10-28,110.860001,115.889999,109.309998,114.779999,1592600,114.779999
2015-10-29,114.5,117.75,113.790001,116.0,1417500,116.0
2015-10-30,116.230003,117.519997,113.029999,115.910004,1420900,115.910004
2015-11-02,115.169998,116.57,114.389999,115.139999,1453700,115.139999
2015-11-03,115.949997,120.410004,115.949997,117.830002,2308700,117.830002
2015-11-04,117.769997,119.239998,113.82,116.75,2230200,116.75
2015-11-05,114.339996,116.809998,109.290001,113.199997,2788200,113.199997
2015-11-06,112.650002,115.169998,110.589996,111.43,2594700,111.43
2015-11-09,111.790001,113.279999,109.93,111.529999,1506800,111.529999
2015-11-10,111.040001,111.660004,108.389999,111.339996,1701800,111.339996
2015-11-11,111.07,112.580002,106.0,107.18,1848500,107.18
2015-11-12,105.989998,106.989998,103.610001,104.809998,1456300,104.809998
2015-11-13,103.980003,105.410004,101.510002,104.919998,2045900,104.919998
2015-11-16,105.07,107.910004,103.75,107.760002,1412600,107.760002
2015-11-17,107.260002,109.940002,104.699997,109.080002,1542500,109.080002
2015-11-18,110.190002,112.209999,108.190002,112.059998,1233500,112.059998
2015-11-19,110.610001,111.190002,107.139999,109.120003,848200,109.120003
2015-11-20,109.269997,110.809998,107.599998,108.709999,853200,108.709999
2015-11-23,108.720001,110.25,107.050003,109.5,1035700,109.5
2015-11-24,110.309998,113.82,110.309998,112.529999,1111100,112.529999
2015-11-25,110.980003,111.739998,109.900002,111.0,774400,111.0
2015-11-27,109.209999,109.940002,107.150002,108.300003,544100,108.300003
2015-11-30,108.760002,110.169998,108.040001,109.440002,962400,109.440002
2015-12-01,110.519997,112.5,110.0,111.910004,1251300,111.910004
2015-12-02,111.349998,111.419998,105.669998,106.0,1853100,106.0
2015-12-03,107.519997,108.389999,105.480003,106.199997,1140500,106.199997
2015-12-04,105.0,107.559998,103.269997,105.839996,1376400,105.839996
2015-12-07,102.5,102.760002,98.879997,99.589996,2092000,99.589996
2015-12-08,99.449997,102.120003,97.050003,100.190002,2260200,100.190002
2015-12-09,100.839996,102.720001,98.459999,99.360001,2061100,99.360001
2015-12-10,98.699997,105.220001,98.489998,103.699997,2084900,103.699997
2015-12-11,102.330002,102.800003,98.779999,98.989998,1461200,98.989998
2015-12-14,98.269997,102.900002,98.269997,102.43,2091900,102.43
2015-12-15,103.93,108.870003,102.629997,108.57,2393600,108.57
2015-12-16,108.480003,108.839996,101.879997,102.150002,2074900,102.150002
2015-12-17,102.309998,102.699997,95.059998,95.470001,2941500,95.470001
2015-12-18,95.800003,97.139999,91.919998,91.970001,3171900,91.970001
2015-12-21,92.269997,92.989998,85.870003,86.669998,4311300,86.669998
2015-12-22,86.910004,90.059998,86.099998,88.410004,3451800,88.410004
2015-12-23,90.010002,96.669998,89.93,96.540001,2512600,96.540001
2015-12-24,96.019997,97.0,94.160004,95.769997,898200,95.769997
2015-12-28,93.699997,93.75,89.889999,90.5,1671400,90.5
2015-12-29,92.480003,94.919998,90.790001,92.720001,1619600,92.720001
2015-12-30,90.809998,92.779999,90.029999,91.580002,946000,91.580002
2015-12-31,91.279999,94.290001,91.279999,92.860001,1261700,92.860001
2016-01-04,92.68,93.790001,88.870003,90.290001,2112200,90.290001
2016-01-05,90.599998,92.0,88.879997,91.050003,1504900,91.050003
2016-01-06,86.839996,87.010002,82.769997,84.290001,2870700,84.290001
2016-01-07,81.870003,85.889999,80.589996,82.419998,2310400,82.419998
2016-01-08,83.330002,85.559998,81.760002,84.419998,1913300,84.419998
2016-01-11,85.5,86.279999,80.540001,82.169998,1917300,82.169998
2016-01-12,83.589996,84.889999,77.410004,80.519997,4148800,80.519997
2016-01-13,82.110001,83.849998,76.889999,78.400002,2282900,78.400002
2016-01-14,79.169998,81.959999,75.580002,80.949997,2282800,80.949997
2016-01-15,76.639999,79.089996,74.019997,77.07,2674200,77.07
2016-01-19,78.660004,79.290001,74.769997,75.980003,3031400,75.980003
2016-01-20,73.620003,74.580002,69.940002,72.519997,4654400,72.519997
2016-01-21,72.690002,82.160004,72.25,81.389999,3369700,81.389999
2016-01-22,86.040001,88.900002,83.25,85.870003,2871600,85.870003
2016-01-25,83.690002,86.949997,80.459999,80.68,1544100,80.68
2016-01-26,83.290001,88.629997,81.620003,88.150002,2550900,88.150002
2016-01-27,86.610001,92.540001,86.089996,87.940002,3046700,87.940002
