Date,Open_GS,High_GS,Low_GS,Close_GS,Volume_GS,AdjClose_GS
2015-06-05,210.699997,211.940002,208.550003,210.449997,3225100,207.257525
2015-06-08,211.149994,211.699997,209.449997,209.789993,2180700,206.607534
2015-06-09,210.0,210.440002,207.619995,209.020004,2278800,205.849225
2015-06-10,209.720001,213.399994,209.360001,213.130005,2677300,209.896878
2015-06-11,213.169998,214.610001,212.869995,213.940002,2024100,210.694588
2015-06-12,213.479996,214.009995,212.009995,213.059998,2006200,209.827933
2015-06-15,210.889999,212.339996,210.380005,211.759995,1903800,208.547651
2015-06-16,211.850006,213.570007,211.130005,213.559998,1954200,210.320348
2015-06-17,213.589996,214.5,212.570007,212.929993,1778400,209.6999
2015-06-18,213.449997,215.009995,212.009995,214.600006,2167200,211.34458
2015-06-19,214.119995,215.0,213.190002,213.190002,4163400,209.955966
2015-06-22,215.059998,216.809998,215.0,216.509995,2006100,213.225594
2015-06-23,216.919998,218.770004,216.639999,218.399994,2735600,215.086923
2015-06-24,216.199997,217.0,213.699997,214.429993,3945200,211.177145
2015-06-25,215.149994,215.800003,212.490005,212.820007,2434700,209.591583
2015-06-26,213.619995,214.610001,212.550003,213.169998,2762600,209.936265
2015-06-29,210.139999,211.220001,207.649994,207.649994,3292800,204.499998
2015-06-30,209.889999,210.789993,208.149994,208.789993,4167300,205.622703
2015-07-01,211.630005,212.490005,208.949997,209.940002,2820300,206.755267
2015-07-02,209.940002,210.630005,208.5,209.199997,1816600,206.026487
2015-07-06,206.710007,208.529999,206.259995,208.039993,2816800,204.884081
2015-07-07,207.979996,208.970001,203.199997,208.210007,3304200,205.051515
2015-07-08,206.300003,206.789993,203.699997,204.059998,2185100,200.964461
2015-07-09,207.130005,207.550003,204.440002,204.809998,2256200,201.703083
2015-07-10,207.720001,207.979996,206.179993,207.190002,1840600,204.046984
2015-07-13,209.440002,210.309998,208.649994,210.119995,2041700,206.932529
2015-07-14,210.009995,212.759995,209.699997,212.160004,2090700,208.941592
2015-07-15,213.539993,213.610001,211.429993,212.960007,2536700,209.729459
2015-07-16,211.389999,214.139999,209.320007,211.179993,4405200,207.976447
2015-07-17,210.759995,212.800003,209.789993,212.460007,2849000,209.237044
2015-07-20,212.679993,214.0,211.210007,212.389999,2175400,209.168098
