Date,Open_JPM,High_JPM,Low_JPM,Close_JPM,Volume_JPM,AdjClose_JPM
2015-06-05,67.370003,67.839996,67.010002,67.419998,20801100,65.573726
2015-06-08,67.459999,67.550003,66.809998,66.889999,14558700,65.058241
2015-06-09,66.949997,67.269997,66.470001,67.18,13263500,65.3403
2015-06-10,67.589996,68.5,67.470001,68.260002,17478900,66.390727
2015-06-11,68.360001,68.68,68.150002,68.519997,13739900,66.643601
2015-06-12,68.309998,68.540001,67.870003,68.25,11804700,66.380998
2015-06-15,67.580002,68.209999,67.300003,67.989998,14082300,66.128116
2015-06-16,67.769997,68.519997,67.620003,68.370003,11692800,66.497715
2015-06-17,68.410004,68.68,68.040001,68.139999,14521900,66.27401
2015-06-18,68.349998,68.82,67.900002,68.779999,16759600,66.896483
2015-06-19,68.459999,68.669998,67.919998,68.080002,21606400,66.215656
2015-06-22,68.870003,69.290001,68.75,68.959999,14306700,67.071554
2015-06-23,69.349998,69.82,69.190002,69.75,15736900,67.839921
2015-06-24,69.510002,69.769997,68.910004,69.019997,16995000,67.129909
2015-06-25,69.32,69.470001,68.639999,68.650002,13314300,66.770046
2015-06-26,68.940002,69.290001,68.769997,68.949997,14489200,67.061826
2015-06-29,67.68,68.260002,67.160004,67.199997,19934400,65.359749
2015-06-30,67.889999,68.110001,67.160004,67.760002,20677400,65.904419
2015-07-01,68.120003,68.389999,67.779999,68.07,13964400,66.638645
2015-07-02,67.949997,68.129997,67.190002,67.519997,12822900,66.100207
2015-07-06,66.879997,67.459999,66.540001,67.330002,13527100,65.914208
2015-07-07,67.089996,67.220001,65.300003,66.800003,22421500,65.395354
2015-07-08,66.0,66.160004,65.209999,65.43,17707200,64.054159
2015-07-09,66.489998,66.699997,65.989998,66.110001,14984700,64.71986
2015-07-10,67.220001,67.400002,66.830002,67.050003,12356100,65.640097
2015-07-13,67.889999,68.139999,67.68,68.089996,16175600,66.658221
2015-07-14,67.980003,69.099998,67.760002,69.040001,20185100,67.58825
2015-07-15,69.230003,69.43,68.849998,69.190002,16891600,67.735097
2015-07-16,69.629997,69.949997,69.410004,69.559998,18035700,68.097312
2015-07-17,69.349998,69.489998,68.919998,69.209999,14040700,67.754673
2015-07-20,69.5,69.769997,69.18,69.260002,11512900,67.803625
