Date,Open_GT,High_GT,Low_GT,Close_GT,Volume_GT,AdjClose_GT
2015-06-05,31.379999,31.49,31.01,31.32,5252500,31.042701
2015-06-08,31.379999,31.6,31.01,31.040001,3365600,30.765181
2015-06-09,31.26,31.559999,30.940001,31.5,2998500,31.221107
2015-06-10,30.940001,31.9,30.9,31.389999,4043000,31.112081
2015-06-11,31.389999,31.75,31.299999,31.41,2859900,31.131904
2015-06-12,31.24,31.639999,31.18,31.49,3080600,31.211196
2015-06-15,31.290001,31.290001,30.58,31.01,3772000,30.735446
2015-06-16,31.0,31.09,30.709999,31.030001,1818700,30.755269
2015-06-17,31.120001,31.370001,30.77,31.049999,1781100,30.775091
2015-06-18,31.17,31.34,30.889999,31.01,2927800,30.735446
2015-06-19,31.01,31.43,30.93,31.209999,2979300,30.933674
2015-06-22,31.290001,31.389999,31.08,31.18,2109500,30.903941
2015-06-23,31.15,31.469999,31.139999,31.41,1851300,31.131904
2015-06-24,31.469999,31.940001,31.139999,31.33,2458300,31.052612
2015-06-25,31.440001,31.5,31.209999,31.23,1884500,30.953497
2015-06-26,31.34,31.469999,31.18,31.4,8074600,31.121992
2015-06-29,30.969999,31.0,29.43,29.639999,5633900,29.377575
2015-06-30,29.950001,30.32,29.780001,30.15,3709300,29.88306
2015-07-01,30.26,30.549999,30.059999,30.450001,2702300,30.180405
2015-07-02,30.59,30.75,30.07,30.290001,1948400,30.021821
2015-07-06,30.01,30.440001,29.809999,30.040001,3009000,29.774035
2015-07-07,30.1,30.15,29.209999,30.01,3200500,29.7443
2015-07-08,29.700001,29.77,29.049999,29.209999,4088500,28.951382
2015-07-09,29.68,29.799999,28.629999,28.91,5138100,28.654038
2015-07-10,29.299999,29.309999,28.82,28.99,2997400,28.73333
2015-07-13,29.16,29.450001,28.780001,29.41,3897200,29.149612
2015-07-14,29.5,30.34,29.41,30.290001,3645100,30.021821
2015-07-15,30.200001,30.280001,29.65,29.77,2777000,29.506425
2015-07-16,30.09,30.459999,29.790001,30.389999,4491500,30.120934
2015-07-17,30.379999,30.74,30.299999,30.5,3901500,30.229961
2015-07-20,30.540001,30.6,29.959999,30.040001,2309700,29.774035
2015-07-21,30.040001,30.23,29.860001,30.16,1995700,29.892971
2015-07-22,30.120001,30.389999,30.0,30.139999,1738100,29.873148
2015-07-23,30.17,30.32,29.92,30.0,2393300,29.734388
2015-07-24,30.08,30.08,29.120001,29.27,2957400,29.010852
2015-07-27,29.15,29.4,28.58,29.02,4560200,28.763065
2015-07-28,29.139999,29.639999,28.74,29.58,6817000,29.318106
2015-07-29,30.389999,32.200001,29.309999,29.77,8178800,29.566397
2015-07-30,29.51,30.059999,29.51,29.75,3643000,29.546533
2015-07-31,29.92,30.17,29.58,30.129999,2666100,29.923934
2015-08-03,30.389999,30.469999,29.9,30.200001,2389500,29.993456
2015-08-04,30.309999,31.01,30.27,30.77,3749200,30.559558
2015-08-05,31.09,31.299999,30.9,31.01,2691500,30.797916
2015-08-06,31.059999,31.469999,30.290001,30.74,3787300,30.529762
2015-08-07,30.77,31.15,30.66,30.889999,2842300,30.678736
2015-08-10,31.280001,32.0,31.09,31.84,2701200,31.62224
2015-08-11,31.58,31.58,30.709999,31.219999,2928100,31.006479
2015-08-12,30.85,31.42,30.389999,31.379999,4992300,31.165385
2015-08-13,31.34,32.099998,31.23,31.879999,3033500,31.661965
2015-08-14,31.82,32.48,31.799999,32.310001,2841700,32.089026
