Date,Open_MCHP,High_MCHP,Low_MCHP,Close_MCHP,Volume_MCHP,AdjClose_MCHP
2015-06-05,47.139999,47.57,46.970001,47.459999,1098600,45.976291
2015-06-08,47.369999,47.57,46.52,46.66,1351400,45.201302
2015-06-09,45.900002,47.209999,44.259998,46.84,1509200,45.375675
2015-06-10,47.0,47.610001,46.950001,47.509998,1029000,46.024728
2015-06-11,47.560001,47.75,47.419998,47.639999,1236100,46.150664
2015-06-12,47.439999,47.619999,47.16,47.360001,1324000,45.879419
2015-06-15,46.900002,47.830002,46.779999,47.599998,1648800,46.111914
2015-06-16,47.380001,47.91,47.369999,47.740002,1290200,46.24754
2015-06-17,47.900002,48.110001,47.610001,47.900002,2186900,46.402538
2015-06-18,48.110001,49.099998,48.07,49.009998,2585800,47.477834
2015-06-19,49.16,49.82,48.790001,49.669998,4853200,48.117201
2015-06-22,49.919998,50.490002,49.720001,50.41,2382400,48.834068
2015-06-23,50.57,50.709999,50.110001,50.200001,2158800,48.630634
2015-06-24,50.209999,50.220001,49.459999,49.48,1773500,47.933142
2015-06-25,49.650002,49.880001,49.330002,49.34,2248600,47.797519
2015-06-26,49.18,49.41,48.290001,48.419998,2112900,46.906279
2015-06-29,47.790001,48.18,47.119999,47.200001,1897800,45.724421
2015-06-30,47.669998,48.099998,47.25,47.43,1830100,45.94723
2015-07-01,47.900002,47.959999,46.389999,46.639999,2464200,45.181927
2015-07-02,46.849998,46.939999,45.970001,46.529999,1989100,45.075365
2015-07-06,46.029999,46.029999,45.169998,45.77,2805200,44.339126
2015-07-07,46.119999,46.119999,44.639999,45.669998,2486500,44.24225
2015-07-08,45.189999,45.48,44.259998,44.689999,2968400,43.292887
2015-07-09,45.34,45.700001,44.169998,44.18,1761700,42.798833
2015-07-10,44.630001,45.150002,44.59,44.849998,1716500,43.447885
2015-07-13,45.060001,45.23,44.689999,44.950001,1477600,43.544761
2015-07-14,45.119999,45.380001,44.939999,45.220001,1607400,43.806321
2015-07-15,45.099998,45.299999,44.630001,44.970001,1475400,43.564137
2015-07-16,45.040001,45.869999,44.060001,44.509998,2816500,43.118514
2015-07-17,44.310001,44.43,43.869999,44.34,2256200,42.953831
2015-07-20,44.529999,44.59,43.810001,43.990002,2060300,42.614774
2015-07-21,43.990002,44.599998,43.709999,43.799999,2582200,42.430711
2015-07-22,42.529999,42.869999,41.68,42.09,5568600,40.774171
2015-07-23,42.369999,43.610001,42.139999,42.669998,3319400,41.336037
2015-07-24,42.720001,43.139999,40.91,41.869999,3730600,40.561047
2015-07-27,41.639999,42.02,41.150002,41.779999,2682300,40.473861
2015-07-28,41.259998,42.880001,41.139999,42.66,2574900,41.326351
2015-07-29,42.599998,43.009998,42.439999,42.77,2500000,41.432913
2015-07-30,42.720001,43.099998,42.560001,42.91,3685000,41.568535
2015-07-31,42.950001,42.970001,42.689999,42.84,1756000,41.500724
2015-08-03,42.189999,42.84,42.009998,42.790001,2977100,41.452288
2015-08-04,42.09,42.799999,41.439999,42.790001,7134000,41.452288
2015-08-05,43.130001,44.169998,43.07,43.830002,4911200,42.459776
2015-08-06,43.869999,43.869999,42.889999,43.23,2585600,41.878531
2015-08-07,43.119999,43.599998,42.860001,43.560001,2128100,42.198216
2015-08-10,44.0,44.630001,43.860001,44.419998,1849700,43.031328
2015-08-11,43.990002,44.040001,43.470001,43.720001,2710500,42.353214
2015-08-12,43.240002,44.080002,42.860001,43.849998,2380000,42.479148
2015-08-13,43.77,43.84,43.279999,43.389999,1657600,42.033529
2015-08-14,43.23,43.389999,42.610001,43.290001,1807100,41.936657
2015-08-17,43.110001,43.59,42.799999,43.52,1727900,42.159466
2015-08-18,43.34,43.5,42.84,42.93,2117700,41.587911
2015-08-19,42.93,43.16,42.139999,42.68,2455700,41.345726
2015-08-20,42.139999,42.540001,41.52,41.529999,2360300,40.231676
2015-08-21,41.369999,41.849998,40.799999,40.84,3202900,39.563249
2015-08-24,38.0,41.709999,37.77,40.139999,5173800,38.885132
2015-08-25,41.349998,41.540001,39.57,39.57,3947300,38.332951
2015-08-26,40.580002,41.220001,39.82,41.09,4666600,39.805433
2015-08-27,41.830002,42.740002,41.630001,42.73,2872700,41.394162
2015-08-28,42.5,43.310001,42.450001,43.240002,2367600,41.888221
2015-08-31,43.02,43.23,42.48,42.5,2063400,41.171353
