Date,Open_INTU,High_INTU,Low_INTU,Close_INTU,Volume_INTU,AdjClose_INTU
2015-06-05,104.669998,106.169998,104.669998,105.599998,1173600,104.371292
2015-06-08,105.349998,105.800003,104.459999,104.5,885300,103.284092
2015-06-09,104.449997,104.919998,103.900002,104.639999,1304100,103.422463
2015-06-10,105.260002,107.879997,105.0,107.480003,1736700,106.229422
2015-06-11,107.93,107.949997,105.769997,105.830002,2473200,104.598619
2015-06-12,105.160004,105.550003,104.470001,104.730003,1338600,103.511419
2015-06-15,104.07,104.07,102.620003,103.050003,1771000,101.850967
2015-06-16,103.150002,104.0,102.769997,103.730003,1324500,102.523055
2015-06-17,103.879997,104.330002,103.199997,103.839996,884900,102.631768
2015-06-18,103.75,104.529999,103.620003,104.389999,1533800,103.175371
2015-06-19,104.080002,104.760002,103.699997,104.32,1427600,103.106186
2015-06-22,105.029999,105.580002,103.540001,105.5,1262800,104.272457
2015-06-23,105.650002,105.669998,104.239998,104.760002,1211100,103.541069
2015-06-24,104.339996,104.769997,102.980003,103.050003,1460800,101.850967
2015-06-25,103.360001,104.18,102.919998,103.599998,1406500,102.394563
2015-06-26,103.599998,103.980003,102.339996,103.239998,2310800,102.038751
2015-06-29,102.199997,102.650002,100.830002,101.019997,1491000,99.84458
2015-06-30,101.519997,101.870003,100.760002,100.769997,1722500,99.597489
2015-07-01,101.639999,102.379997,100.779999,101.620003,1340500,100.437605
2015-07-02,102.029999,102.029999,100.620003,101.410004,778200,100.230049
2015-07-06,100.290001,101.959999,100.120003,101.919998,1908500,100.73411
2015-07-07,101.080002,103.709999,101.080002,103.580002,2670200,102.374799
2015-07-08,101.900002,104.139999,101.900002,103.43,3095300,102.473872
2015-07-09,104.470001,105.099998,103.529999,103.580002,1346800,102.622487
2015-07-10,104.940002,104.940002,103.599998,104.360001,862600,103.395276
2015-07-13,105.370003,106.07,105.010002,105.43,1334700,104.455384
2015-07-14,105.519997,106.110001,105.209999,105.830002,676700,104.851688
2015-07-15,106.050003,106.639999,105.669998,106.330002,870700,105.347066
2015-07-16,107.230003,108.110001,106.879997,108.099998,1003700,107.1007
2015-07-17,107.75,108.199997,106.559998,106.769997,1475100,105.782993
2015-07-20,106.82,107.169998,106.480003,106.629997,987700,105.644288
2015-07-21,106.290001,107.150002,106.059998,106.150002,996400,105.168729
2015-07-22,106.160004,107.120003,106.160004,106.720001,812200,105.73346
2015-07-23,106.870003,107.889999,106.519997,107.25,792900,106.258559
2015-07-24,107.550003,107.809998,106.480003,106.690002,834200,105.703738
2015-07-27,106.120003,106.489998,104.769997,105.0,1166400,104.029359
2015-07-28,105.040001,105.709999,103.660004,105.639999,1288100,104.663442
2015-07-29,105.360001,105.739998,104.419998,105.519997,991100,104.544548
2015-07-30,104.940002,106.059998,103.980003,105.739998,593800,104.762516
2015-07-31,106.290001,106.480003,105.400002,105.769997,904100,104.792237
2015-08-03,104.669998,105.779999,104.300003,105.050003,987900,104.078899
2015-08-04,105.239998,105.830002,104.959999,105.589996,777400,104.613901
2015-08-05,106.040001,107.75,106.040001,106.779999,700800,105.792903
2015-08-06,106.989998,107.449997,104.050003,104.169998,1176100,103.20703
2015-08-07,104.050003,105.440002,103.449997,105.440002,1604400,104.465294
2015-08-10,103.089996,104.989998,102.010002,104.989998,1400200,104.019449
2015-08-11,103.699997,104.660004,103.080002,104.620003,1327900,103.652874
2015-08-12,104.010002,105.080002,103.110001,104.720001,963800,103.751948
2015-08-13,105.019997,105.339996,103.760002,104.900002,767000,103.930285
2015-08-14,104.550003,106.199997,104.440002,105.620003,768300,104.64363
2015-08-17,105.199997,105.769997,104.5,105.559998,871200,104.584179
2015-08-18,106.040001,106.760002,105.510002,105.720001,832500,104.742704
2015-08-19,106.489998,107.07,104.779999,106.269997,1864300,105.287615
2015-08-20,105.269997,105.620003,102.720001,102.93,1510600,101.978494
2015-08-21,91.059998,93.0,85.110001,89.279999,8703000,88.454676
2015-08-24,82.309998,85.0,80.889999,84.25,6761400,83.471176
2015-08-25,86.720001,86.849998,79.629997,79.870003,4786900,79.131668
2015-08-26,82.709999,84.080002,80.800003,83.290001,5663800,82.520051
2015-08-27,84.389999,86.629997,83.629997,86.599998,4322200,85.79945
2015-08-28,85.040001,87.610001,85.029999,86.209999,3537000,85.413056
2015-08-31,85.459999,85.959999,84.449997,85.75,3340400,84.95731
2015-09-01,83.349998,85.190002,83.099998,84.099998,3803500,83.322561
2015-09-02,85.690002,85.959999,84.059998,85.830002,2687700,85.036572
2015-09-03,85.879997,86.970001,85.489998,86.040001,3230200,85.24463
2015-09-04,84.620003,85.82,84.110001,85.129997,3192000,84.343038
2015-09-08,86.639999,87.790001,85.510002,87.739998,2377000,86.928911
2015-09-09,87.779999,88.330002,86.309998,86.639999,3002900,85.839082
2015-09-10,87.0,88.870003,86.480003,88.300003,4118100,87.48374
2015-09-11,87.459999,89.410004,87.150002,89.309998,2615900,88.484398
2015-09-14,89.050003,89.529999,88.269997,88.82,1517900,87.99893
2015-09-15,89.129997,89.769997,88.360001,88.989998,1791200,88.167356
2015-09-16,89.150002,89.610001,88.0,89.470001,1609200,88.642922
2015-09-17,86.900002,87.370003,85.279999,85.769997,6863300,84.977121
2015-09-18,84.690002,86.199997,84.360001,85.489998,5609300,84.699711
2015-09-21,85.550003,87.300003,85.169998,86.809998,3351900,86.007508
2015-09-22,85.410004,87.239998,85.400002,86.849998,3121500,86.047139
